open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 23:54:58,20000000,2024-06-11 23:54:58,95000000,95000000,95000000,95000000,95000000,95000000,95000000,95000000,95000000,95000000,95000000,75000000,0,75000000,0,75000000,0,75000000,0,75000000,0,75000000,0,75000000,0,75000000,0,75000000,0,75000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-11 23:54:58,20000000,2024-06-11 23:55:01,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,127100000,0,127100000,0,127100000,0,127100000,0,127100000,0,127100000,0,127100000,0,127100000,0,127100000,0,127100000,0,0,10,0.5900865460267506,0.995279307631786,1.0,1.0355903841261451
2024-06-11 23:54:58,20000000,2024-06-11 23:55:02,147200000,147200000,147200000,147200000,147200000,147200000,147200000,147200000,147200000,147200000,147200000,128000000,-125475557,128000000,-125475557,128000000,-125475557,128000000,-125475557,128000000,-125475557,128000000,-125475557,128000000,-125475557,128000000,-125475557,128000000,-125475557,128000000,-125475557,-125475557,13,0.5859375,0.98828125,0.9976562499999999,1.0767595116905064
2024-06-11 23:54:58,20000000,2024-06-11 23:55:03,27524443,95000000,27524443,27524443,27524443,27524443,27524443,27524443,27524443,27524443,27524443,133700000,-125475557,133700000,-125475557,133700000,-125475557,133700000,-125475557,133700000,-125475557,133700000,-125475557,133700000,-125475557,133700000,-125475557,133700000,-125475557,133700000,-125475557,-125475557,17,0.5609573672400897,0.9798055347793566,0.9947643979057591,1.2271261188227973
2024-06-11 23:54:58,20000000,2024-06-11 23:55:07,28324443,147200000,28324443,28324443,28324443,28324443,28324443,28324443,28324443,28324443,28324443,6700000,-125475557,133800000,-125475557,133800000,-125475557,133800000,-125475557,133800000,-125475557,133800000,-125475557,133800000,-125475557,133800000,-125475557,133800000,-125475557,133800000,-125475557,-125475557,18,0.5605381165919282,0.9790732436472345,0.9940209267563527,1.2323364561446624
2024-06-11 23:54:58,20000000,2024-06-11 23:55:08,28424443,27524443,95000000,28424443,28424443,28424443,28424443,28424443,28424443,28424443,28424443,6600000,0,134600000,-125475557,134600000,-125475557,134600000,-125475557,134600000,-125475557,134600000,-125475557,134600000,-125475557,134600000,-125475557,134600000,-125475557,134600000,-125475557,-125475557,26,0.5572065378900446,0.9732540861812778,0.9881129271916791,1.2737603989719704
2024-06-11 23:54:58,20000000,2024-06-11 23:55:09,29224443,27524443,95000000,29224443,29224443,29224443,29224443,29224443,29224443,29224443,29224443,1100000,0,59800000,-125475557,134800000,-125475557,134800000,-125475557,134800000,-125475557,134800000,-125475557,134800000,-125475557,134800000,-125475557,134800000,-125475557,134800000,-125475557,-125475557,28,0.5563798219584569,0.9718100890207715,0.9866468842729971,1.2840450795143752
2024-06-11 23:54:58,20000000,2024-06-11 23:55:11,29824443,27524443,95100000,29824443,29824443,29824443,29824443,29824443,29824443,29824443,29824443,2200000,0,60900000,-125475557,135900000,-125475557,135900000,-125475557,135900000,-125475557,135900000,-125475557,135900000,-125475557,135900000,-125475557,135900000,-125475557,135900000,-125475557,-125475557,31,0.5518763796909493,0.9639440765268581,0.9823399558498896,1.328265855767362
2024-06-11 23:54:58,20000000,2024-06-11 23:55:12,30524443,28324443,147200000,30524443,30524443,30524443,30524443,30524443,30524443,30524443,30524443,2700000,0,9300000,-125475557,136400000,-125475557,136400000,-125475557,136400000,-125475557,136400000,-125475557,136400000,-125475557,136400000,-125475557,136400000,-125475557,136400000,-125475557,-125475557,34,0.5498533724340176,0.9604105571847507,0.9787390029325513,1.3514827111557541
2024-06-11 23:54:58,20000000,2024-06-11 23:55:13,80924443,28424443,27524443,80924443,80924443,80924443,80924443,80924443,80924443,80924443,80924443,52900000,0,58700000,0,186700000,-125475557,186700000,-125475557,186700000,-125475557,186700000,-125475557,186700000,-125475557,186700000,-125475557,186700000,-125475557,186700000,-125475557,-125475557,37,0.4017139796464917,0.9641135511515802,0.9801821103374397,1.5809038194185225
2024-06-11 23:54:58,20000000,2024-06-11 23:55:14,81424443,29224443,27524443,81424443,81424443,81424443,81424443,81424443,81424443,81424443,81424443,52300000,0,53200000,0,186900000,-125475557,186900000,-125475557,186900000,-125475557,186900000,-125475557,186900000,-125475557,186900000,-125475557,186900000,-125475557,186900000,-125475557,-125475557,38,0.4012841091492777,0.9630818619582665,0.9791332263242376,1.5876010613351053
2024-06-11 23:54:58,20000000,2024-06-11 23:55:16,81524443,29824443,27524443,81524443,81524443,81524443,81524443,81524443,81524443,81524443,81524443,52200000,0,53300000,0,187000000,-125475557,187000000,-125475557,187000000,-125475557,187000000,-125475557,187000000,-125475557,187000000,-125475557,187000000,-125475557,187000000,-125475557,-125475557,39,0.40106951871657753,0.9625668449197861,0.9786096256684492,1.5913154063731594
2024-06-11 23:54:58,20000000,2024-06-11 23:55:18,81084085,80924443,28424443,81084085,81084085,81084085,81084085,81084085,81084085,81084085,81084085,50600000,-440358,53200000,-440358,187000000,-125915915,187000000,-125915915,187000000,-125915915,187000000,-125915915,187000000,-125915915,187000000,-125915915,187000000,-125915915,187000000,-125915915,-125915915,39,0.40106951871657753,0.9625668449197861,0.9786096256684492,1.5913154063731594
2024-06-11 23:54:58,20000000,2024-06-11 23:55:21,80870045,81524443,29824443,80870045,80870045,80870045,80870045,80870045,80870045,80870045,80870045,100000,-654398,52200000,-654398,187000000,-126129955,187000000,-126129955,187000000,-126129955,187000000,-126129955,187000000,-126129955,187000000,-126129955,187000000,-126129955,187000000,-126129955,-126129955,39,0.40106951871657753,0.9625668449197861,0.9786096256684492,1.5913154063731594
2024-06-11 23:54:58,20000000,2024-06-11 23:55:25,110870045,81084085,81424443,110870045,110870045,110870045,110870045,110870045,110870045,110870045,110870045,30200000,-214040,30300000,-654398,217200000,-126129955,217200000,-126129955,217200000,-126129955,217200000,-126129955,217200000,-126129955,217200000,-126129955,217200000,-126129955,217200000,-126129955,-126129955,41,0.3453038674033149,0.9438305709023941,0.9783609576427257,1.778814148707088
2024-06-11 23:54:58,20000000,2024-06-11 23:55:26,111370045,80870045,81524443,111370045,111370045,111370045,111370045,111370045,111370045,111370045,111370045,30500000,-214040,30600000,-654398,217500000,-126129955,217500000,-126129955,217500000,-126129955,217500000,-126129955,217500000,-126129955,217500000,-126129955,217500000,-126129955,217500000,-126129955,-126129955,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:28,109922617,80870045,81084085,95000000,109922617,109922617,109922617,109922617,109922617,109922617,109922617,30500000,-1640209,30500000,-2294607,217500000,-127770164,217500000,-127770164,217500000,-127770164,217500000,-127770164,217500000,-127770164,217500000,-127770164,217500000,-127770164,217500000,-127770164,-127770164,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:30,103297536,110870045,81084085,95000000,103297536,103297536,103297536,103297536,103297536,103297536,103297536,30500000,-9362201,30500000,-9576241,142500000,-135492156,217500000,-135492156,217500000,-135492156,217500000,-135492156,217500000,-135492156,217500000,-135492156,217500000,-135492156,217500000,-135492156,-135492156,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:31,100816934,111370045,80870045,95100000,100816934,100816934,100816934,100816934,100816934,100816934,100816934,300000,-10553111,30500000,-10767151,142500000,-136683066,217500000,-136683066,217500000,-136683066,217500000,-136683066,217500000,-136683066,217500000,-136683066,217500000,-136683066,217500000,-136683066,-136683066,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:32,100770442,111370045,80870045,147200000,100770442,100770442,100770442,100770442,100770442,100770442,100770442,0,-10599603,30500000,-10599603,90400000,-136729558,217500000,-136729558,217500000,-136729558,217500000,-136729558,217500000,-136729558,217500000,-136729558,217500000,-136729558,217500000,-136729558,-136729558,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:35,99551244,103297536,110870045,27524443,99551244,99551244,99551244,99551244,99551244,99551244,99551244,0,-10223984,30500000,-11864193,83800000,-12518591,217500000,-137994148,217500000,-137994148,217500000,-137994148,217500000,-137994148,217500000,-137994148,217500000,-137994148,217500000,-137994148,-137994148,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:36,99397629,100816934,111370045,27524443,99397629,99397629,99397629,99397629,99397629,99397629,99397629,0,-2610215,300000,-11972416,83800000,-12626814,217500000,-138102371,217500000,-138102371,217500000,-138102371,217500000,-138102371,217500000,-138102371,217500000,-138102371,217500000,-138102371,-138102371,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:37,98251206,100770442,111370045,28324443,98251206,98251206,98251206,98251206,98251206,98251206,98251206,0,-5881064,0,-16434175,83800000,-17088573,217500000,-142564130,217500000,-142564130,217500000,-142564130,217500000,-142564130,217500000,-142564130,217500000,-142564130,217500000,-142564130,-142564130,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:39,94894537,100770442,109922617,29224443,94894537,94894537,94894537,94894537,94894537,94894537,94894537,0,-5875905,0,-14835299,82900000,-17129906,217500000,-142605463,217500000,-142605463,217500000,-142605463,217500000,-142605463,217500000,-142605463,217500000,-142605463,217500000,-142605463,-142605463,42,0.3448275862068966,0.942528735632184,0.9770114942528736,1.7868233453052582
2024-06-11 23:54:58,20000000,2024-06-11 23:55:40,93935785,99551244,103297536,29224443,93935785,93935785,93935785,93935785,93935785,93935785,93935785,1000000,-6834657,1000000,-15794051,83700000,-18088658,218500000,-143564215,218500000,-143564215,218500000,-143564215,218500000,-143564215,218500000,-143564215,218500000,-143564215,218500000,-143564215,-143564215,43,0.34324942791762014,0.9382151029748285,0.9748283752860412,1.807865317116391
2024-06-11 23:54:58,20000000,2024-06-11 23:55:41,93982469,99397629,100816934,29824443,93982469,93982469,93982469,93982469,93982469,93982469,93982469,136000000,-6523383,136000000,-9025375,218700000,-19041974,353500000,-144517531,353500000,-144517531,353500000,-144517531,353500000,-144517531,353500000,-144517531,353500000,-144517531,353500000,-144517531,-144517531,44,0.38189533239038187,0.9052333804809053,0.983026874115983,1.7824343552792163
2024-06-11 23:54:58,20000000,2024-06-11 23:55:42,222707861,98251206,100770442,30524443,222707861,222707861,222707861,222707861,222707861,222707861,222707861,136000000,-12689768,136000000,-14109073,217600000,-25316582,353500000,-150792139,353500000,-150792139,353500000,-150792139,353500000,-150792139,353500000,-150792139,353500000,-150792139,353500000,-150792139,-150792139,44,0.38189533239038187,0.9052333804809053,0.983026874115983,1.7824343552792163
2024-06-11 23:54:58,20000000,2024-06-11 23:55:43,220658149,98251206,100770442,80924443,220658149,220658149,220658149,220658149,220658149,220658149,220658149,136000000,-21871994,136000000,-27706566,217100000,-38960567,353500000,-164436124,353500000,-164436124,353500000,-164436124,353500000,-164436124,353500000,-164436124,353500000,-164436124,353500000,-164436124,-164436124,44,0.38189533239038187,0.9052333804809053,0.983026874115983,1.7824343552792163
2024-06-11 23:54:58,20000000,2024-06-11 23:55:44,203749380,94894537,100770442,81424443,203749380,203749380,203749380,203749380,203749380,203749380,203749380,136000000,-27186490,136000000,-33021062,166800000,-44275063,353500000,-169750620,353500000,-169750620,353500000,-169750620,353500000,-169750620,353500000,-169750620,353500000,-169750620,353500000,-169750620,-169750620,44,0.38189533239038187,0.9052333804809053,0.983026874115983,1.7824343552792163
2024-06-11 23:54:58,20000000,2024-06-11 23:55:45,202010544,93935785,99551244,81424443,202010544,202010544,202010544,202010544,202010544,202010544,202010544,136000000,-32274016,136000000,-38149921,166600000,-49403922,353500000,-174879479,353500000,-174879479,353500000,-174879479,353500000,-174879479,353500000,-174879479,353500000,-174879479,353500000,-174879479,-174879479,44,0.38189533239038187,0.9052333804809053,0.983026874115983,1.7824343552792163
2024-06-11 23:54:58,20000000,2024-06-11 23:55:47,76802595,222707861,98251206,81524443,76802595,76802595,76802595,76802595,76802595,76802595,76802595,0,-152179874,136000000,-158595034,166500000,-171221848,353500000,-296697405,353500000,-296697405,353500000,-296697405,353500000,-296697405,353500000,-296697405,353500000,-296697405,353500000,-296697405,-296697405,44,0.38189533239038187,0.9052333804809053,0.983026874115983,1.7824343552792163
2024-06-11 23:54:58,20000000,2024-06-11 23:55:48,77002595,220658149,98251206,81084085,77002595,77002595,77002595,77002595,77002595,77002595,77002595,200000,-145905266,136200000,-154133275,166700000,-171221848,353700000,-296697405,353700000,-296697405,353700000,-296697405,353700000,-296697405,353700000,-296697405,353700000,-296697405,353700000,-296697405,-296697405,45,0.3816793893129771,0.9047215154085382,0.9824710206389595,1.7862201454260007
2024-06-11 23:54:58,20000000,2024-06-11 23:55:52,76907262,76802595,222707861,80870045,76907262,76907262,76907262,76907262,76907262,76907262,76907262,200000,-121913259,200000,-152275207,166700000,-170662783,353700000,-296792738,353700000,-296792738,353700000,-296792738,353700000,-296792738,353700000,-296792738,353700000,-296792738,353700000,-296792738,-296792738,45,0.3816793893129771,0.9047215154085382,0.9824710206389595,1.7862201454260007
2024-06-11 23:54:58,20000000,2024-06-11 23:55:55,76825403,77002595,202010544,110870045,76825403,76825403,76825403,76825403,76825403,76825403,76825403,0,-272525,200000,-127219310,166700000,-170839975,353700000,-296969930,353700000,-296969930,353700000,-296969930,353700000,-296969930,353700000,-296969930,353700000,-296969930,353700000,-296969930,-296969930,45,0.3816793893129771,0.9047215154085382,0.9824710206389595,1.7862201454260007
2024-06-11 23:54:58,20000000,2024-06-11 23:55:56,77025403,77002595,202010544,111370045,77025403,77025403,77025403,77025403,77025403,77025403,77025403,200000,-272525,400000,-122090451,136700000,-170839975,353900000,-296969930,353900000,-296969930,353900000,-296969930,353900000,-296969930,353900000,-296969930,353900000,-296969930,353900000,-296969930,-296969930,46,0.3814636903079966,0.9042102288782142,0.9819157954224357,1.7900019761891648
2024-06-11 23:54:58,20000000,2024-06-11 23:55:57,77225403,76907262,76802595,111370045,77225403,77225403,77225403,77225403,77225403,77225403,77225403,400000,-272525,600000,-122090451,136600000,-170839975,354100000,-296969930,354100000,-296969930,354100000,-296969930,354100000,-296969930,354100000,-296969930,354100000,-296969930,354100000,-296969930,-296969930,47,0.38124823496187515,0.9036995199096299,0.9813611974018638,1.793779854097145
