token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
69503304497,95594861672,202034743739,243787857731,9039,9039,9039,9039
69503304497,95594861672,213253073240,245116277755,9039,9039,9039,9039
91952773789,95599861672,229360122057,245116277755,9039,9039,9039,9039
91952773789,95599861672,229360122057,245116277755,9039,9039,9039,9039
95599861672,95599961672,245293884742,256612666045,9039,9039,9039,9039
95599861672,121308575041,244602977720,254010216810,9039,9039,9039,9039
95599861672,131251266848,245671096874,254010216810,9039,9039,9039,9039
135868443690,162073099735,232470500341,232293154896,9039,9039,9039,9039
140385095361,180224048592,228499584574,233074445760,9039,9039,9039,9039
140385095361,202034743739,230890610121,233074445760,9039,9039,9039,9039
140385095361,213253073240,250987647928,236304413187,9039,9039,9039,9039
162073099735,229360122057,250536097529,251820393715,9039,9039,9039,9039
180224048592,229360122057,250299340740,209168137812,9039,9039,9039,9039
229360122057,245293884742,249454641918,220848413775,9039,9039,9039,9039
229360122057,244602977720,233581932177,229134844998,9039,9039,9039,9039
229360122057,244602977720,243787857731,241095737299,9039,9039,9039,9039
233056759513,244701977720,245116277755,241095737299,9039,9039,9039,9039
253491344072,245671096874,245116277755,241095737299,9039,9039,9039,9039
245293884742,230669538136,245116277755,241095737299,9039,9039,9039,9039
244701977720,237576647538,260466734138,241076039313,9039,9039,9039,9039
245671096874,235663864449,264351214854,246466202451,9039,9039,9039,9039
230669538136,232470500341,256612666045,244254983499,9039,9039,9039,9039
232306198557,228499584574,254010216810,244254983499,9039,9039,9039,9039
237576647538,250987647928,254010216810,258935115729,9039,9039,9039,9039
235663864449,250987647928,254010216810,257062296511,9039,9039,9039,9039
232470500341,250536097529,255245842273,269947059163,9039,9039,9039,9039
228499584574,250299340740,255445842273,288579333778,9039,9039,9039,9039
230890610121,251422576405,255445842273,250799716454,9039,9039,9039,9039
250987647928,244732314748,232293154896,261273012688,9039,9039,9039,9039
250536097529,249454641918,232293154896,267151524375,9039,9039,9039,9039
250299340740,233581932177,233074445760,260123009193,9039,9039,9039,9039
251422576405,243787857731,233074445760,267350541332,9039,9039,9039,9039
244732314748,245116277755,236304413187,246784749854,9039,9039,9039,9039
249454641918,245116277755,251820393715,257810253884,9039,9039,9039,9039
233581932177,245116277755,209168137812,266994859414,9039,9039,9039,9039
243787857731,245616277755,215078009070,220307048783,9039,9039,9039,9039
245116277755,260466734138,215078009070,221171099395,9039,9039,9039,9039
245116277755,256612666045,220848413775,229614424107,9039,9039,9039,9039
245116277755,254010216810,229134844998,240815814201,9039,9039,9039,9039
245616277755,254010216810,241095737299,253030027672,9039,9039,9039,9039
260466734138,254010216810,241095737299,253030027672,9039,9039,9039,9039
254010216810,255445842273,241400472423,267451972421,9039,9039,9039,9039
254010216810,258658767483,241076039313,267451972421,9039,9039,9039,9039
254010216810,232293154896,246466202451,267451972421,9039,9039,9039,9039
255245842273,232293154896,244254983499,280418273346,9039,9039,9039,9039
255445842273,233074445760,244254983499,275979886447,9039,9039,9039,9039
232293154896,251820393715,269947059163,275004309918,9039,9039,9039,9039
233074445760,209168137812,288579333778,275004309918,9039,9039,9039,9039
236304413187,215078009070,250799716454,279504309918,9039,9039,9039,9039
245112665124,218984107669,261273012688,279454495708,9039,9039,9039,9039
209168137812,229134844998,260123009193,278666333744,9039,9039,9039,9039
215078009070,241095737299,246784749854,239568686446,9039,9039,9039,9039
218984107669,241095737299,244994505313,251169463392,9039,9039,9039,9039
220848413775,241095737299,257810253884,251169463392,9039,9039,9039,9039
229134844998,241095737299,266994859414,250924622937,9039,9039,9039,9039
241095737299,241400472423,220307048783,255719912363,9039,9039,9039,9039
241095737299,246466202451,223071232828,237764951301,9039,9039,9039,9039
241095737299,244254983499,229614424107,247364667880,9039,9039,9039,9039
241095737299,244254983499,240815814201,242727548207,9039,9039,9039,9039
241400472423,256615903193,253030027672,242727548207,9039,9039,9039,9039
256615903193,250799716454,267451972421,206256485181,9039,9039,9039,9039
258935115729,250799716454,267451972421,205013043660,9039,9039,9039,9039
257062296511,261273012688,267451972421,195161371876,9039,9039,9039,9039
269947059163,267151524375,280418273346,186893237300,9039,9039,9039,9039
250799716454,267350541332,274806309918,177318979137,9039,9039,9039,9039
250799716454,246784749854,274806309918,170858860925,9039,9039,9039,9039
261273012688,244994505313,275004309918,170858860925,9039,9039,9039,9039
267151524375,257810253884,275004309918,170858860925,9039,9039,9039,9039
260123009193,266994859414,275004309918,170858860925,9039,9039,9039,9039
267350541332,220307048783,279004309918,145366929077,9039,9039,9039,9039
244994505313,223071232828,279454495708,144599181712,9039,9039,9039,9039
257810253884,229614424107,278666333744,144599181712,9039,9039,9039,9039
266994859414,240815814201,278666333744,139371460593,9039,9039,9039,9039
220307048783,253030027672,278666333744,134104787483,9039,9039,9039,9039
221171099395,253030027672,239568686446,134118563351,9039,9039,9039,9039
223071232828,261273113090,251169463392,133383189727,9039,9039,9039,9039
229614424107,261273113090,251169463392,123383291088,9039,9039,9039,9039
240815814201,261273113090,250924622937,120972349040,9039,9039,9039,9039
253030027672,267451972421,255719912363,120972349040,9039,9039,9039,9039
253030027672,267451972421,254211127998,117914952893,9039,9039,9039,9039
261273113090,267451972421,237764951301,117914952893,9039,9039,9039,9039
261273113090,280418273346,247364667880,117914952893,9039,9039,9039,9039
261273113090,275979886447,242727548207,117914693723,9039,9039,9039,9039
267451972421,274806309918,242727548207,117914693723,9039,9039,9039,9039
267451972421,275004309918,241215682108,117914693723,9039,9039,9039,9039
274806309918,279004309918,206256485181,106214791255,9039,9039,9039,9039
275004309918,278666333744,186893237300,144155961778,9039,9039,9039,9039
275004309918,278666333744,182252850423,153708580543,9039,9039,9039,9039
279004309918,278666333744,177318979137,162832253994,9039,9039,9039,9039
279454495708,251169463392,170858860925,182537199983,9039,9039,9039,9039
278666333744,255719912363,145366929077,190629605163,9039,9039,9039,9039
239568686446,254211127998,144599181712,200141572532,9039,9039,9039,9039
251169463392,237764951301,144599181712,201859259787,9039,9039,9039,9039
251169463392,247364667880,144599181712,225131986799,9039,9039,9039,9039
254211127998,242727548207,134118563351,240064137212,9039,9039,9039,9039
237764951301,241215682108,133383189727,240089137212,9039,9039,9039,9039
242727548207,209447655966,120972349040,240139137212,9039,9039,9039,9039
242727548207,206256485181,120972349040,240139137212,9039,9039,9039,9039
242727548207,205013043660,117914952893,239795834555,9039,9039,9039,9039
241215682108,195161371876,117914952893,241775834555,9039,9039,9039,9039
230450462057,186893237300,117914952893,235286134986,9039,9039,9039,9039
209447655966,182252850423,117914693723,232108990948,9039,9039,9039,9039
195161371876,170858860925,117914693723,227318901300,9039,9039,9039,9039
186893237300,170858860925,117914693723,222484522232,9039,9039,9039,9039
182252850423,170858860925,103766988184,222484522232,9039,9039,9039,9039
177318979137,145366929077,106214791255,203585014097,9039,9039,9039,9039
170858860925,144599181712,117961770748,198059155011,9039,9039,9039,9039
170858860925,144599181712,126336236289,191453078298,9039,9039,9039,9039
170858860925,144599181712,144155961778,181847470070,9039,9039,9039,9039
170858860925,139371460593,153708580543,158712504641,9039,9039,9039,9039
145366929077,134104787483,162832253994,158621420397,9039,9039,9039,9039
144599181712,134118563351,169545434577,158621420397,9039,9039,9039,9039
134104787483,120972349040,190629605163,154274740053,9039,9039,9039,9039
134118563351,117914952893,200141572532,154274740053,9039,9039,9039,9039
120972349040,117914693723,223616195638,149158480096,9039,9039,9039,9039
120972349040,117914693723,236138970210,148625004550,9039,9039,9039,9039
117914952893,117914693723,240064137212,140365170495,9039,9039,9039,9039
117914952893,117914693723,240089137212,114109910967,9039,9039,9039,9039
117914952893,117914693723,240139137212,113832834138,9039,9039,9039,9039
117914693723,103766988184,240139137212,113104428762,9039,9039,9039,9039
117914693723,117961770748,239795834555,111843803468,9039,9039,9039,9039
103766988184,153708580543,232108990948,96250049003,9039,9039,9039,9039
153708580543,185677408243,222484522232,87259785992,9039,9039,9039,9039
162832253994,190629605163,203585014097,86020879521,9039,9039,9039,9039
169545434577,200141572532,198059155011,86020879521,9039,9039,9039,9039
182537199983,201859259787,191453078298,86017695523,9039,9039,9039,9039
185304708243,225131986799,181847470070,85585916509,9039,9039,9039,9039
185677408243,223616195638,158712504641,85585916509,9039,9039,9039,9039
190629605163,236138970210,158621420397,85585916509,9039,9039,9039,9039
200141572532,240064137212,158621420397,85635916509,9039,9039,9039,9039
201859259787,240089137212,158621420397,85735916509,9039,9039,9039,9039
225131986799,240139137212,158621420397,85735916509,9039,9039,9039,9039
223616195638,240139137212,157888411205,85558431238,9039,9039,9039,9039
236138970210,240139137212,154274740053,82130151738,9039,9039,9039,9039
240064137212,239795834555,154274740053,77468166187,9039,9039,9039,9039
240089137212,241775834555,149009980096,77468166187,9039,9039,9039,9039
240139137212,235286134986,149009980096,68011197163,9039,9039,9039,9039
240139137212,232108990948,149158480096,67487395573,9039,9039,9039,9039
240139137212,232058713044,148625004550,66974092692,9039,9039,9039,9039
239795834555,227318901300,140365170495,64648993919,9039,9039,9039,9039
241775834555,227318901300,114109910967,64648993919,9039,9039,9039,9039
235286134986,222484522232,113832834138,64648993919,9039,9039,9039,9039
227318901300,198059155011,111843803468,64648993919,9039,9039,9039,9039
227318901300,191453078298,106310200213,64648993919,9039,9039,9039,9039
222484522232,181847470070,101067876250,64648993919,9039,9039,9039,9039
222484522232,158712504641,96250049003,64648993919,9039,9039,9039,9039
203585014097,158621420397,96250049003,64648993919,9039,9039,9039,9039
198059155011,158621420397,91271681757,64648993919,9039,9039,9039,9039
181847470070,158621420397,87259785992,64009347237,9039,9039,9039,9039
158621420397,154274740053,86020879521,9039,9039,9039,9039,9039
158621420397,154274740053,86020879521,9039,9039,9039,9039,9039
158621420397,149009980096,86017695523,9039,9039,9039,9039,9039
158621420397,149009980096,85585916509,9039,9039,9039,9039,9039
157888411205,149158480096,85585916509,9039,9039,9039,9039,9039
154274740053,148625004550,85585916509,9039,9039,9039,9039,9039
149158480096,113104428762,85558431238,9039,9039,9039,9039,9039
148625004550,113104428762,82130151738,9039,9039,9039,9039,9039
114109910967,106310200213,77468166187,9039,9039,9039,9039,9039
113104428762,96250049003,67487395573,9039,9039,9039,9039,9039
113104428762,96250049003,66974092692,9039,9039,9039,9039,9039
111843803468,91271681757,64648993919,9039,9039,9039,9039,9039
106310200213,91167301523,64648993919,9039,9039,9039,9039,9039
101067876250,87259785992,64648993919,9039,9039,9039,9039,9039
96250049003,87259785992,64648993919,9039,9039,9039,9039,9039
91271681757,86020879521,64648993919,9039,9039,9039,9039,9039
91167301523,86017695523,64648993919,9039,9039,9039,9039,9039
87259785992,85585916509,64648993919,9039,9039,9039,9039,9039
87259785992,85585916509,64648993919,9039,9039,9039,9039,9039
86020879521,85635916509,64648993919,9039,9039,9039,9039,9039
86017695523,85735916509,64009347237,9039,9039,9039,9039,9039
85585916509,85735916509,64009347237,9039,9039,9039,9039,9039
85585916509,82130151738,9039,9039,9039,9039,9039,9039
85735916509,77468166187,9039,9039,9039,9039,9039,9039
85735916509,68011197163,9039,9039,9039,9039,9039,9039
77468166187,64648993919,9039,9039,9039,9039,9039,9039
77468166187,64648993919,9039,9039,9039,9039,9039,9039
67487395573,64648993919,9039,9039,9039,9039,9039,9039
66974092692,64648993919,9039,9039,9039,9039,9039,9039
64648993919,64648993919,9039,9039,9039,9039,9039,9039
64648993919,64648993919,9039,9039,9039,9039,9039,9039
64648993919,64648993919,9039,9039,9039,9039,9039,9039
64648993919,64648993919,9039,9039,9039,9039,9039,9039
64648993919,64648993919,9039,9039,9039,9039,9039,9039
9039,9039,9039,9039,9039,9039,9039,9039
9039,9039,9039,9039,9039,9039,9039,9039
