open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 20:41:52,3750000000,2024-06-10 20:41:52,7750000000,7750000000,7750000000,7750000000,7750000000,7750000000,7750000000,7750000000,7750000000,7750000000,7750000000,4070000000,0,4070000000,0,4070000000,0,4070000000,0,4070000000,0,4070000000,0,4070000000,0,4070000000,0,4070000000,0,4070000000,0,0,3,0.9828009828009828,1.0,1.0,0.09721784695000729
2024-06-10 20:41:52,3750000000,2024-06-10 20:41:53,7920000000,7920000000,7920000000,7920000000,7920000000,7920000000,7920000000,7920000000,7920000000,7920000000,7920000000,7911500000,-1421627667,7911500000,-1421627667,7911500000,-1421627667,7911500000,-1421627667,7911500000,-1421627667,7911500000,-1421627667,7911500000,-1421627667,7911500000,-1421627667,7911500000,-1421627667,7911500000,-1421627667,-1421627667,18,0.5055931239335145,0.9593629526638436,0.9979144283637742,1.3766998444699943
2024-06-10 20:41:52,3750000000,2024-06-10 20:41:54,8580942693,8580942693,8580942693,8580942693,8580942693,8580942693,8580942693,8580942693,8580942693,8580942693,8580942693,7924500000,-2979557307,7924500000,-2979557307,7924500000,-2979557307,7924500000,-2979557307,7924500000,-2979557307,7924500000,-2979557307,7924500000,-2979557307,7924500000,-2979557307,7924500000,-2979557307,7924500000,-2979557307,-2979557307,28,0.5047637074894316,0.9577891349611964,0.9962773676572656,1.3879832948518656
2024-06-10 20:41:52,3750000000,2024-06-10 20:41:55,8594142693,8594142693,8594142693,8594142693,8594142693,8594142693,8594142693,8594142693,8594142693,8594142693,8594142693,7924800000,-2979557307,7924800000,-2979557307,7924800000,-2979557307,7924800000,-2979557307,7924800000,-2979557307,7924800000,-2979557307,7924800000,-2979557307,7924800000,-2979557307,7924800000,-2979557307,7924800000,-2979557307,-2979557307,30,0.5047445992327882,0.9577528770442157,0.9962396527357158,1.3883781402906699
2024-06-10 20:41:52,3750000000,2024-06-10 20:41:57,8594342693,7750000000,8594342693,8594342693,8594342693,8594342693,8594342693,8594342693,8594342693,8594342693,8594342693,7974000000,-5526216792,7974000000,-5526216792,7974000000,-5526216792,7974000000,-5526216792,7974000000,-5526216792,7974000000,-5526216792,7974000000,-5526216792,7974000000,-5526216792,7974000000,-5526216792,7974000000,-5526216792,-5526216792,33,0.5016302984700276,0.9518434913468774,0.9949836970152997,1.417536773931369
2024-06-10 20:41:52,3750000000,2024-06-10 20:41:58,17805266374,7920000000,17805266374,17805266374,17805266374,17805266374,17805266374,17805266374,17805266374,17805266374,17805266374,15884783166,-17410500509,19954783166,-17410500509,19954783166,-17410500509,19954783166,-17410500509,19954783166,-17410500509,19954783166,-17410500509,19954783166,-17410500509,19954783166,-17410500509,19954783166,-17410500509,19954783166,-17410500509,-17410500509,37,0.5867507087698915,0.9620993125453439,0.9920169515912645,1.3110519800862983
2024-06-10 20:41:52,3750000000,2024-06-10 20:42:00,6193782657,8594142693,6193782657,6193782657,6193782657,6193782657,6193782657,6193782657,6193782657,6193782657,6193782657,12030883166,-14461026832,19955383166,-17440584139,19955383166,-17440584139,19955383166,-17440584139,19955383166,-17440584139,19955383166,-17440584139,19955383166,-17440584139,19955383166,-17440584139,19955383166,-17440584139,19955383166,-17440584139,-17440584139,39,0.5867330668923925,0.9620703850332673,0.9919871245432944,1.3113692350530373
2024-06-10 20:41:52,3750000000,2024-06-10 20:42:01,6262799027,8594142693,6262799027,6262799027,6262799027,6262799027,6262799027,6262799027,6262799027,6262799027,6262799027,12129583166,-14461026832,20054383166,-17440584139,20054383166,-17440584139,20054383166,-17440584139,20054383166,-17440584139,20054383166,-17440584139,20054383166,-17440584139,20054383166,-17440584139,20054383166,-17440584139,20054383166,-17440584139,-17440584139,40,0.5838366141248585,0.9573210508189011,0.9882868499092883,1.336038501211466
2024-06-10 20:41:52,3750000000,2024-06-10 20:42:02,20135789377,8594342693,7750000000,20135789377,20135789377,20135789377,20135789377,20135789377,20135789377,20135789377,20135789377,26852773516,-29822165455,34777573516,-32801722762,34777573516,-32801722762,34777573516,-32801722762,34777573516,-32801722762,34777573516,-32801722762,34777573516,-32801722762,34777573516,-32801722762,34777573516,-32801722762,34777573516,-32801722762,-32801722762,44,0.7355738462958268,0.9509425233702669,0.9860801099370178,1.0587309707863457
2024-06-10 20:41:52,3750000000,2024-06-10 20:42:03,5874850754,17805266374,7920000000,5874850754,5874850754,5874850754,5874850754,5874850754,5874850754,5874850754,5874850754,27053573516,-27275505970,30957573516,-32801722762,35027573516,-32801722762,35027573516,-32801722762,35027573516,-32801722762,35027573516,-32801722762,35027573516,-32801722762,35027573516,-32801722762,35027573516,-32801722762,35027573516,-32801722762,-32801722762,45,0.7303238833918889,0.9441554237519054,0.9833245657243944,1.0935615437388537
