token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
8342300000,4937014072,5768738545,6415096343,5563319006,3177120038,2104989277,1564860966
8342300000,4937014072,5768738545,6415096343,5563319006,2853469963,2104989277,1564860966
8344000000,5432014072,5768738545,6465096343,5563319006,2853469963,2104989277,1564860966
5287049478,5989053226,5768691165,6464977527,5565833949,2853469963,2104989277,1564860966
4937014072,5935390034,5868588226,6464977527,5565833949,2852577539,2104989277,1564860966
4937014072,6440157820,6364316942,6136365101,5565833949,2852577539,2104989277,1564860966
5432014072,5457189707,6859225973,5430238352,5404234705,2852577539,2104989277,1564860966
5989053226,5467389707,6859225973,5580238352,5404234705,2694155783,2104989277,1564860966
5935390034,5467389707,6859225973,5288788685,5404234705,2724155783,2104989277,1564860966
5457189707,5669089707,6693435810,5588788685,5456188631,2724155783,2104989277,1564860966
5467389707,6116489707,5962535803,5907588685,5456188631,2710412552,2104989277,1564860966
5467389707,6316589707,5962535803,5907579432,5456188631,2710412552,2104989277,1564860966
5667689707,6816589707,5962535803,6107560926,5456188631,2710412552,2104989277,1564860966
5668489707,6836589707,5962535803,6197618224,5456188631,2710412552,2104989277,1564860966
5669089707,6591178498,5962635803,6333143256,5456188631,2698681928,2104989277,1564860966
6116489707,5768738545,6159794524,6333143256,5456188631,2698681928,2104989277,1564860966
6816589707,5768738545,5785870645,5939700721,5327109463,2793769443,2104989277,1564860966
6836589707,5768738545,5785758310,5939608573,5333826694,2793769443,2104989277,1564860966
6591178498,5768738545,5849209348,5939608573,5333826694,2793769443,2104989277,1564860966
5768738545,5768691165,5919622668,5939608573,5333826694,2739910400,2104989277,1564860966
5768738545,5868588226,6167622668,5969608573,5333826694,2739910400,2104989277,1564860966
5768738545,6364316942,6167622668,5969608573,5333826694,2739910400,2104989277,1564860966
5768738545,6859171452,6167622668,5969608573,5333826694,2964772807,2104989277,1564860966
5768738545,6859225973,6167722668,6169608573,5333826694,2964772807,2104989277,1564860966
5768691165,6859225973,6167596343,6169608573,5333826694,2964772807,2104989277,1564860966
6859225973,5962535803,6464977527,5867982831,5333826694,2855146907,2104989277,1564860966
6859225973,5962535803,6464977527,5917482831,5583826694,2853228168,2104989277,1564860966
6859225973,5962535803,6136365101,5917482831,5583826694,2853228168,2104989277,1564860966
6859035017,5962535803,5757844385,5816627396,5583826694,2853228168,2104989277,1564860966
6693435810,5962635803,5430238352,5816627396,5583826694,2853228168,2104989277,1564860966
5962535803,5785758310,5588788685,5816678396,5683826694,2853228168,2104989277,1564860966
5962635803,5849209348,5588788685,5816678396,5683826694,2853228168,2026436457,1564860966
6159794524,5919622668,5907588685,5816678396,5683826694,2853228168,2026436457,1564860966
5849209348,6167722668,6333143256,5935478396,6454326148,2853228168,2026436457,1564860966
5919622668,6167596343,6333143256,6035478396,6179141090,2853228168,2026436457,1564860966
6167622668,6167596343,6333143256,6035478396,6179141090,2853228168,2026436457,1564860966
6167622668,6415096343,5939700721,6065478396,6179141090,2853228168,2026436457,1564860966
6167622668,6415096343,5939608573,6106478396,6179141090,2853228168,2026436457,1564860966
6167722668,6465096343,5939608573,6106478396,6279141090,2853228168,2026436457,1564860966
6167596343,6464977527,5939608573,6106478396,6617384193,2853228168,2026436457,1564860966
6167596343,6464977527,5969608573,6106478396,6617384193,2853228168,2026436457,1564860966
6465096343,5430238352,6169608573,6094622793,6319694677,2351909672,2026436457,1564860966
6464977527,5580238352,6169608573,6216515248,6319694677,2351909672,2026436457,1564860966
6136365101,5588788685,6189608573,6716515248,7319694677,2461909672,2026436457,1564860966
5430238352,5588788685,5867982831,6716515248,7278911188,2461909672,2026436457,1564860966
5580238352,5907588685,5867982831,6678877197,7278911188,2461909672,2026436457,1564860966
5588788685,6107560926,5917482831,6683877197,6821230744,2305665975,2026436457,1564860966
5588788685,6197618224,5816627396,6683877197,6809206563,2305665975,2026436457,1564860966
5588788685,6333143256,5816627396,6155527856,6809206563,2305665975,2026436457,1564860966
5907588685,6333143256,5816678396,6155527856,6809206563,2305665975,2026436457,1564860966
5907579432,6333143256,5816678396,5849077251,6909206563,2305665975,2026436457,1564860966
6107560926,5939700721,5816678396,5859077251,6909206563,2305665975,1787280204,1564860966
6333143256,5939608573,5816678396,6132778793,6909206563,2305665975,1787280204,1564860966
6333143256,5969608573,5816678396,6132778793,6909206563,2305665975,1787280204,1599860966
5939700721,5969608573,5816678396,6132778793,6909206563,2305665975,1787280204,1599860966
5939608573,5969608573,5935478396,6132778793,6909206563,2305665975,1787280204,1599860966
5939608573,6169608573,5935478396,5772868089,6909206563,2285938339,1787280204,1599860966
5969608573,6189608573,6065478396,5772868089,6909206563,2133884060,1787280204,1599860966
5969608573,5867982831,6106478396,5772868089,6780100941,2133884060,1787280204,1599860966
6169608573,5917482831,6106478396,5802968089,6780100941,2133884060,1787280204,1599860966
5867982831,5816627396,6094622793,5835574042,6340717211,2133884060,1787280204,1599860966
5917482831,5816678396,6716515248,5835574042,6340717211,2133884060,1787280204,1599860966
5816627396,5816678396,6716515248,5835574042,6340717211,2133884060,1786712118,1599860966
5816678396,5816678396,6683877197,5837574042,6340717211,2133884060,1791712118,1599860966
5816678396,5935478396,6683877197,6067574042,6567790977,2041198764,1791712118,1599860966
5816678396,6035478396,6155527856,6067574042,6867790977,2037421377,1529559039,1599860966
6106478396,6094622793,6132778793,5716170077,6811327157,2037421377,1529559039,1599860966
6106478396,6216515248,5772868089,5816170077,6811327157,2307539628,1529559039,1599860966
6106478396,6716515248,5772868089,5942303610,6371852184,2307539628,1529559039,1599860966
6094622793,6716515248,5772868089,5942303610,6371852184,2307539628,1529559039,1599860966
6716515248,6683877197,5642144361,5831589989,5604638742,2273210960,1529559039,1599860966
6678877197,6155527856,5835574042,6972589989,5604638742,2273210960,1529559039,1599860966
6683877197,5849077251,5835574042,6953786885,5604638742,2273210960,1529559039,1599860966
6155527856,6132778793,5835574042,6218508062,5654138742,2273210960,1529559039,1599860966
5849077251,6132778793,5837574042,6218508062,5654138742,2273210960,1529559039,1599860966
6092778793,5772868089,6067574042,5491032130,5589342646,2174790514,1529559039,1599860966
6132778793,5772868089,6067574042,5310415996,5589342646,2174790514,1529559039,1599860966
6132778793,5772868089,6067574042,5310415996,5589342646,2174790514,1529559039,1599860966
6132778793,5772868089,6067574042,5310415996,5589342646,2174790514,1529559039,1599860966
5772868089,5782968089,6067574042,5557915996,5589342646,2174790514,1529559039,1599860966
5772868089,5802968089,6067464536,5557915996,5589342646,2174790514,1529559039,1599860966
5782968089,5835574042,5716170077,5757915996,3888237803,2224790514,1529559039,1599860966
