open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 00:02:56,206900000000000,2024-06-11 00:02:56,165187706301764,165187706301764,165187706301764,165187706301764,165187706301764,165187706301764,165187706301764,165187706301764,165187706301764,165187706301764,165187706301764,0,-41712293698236,0,-41712293698236,0,-41712293698236,0,-41712293698236,0,-41712293698236,0,-41712293698236,0,-41712293698236,0,-41712293698236,0,-41712293698236,0,-41712293698236,-41712293698236,0,0.0,0.0,0.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:02:57,165104533141555,165104533141555,165104533141555,165104533141555,165104533141555,165104533141555,165104533141555,165104533141555,165104533141555,165104533141555,165104533141555,0,-75418958775099,0,-75418958775099,0,-75418958775099,0,-75418958775099,0,-75418958775099,0,-75418958775099,0,-75418958775099,0,-75418958775099,0,-75418958775099,0,-75418958775099,-75418958775099,0,0.0,0.0,0.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:02:58,130435568312030,130435568312030,130435568312030,130435568312030,130435568312030,130435568312030,130435568312030,130435568312030,130435568312030,130435568312030,130435568312030,23480561004212,-103389754739786,23480561004212,-103389754739786,23480561004212,-103389754739786,23480561004212,-103389754739786,23480561004212,-103389754739786,23480561004212,-103389754739786,23480561004212,-103389754739786,23480561004212,-103389754739786,23480561004212,-103389754739786,23480561004212,-103389754739786,-103389754739786,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:02:59,126980985920977,126980985920977,126980985920977,126980985920977,126980985920977,126980985920977,126980985920977,126980985920977,126980985920977,126980985920977,126980985920977,23480561004212,-104151202969812,23480561004212,-104151202969812,23480561004212,-104151202969812,23480561004212,-104151202969812,23480561004212,-104151202969812,23480561004212,-104151202969812,23480561004212,-104151202969812,23480561004212,-104151202969812,23480561004212,-104151202969812,23480561004212,-104151202969812,-104151202969812,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:00,126132397235995,126132397235995,126132397235995,126132397235995,126132397235995,126132397235995,126132397235995,126132397235995,126132397235995,126132397235995,126132397235995,23480561004212,-104253007888831,23480561004212,-104253007888831,23480561004212,-104253007888831,23480561004212,-104253007888831,23480561004212,-104253007888831,23480561004212,-104253007888831,23480561004212,-104253007888831,23480561004212,-104253007888831,23480561004212,-104253007888831,23480561004212,-104253007888831,-104253007888831,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:03,126117865991232,130435568312030,126117865991232,126117865991232,126117865991232,126117865991232,126117865991232,126117865991232,126117865991232,126117865991232,126117865991232,23480561004212,-33148721627831,23480561004212,-108567680402930,23480561004212,-108567680402930,23480561004212,-108567680402930,23480561004212,-108567680402930,23480561004212,-108567680402930,23480561004212,-108567680402930,23480561004212,-108567680402930,23480561004212,-108567680402930,23480561004212,-108567680402930,-108567680402930,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:04,121722591571017,126980985920977,121722591571017,121722591571017,121722591571017,121722591571017,121722591571017,121722591571017,121722591571017,121722591571017,121722591571017,0,-8112168767986,23480561004212,-111501923507772,23480561004212,-111501923507772,23480561004212,-111501923507772,23480561004212,-111501923507772,23480561004212,-111501923507772,23480561004212,-111501923507772,23480561004212,-111501923507772,23480561004212,-111501923507772,23480561004212,-111501923507772,-111501923507772,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:05,118846807443140,126132397235995,118846807443140,118846807443140,118846807443140,118846807443140,118846807443140,118846807443140,118846807443140,118846807443140,118846807443140,0,-7460934537389,23480561004212,-111612137507201,23480561004212,-111612137507201,23480561004212,-111612137507201,23480561004212,-111612137507201,23480561004212,-111612137507201,23480561004212,-111612137507201,23480561004212,-111612137507201,23480561004212,-111612137507201,23480561004212,-111612137507201,-111612137507201,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:06,118767564597934,126132397235995,165187706301764,118767564597934,118767564597934,118767564597934,118767564597934,118767564597934,118767564597934,118767564597934,118767564597934,0,-7368576824875,23480561004212,-111621584713706,23480561004212,-111621584713706,23480561004212,-111621584713706,23480561004212,-111621584713706,23480561004212,-111621584713706,23480561004212,-111621584713706,23480561004212,-111621584713706,23480561004212,-111621584713706,23480561004212,-111621584713706,-111621584713706,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:07,104378141284458,126132397235995,165104533141555,104378141284458,104378141284458,104378141284458,104378141284458,104378141284458,104378141284458,104378141284458,104378141284458,14380835006048,-22408403507230,37861396010260,-84949117697825,37861396010260,-126661411396061,37861396010260,-126661411396061,37861396010260,-126661411396061,37861396010260,-126661411396061,37861396010260,-126661411396061,37861396010260,-126661411396061,37861396010260,-126661411396061,37861396010260,-126661411396061,-126661411396061,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:08,115955882068435,126117865991232,130435568312030,115955882068435,115955882068435,115955882068435,115955882068435,115955882068435,115955882068435,115955882068435,115955882068435,16524937551812,-26354175941946,40005498556024,-55188225055678,40005498556024,-130607183830777,40005498556024,-130607183830777,40005498556024,-130607183830777,40005498556024,-130607183830777,40005498556024,-130607183830777,40005498556024,-130607183830777,40005498556024,-130607183830777,40005498556024,-130607183830777,-130607183830777,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:10,116094995801593,118846807443140,126132397235995,116094995801593,116094995801593,116094995801593,116094995801593,116094995801593,116094995801593,116094995801593,116094995801593,16524937551812,-19308579246659,16524937551812,-26659299784619,40005498556024,-130810502754431,40005498556024,-130810502754431,40005498556024,-130810502754431,40005498556024,-130810502754431,40005498556024,-130810502754431,40005498556024,-130810502754431,40005498556024,-130810502754431,40005498556024,-130810502754431,-130810502754431,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:11,116094913796568,118767564597934,126132397235995,116094913796568,116094913796568,116094913796568,116094913796568,116094913796568,116094913796568,116094913796568,116094913796568,16524937551812,-19198447252255,16524937551812,-26557576870625,40005498556024,-130810584759456,40005498556024,-130810584759456,40005498556024,-130810584759456,40005498556024,-130810584759456,40005498556024,-130810584759456,40005498556024,-130810584759456,40005498556024,-130810584759456,40005498556024,-130810584759456,-130810584759456,1,1.0,1.0,1.0,0.0
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:12,116137040857589,104378141284458,126132397235995,116137040857589,116137040857589,116137040857589,116137040857589,116137040857589,116137040857589,116137040857589,116137040857589,16567064612833,-19189000045750,16567064612833,-26557576870625,40047625617045,-130810584759456,40047625617045,-130810584759456,40047625617045,-130810584759456,40047625617045,-130810584759456,40047625617045,-130810584759456,40047625617045,-130810584759456,40047625617045,-130810584759456,40047625617045,-130810584759456,-130810584759456,2,0.9989480759377887,1.0,1.0,0.008264555218132318
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:13,108543846145630,115955882068435,126117865991232,108543846145630,108543846145630,108543846145630,108543846145630,108543846145630,108543846145630,108543846145630,108543846145630,3123670838244,-12457010093449,17504505844292,-34865413600679,40985066848504,-139118421489510,40985066848504,-139118421489510,40985066848504,-139118421489510,40985066848504,-139118421489510,40985066848504,-139118421489510,40985066848504,-139118421489510,40985066848504,-139118421489510,40985066848504,-139118421489510,-139118421489510,3,0.9760993852687652,1.0,1.0,0.11709355884007196
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:14,108766501430549,115955882068435,121722591571017,108766501430549,108766501430549,108766501430549,108766501430549,108766501430549,108766501430549,108766501430549,108766501430549,979568292480,-8512245149848,17504505844292,-30551748577695,40985066848504,-139119428980625,40985066848504,-139119428980625,40985066848504,-139119428980625,40985066848504,-139119428980625,40985066848504,-139119428980625,40985066848504,-139119428980625,40985066848504,-139119428980625,40985066848504,-139119428980625,-139119428980625,3,0.9760993852687652,1.0,1.0,0.11709355884007196
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:18,108693722466239,108543846145630,115955882068435,108693722466239,108693722466239,108693722466239,108693722466239,108693722466239,108693722466239,108693722466239,108693722466239,794037441231459,-230109619281034,796223670838244,-234258792644429,834085066848504,-360920204040490,834085066848504,-360920204040490,834085066848504,-360920204040490,834085066848504,-360920204040490,834085066848504,-360920204040490,834085066848504,-360920204040490,834085066848504,-360920204040490,834085066848504,-360920204040490,-360920204040490,4,0.9508622459776658,1.0,1.0,0.20172225820036382
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:19,673191793766172,108766501430549,115955882068435,673191793766172,673191793766172,673191793766172,673191793766172,673191793766172,673191793766172,673191793766172,673191793766172,793100000000000,-514762441301086,794079568292480,-523273678959819,834085066848504,-653880862790596,834085066848504,-653880862790596,834085066848504,-653880862790596,834085066848504,-653880862790596,834085066848504,-653880862790596,834085066848504,-653880862790596,834085066848504,-653880862790596,834085066848504,-653880862790596,-653880862790596,4,0.9508622459776658,1.0,1.0,0.20172225820036382
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:20,433866919958117,108766501430549,116094995801593,433866919958117,433866919958117,433866919958117,433866919958117,433866919958117,433866919958117,433866919958117,433866919958117,977441729694243,-681768800239661,978421297986723,-690281045389509,1018426796542747,-820888229220286,1018426796542747,-820888229220286,1018426796542747,-820888229220286,1018426796542747,-820888229220286,1018426796542747,-820888229220286,1018426796542747,-820888229220286,1018426796542747,-820888229220286,1018426796542747,-820888229220286,-820888229220286,7,0.7787501298005278,0.999038155421867,1.0,0.8325325005381664
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:21,404487642457327,108766501430549,116094913796568,404487642457327,404487642457327,404487642457327,404487642457327,404487642457327,404487642457327,404487642457327,404487642457327,981691920039009,-684024830121307,982671488331489,-692333756347501,1022676986887513,-823144259101932,1022676986887513,-823144259101932,1022676986887513,-823144259101932,1022676986887513,-823144259101932,1022676986887513,-823144259101932,1022676986887513,-823144259101932,1022676986887513,-823144259101932,1022676986887513,-823144259101932,-823144259101932,10,0.7755136863045841,0.9948862067844485,1.0,0.8564431898218402
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:22,406461989097976,108766501430549,116137040857589,406461989097976,406461989097976,406461989097976,406461989097976,406461989097976,406461989097976,406461989097976,406461989097976,981721181351404,-684024830121307,982700749643884,-692333674342476,1022706248199908,-823144259101932,1022706248199908,-823144259101932,1022706248199908,-823144259101932,1022706248199908,-823144259101932,1022706248199908,-823144259101932,1022706248199908,-823144259101932,1022706248199908,-823144259101932,1022706248199908,-823144259101932,-823144259101932,11,0.7754914975790517,0.9948577414493187,0.9999713883508128,0.8567466232028885
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:23,403062744264025,108693722466239,108543846145630,403062744264025,403062744264025,403062744264025,403062744264025,403062744264025,403062744264025,403062744264025,403062744264025,981750429120315,-687424074955258,982687870351774,-695732919176427,1022735495968819,-826543503935883,1022735495968819,-826543503935883,1022735495968819,-826543503935883,1022735495968819,-826543503935883,1022735495968819,-826543503935883,1022735495968819,-826543503935883,1022735495968819,-826543503935883,1022735495968819,-826543503935883,-826543503935883,12,0.7754693203922786,0.9948292909169614,0.9999427915804853,0.8570499128474546
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:24,159362806926183,673191793766172,108766501430549,159362806926183,159362806926183,159362806926183,159362806926183,159362806926183,159362806926183,159362806926183,159362806926183,462001005545991,-749229249476190,1255101005545991,-971031032027170,1296086072394495,-1110149453516680,1296086072394495,-1110149453516680,1296086072394495,-1110149453516680,1296086072394495,-1110149453516680,1296086072394495,-1110149453516680,1296086072394495,-1110149453516680,1296086072394495,-1110149453516680,1296086072394495,-1110149453516680,-1110149453516680,12,0.61191923660962,0.9959198174942333,0.9999548571020458,1.0991074738541589
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:25,399709687919657,433866919958117,108766501430549,399709687919657,399709687919657,399709687919657,399709687919657,399709687919657,399709687919657,399709687919657,399709687919657,643835686846111,-459966122257664,1436935686846111,-974727556067635,1477920753694615,-1113846985048260,1477920753694615,-1113846985048260,1477920753694615,-1113846985048260,1477920753694615,-1113846985048260,1477920753694615,-1113846985048260,1477920753694615,-1113846985048260,1477920753694615,-1113846985048260,1477920753694615,-1113846985048260,-1113846985048260,15,0.5366322910192244,0.9598911676254844,0.9998784854219565,1.3583243574944377
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:26,552003633255735,404487642457327,108766501430549,165187706301764,552003633255735,552003633255735,552003633255735,552003633255735,552003633255735,552003633255735,552003633255735,459493957151868,-329677243645796,1436935686846111,-1011446043885457,1477920753694615,-1150565472866082,1477920753694615,-1150565472866082,1477920753694615,-1150565472866082,1477920753694615,-1150565472866082,1477920753694615,-1150565472866082,1477920753694615,-1150565472866082,1477920753694615,-1150565472866082,1477920753694615,-1150565472866082,-1150565472866082,15,0.5366322910192244,0.9598911676254844,0.9998784854219565,1.3583243574944377
2024-06-11 00:02:56,206900000000000,2024-06-11 00:03:27,517613666528502,406461989097976,108766501430549,165104533141555,517613666528502,517613666528502,517613666528502,517613666528502,517613666528502,517613666528502,517613666528502,455243766807102,-352234493557168,1436935686846111,-1036259323678475,1477920753694615,-1133666458960864,1477920753694615,-1175378752659100,1477920753694615,-1175378752659100,1477920753694615,-1175378752659100,1477920753694615,-1175378752659100,1477920753694615,-1175378752659100,1477920753694615,-1175378752659100,1477920753694615,-1175378752659100,-1175378752659100,15,0.5366322910192244,0.9598911676254844,0.9998784854219565,1.3583243574944377
