token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
126132397235995,118767564597934,552003633255735,640491976500344,657312119875701,752863334246696,755950736150508,760734709204956
126132397235995,104378141284458,517613666528502,640491976500344,657312119875701,752863334246696,755950736150508,760734709204956
126117865991232,115955882068435,508818112444546,557011522048038,657312119875701,752863334246696,755950736150508,760734709204956
121722591571017,115955882068435,507265775967336,555159190712603,657312119875701,752863334246696,755950736150508,760734709204956
118846807443140,116094995801593,595106144446880,555159190712603,657312119875701,752863334246696,755950736150508,760734709204956
115955882068435,108543846145630,470361659692276,571552477342960,657312119875701,752863334246696,755950736150508,760734709204956
115955882068435,108766501430549,469036164206098,571552477342960,657312119875701,752863334246696,755950736150508,760734709204956
116094995801593,108766501430549,448553958252425,571552477342960,657312119875701,752863334246696,755950736150508,760734709204956
116094913796568,108766501430549,448776815282015,569602497487775,657312119875701,752863334246696,755950736150508,760734709204956
116137040857589,108766501430549,459007640372572,575805038549172,657312119875701,752863334246696,755950736150508,760734709204956
108543846145630,108693722466239,441826806612522,575805038549172,657312119875701,752863334246696,755950736150508,760734709204956
108766501430549,433866919958117,528400878458180,575805038549172,654742553319367,752863334246696,755950736150508,760734709204956
108766501430549,404487642457327,521040797044397,630533120247529,654742553319367,752863334246696,755950736150508,760734709204956
108766501430549,406461989097976,521749968718794,631433656723441,654742553319367,752863334246696,755950736150508,760734709204956
108693722466239,403062744264025,521749968718794,631433656723441,654742553319367,752863334246696,755950736150508,760734709204956
673191793766172,159362806926183,522110987624737,631433656723441,654742553319367,752863334246696,755950736150508,760734709204956
403062744264025,508818112444546,647197157817201,648074809148867,654742553319367,752863334246696,755950736150508,760734709204956
159362806926183,507265775967336,647197157817201,784633407917245,654742553319367,752863334246696,755950736150508,760734709204956
399709687919657,595106144446880,667269548200134,784633407917245,654742553319367,752863334246696,755950736150508,760734709204956
552003633255735,545985774852403,700898906911083,774394842879518,654742553319367,752863334246696,755951595049585,760734709204956
517613666528502,488302265691822,640352921943449,780841204799749,654742553319367,752863334246696,755951595049585,760734709204956
508818112444546,470361659692276,640352921943449,780841204799749,654742553319367,752863334246696,755951595049585,760734709204956
507265775967336,469036164206098,640352921943449,780841204799749,654742553319367,752863334246696,755951595049585,760734709204956
595106144446880,448553958252425,640491976500344,780841204799749,654742553319367,752863334246696,755951595049585,760734709204956
545985774852403,448776815282015,640491976500344,773620009212471,654742553319367,752863334246696,755951595049585,760734709204956
488302265691822,459007640372572,640491976500344,780972188609588,654742553319367,752863334246696,755951595049585,760734709204956
470361659692276,441826806612522,557011522048038,785086628996025,654742553319367,752863334246696,755951595049585,760734709204956
469036164206098,491278875510666,555159190712603,785086628996025,654742553319367,752863334246696,755951595049585,760734709204956
448553958252425,528400878458180,555159190712603,767265662225343,654742553319367,752863334246696,755951595049585,760734709204956
448776815282015,521040797044397,555159190712603,767265662225343,654742553319367,752863334246696,755951595049585,760734709204956
