token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
700482000000,700736100000,700738302566,701328507035,705830582902,716154582902,751908739091,795107739091
700483900000,700736100000,700738302566,701328507035,705830582902,716154582902,751908739091,795107739091
700484800000,700736100000,700738202994,701328507035,705830582902,716154582902,751908739091,795107739091
700735500000,700735802138,700738202994,701328507035,705830582902,716154582902,751908739091,795107739091
700736100000,700735802138,700738103407,701328507035,705830582902,716154582902,751908739091,795681739091
700736100000,700735802138,700737904263,701328507035,705830582902,716154582902,751908739091,795681739091
700736100000,700735802138,701288804534,701328507035,705830582902,716154582902,751908739091,795681739091
700735802138,700735802138,701288804534,701328507035,705830582902,716154582902,751908739091,795681739091
700735802138,700735802138,701288605077,701328507035,705830582902,716154582902,751908739091,795681739091
700735802138,700735802138,701288605077,701328507035,705830582902,716154582902,751908739091,795681739091
700735802138,700736102138,701288405876,701808507035,705830582902,716154582902,751908739091,795681739091
700736102138,700738302566,701288007035,701808507035,706803582902,716154582902,751908739091,795681739091
700738202994,701288605077,701328507035,701808507035,707392582902,716154582902,752370739091,795681739091
700738103407,701288605077,701328507035,701808507035,707392582902,716154582902,752370739091,795681739091
701288804534,701288405620,701328507035,701808507035,707392582902,716154582902,752370739091,795681739091
701288605077,701288306148,701328507035,701808507035,707392582902,716731582902,752370739091,795681739091
701288605077,701288206420,701328507035,701808507035,707392582902,716731582902,752370739091,795681739091
701288405620,701288206420,701328507035,701808507035,707392582902,716731582902,752370739091,795681739091
701288306148,701288206420,701328507035,701808507035,707392582902,716731582902,752370739091,795681739091
701288206420,701288007035,701328507035,701808507035,707392582902,716731582902,752370739091,795681739091
701288206420,701288007035,701808507035,701808507035,707392582902,716731582902,752370739091,795681739091
701288206420,701328507035,701808507035,701808507035,707392582902,716731582902,752370739091,796326739091
701288007035,701328507035,701808507035,701808507035,707392582902,717884582902,753022739091,796326739091
701328507035,701328507035,701808507035,702420582902,708038582902,717884582902,753022739091,796326739091
701328507035,701328507035,701808507035,702420582902,708038582902,717884582902,753022739091,796326739091
701808507035,701808507035,701808507035,702420582902,709367582902,717884582902,754251739091,796326739091
702420582902,702420582902,702420582902,702430582902,709367582902,718309582902,755001739091,796326739091
702420582902,702420582902,702420582902,702430582902,709367582902,718309582902,755001739091,796326739091
702430582902,702430582902,703186582902,703883582902,711895582902,719379582902,756799739091,796782739091
703186582902,703186582902,703883582902,703883582902,712494582902,719379582902,756799739091,797453739091
703883582902,703883582902,703883582902,705328582902,713488582902,719379582902,759213739091,797453739091
705328582902,705328582902,705830582902,705830582902,713488582902,720977582902,761180739091,797453739091
705328582902,705328582902,705830582902,705830582902,713488582902,720977582902,761180739091,797453739091
705830582902,705830582902,705830582902,707392582902,714191582902,722249582902,761946739091,797887739091
706803582902,707392582902,708038582902,709367582902,716154582902,723757582902,763787739091,797887739091
707392582902,707392582902,708038582902,709367582902,716154582902,724928582902,763787739091,797887739091
708038582902,708038582902,709367582902,709367582902,717884582902,724928582902,764480739091,797887739091
709367582902,709367582902,709367582902,710020582902,717884582902,725819582902,765091739091,797887739091
709367582902,709367582902,709367582902,710020582902,717884582902,725819582902,765091739091,797887739091
710020582902,710020582902,711276582902,712494582902,718763582902,727980582902,766532739091,797887739091
710674582902,711276582902,712494582902,712917582902,718763582902,728563582902,768021739091,797887739091
711276582902,711276582902,712494582902,713488582902,718763582902,728563582902,768708739091,798429739091
712494582902,712494582902,712917582902,713488582902,719379582902,728552879692,768708739091,798429739091
712494582902,712494582902,712917582902,713488582902,719379582902,728552879692,768708739091,798429739091
712917582902,712917582902,713488582902,713488582902,719379582902,728552879692,768708739091,798429739091
713488582902,713488582902,713488582902,714191582902,719379582902,728552879692,770867739091,798944739091
714191582902,714191582902,714938582902,716154582902,720977582902,729927879692,771432739091,799533739091
714938582902,714938582902,716154582902,716731582902,722980582902,731080879692,771432739091,799533739091
716154582902,716154582902,716154582902,717884582902,723757582902,731646879692,771432739091,799533739091
716154582902,716154582902,716154582902,717884582902,723757582902,731646879692,771432739091,799533739091
716731582902,716731582902,717884582902,718309582902,724928582902,732112879692,773117739091,799958739091
717884582902,717884582902,717884582902,718309582902,724928582902,732112879692,773117739091,800718739091
718309582902,718309582902,718309582902,718763582902,726418582902,733041879692,774226739091,800718739091
718763582902,718763582902,718763582902,719379582902,727980582902,734578879692,775935739091,800718739091
719379582902,719379582902,719379582902,720977582902,728552879692,735797879692,777953739091,801164144865
720977582902,720977582902,720977582902,722249582902,729172879692,737491879692,778928739091,802482144865
720977582902,720977582902,720977582902,722980582902,729172879692,737953879692,778928739091,802482144865
721596582902,721596582902,723757582902,723757582902,729927879692,741115879692,778928739091,803090144865
722249582902,722980582902,723757582902,724928582902,730616879692,742499879692,779676739091,803090144865
722980582902,722980582902,723757582902,724928582902,731080879692,742499879692,779676739091,803090144865
