open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:05,720020000000,720020000000,720020000000,720020000000,720020000000,720020000000,720020000000,720020000000,720020000000,720020000000,720020000000,390100000,0,390100000,0,390100000,0,390100000,0,390100000,0,390100000,0,390100000,0,390100000,0,390100000,0,390100000,0,0,9,0.2563445270443476,0.8946423993847732,1.0,1.8071245602944264
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:06,720390200000,720390200000,720390200000,720390200000,720390200000,720390200000,720390200000,720390200000,720390200000,720390200000,720390200000,390200000,0,390200000,0,390200000,0,390200000,0,390200000,0,390200000,0,390200000,0,390200000,0,390200000,0,390200000,0,0,10,0.25627883136852897,0.894413121476166,1.0000000000000002,1.8090369108353095
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:07,720390300000,720390300000,720390300000,720390300000,720390300000,720390300000,720390300000,720390300000,720390300000,720390300000,720390300000,390500000,0,390500000,0,390500000,0,390500000,0,390500000,0,390500000,0,390500000,0,390500000,0,390500000,0,390500000,0,0,13,0.2560819462227913,0.8937259923175416,0.9992317541613318,1.8147684795396222
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:09,720390800000,720390800000,720390800000,720390800000,720390800000,720390800000,720390800000,720390800000,720390800000,720390800000,720390800000,390800000,0,390800000,0,390800000,0,390800000,0,390800000,0,390800000,0,390800000,0,390800000,0,390800000,0,390800000,0,0,14,0.25588536335721596,0.8930399181166837,0.998976458546571,1.8196484818313239
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:12,720391100000,720390300000,720391100000,720391100000,720391100000,720391100000,720391100000,720391100000,720391100000,720391100000,720391100000,900000,0,391100000,0,391100000,0,391100000,0,391100000,0,391100000,0,391100000,0,391100000,0,391100000,0,391100000,0,0,15,0.25568908207619534,0.8923548964459218,0.9987215545896189,1.824521586387087
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:13,720391600000,720390300000,720391600000,720391600000,720391600000,720391600000,720391600000,720391600000,720391600000,720391600000,720391600000,1100000,0,391600000,0,391600000,0,391600000,0,391600000,0,391600000,0,391600000,0,391600000,0,391600000,0,391600000,0,0,16,0.2553626149131767,0.8912155260469866,0.9979570990806944,1.8319759120081414
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:14,720391900000,720390800000,720391900000,720391900000,720391900000,720391900000,720391900000,720391900000,720391900000,720391900000,720391900000,2400000,0,392900000,0,392900000,0,392900000,0,392900000,0,392900000,0,392900000,0,392900000,0,392900000,0,392900000,0,0,18,0.2545176889793841,0.8882667345380505,0.9964367523542887,1.8499018264133764
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:16,720393000000,720390800000,720390200000,720393000000,720393000000,720393000000,720393000000,720393000000,720393000000,720393000000,720393000000,2200000,0,2900000,0,393000000,0,393000000,0,393000000,0,393000000,0,393000000,0,393000000,0,393000000,0,393000000,0,0,19,0.2544529262086514,0.8880407124681935,0.9961832061068702,1.8517914868818732
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:17,720393300000,720391100000,720390300000,720393300000,720393300000,720393300000,720393300000,720393300000,720393300000,720393300000,720393300000,2500000,0,3100000,0,393300000,0,393300000,0,393300000,0,393300000,0,393300000,0,393300000,0,393300000,0,393300000,0,0,20,0.25425883549453343,0.8873633358759216,0.9954233409610983,1.856617095205001
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:18,720393800000,720391600000,720390300000,720393800000,720393800000,720393800000,720393800000,720393800000,720393800000,720393800000,720393800000,2700000,0,3300000,0,393800000,0,393800000,0,393800000,0,393800000,0,393800000,0,393800000,0,393800000,0,393800000,0,0,21,0.25393600812595224,0.8862366683595734,0.994159471813103,1.8639961431261387
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:19,720394300000,720391900000,720390800000,720394300000,720394300000,720394300000,720394300000,720394300000,720394300000,720394300000,720394300000,2700000,0,3800000,0,394300000,0,394300000,0,394300000,0,394300000,0,394300000,0,394300000,0,394300000,0,394300000,0,0,22,0.253613999492772,0.8851128582297743,0.9928988080142025,1.8713580867923165
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:24,720394400000,720394300000,720391900000,720394400000,720394400000,720394400000,720394400000,720394400000,720394400000,720394400000,720394400000,700000,0,2900000,0,394500000,0,394500000,0,394500000,0,394500000,0,394500000,0,394500000,0,394500000,0,394500000,0,0,24,0.2534854245880862,0.8846641318124209,0.9923954372623575,1.8751140272831737
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:25,720394600000,720394300000,720391900000,720394600000,720394600000,720394600000,720394600000,720394600000,720394600000,720394600000,720394600000,400000,0,1800000,0,394700000,0,394700000,0,394700000,0,394700000,0,394700000,0,394700000,0,394700000,0,394700000,0,0,26,0.25335697998479856,0.884215860146947,0.9918925766404865,1.8788664182882897
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:30,720394800000,720394600000,720394300000,720394800000,720394800000,720394800000,720394800000,720394800000,720394800000,720394800000,720394800000,700000,0,900000,0,395200000,0,395200000,0,395200000,0,395200000,0,395200000,0,395200000,0,395200000,0,395200000,0,0,31,0.25303643724696356,0.8830971659919028,0.9906376518218625,1.888231901312753
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:32,720395300000,720394600000,720394300000,720395300000,720395300000,720395300000,720395300000,720395300000,720395300000,720395300000,720395300000,600000,0,1000000,0,395300000,0,395300000,0,395300000,0,395300000,0,395300000,0,395300000,0,395300000,0,395300000,0,0,32,0.2529724260055654,0.8828737667594233,0.9903870478117884,1.8901023469654485
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:34,720395500000,720394600000,720394400000,720395500000,720395500000,720395500000,720395500000,720395500000,720395500000,720395500000,720395500000,800000,0,1200000,0,395500000,0,395500000,0,395500000,0,395500000,0,395500000,0,395500000,0,395500000,0,395500000,0,0,33,0.2528445006321112,0.8824273072060681,0.9898862199747156,1.8934900756458761
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:42,720396200000,720395500000,720395300000,720391100000,720396200000,720396200000,720396200000,720396200000,720396200000,720396200000,720396200000,800000,0,1100000,0,5500000,0,396300000,0,396300000,0,396300000,0,396300000,0,396300000,0,396300000,0,396300000,0,0,35,0.25233409033560433,0.8806459752712592,0.988392631844562,1.9049714485873852
2024-06-11 04:29:05,720000000000,2024-06-11 04:29:58,720396400000,720396200000,720396200000,720394600000,720396400000,720396400000,720396400000,720396400000,720396400000,720396400000,720396400000,100000,0,100000,0,1700000,0,396400000,0,396400000,0,396400000,0,396400000,0,396400000,0,396400000,0,396400000,0,0,36,0.2522704339051463,0.8804238143289606,0.988143289606458,1.906833182013479
