token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
600019744025,600171693896,600229435328,618779614501,260145,260145,260145,260145
600020244025,600171693896,600229435328,618355150530,260145,260145,260145,260145
600010893896,600171693896,600229435328,618411980955,260145,260145,260145,260145
600010893896,600177693896,600229435328,618411980955,260145,260145,260145,260145
600171193896,600277693896,600229435328,618411980955,260145,260145,260145,260145
600171693896,600376693896,600229435328,618407316505,260145,260145,260145,260145
600171693896,600376693896,600229435328,620277803061,260145,260145,260145,260145
600277693896,600376693896,600229435328,622777803061,260145,260145,260145,260145
600376693896,600377793896,600229435328,622777803061,260145,260145,260145,260145
600376693896,600229335328,600229556250,623377803061,260145,260145,260145,260145
600376693896,600229335328,600729257203,627377803061,260145,260145,260145,260145
600377793896,600229335328,600727781425,627477803061,260145,260145,260145,260145
600229335328,600229435328,602136918330,628940984370,260145,260145,260145,260145
600229335328,600229435328,603036717466,629361424765,260145,260145,260145,260145
600229335328,600229435328,603956717466,629361424765,260145,260145,260145,260145
600229435328,600229435328,617574614501,632050680765,260145,260145,260145,260145
601337018256,602636918330,622777803061,635352815969,260145,260145,260145,260145
602136918330,603036717466,622777803061,635352815969,260145,260145,260145,260145
602136918330,603956717466,623377803061,635352815969,260145,260145,260145,260145
602136918330,603956495842,627377803061,635352815969,260145,260145,260145,260145
602136918330,605140283673,627477803061,635352815969,260145,260145,260145,260145
602636918330,610634614501,627477803061,635352815969,260145,260145,260145,260145
603036717466,611754614501,627361299370,637572186798,260145,260145,260145,260145
610634614501,618355150530,626607643215,640153319140,260145,260145,260145,260145
611754614501,618411980955,629361424765,640153319140,260145,260145,260145,260145
617574614501,618411980955,629361424765,640389668204,260145,260145,260145,260145
617574614501,618411980955,630850680765,642196847838,260145,260145,260145,260145
618779614501,618511980955,630850680765,642196847838,260145,260145,260145,260145
618355150530,618407316505,631850680765,642196847838,260145,260145,260145,260145
618411980955,620277803061,631850680765,644357535725,260145,260145,260145,260145
618411980955,622777803061,631850680765,644357535725,260145,260145,260145,260145
618511980955,622777803061,630949321050,644356390162,260145,260145,260145,260145
618407316505,622777803061,630949321050,644356390162,260145,260145,260145,260145
620277803061,622777803061,630949321050,644356390162,260145,260145,260145,260145
622777803061,627477803061,631457816330,641040036960,260145,260145,260145,260145
622777803061,627477803061,637052983200,638654795809,260145,260145,260145,260145
622777803061,627361299370,637052983200,643298298647,260145,260145,260145,260145
623377803061,627660984370,635302815969,643298298647,260145,260145,260145,260145
627660984370,629361424765,635352815969,647058200939,260145,260145,260145,260145
627660984370,630850680765,635352815969,647506071789,260145,260145,260145,260145
628940984370,630850680765,635352815969,647506071789,260145,260145,260145,260145
629361424765,631850680765,637572186798,647506071789,260145,260145,260145,260145
629361424765,631850680765,639228134798,647506071789,260145,260145,260145,260145
630850680765,630949321050,635614284995,651828200414,260145,260145,260145,260145
631850680765,630949321050,640153319140,651828200414,260145,260145,260145,260145
631850680765,630949321050,640153319140,651828200414,260145,260145,260145,260145
632050680765,634829209751,642196847838,651828200414,260145,260145,260145,260145
630949321050,637052983200,642196847838,651828200414,260145,260145,260145,260145
634829209751,635352815969,644357535725,651828200414,260145,260145,260145,260145
631457816330,635352815969,644356390162,647373466367,260145,260145,260145,260145
635352815969,635352815969,642772831906,651685704249,260145,260145,260145,260145
635352815969,635352815969,641040036960,651685704249,260145,260145,260145,260145
635352815969,635352815969,638654795809,651710710855,260145,260145,260145,260145
635352815969,639228134798,643298298647,651722520044,260145,260145,260145,260145
635352815969,636105168286,643298298647,651722520044,260145,260145,260145,260145
640153319140,644357535725,647506071789,652626057873,260145,260145,260145,260145
640389668204,644357535725,647506071789,650914899195,260145,260145,260145,260145
642196847838,644357535725,647506071789,651897536366,260145,260145,260145,260145
642196847838,644356390162,651828200414,651897536366,260145,260145,260145,260145
642196847838,644356390162,651828200414,651897536366,260145,260145,260145,260145
644357535725,644356390162,651828200414,658672332705,260145,260145,260145,260145
644357535725,642772831906,651828200414,656632198368,260145,260145,260145,260145
644356390162,643298298647,651828200414,653647834857,260145,260145,260145,260145
641040036960,643163939538,647373466367,651394231512,260145,260145,260145,260145
643298298647,647506071789,651685704249,657986494748,260145,260145,260145,260145
643163939538,647506071789,651685704249,659750862805,260145,260145,260145,260145
644158195956,647506071789,651710710855,659750862805,260145,260145,260145,260145
644158195956,647506071789,651722520044,658521764317,260145,260145,260145,260145
647506071789,651828200414,651722520044,656203782142,260145,260145,260145,260145
647506071789,651828200414,651722520044,656203782142,260145,260145,260145,260145
647506071789,651828200414,652211968943,656440608631,260145,260145,260145,260145
647506071789,651828200414,648420250857,656656809073,260145,260145,260145,260145
651828200414,647373466367,651897536366,656273498760,260145,260145,260145,260145
651685704249,651722520044,651394231512,661969111805,260145,260145,260145,260145
651722520044,651011968943,654620169305,659868633751,260145,260145,260145,260145
651722520044,652211968943,753142610907,662381704762,260145,260145,260145,260145
651722520044,648420250857,657986494748,662381704762,260145,260145,260145,260145
651722520044,652626057873,659750862805,662381704762,260145,260145,260145,260145
651011968943,652626057873,658521764317,660060452486,260145,260145,260145,260145
652626057873,658672332705,660261743351,657418055415,260145,260145,260145,260145
650914899195,658672332705,656440608631,658081349415,260145,260145,260145,260145
651897536366,656632198368,656656809073,659837200470,260145,260145,260145,260145
651897536366,653347834857,655444154340,659837200470,260145,260145,260145,260145
658672332705,653616831654,662119768367,660714615367,260145,260145,260145,260145
656632198368,653616831654,655443510648,660714615367,260145,260145,260145,260145
653647834857,654620169305,659719458370,651936729071,260145,260145,260145,260145
653616831654,657986494748,661538001925,648075291246,260145,260145,260145,260145
651394231512,659750862805,662812267029,646827792616,260145,260145,260145,260145
654620169305,658521764317,663680658678,646827792616,260145,260145,260145,260145
753142610907,658521764317,661869111805,644187319794,260145,260145,260145,260145
659750862805,656203782142,661969111805,644187319794,260145,260145,260145,260145
659750862805,656203782142,659868633751,644187319794,260145,260145,260145,260145
658521764317,660261743351,659868633751,644122696066,260145,260145,260145,260145
658521764317,656440608631,662381704762,644122696066,260145,260145,260145,260145
658521764317,656656809073,662381704762,644122696066,260145,260145,260145,260145
656203782142,657656809073,662381704762,639937803186,260145,260145,260145,260145
660261743351,662119768367,660060452486,639937803186,260145,260145,260145,260145
657656809073,656273498760,660060452486,637317823620,260145,260145,260145,260145
662119768367,659719458370,657418055415,260145,260145,260145,260145,260145
662119768367,659719458370,658081349415,260145,260145,260145,260145,260145
655443510648,661538001925,659837200470,260145,260145,260145,260145,260145
656273498760,662812267029,659837200470,260145,260145,260145,260145,260145
659719458370,661801753197,659837200470,260145,260145,260145,260145,260145
659719458370,663680658678,660714615367,260145,260145,260145,260145,260145
661538001925,661969111805,660714615367,260145,260145,260145,260145,260145
662812267029,661969111805,651936729071,260145,260145,260145,260145,260145
661801753197,659868633751,651936729071,260145,260145,260145,260145,260145
661969111805,662381704762,648075291246,260145,260145,260145,260145,260145
661969111805,662381704762,646827792616,260145,260145,260145,260145,260145
659868633751,662381704762,646827792616,260145,260145,260145,260145,260145
659868633751,660060452486,646827792616,260145,260145,260145,260145,260145
662381704762,660060452486,644187319794,260145,260145,260145,260145,260145
662381704762,660060452486,644187319794,260145,260145,260145,260145,260145
662381704762,660189942005,644187319794,260145,260145,260145,260145,260145
660060452486,658081349415,644122696066,260145,260145,260145,260145,260145
657418055415,660714615367,639937803186,260145,260145,260145,260145,260145
659837200470,651936729071,260145,260145,260145,260145,260145,260145
660714615367,651936729071,260145,260145,260145,260145,260145,260145
660714615367,651054144816,260145,260145,260145,260145,260145,260145
660714615367,648075291246,260145,260145,260145,260145,260145,260145
651936729071,646827792616,260145,260145,260145,260145,260145,260145
646827792616,644187319794,260145,260145,260145,260145,260145,260145
644187319794,644122696066,260145,260145,260145,260145,260145,260145
644187319794,644122696066,260145,260145,260145,260145,260145,260145
644187319794,639937803186,260145,260145,260145,260145,260145,260145
644122696066,639937803186,260145,260145,260145,260145,260145,260145
639937803186,260145,260145,260145,260145,260145,260145,260145
637317823620,260145,260145,260145,260145,260145,260145,260145
260145,260145,260145,260145,260145,260145,260145,260145
260145,260145,260145,260145,260145,260145,260145,260145
