token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
27294763494,28684563494,37388048657,38161583780,40539862688,52284874171,18218309775,8615523037
27395763494,28684563494,37586048657,32597559878,42748702134,52423196643,18718309775,8615523037
27445763494,29184563494,38577905386,32597559878,40419589521,52290141844,18718309775,8615523037
27495863494,29684563494,38977905386,32597559878,40419589521,53315141844,18718309775,8615523037
27496563494,29685563494,38977905386,32597559878,40469089521,53315141844,18718309775,8615523037
28684563494,29687363494,40264956875,32597559878,40469089521,53565141844,18718309775,8615523037
28684563494,31287663494,40413089041,33837159878,40469089521,52525273220,18718309775,8615523037
29184563494,31288363494,40412921192,33837159878,40469089521,51452310918,18718309775,8615523037
29684563494,31588363494,47412921192,33532358694,40469089521,50888586733,19718309775,8615523037
29685563494,31684363494,47412921192,27189696297,40469089521,48266154626,19718309775,8615523037
29687363494,32083363494,47412668142,26273073672,39873721055,48316154626,19607466461,8615523037
31288363494,34218776560,53259860569,25984020767,39873721055,48415154626,19607466461,8615523037
31588363494,34218776560,53089843431,26234020767,39873721055,48415154626,19607466461,8615523037
31684363494,34218776560,53445743568,26254020767,40686621055,48480154626,19492371060,8615523037
32083363494,39416776560,58665855239,26254020767,40686621055,51173729033,19492371060,8615523037
32083363494,39416776560,58665855239,26254020767,40686621055,51323729033,19492371060,8615523037
34218776560,32865995160,44612891186,26254020767,40786621055,51333629033,19492371060,8615523037
34218776560,43136034578,44373138148,26749020767,40786621055,51428517035,19617371060,8615523037
34218776560,38235361352,40916296409,26841576026,40786621055,50628662127,19617371060,8615523037
39416776560,37388048657,41416296409,26772082919,40786621055,52602256017,19867371060,8615523037
32865995160,38577905386,41617528484,26934847700,39276234175,53196138291,19439333941,8615523037
37388048657,40264956875,38762462872,26447444228,39714763309,53899041655,18951405087,8611933310
38577905386,40412921192,37861383780,26510727973,41264763309,53360779014,18951405087,8611933310
38977905386,47412921192,37861383780,29005727973,41264763309,53860779014,18951405087,8611933310
38977905386,47412921192,38161383780,27088613859,41264763309,53860779014,17538657541,8611933310
40264956875,47412668142,38161583780,27088613859,41364763309,54860779014,17538657541,8611933310
40413089041,46127672083,32597559878,27088613859,41364763309,54860779014,17538657541,8109507305
40412921192,53259860569,32597559878,27188613859,41864763309,54860779014,17538657541,8109507305
47412921192,53089843431,32597559878,28386613859,41864763309,54860779014,17538657541,8092800822
47412668142,58665855239,32597559878,29376613859,41864763309,54860779014,17538657541,8092800822
46127672083,58665855239,33837159878,29576613859,41864763309,54860779014,17538657541,8092800822
53259860569,44612891186,33837159878,29661613859,41914263309,54860779014,17538657541,8092800822
53089843431,44373138148,33532358694,28825783627,41914263309,54860779014,17538657541,8092800822
58665855239,41416296409,26273073672,28813797925,40854840464,55290779014,17538657541,8092800822
58665855239,41217525781,25484020767,28813797925,41204840464,54210701189,17538657541,8092800822
44612891186,41617528484,25984020767,28912797925,41207779304,53086949237,17538657541,8092800822
44373138148,41617528484,26234020767,29412797925,41207779304,52734363463,17604075939,8092800822
40916296409,41629215735,26254020767,29412797925,41346779304,52465021045,17604075939,8092800822
41416296409,38762462872,26254020767,30402797925,40572113265,52334175869,17604075939,8092800822
41617528484,37861383780,26254020767,30602797925,41311948108,52334175869,17604075939,8092800822
41617528484,37861383780,26749020767,31602797925,42311948108,52534175869,17604075939,8092800822
41629215735,38161383780,26841576026,31602797925,42311948108,52950675869,17604075939,8092800822
38762462872,38161583780,26772082919,33495913123,42311948108,51991376533,17604075939,8092800822
37861383780,32597559878,26834847700,33495913123,42738903666,46470520531,17854075939,8092800822
37861383780,32597559878,26934847700,31704843874,42842180664,46633020531,17854075939,8092800822
38161383780,32597559878,26447444228,34438249081,42842180664,47922502599,17854075939,8092800822
38161583780,32597559878,26447444228,34276525888,42872180664,47952502599,17854075939,8092800822
32597559878,33837159878,26479727973,34276525888,42872180664,48447502599,17854075939,8092800822
32597559878,27189696297,27088613859,35799696786,42622486526,47282615046,17824234893,8092800822
32597559878,26273073672,27088613859,35767867569,42622486526,47317265046,17824234893,8092800822
33837159878,25484020767,27088613859,35767867569,42513640342,47332615046,17824234893,8092800822
25484020767,26254020767,29576613859,40625799333,41939374366,49536060324,17844234893,8092800822
26234020767,26749020767,28825783627,40645799333,41891311481,46609757239,17844234893,8092800822
26254020767,26841576026,28813797925,40645799333,41891311481,46609757239,17844234893,8092800822
26254020767,26772082919,28813797925,40645799333,41891311481,46550017445,17844234893,8092800822
26254020767,26834847700,28813797925,45595799333,41891311481,47022170658,17844234893,8092800822
26254020767,26934847700,28912797925,45321152997,41707993503,47422170658,17844234893,8092800822
26749020767,26937261762,29412797925,38881878411,41707993503,47422170658,17844234893,8092800822
26841576026,26447444228,29412797925,38377988592,41707993503,49872170658,17844234893,8092800822
26937261762,29005727973,31602797925,34609898229,42297993503,49103961679,17844234893,8092800822
26447444228,27088613859,31602797925,34609898229,45268052947,49103961679,17844234893,8092800822
26447444228,27088613859,33495913123,34865966929,42517595132,49103961679,17844234893,8092800822
26479727973,27088613859,33495913123,35465966929,42527595132,49647658985,17844234893,8092800822
26510727973,27188613859,31704843874,35465966929,42527595132,47015466693,17844234893,8092800822
29005727973,28386613859,32438249081,33375276265,43425824927,47235466693,17844234893,8092800822
27088613859,28386613859,34438249081,38869776265,43425824927,48014315965,17844234893,8092800822
27088613859,29576613859,34276525888,35979673733,43090341060,48014315965,17844234893,8092800822
27188613859,29661613859,34276576888,35979673733,44415824927,48014315965,17844234893,8092800822
28386613859,28825783627,33748379512,35979673733,44415824927,48104315965,17844234893,8092800822
28386613859,28813797925,35799696786,36030341471,41645350148,48404315965,17844234893,8092800822
29661613859,28912797925,35767867569,36301607599,41495405364,49104315965,17844234893,8092800822
28825783627,29412797925,35710716666,35018197049,41495405364,48883113580,17844234893,8092800822
28813797925,30402797925,35675799333,35318197049,41495405364,48578689750,17828503386,8092800822
28813797925,30502797925,40625799333,35318197049,41278558177,49098689750,17789251145,8092800822
28912797925,30602797925,40625799333,35818197049,41278558177,49098689750,17789251145,8092800822
29412797925,31602797925,40645799333,36115697049,41278558177,49098689750,17789251145,8092800822
29412797925,31602797925,40645799333,36014835628,41278558177,48266320697,17789251145,8092800822
30602797925,31704843874,45321152997,36814835628,43341323664,47542714825,17789251145,8092800822
31602797925,32438249081,38881878411,37062335628,43341323664,48199259646,17789251145,8092800822
33495913123,34276525888,38377988592,37359335628,43341323664,48404954743,17789251145,8092800822
33495913123,34276525888,37021394847,37359335628,43341323664,48604954743,17773602752,8086273179
31704843874,34276576888,33814898229,37293827204,43594405364,48604954743,17766348890,8086273179
32438249081,33748379512,34609898229,37293827204,44723235496,48415900429,17766348890,8086273179
34276525888,35767867569,34865966929,37594458579,44723235496,48515900429,17766348890,8086273179
34276576888,35767867569,35465966929,42544458579,44810365888,47726694392,17766348890,8086273179
33748379512,35710716666,33375276265,42368650617,44810365888,44178572940,17766348890,8086273179
35799696786,35675799333,38869776265,42197975476,48789358852,44178572940,17766348890,8086273179
35767867569,35675799333,36277517798,42197975476,48789358852,44178572940,17766348890,8086273179
35767867569,40625799333,35979673733,38558064062,45641782674,44100705167,17766348890,8086273179
35710716666,40645799333,35979673733,38674161692,45641782674,44100705167,17766348890,8086273179
35675799333,40645799333,36030341471,38674161692,45641782674,44100705167,17766348890,8086273179
35675799333,40645799333,36230341471,38674161692,45641782674,44100705167,17766348890,8086273179
40645799333,38881878411,35018197049,38674161692,45747080658,43135145101,17766348890,8045122118
40645799333,38377988592,35018197049,38874161692,45747080658,43001524211,17766348890,8045122118
45595799333,37021394847,35318197049,39936315894,45734015596,43101524211,17766348890,8045122118
38881878411,34609898229,36115697049,39956315894,45734015596,44593567790,17766348890,8045122118
37021394847,35465966929,36814835628,40355565894,47081349386,46058797871,16526846553,8045122118
33814898229,35465966929,36814835628,40355565894,45637868345,44386115904,16526846553,8045122118
34609898229,33375276265,37062335628,40355565894,46075640879,44386115904,16526846553,8045122118
34609898229,38869776265,37359335628,40341581515,46095640879,44654152307,16526846553,8045122118
35465966929,35979673733,37359335628,40341581515,43017573805,43842828803,16526846553,8045122118
35465966929,35979673733,37293827204,40187020025,43017573805,42434326214,16526846553,8045122118
33375276265,35979673733,37293827204,40287020025,43353862571,42468006414,16526846553,8045122118
36277517798,36230341471,37594458579,40971568455,43385686516,42444067849,16527543742,8045122118
35979673733,36301607599,42544458579,40971568455,43415686516,42476067849,16465275479,8045122118
35979673733,35018197049,42368650617,41304190000,43415686516,42673749703,16465275479,8045122118
36030341471,35018197049,42197975476,41304190000,43415686516,43119249703,16490275479,8045122118
36230341471,35318197049,42197975476,41304190000,43415686516,43366749703,16490275479,8045122118
36301607599,35318197049,41440101484,41304190000,44115686516,43366749703,16385266910,8045122118
35018197049,36014835628,38674161692,42058770023,44122285056,42144475304,16385266910,8045122118
35318197049,36814835628,38674161692,43125770023,45222285056,45194475304,16385266910,8045122118
35318197049,36814835628,38674161692,44316270023,45222285056,45665067933,16385266910,8045122118
36115697049,37062335628,38674161692,39725127591,45272285056,45021258400,16385266910,8045122118
36814835628,37359335628,38906315894,41435782138,45272285056,44237536979,16385266910,8045122118
36814835628,37293827204,39936315894,41544882138,45961504355,44537536979,16385266910,8045122118
37062335628,37293827204,39956315894,41564882138,45961504355,44500770048,16385266910,8045122118
37359335628,37223717304,39956315894,41564882138,45961504355,43487247183,16385266910,8045122118
37359335628,37594458579,40256315894,41564882138,45961504355,43567247183,16385266910,8045122118
37293827204,42368650617,40355565894,41663882138,45961504355,43116881733,16385266910,8045122118
37223717304,42197975476,40341581515,42063882138,44756603010,43110029696,16385266910,8045122118
42544458579,38558064062,40187020025,42063882138,43781051716,44100154176,16385266910,8045122118
42197975476,38674161692,41287020025,41790503231,43979051716,43405986116,16323055758,8045122118
42197975476,38674161692,40971568455,41790503231,43979051716,43455986116,16239892182,8045122118
41440101484,38674161692,40971568455,41790503231,43979051716,43455986116,16239892182,8045122118
38674161692,38674161692,41304190000,39245148040,43989051716,43416253135,16239892182,8045122118
38674161692,38874161692,41304190000,39494537486,64064550952,43426253135,16239892182,8045122118
38674161692,39936315894,41304190000,39504437486,41936256325,43471115201,16239892182,8045122118
38674161692,39936315894,41304190000,39504437486,41936256325,42376611110,16239892182,8045122118
38674161692,39956315894,41964190000,39504437486,41936256325,42646611110,16239892182,8045122118
39956315894,40341581515,39785127591,43749018082,42893659287,43794938863,16075461269,8045122118
40256315894,40341581515,41435782138,43749018082,43993659287,43794938863,16075461269,8045122118
40355565894,40341581515,41435782138,43749018082,42049954882,43794938863,16075461269,8045122118
40355565894,40287020025,41564882138,43779018082,45572818170,43794938863,16075461269,8045122118
40341581515,40971568455,41564882138,43762175737,43299233931,43794938863,16075461269,8045122118
40341581515,40971568455,41663882138,43762175737,43299233931,43794938863,16039067011,8045122118
41287020025,41304190000,42063882138,44509675737,43346215661,43794938863,16039067011,8045122118
41041568455,41304190000,42063882138,43438841871,43465215661,43844744373,15280787909,8045122118
41304190000,41964190000,42063882138,42903706424,43465215661,43844744373,15280787909,8045122118
41304190000,42058770023,41790503231,42545508759,43465215661,43844744373,15280787909,8045122118
41304190000,43125770023,41790503231,42545508759,43465215661,43776383140,15280787909,8045122118
41304190000,39675127591,42391337556,41282408450,43465215661,41720881959,15280787909,8045122118
41964190000,39725127591,39245148040,42413821878,43465215661,42274164148,15280787909,8045122118
39725127591,41564882138,39504437486,42513821878,44050629855,40751384702,15280787909,8045122118
39785127591,41564882138,43299018082,42513821878,44050629855,36649757565,15280787909,8045122118
