token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
700155023586,700184023586,700959412402,702018836601,722114685782,468846,468846,468846
700155323586,700184023586,700959412402,702018836601,722114685782,468846,468846,468846
700155523586,700184623586,700959907416,702018836601,722114685782,468846,468846,468846
700182623586,700382623586,700959678022,702018836601,722114685782,468846,468846,468846
700184023586,700372967834,700959468592,702705836601,722114685782,468846,468846,468846
700184023586,700372967834,700959468592,702440836601,722114685782,468846,468846,468846
700184623586,700372967834,701059367202,702440836601,722114685782,468846,468846,468846
700382623586,701109067834,701059166039,702440836601,722114685782,468846,468846,468846
700372967834,701109067834,701059164405,702440836601,722114685782,468846,468846,468846
700372967834,701109066172,701058755492,702440836601,722114685782,468846,468846,468846
701109067834,701109066172,701058755492,702440836601,722114685782,468846,468846,468846
701109067834,701109066172,701058755492,702440836601,722114685782,468846,468846,468846
701109066172,700959412402,701518349778,703289836601,722667685782,468846,468846,468846
700959425698,700959907416,701518838265,704319836601,722667685782,468846,468846,468846
700959412402,700959468592,702018836601,704329836601,724150685782,468846,468846,468846
700959412402,700959468592,702018836601,704329836601,724150685782,468846,468846,468846
700959678022,701059166039,702018836601,704329836601,724150685782,468846,468846,468846
701059367202,701058755492,702018836601,704329836601,723879685782,468846,468846,468846
701059166039,701058755492,702018836601,704329836601,723879685782,468846,468846,468846
701059164405,701058755492,702018836601,704849836601,723879685782,468846,468846,468846
701059063000,701058755492,702705836601,704849836601,723879685782,468846,468846,468846
701058755492,701058451191,702440836601,704849836601,723879685782,468846,468846,468846
701058755492,701518349778,702440836601,704849836601,723879685782,468846,468846,468846
701058755492,701518838265,702440836601,704849836601,723879685782,468846,468846,468846
701058755492,701518838265,702440836601,704849836601,723879685782,468846,468846,468846
701058755492,701518838265,702440836601,704849836601,723879685782,468846,468846,468846
701058451191,701518838265,702440836601,704849836601,723879685782,468846,468846,468846
701518838265,702018836601,702737836601,706604836601,723879685782,468846,468846,468846
701518838265,702018836601,703289836601,706604836601,724629685782,468846,468846,468846
701518838265,702018836601,703897836601,706604836601,724629685782,468846,468846,468846
702018836601,702705836601,704329836601,706604836601,725175618014,468846,468846,468846
702440836601,702440836601,704849836601,708493836601,725175618014,468846,468846,468846
702440836601,702737836601,704849836601,708493836601,725769618014,468846,468846,468846
704319836601,704329836601,706604836601,709426836601,725769618014,468846,468846,468846
704319836601,704329836601,706604836601,709426836601,726490632760,468846,468846,468846
704319836601,704329836601,706604836601,709426836601,726490632760,468846,468846,468846
704329836601,704329836601,706604836601,709426836601,727113632760,468846,468846,468846
704329836601,704849836601,706604836601,709983836601,727113632760,468846,468846,468846
704849836601,704849836601,708493836601,709983836601,728668632760,468846,468846,468846
706604836601,706604836601,709426836601,710587836601,728668632760,468846,468846,468846
706604836601,706604836601,709426836601,710587836601,728668632760,468846,468846,468846
708493836601,709426836601,709983836601,713091804616,729722632760,468846,468846,468846
