token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
15101800000,15171908086,15613085490,15613085490,41697672179,99320421220,83023417034,17346205537
15102500000,15229908086,15613085490,15613085490,44097672179,100130387945,83572985265,17346205537
15102500000,15231208086,15613085490,15613085490,44097672179,100130387945,83243654523,17346205537
23251701174,15231208086,15613085490,15613085490,44097672179,98794588277,83243654523,17346205537
15171908086,15231208086,15613085490,15613085490,44042327519,98794588277,83243654523,17346205537
15229908086,15231208086,15613085490,15613085490,44042327519,96261928072,84565932174,17346205537
15231208086,15231208086,15613085490,15613085490,44876071910,96473078929,87208832174,17346205537
15231208086,17671476884,15613085490,15613085490,43256939707,96473078929,87043019071,17346205537
15231208086,15613184999,15613085490,15613085490,43256939707,96942178929,87222519071,17346205537
15231208086,15613085490,15613085490,15613085490,42516865152,96942178929,87693719071,17346205537
15613085490,15613085490,15613085490,15619085490,43320788064,96483882707,83082627018,17346205537
15613085490,15613085490,15613085490,15619085490,43320788064,97663868994,84126279440,17346205537
15613085490,15613085490,15613085490,15819085490,44120788064,96832165831,84126279440,17346205537
15819085490,15819085490,18907501527,21297966229,53436860592,99573712997,91420121185,17346205537
15819085490,15819085490,18200503177,21188584565,51800651362,99573712997,93627786323,17346205537
17444085490,19045665966,17471366733,24227097244,53411567543,100181697489,94753973703,17346205537
16645665966,18907501527,19739441108,23260086126,53411567543,99622958838,95174497337,17346205537
19045665966,18922329885,20539441108,22539643041,54608166242,99315320794,95174497337,17346205537
18922329885,17463884612,19697966229,24192276128,54608166242,100005658700,94597910707,17346205537
18200503177,17463884612,21297966229,24192276128,57101688379,101378564800,95683395956,17346205537
17463884612,18267712768,21297966229,24992276128,57793432867,102316564799,95509781252,17346205537
17463884612,17471366733,21188584565,24992276128,57793432867,101233220981,93477459806,17346205537
18267712768,17471366733,21988584565,24992276128,58673732867,101577726316,93659421834,17346205537
17471366733,20539441108,21988584565,27990035684,59801497013,100621169709,94423317723,17346205537
19739441108,19690236365,23536661543,27990035684,59801497013,101616454272,94304036217,17346205537
20539441108,21297966229,24227097244,27826550033,62240228807,102303622954,94049010030,17346205537
19690236365,21297966229,23260086126,27826550033,62240228807,101405415886,94530965678,17346205537
19697966229,21297966229,23260086126,27001969164,63708975960,101793263147,94916030090,17346205537
21297966229,21188584565,23392276128,27851853534,64826844641,102942561097,94938438660,17346205537
21297966229,21188584565,24192276128,27851853534,66051144641,102266605169,94938438660,17346205537
20439826160,21988584565,24192276128,27055734341,66193752261,103485905169,95258649575,17346205537
21988584565,23536661543,24992276128,28759497560,65012044160,103681396878,95902644659,17346205537
21988584565,23536661543,24992276128,28759497560,65012044160,103243364349,94998130605,17346205537
21988584565,24227097244,24992276128,28759497560,65485978180,103243364349,94698821986,17346205537
24227097244,22539643041,27990035684,28664941777,69314323611,103099907809,95643947115,17346205537
24227097244,22539643041,27990035684,29384810664,70512323611,103352396569,95643947115,17346205537
23260086126,24192276128,27851780208,31064941777,70512323611,104270898369,95383966350,17346205537
23392276128,24192276128,27826550033,31068836968,69599419964,103998110836,95393188227,17346205537
24192276128,24992276128,27851853534,31068836968,69453194724,103758411815,95717788227,17346205537
24192276128,24992276128,27851853534,31068836968,69453194724,103390341765,96134986188,17346205537
24192276128,24992276128,27851853534,31068836968,69453194724,104622070439,95818135165,17346205537
24992276128,27990035684,27859497560,34991990515,74510965655,106460499992,95593701078,17346205537
27990035684,27826550033,28664941777,34195894626,75284255367,105084292952,96988981145,17346205537
27990035684,27826550033,28664941777,33403421476,77014690269,105084292952,96988981145,17346205537
27851780208,27001969164,28664941777,33403421476,77031966373,105372199238,96988981145,17346205537
27001969164,27851853534,31064941777,34901355000,79063066373,103854513140,96011775174,17346205537
27851853534,27851853534,31064941777,35633118808,79807560944,104376518633,96497637767,17346205537
27851853534,27859497560,31068836968,34874099100,78944533313,103847935275,97512937767,17346205537
27851853534,27959497560,31068836968,34874099100,78944533313,103847935275,97167457557,17346205537
28759497560,28664941777,32591990515,35681825549,82096365667,105833661842,96884186946,17346205537
28759497560,28664941777,32591990515,35681825549,82769161060,105833661842,98182903664,17346205537
28664941777,28664941777,34991990515,35681825549,83323965667,105833661842,98246558925,17346205537
28664941777,29384810664,34991990515,35681825549,82777434645,105995061842,98246558925,17346205537
28664941777,31064941777,34195894626,37938621913,84147199410,105472676241,97716667631,17346205537
