open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:36,204320307825682,204320307825682,204320307825682,204320307825682,204320307825682,204320307825682,204320307825682,204320307825682,204320307825682,204320307825682,204320307825682,6119451627708,-51501240639479,6119451627708,-51501240639479,6119451627708,-51501240639479,6119451627708,-51501240639479,6119451627708,-51501240639479,6119451627708,-51501240639479,6119451627708,-51501240639479,6119451627708,-51501240639479,6119451627708,-51501240639479,6119451627708,-51501240639479,-51501240639479,1,1.0,1.0,1.0,0.0
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:38,160726695318479,160726695318479,160726695318479,160726695318479,160726695318479,160726695318479,160726695318479,160726695318479,160726695318479,160726695318479,160726695318479,42533824064028,-58061779464548,42533824064028,-58061779464548,42533824064028,-58061779464548,42533824064028,-58061779464548,42533824064028,-58061779464548,42533824064028,-58061779464548,42533824064028,-58061779464548,42533824064028,-58061779464548,42533824064028,-58061779464548,42533824064028,-58061779464548,-58061779464548,2,0.8561274053681107,1.0,1.0,0.41193156140678316
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:39,191305108176509,191305108176509,191305108176509,191305108176509,191305108176509,191305108176509,191305108176509,191305108176509,191305108176509,191305108176509,191305108176509,42533824064028,-58520467532288,42533824064028,-58520467532288,42533824064028,-58520467532288,42533824064028,-58520467532288,42533824064028,-58520467532288,42533824064028,-58520467532288,42533824064028,-58520467532288,42533824064028,-58520467532288,42533824064028,-58520467532288,42533824064028,-58520467532288,-58520467532288,2,0.8561274053681107,1.0,1.0,0.41193156140678316
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:40,190824546072880,190824546072880,190824546072880,190824546072880,190824546072880,190824546072880,190824546072880,190824546072880,190824546072880,190824546072880,190824546072880,42533824064028,-58609277991148,42533824064028,-58609277991148,42533824064028,-58609277991148,42533824064028,-58609277991148,42533824064028,-58609277991148,42533824064028,-58609277991148,42533824064028,-58609277991148,42533824064028,-58609277991148,42533824064028,-58609277991148,42533824064028,-58609277991148,-58609277991148,2,0.8561274053681107,1.0,1.0,0.41193156140678316
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:41,191051596602981,204320307825682,191051596602981,191051596602981,191051596602981,191051596602981,191051596602981,191051596602981,191051596602981,191051596602981,191051596602981,42760874594129,-59803003111133,42760874594129,-59803003111133,42760874594129,-59803003111133,42760874594129,-59803003111133,42760874594129,-59803003111133,42760874594129,-59803003111133,42760874594129,-59803003111133,42760874594129,-59803003111133,42760874594129,-59803003111133,42760874594129,-59803003111133,-59803003111133,3,0.8515815633321877,1.0,1.0,0.442853634460733
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:42,189857212457930,204320307825682,189857212457930,189857212457930,189857212457930,189857212457930,189857212457930,189857212457930,189857212457930,189857212457930,189857212457930,36751148001556,-11616845724294,42870599629264,-63118086363773,42870599629264,-63118086363773,42870599629264,-63118086363773,42870599629264,-63118086363773,42870599629264,-63118086363773,42870599629264,-63118086363773,42870599629264,-63118086363773,42870599629264,-63118086363773,42870599629264,-63118086363773,-63118086363773,4,0.8494019853051717,1.0,1.0,0.45955103154964655
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:43,187866326646701,160726695318479,187866326646701,187866326646701,187866326646701,187866326646701,187866326646701,187866326646701,187866326646701,187866326646701,187866326646701,39924763232462,-21692240040671,46044214860170,-73193480680150,46044214860170,-73193480680150,46044214860170,-73193480680150,46044214860170,-73193480680150,46044214860170,-73193480680150,46044214860170,-73193480680150,46044214860170,-73193480680150,46044214860170,-73193480680150,46044214860170,-73193480680150,-73193480680150,5,0.8172185350928812,1.0,1.0,0.608121469537241
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:44,188234782967602,191305108176509,188234782967602,188234782967602,188234782967602,188234782967602,188234782967602,188234782967602,188234782967602,188234782967602,188234782967602,11994439583724,-15164075149049,54528263647752,-73225854613597,54528263647752,-73225854613597,54528263647752,-73225854613597,54528263647752,-73225854613597,54528263647752,-73225854613597,54528263647752,-73225854613597,54528263647752,-73225854613597,54528263647752,-73225854613597,54528263647752,-73225854613597,-73225854613597,6,0.6900675594697994,0.9979877401590519,1.0,0.9457879715536505
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:46,187537235266115,191051596602981,204320307825682,187537235266115,187537235266115,187537235266115,187537235266115,187537235266115,187537235266115,187537235266115,187537235266115,11994439583724,-16347411097205,54528263647752,-74956689088353,54528263647752,-74956689088353,54528263647752,-74956689088353,54528263647752,-74956689088353,54528263647752,-74956689088353,54528263647752,-74956689088353,54528263647752,-74956689088353,54528263647752,-74956689088353,54528263647752,-74956689088353,-74956689088353,6,0.6900675594697994,0.9979877401590519,1.0,0.9457879715536505
2024-06-10 01:39:36,206900000000000,2024-06-10 01:39:47,186262095192838,189857212457930,204320307825682,186262095192838,186262095192838,186262095192838,186262095192838,186262095192838,186262095192838,186262095192838,186262095192838,11767389053623,-15363165343781,48408812020044,-23664927815435,54528263647752,-75166168454914,54528263647752,-75166168454914,54528263647752,-75166168454914,54528263647752,-75166168454914,54528263647752,-75166168454914,54528263647752,-75166168454914,54528263647752,-75166168454914,54528263647752,-75166168454914,-75166168454914,6,0.6900675594697994,0.9979877401590519,1.0,0.9457879715536505
