token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
380053644637,380195886618,380170030083,381320113959,221929917,221929917,221929917,221929917
380053744637,380196086618,380170230083,381320113959,221929917,221929917,221929917,221929917
380054544637,380196286618,380021006905,381320113959,221929917,221929917,221929917,221929917
380054544637,380196286618,380021006905,381320113959,221929917,221929917,221929917,221929917
380204544637,380196286618,380020907443,381320113959,221929917,221929917,221929917,221929917
380196086618,380196286618,380020708479,382050113959,221929917,221929917,221929917,221929917
380196286618,380196386618,380020509509,382050113959,221929917,221929917,221929917,221929917
380196286618,380444286618,380120310509,382050113959,221929917,221929917,221929917,221929917
380196286618,380444286618,380120210975,382050113959,221929917,221929917,221929917,221929917
380196286618,380169930083,380120210975,382050113959,221929917,221929917,221929917,221929917
380196386618,380169930083,380119912507,382050113959,221929917,221929917,221929917,221929917
380169930083,380170030083,380120113959,383880113959,221929917,221929917,221929917,221929917
380169930083,380170030083,380610113959,383880113959,221929917,221929917,221929917,221929917
380170030083,380170230083,380650113959,383880113959,221929917,221929917,221929917,221929917
380170030083,380020907443,381220113959,384710113959,221929917,221929917,221929917,221929917
380020708479,380120210975,381320113959,384720113959,221929917,221929917,221929917,221929917
380020509509,380119912507,381320113959,384720113959,221929917,221929917,221929917,221929917
380120310509,380120412507,381320113959,384720113959,221929917,221929917,221929917,221929917
380120210975,380120213493,382050113959,384720113959,221929917,221929917,221929917,221929917
380119912507,380120113959,382050113959,384720113959,221929917,221929917,221929917,221929917
380120412507,380610113959,382050113959,384720113959,221929917,221929917,221929917,221929917
380120412507,380650113959,382050113959,384720113959,221929917,221929917,221929917,221929917
380120213493,380650113959,382050113959,386660113959,221929917,221929917,221929917,221929917
380120113959,380650113959,382050113959,386660113959,221929917,221929917,221929917,221929917
380610113959,381220113959,382050113959,386660113959,221929917,221929917,221929917,221929917
380650113959,381220113959,382930113959,386659086227,221929917,221929917,221929917,221929917
380650113959,381220113959,383880113959,386659086227,221929917,221929917,221929917,221929917
381220113959,381320113959,383880113959,387469086227,221929917,221929917,221929917,221929917
381220113959,381320113959,383880113959,387469086227,221929917,221929917,221929917,221929917
381320113959,381320113959,383880113959,388609086227,221929917,221929917,221929917,221929917
381320113959,382050113959,384710113959,388609086227,221929917,221929917,221929917,221929917
382050113959,382930113959,384720113959,388609086227,221929917,221929917,221929917,221929917
383880113959,384710113959,386659086227,389859086227,221929917,221929917,221929917,221929917
383880113959,384710113959,386659086227,389859086227,221929917,221929917,221929917,221929917
384710113959,384720113959,388609086227,390001118741,221929917,221929917,221929917,221929917
384720113959,386660113959,388609086227,390001118741,221929917,221929917,221929917,221929917
386659086227,387669086227,389299086227,390821118741,221929917,221929917,221929917,221929917
387669086227,388609086227,389859086227,391511118741,221929917,221929917,221929917,221929917
388609086227,388609086227,389859086227,391511118741,221929917,221929917,221929917,221929917
388609086227,388609086227,389859086227,391511118741,221929917,221929917,221929917,221929917
388609086227,388609086227,389959086227,391511118741,221929917,221929917,221929917,221929917
389859086227,389859086227,390821118741,23057961,221929917,221929917,221929917,221929917
389859086227,389959086227,390841118741,221929917,221929917,221929917,221929917,221929917
390001118741,390001118741,391511118741,221929917,221929917,221929917,221929917,221929917
390001118741,390771118741,392021118741,221929917,221929917,221929917,221929917,221929917
390821118741,390841118741,393541118741,221929917,221929917,221929917,221929917,221929917
390831118741,391511118741,23057961,221929917,221929917,221929917,221929917,221929917
391511118741,391511118741,225703961,221929917,221929917,221929917,221929917,221929917
391511118741,391511118741,221929917,221929917,221929917,221929917,221929917,221929917
391511118741,392021118741,221929917,221929917,221929917,221929917,221929917,221929917
392541118741,393541118741,221929917,221929917,221929917,221929917,221929917,221929917
393541118741,23057961,221929917,221929917,221929917,221929917,221929917,221929917
23057961,221929917,221929917,221929917,221929917,221929917,221929917,221929917
23257961,221929917,221929917,221929917,221929917,221929917,221929917,221929917
225703961,221929917,221929917,221929917,221929917,221929917,221929917,221929917
221929917,221929917,221929917,221929917,221929917,221929917,221929917,221929917
221929917,221929917,221929917,221929917,221929917,221929917,221929917,221929917
221929917,221929917,221929917,221929917,221929917,221929917,221929917,221929917
