token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
860053830000,860065530000,860030074270,863133976094,870058976119,798835,798835,798835
860053830000,860065530000,860030074270,863133976094,870058976119,798835,798835,798835
860054530000,860065530000,860030074270,863133976094,870058976119,798835,798835,798835
860065530000,860017073254,860029974776,863133976094,870058976119,798835,798835,798835
860065530000,860017873254,860029875284,863133976094,870058976119,798835,798835,798835
860065530000,860017974270,860029676295,863133976094,870058976119,798835,798835,798835
860017073254,860018274270,860029477295,863133976094,870058976119,798835,798835,798835
860018274270,860019274270,863129277591,863133777091,870058976119,798835,798835,798835
860018774270,860019274270,863128976958,863133777091,870058976119,798835,798835,798835
860019274270,860019274270,863128876738,863133777091,870058976119,798835,798835,798835
860019274270,860029474270,863128776518,863133777091,870058976119,798835,798835,798835
860019274270,860029574270,863128776518,863133777091,870058976119,798835,798835,798835
860019274270,860029574270,863128776518,863133777091,870058976119,798835,798835,798835
860019274270,860030074270,863128576094,863133777091,870058976119,798835,798835,798835
860030074270,860029775790,863133976094,863128802062,871758976119,798835,798835,798835
860030074270,860029676295,863133976094,863128802062,871758976119,798835,798835,798835
860029974776,860029477295,863133976094,863128802062,871758976119,798835,798835,798835
860029775790,863129377803,863133976094,863118780241,871758976119,798835,798835,798835
860029477295,863129277591,863133976094,863118780241,871758976119,798835,798835,798835
863129377803,863128976958,863133976094,863118780241,871758976119,798835,798835,798835
863129377803,863128876738,863133976094,863118780241,871758976119,798835,798835,798835
863129277591,863128776518,863133976094,863128780241,871758976119,798835,798835,798835
863129277591,863128776518,863133976094,863128780241,871758976119,798835,798835,798835
863128976958,863128776518,863133976094,863128780241,871758976119,798835,798835,798835
863128776518,863128976094,863133777091,863128780241,871758976119,798835,798835,798835
863128776518,863133976094,863133777091,863128780241,871758976119,798835,798835,798835
863128576094,863133976094,863133777091,863128780241,871758976119,798835,798835,798835
863128976094,863133976094,863133777091,863128780241,871758976119,798835,798835,798835
863133976094,863133976094,863133777091,863128780241,871758976119,798835,798835,798835
863133976094,863133976094,863133777091,863128780241,871758976119,798835,798835,798835
863133976094,863133976094,863128802062,863128780241,871758976119,798835,798835,798835
863133777091,863128802062,863128780241,863128780241,874638843836,798835,798835,798835
863128802062,863118780241,863128780241,866688581240,874638843836,798835,798835,798835
863118780241,863128780241,863128780241,866688581240,874638843836,798835,798835,798835
863128780241,863128780241,863128780241,866688581240,874638843836,798835,798835,798835
866688581240,866688581240,866688581240,866704812401,876538843836,798835,798835,798835
866688581240,866688581240,866688581240,866704812401,876538843836,798835,798835,798835
866688581240,866688581240,866688581240,866704812401,876538843836,798835,798835,798835
866698581240,866698581240,866714812401,867354716373,798835,798835,798835,798835
866704812401,866714812401,867348485212,867359994503,798835,798835,798835,798835
866714812401,867348485212,867348485212,867359994503,798835,798835,798835,798835
867348485212,867348485212,867354716373,867359994503,798835,798835,798835,798835
867359994503,867359994503,867359994503,870058976119,798835,798835,798835,798835
867359994503,867359994503,870059994503,870058976119,798835,798835,798835,798835
870059994503,870059994503,870058976119,871758976119,798835,798835,798835,798835
870058976119,870058976119,871758976119,871758976119,798835,798835,798835,798835
871758976119,871758976119,871758976119,874638843836,798835,798835,798835,798835
871738843836,874638843836,874638843836,876538843836,798835,798835,798835,798835
874638843836,874638843836,874638843836,876538843836,798835,798835,798835,798835
876538843836,876538843836,876538843836,798835,798835,798835,798835,798835
798835,798835,798835,798835,798835,798835,798835,798835
