open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 07:23:59,206900000000000,2024-06-09 07:23:59,206248989204066,206248989204066,206248989204066,206248989204066,206248989204066,206248989204066,206248989204066,206248989204066,206248989204066,206248989204066,206248989204066,0,-21212434660105,0,-21212434660105,0,-21212434660105,0,-21212434660105,0,-21212434660105,0,-21212434660105,0,-21212434660105,0,-21212434660105,0,-21212434660105,0,-21212434660105,-21212434660105,0,0.0,0.0,0.0,0.0
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:00,184124307349854,184124307349854,184124307349854,184124307349854,184124307349854,184124307349854,184124307349854,184124307349854,184124307349854,184124307349854,184124307349854,0,-33783529867375,0,-33783529867375,0,-33783529867375,0,-33783529867375,0,-33783529867375,0,-33783529867375,0,-33783529867375,0,-33783529867375,0,-33783529867375,0,-33783529867375,-33783529867375,0,0.0,0.0,0.0,0.0
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:01,173026943627187,173026943627187,173026943627187,173026943627187,173026943627187,173026943627187,173026943627187,173026943627187,173026943627187,173026943627187,173026943627187,0,-33909571151478,0,-33909571151478,0,-33909571151478,0,-33909571151478,0,-33909571151478,0,-33909571151478,0,-33909571151478,0,-33909571151478,0,-33909571151478,0,-33909571151478,-33909571151478,0,0.0,0.0,0.0,0.0
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:02,172963052891399,172963052891399,172963052891399,172963052891399,172963052891399,172963052891399,172963052891399,172963052891399,172963052891399,172963052891399,172963052891399,89526505438,-33955192926310,89526505438,-33955192926310,89526505438,-33955192926310,89526505438,-33955192926310,89526505438,-33955192926310,89526505438,-33955192926310,89526505438,-33955192926310,89526505438,-33955192926310,89526505438,-33955192926310,89526505438,-33955192926310,-33955192926310,1,1.0,1.0,1.0,0.0
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:03,173030681104699,173030681104699,173030681104699,173030681104699,173030681104699,173030681104699,173030681104699,173030681104699,173030681104699,173030681104699,173030681104699,89526505438,-33958845400739,89526505438,-33958845400739,89526505438,-33958845400739,89526505438,-33958845400739,89526505438,-33958845400739,89526505438,-33958845400739,89526505438,-33958845400739,89526505438,-33958845400739,89526505438,-33958845400739,89526505438,-33958845400739,-33958845400739,1,1.0,1.0,1.0,0.0
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:04,135019159098413,206248989204066,135019159098413,135019159098413,135019159098413,135019159098413,135019159098413,135019159098413,135019159098413,135019159098413,135019159098413,38101048511724,-73595513736378,38101048511724,-73595513736378,38101048511724,-73595513736378,38101048511724,-73595513736378,38101048511724,-73595513736378,38101048511724,-73595513736378,38101048511724,-73595513736378,38101048511724,-73595513736378,38101048511724,-73595513736378,38101048511724,-73595513736378,-73595513736378,2,0.9976502876184509,1.0,1.0,0.016570845075713186
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:05,171387636282208,184124307349854,171387636282208,171387636282208,171387636282208,171387636282208,171387636282208,171387636282208,171387636282208,171387636282208,171387636282208,38101048511724,-52758163997033,38101048511724,-73970598657138,38101048511724,-73970598657138,38101048511724,-73970598657138,38101048511724,-73970598657138,38101048511724,-73970598657138,38101048511724,-73970598657138,38101048511724,-73970598657138,38101048511724,-73970598657138,38101048511724,-73970598657138,-73970598657138,2,0.9976502876184509,1.0,1.0,0.016570845075713186
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:07,170674750998509,172963052891399,170674750998509,170674750998509,170674750998509,170674750998509,170674750998509,170674750998509,170674750998509,170674750998509,170674750998509,38101048511724,-42520212623264,38101048511724,-76429783774742,38101048511724,-76429783774742,38101048511724,-76429783774742,38101048511724,-76429783774742,38101048511724,-76429783774742,38101048511724,-76429783774742,38101048511724,-76429783774742,38101048511724,-76429783774742,38101048511724,-76429783774742,-76429783774742,2,0.9976502876184509,1.0,1.0,0.016570845075713186
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:08,168139559304185,173030681104699,168139559304185,168139559304185,168139559304185,168139559304185,168139559304185,168139559304185,168139559304185,168139559304185,168139559304185,38011522006286,-43078358858010,38101048511724,-77033551784320,38101048511724,-77033551784320,38101048511724,-77033551784320,38101048511724,-77033551784320,38101048511724,-77033551784320,38101048511724,-77033551784320,38101048511724,-77033551784320,38101048511724,-77033551784320,38101048511724,-77033551784320,-77033551784320,2,0.9976502876184509,1.0,1.0,0.016570845075713186
2024-06-09 07:23:59,206900000000000,2024-06-09 07:24:09,167795786384815,135019159098413,206248989204066,167795786384815,167795786384815,167795786384815,167795786384815,167795786384815,167795786384815,167795786384815,167795786384815,38011522006286,-43263568409437,38101048511724,-77222413810176,38101048511724,-77222413810176,38101048511724,-77222413810176,38101048511724,-77222413810176,38101048511724,-77222413810176,38101048511724,-77222413810176,38101048511724,-77222413810176,38101048511724,-77222413810176,38101048511724,-77222413810176,-77222413810176,2,0.9976502876184509,1.0,1.0,0.016570845075713186
