token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
149705287004344,217203558941043,199026815506646,327743847402084,600634546667112,600117305300968,652436725075758,770016086589935
148883841484596,247130825527841,226983353521784,328138848318236,602416948806306,653351186166631,652436725075758,770016086589935
187041037527957,243263410847838,242755314700910,328074073598793,600284479501227,653351186166631,652436725075758,770016086589935
199611314382570,239765085127084,242755314700910,315389458760089,599208536562087,653351186166631,652436725075758,770016086589935
217203558941043,214833511464809,242755314700910,307937748783470,601704411372409,653351186166631,652436725075758,770016086589935
250343741934970,211996911497046,238485987942909,313753744782859,601704411372409,653351186166631,652436725075758,770016086589935
247130825527841,219763491343537,260193807940867,308390004502935,601704411372409,653351186166631,652436725075758,770016086589935
243263410847838,202950091856395,268232578015131,308390004502935,601943597759120,653351186166631,652436725075758,770016086589935
239765085127084,209710147419462,255807806932763,311992257873693,601943597759120,653351186166631,652436725075758,770016086589935
214833511464809,211010315284694,255698063802969,287575863876566,606048556594128,653351186166631,652436725075758,770016086589935
211996911497046,206487858825109,262094344807606,236846502917181,606048556594128,654305650338906,653386655426219,770016086589935
219763491343537,206219861480863,255905147291339,236846502917181,585137689596436,654305650338906,653386655426219,770016086589935
202950091856395,229117060557838,255905147291339,307352598972850,587252613381196,654305650338906,653386655426219,770016086589935
209710147419462,217080977996461,275325291249825,308650565674420,587252613381196,654305650338906,653386655426219,770016086589935
211010315284694,234502601322026,281060960805076,316869785502070,587252613381196,654305650338906,653386655426219,770016086589935
206487858825109,228244511992661,284633334781645,317036672396522,587252613381196,654305650338906,653386655426219,770016086589935
206219861480863,264404607624159,302571818556806,315844560681379,587252613381196,659015456032386,696657302530984,770016086589935
229117060557838,240714074805885,300665399088455,319011498389614,587252613381196,659015456032386,696657302530984,770016086589935
217080977996461,230385133904274,301869141792418,318096319227762,587252613381196,659015456032386,696657302530984,770016086589935
234502601322026,199026815506646,307130049860448,296392589964715,587252613381196,659015456032386,696657302530984,770016086589935
228244511992661,217178244861140,315800980381519,283021698614224,587252613381196,659015456032386,696657302530984,770016086589935
264404607624159,226983353521784,315800980381519,283086498948942,585205869416214,659015456032386,696657302530984,770016086589935
240714074805885,242755314700910,322149580142762,280418597351830,585264648733679,634468518222401,696657302530984,770016086589935
230385133904274,242755314700910,310232146680795,282174467795863,585264648733679,634468518222401,696657302530984,770016086589935
199026815506646,242755314700910,338636210662487,282174467795863,585264648733679,634468518222401,696657302530984,770016086589935
217178244861140,238485987942909,317477835125033,282062533025353,585264648733679,634468518222401,696657302530984,770016086589935
226983353521784,260193807940867,317477835125033,288426308452124,589722683733679,628615414555542,696657302530984,770016086589935
