token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
186025687902636,186005158724700,192207624494006,860568050961031,907929896773912,936345170177341,922646440799226,978462345067632
186025687902636,186004947652998,194921140494006,860568050961031,907929896773912,936345170177341,922646440799226,978462345067632
186115152294657,185754111452954,194920908751345,860568050961031,907929896773912,936345170177341,922646440799226,978462345067632
186009129156467,185124745533675,194920908751345,860568050961031,907929896773912,936345170177341,922646440799226,978462345067632
186005158724700,185123700159255,958285875628487,860746999308582,907929896773912,936345170177341,922646440799226,978462345067632
186005158724700,184696089141862,958271572154510,860746999308582,907929896773912,936345170177341,922646440799226,978462345067632
185754111452954,194566569858786,905663870811740,860746999308582,907929896773912,936345170177341,922646440799226,978462345067632
185124745533675,194566569858786,911237520397868,860746999308582,907929896773912,936345170177341,922646440799226,978462345067632
185123700159255,194566569858786,911237520397868,860746999308582,907929896773912,936345170177341,922646440799226,978462345067632
194566569858786,192284497401926,852770720642836,865927030754907,907929896773912,936482034296864,922646440799226,978462345067632
194566569858786,192261947649507,853012177320334,867976845729991,907929896773912,936482034296864,922646440799226,978462345067632
194566569858786,192261947649507,853012177320334,867976845729991,907929896773912,936482034296864,922646440799226,978462345067632
194566569858786,192261722178759,853100590435088,867976845729991,907929896773912,936482034296864,922646440799226,978462345067632
192284497401926,192261722178759,853100590435088,867976845729991,907929896773912,936482034296864,922646440799226,978462345067632
192284497401926,192216638656152,853100590435088,867976845729991,907929896773912,936482034296864,922646440799226,978462345067632
192261722178759,192207624494006,852657941913043,861448596382503,935514355428913,936482034296864,922646440799226,978462345067632
192216638656152,194920908751345,852229578417782,833864137727502,935514355428913,936482034296864,922648799379687,978462345067632
192207624494006,958285875628487,852229578417782,831754154223459,935514355428913,936482034296864,922648799379687,978462345067632
194921140494006,958389067614900,851832871093976,831754154223459,935514355428913,936482034296864,922648799379687,978462345067632
958285875628487,911237520397868,857710284430341,831754154223459,935514355428913,936482034296864,922648799379687,978462345067632
958389067614900,852770720642836,860568050961031,831777736915398,935514355428913,936482034296864,922648799379687,978462345067632
905663870811740,853012177320334,860568050961031,831777736915398,935514355428913,936482034296864,922648799379687,978462345067632
911237520397868,853100590435088,860746999308582,787915247974502,935514355428913,936482034296864,922648799379687,978462345067632
863808999876072,853100590435088,860746999308582,790218371277505,935514355428913,936482034296864,922648799379687,978462345067632
852770720642836,853100590435088,860746999308582,790668788849233,935514355428913,936482034296864,922648799379687,978462345067632
853012177320334,853100590435088,860746999308582,790668788849233,935514355428913,936482034296864,922648799379687,978462345067632
853012177320334,853100590435088,860746999308582,790668788849233,935514355428913,936482034296864,922648799379687,978462345067632
853100590435088,852657941913043,860746999308582,790895076033721,935514355428913,936482034296864,922648799379687,978462345067632
853100590435088,852220172699855,865927030754907,790895076033721,935514355428913,936482034296864,922648799379687,978462345067632
853100590435088,852229578417782,867976845729991,790895076033721,935514355428913,936482034296864,922648799379687,978462345067632
852657941913043,852229578417782,867976845729991,786731255577219,935514355428913,936482034296864,922648799379687,978462345067632
852229578417782,857710284430341,861448596382503,786733565310167,935514355428913,936482034296864,922648799379687,978462345067632
851832871093976,860568050961031,861448596382503,786733565310167,935514355428913,936482034296864,922648799379687,978462345067632
857710284430341,860568050961031,833864137727502,786733565310167,935514355428913,936482034296864,922648799379687,978462345067632
860568050961031,860746999308582,831754154223459,788233121274202,935514355428913,936482034296864,922648799379687,978462345067632
860568050961031,860746999308582,831754154223459,784471469941299,935514355428913,936482034296864,922648799379687,978462345067632
860746999308582,860746999308582,831777736915398,783723452881068,935514355428913,936482034296864,922648799379687,978462345067632
860746999308582,867976845729991,787915247974502,783723452881068,935514355428913,936482034296864,922648799379687,978462345067632
867976845729991,861448596382503,790895076033721,780004672592843,935514355428913,936482034296864,922648799379687,978462345067632
867976845729991,833864137727502,790895076033721,780004672592843,935514355428913,936482034296864,922648799379687,978462345067632
831754154223459,831754154223459,786733565310167,781577619067005,935514355428913,936482034296864,922648799379687,978462345067632
831754154223459,831777736915398,786733565310167,781577619067005,935514355428913,936482034296864,922648799379687,978462345067632
831754154223459,787915036902800,786733565310167,781577619067005,935514355428913,931626042674720,922648799379687,978462345067632
