open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:36,700000200000,700000200000,700000200000,700000200000,700000200000,700000200000,700000200000,700000200000,700000200000,700000200000,700000200000,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,0,1,1.0,1.0,1.0,0.0
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:38,700000500000,700000500000,700000500000,700000500000,700000500000,700000500000,700000500000,700000500000,700000500000,700000500000,700000500000,2500000,0,2500000,0,2500000,0,2500000,0,2500000,0,2500000,0,2500000,0,2500000,0,2500000,0,2500000,0,0,9,0.4,0.8400000000000001,1.0,1.7886689560987936
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:39,700002600000,700002600000,700002600000,700002600000,700002600000,700002600000,700002600000,700002600000,700002600000,700002600000,700002600000,52100000,0,52100000,0,52100000,0,52100000,0,52100000,0,52100000,0,52100000,0,52100000,0,52100000,0,52100000,0,0,16,0.9404990403071017,0.9788867562380039,0.9884836852207295,0.36128974739535424
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:40,700052200000,700052200000,700052200000,700052200000,700052200000,700052200000,700052200000,700052200000,700052200000,700052200000,700052200000,52800000,-48755378,52800000,-48755378,52800000,-48755378,52800000,-48755378,52800000,-48755378,52800000,-48755378,52800000,-48755378,52800000,-48755378,52800000,-48755378,52800000,-48755378,-48755378,20,0.928030303030303,0.9659090909090909,0.9810606060606061,0.4449055707443595
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:41,700004144622,700000200000,700004144622,700004144622,700004144622,700004144622,700004144622,700004144622,700004144622,700004144622,700004144622,55900000,-48755378,55900000,-48755378,55900000,-48755378,55900000,-48755378,55900000,-48755378,55900000,-48755378,55900000,-48755378,55900000,-48755378,55900000,-48755378,55900000,-48755378,-48755378,22,0.8765652951699463,0.962432915921288,0.9785330948121646,0.642413126296872
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:42,700007644622,700000200000,700007644622,700007644622,700007644622,700007644622,700007644622,700007644622,700007644622,700007644622,700007644622,66300000,-48755378,66500000,-48755378,66500000,-48755378,66500000,-48755378,66500000,-48755378,66500000,-48755378,66500000,-48755378,66500000,-48755378,66500000,-48755378,66500000,-48755378,-48755378,25,0.7368421052631579,0.9548872180451127,0.9759398496240601,1.0174218886938564
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:43,700018044622,700000500000,700018044622,700018044622,700018044622,700018044622,700018044622,700018044622,700018044622,700018044622,700018044622,66600000,-48755378,66800000,-48755378,66800000,-48755378,66800000,-48755378,66800000,-48755378,66800000,-48755378,66800000,-48755378,66800000,-48755378,66800000,-48755378,66800000,-48755378,-48755378,26,0.7335329341317365,0.9505988023952094,0.9730538922155687,1.0416105344337523
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:44,700067544622,700002600000,700067544622,700067544622,700067544622,700067544622,700067544622,700067544622,700067544622,700067544622,700067544622,124690000,-48755378,127190000,-48755378,127190000,-48755378,127190000,-48755378,127190000,-48755378,127190000,-48755378,127190000,-48755378,127190000,-48755378,127190000,-48755378,127190000,-48755378,-48755378,29,0.3891815394292004,0.9544775532667662,0.980344366695495,1.4890661537433492
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:45,700078534622,700052200000,700078534622,700078534622,700078534622,700078534622,700078534622,700078534622,700078534622,700078534622,700078534622,75290000,-48755378,127390000,-48755378,127390000,-48755378,127390000,-48755378,127390000,-48755378,127390000,-48755378,127390000,-48755378,127390000,-48755378,127390000,-48755378,127390000,-48755378,-48755378,31,0.3885705314388885,0.9529790407410316,0.9788052437396969,1.4995222127499743
2024-06-08 21:29:36,700000000000,2024-06-08 21:29:46,700078734622,700004144622,700000200000,700078734622,700078734622,700078734622,700078734622,700078734622,700078734622,700078734622,700078734622,74690000,0,127490000,-48755378,127490000,-48755378,127490000,-48755378,127490000,-48755378,127490000,-48755378,127490000,-48755378,127490000,-48755378,127490000,-48755378,127490000,-48755378,-48755378,32,0.3882657463330457,0.9522315475723586,0.9780374931367167,1.5047388638757022
