open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 16:59:57,57000000000,2024-06-10 16:59:57,57000100000,57000100000,57000100000,57000100000,57000100000,57000100000,57000100000,57000100000,57000100000,57000100000,57000100000,100000,0,100000,0,100000,0,100000,0,100000,0,100000,0,100000,0,100000,0,100000,0,100000,0,0,1,1.0,1.0,1.0,0.0
2024-06-10 16:59:57,57000000000,2024-06-10 16:59:59,57050100000,57050100000,57050100000,57050100000,57050100000,57050100000,57050100000,57050100000,57050100000,57050100000,57050100000,170100000,0,170100000,0,170100000,0,170100000,0,170100000,0,170100000,0,170100000,0,170100000,0,170100000,0,170100000,0,0,4,0.5878894767783657,0.9999999999999999,0.9999999999999999,0.9282585991549209
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:00,57190100000,57190100000,57190100000,57190100000,57190100000,57190100000,57190100000,57190100000,57190100000,57190100000,57190100000,240100000,0,240100000,0,240100000,0,240100000,0,240100000,0,240100000,0,240100000,0,240100000,0,240100000,0,240100000,0,0,6,0.41649312786339027,0.9995835068721367,1.0,1.4355813192435174
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:01,57299500000,57299500000,57299500000,57299500000,57299500000,57299500000,57299500000,57299500000,57299500000,57299500000,57299500000,299700000,0,299700000,0,299700000,0,299700000,0,299700000,0,299700000,0,299700000,0,299700000,0,299700000,0,299700000,0,0,8,0.333667000333667,0.9322655989322657,1.0,1.6533874429969855
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:03,57299800000,57000100000,57299800000,57299800000,57299800000,57299800000,57299800000,57299800000,57299800000,57299800000,57299800000,300900000,0,301000000,0,301000000,0,301000000,0,301000000,0,301000000,0,301000000,0,301000000,0,301000000,0,301000000,0,0,19,0.33222591362126247,0.9282392026578072,0.9970099667774085,1.6842284066438136
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:04,57310800000,57050100000,57310800000,57310800000,57310800000,57310800000,57310800000,57310800000,57310800000,57310800000,57310800000,310900000,0,311000000,0,311000000,0,311000000,0,311000000,0,311000000,0,311000000,0,311000000,0,311000000,0,311000000,0,0,20,0.3215434083601286,0.8983922829581994,0.9967845659163986,1.772226062598642
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:05,57330800000,57190100000,57330800000,57330800000,57330800000,57330800000,57330800000,57330800000,57330800000,57330800000,57330800000,161000000,0,331100000,0,331100000,0,331100000,0,331100000,0,331100000,0,331100000,0,331100000,0,331100000,0,331100000,0,0,22,0.30202355783751134,0.8438538205980067,0.9960736937481125,1.8954507158266993
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:06,57300700000,57299500000,57300700000,57300700000,57300700000,57300700000,57300700000,57300700000,57300700000,57300700000,57300700000,191100000,0,431200000,0,431200000,0,431200000,0,431200000,0,431200000,0,431200000,0,431200000,0,431200000,0,431200000,0,0,24,0.23191094619666047,0.8334879406307977,0.9962894248608534,1.9991220259239753
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:07,57401700000,57299500000,57000100000,57401700000,57401700000,57401700000,57401700000,57401700000,57401700000,57401700000,57401700000,232500000,0,532200000,0,532200000,0,532200000,0,532200000,0,532200000,0,532200000,0,532200000,0,532200000,0,532200000,0,0,25,0.37579857196542654,0.8632093198045847,0.9966178128523111,1.855691113557395
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:08,57501700000,57299800000,57000100000,57501700000,57501700000,57501700000,57501700000,57501700000,57501700000,57501700000,57501700000,333000000,0,632600000,0,632700000,0,632700000,0,632700000,0,632700000,0,632700000,0,632700000,0,632700000,0,632700000,0,0,27,0.316105579263474,0.8051209103840682,0.9947842579421527,2.003653185082534
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:09,57502300000,57310800000,57050100000,57502300000,57502300000,57502300000,57502300000,57502300000,57502300000,57502300000,57502300000,332000000,0,632900000,0,633000000,0,633000000,0,633000000,0,633000000,0,633000000,0,633000000,0,633000000,0,633000000,0,0,30,0.315955766192733,0.804739336492891,0.9943127962085307,2.0073257752843285
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:10,57503725956,57330800000,57190100000,57503725956,57503725956,57503725956,57503725956,57503725956,57503725956,57503725956,57503725956,333225956,0,474125956,0,644225956,0,644225956,0,644225956,0,644225956,0,644225956,0,644225956,0,644225956,0,644225956,0,0,31,0.3104500806546205,0.7907163554273184,0.9925089078528218,2.0446805494096862
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:11,57513925956,57300700000,57299500000,57513925956,57513925956,57513925956,57513925956,57513925956,57513925956,57513925956,57513925956,412725956,0,503725956,0,743825956,0,743825956,0,743825956,0,743825956,0,743825956,0,743825956,0,743825956,0,743825956,0,0,34,0.2688801034525878,0.7507132488396251,0.9658173316016953,2.170072362996184
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:12,57613424956,57401700000,57299500000,57613424956,57613424956,57613424956,57613424956,57613424956,57613424956,57613424956,57613424956,513024956,0,644524956,0,944224956,0,944224956,0,944224956,0,944224956,0,944224956,0,944224956,0,944224956,0,944224956,0,0,37,0.21181393134031928,0.7402896900344159,0.9514681795807141,2.229695525918733
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:15,57843424956,57503725956,57330800000,57843424956,57843424956,57843424956,57843424956,57843424956,57843424956,57843424956,57843424956,340924956,0,662924956,0,973924956,0,973924956,0,973924956,0,973924956,0,973924956,0,973924956,0,973924956,0,973924956,0,0,38,0.205354631039971,0.7177144354846987,0.9324127022369884,2.298159810146437
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:18,57843624956,57613424956,57501700000,57843624956,57843624956,57843624956,57843624956,57843624956,57843624956,57843624956,57843624956,29900000,0,441924956,0,974124956,0,974124956,0,974124956,0,974124956,0,974124956,0,974124956,0,974124956,0,974124956,0,0,38,0.20531246917361595,0.7175670797617877,0.9322212662828034,2.2993519407102085
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:19,58080624956,57613424956,57502300000,58080624956,58080624956,58080624956,58080624956,58080624956,58080624956,58080624956,58080624956,267400000,0,578924956,0,1211624956,0,1211624956,0,1211624956,0,1211624956,0,1211624956,0,1211624956,0,1211624956,0,1211624956,0,0,40,0.1956050829312895,0.6908078245294907,0.9285876742868938,2.3464258342822966
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:20,58181124956,57843424956,57503725956,58181124956,58181124956,58181124956,58181124956,58181124956,58181124956,58181124956,58181124956,367400000,0,678624956,0,1311624956,0,1311624956,0,1311624956,0,1311624956,0,1311624956,0,1311624956,0,1311624956,0,1311624956,0,0,41,0.18069189589283782,0.6381397335962247,0.9113885753177144,2.4370232182760128
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:21,58183624956,57843424956,57513925956,58183624956,58183624956,58183624956,58183624956,58183624956,58183624956,58183624956,58183624956,340200000,0,669899000,0,1314124956,0,1314124956,0,1314124956,0,1314124956,0,1314124956,0,1314124956,0,1314124956,0,1314124956,0,0,42,0.18034814643608366,0.6369257323502194,0.9096547436695965,2.4462054891688148
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:25,58183724956,58181124956,57843424956,58183724956,58183724956,58183724956,58183724956,58183724956,58183724956,58183724956,58183724956,102600000,0,370000000,0,1314224956,0,1314224956,0,1314224956,0,1314224956,0,1314224956,0,1314224956,0,1314224956,0,1314224956,0,0,42,0.180334423660115,0.6368772683692671,0.909585527608867,2.446711570684762
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:27,58233724956,58183624956,57843424956,57000100000,58233724956,58233724956,58233724956,58233724956,58233724956,58233724956,58233724956,60000000,0,400200000,0,1374124956,0,1374124956,0,1374124956,0,1374124956,0,1374124956,0,1374124956,0,1374124956,0,1374124956,0,0,44,0.17247339768130956,0.6091149107985491,0.86993544130058,2.538793126063794
2024-06-10 16:59:57,57000000000,2024-06-10 17:00:28,58243724956,58183624956,57843624956,57000100000,58243724956,58243724956,58243724956,58243724956,58243724956,58243724956,58243724956,60100000,0,400300000,0,1374124956,0,1374224956,0,1374224956,0,1374224956,0,1374224956,0,1374224956,0,1374224956,0,1374224956,0,0,45,0.1724608470871053,0.6090705865481314,0.8698721375861842,2.5393745010948496
