token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
57299500000,57401700000,58233724956,3611725578,1862438775,1858959735,1858992908,1860676574
57310800000,57502300000,58243824956,3611725578,1862438775,1858959735,1858992908,1860676574
57330800000,57503725956,58263963176,3611725578,1862438775,1858959735,1858991869,1860676574
57300700000,57513925956,58263760736,3611725578,1862438775,1858959735,1858991869,1860676574
57501700000,57613424956,58263660963,3611725578,1862438775,1858959735,1858991869,1860676574
57502300000,57613424956,58263455227,3611725578,1862438775,1858959735,1858991869,1860676574
57503725956,57843424956,58263555227,3611725578,1862438775,1858959735,1858991869,1860676574
57513925956,57843424956,58263555227,3611333335,1862438775,1858959735,1858991869,1860676574
57613424956,57843424956,3575919440,3611333335,1862438775,1858959735,1858991869,1860676574
57613424956,57843624956,3575919057,3611323775,1862438775,1858959735,1858991869,1860676574
57613424956,58080624956,3576418674,3611323775,1862438775,1858959735,1858991869,1860676574
57843424956,58181124956,3576418674,3611323775,1858459735,1858959735,1858991869,1860676574
57843424956,58183624956,3576418288,3611323775,1858459735,1858959735,1858991869,1860676574
57843424956,58183624956,3576418288,3611323775,1858459735,1858959735,1858991869,1860676574
58181124956,58183724956,3577417130,3610940720,1858459735,1858959735,1858991869,1860676574
58183624956,58243724956,3608936353,4112073103,1858459735,1858959735,1858991869,1860676574
58183624956,58243824956,3608745578,4112073103,1858459735,1858959735,1858991869,1860676574
58183724956,58263963176,3608745578,4112073103,1858459735,1858959735,1858991869,1860676574
58183724956,58263760736,3608745578,3651707088,1858459735,1858959735,1858991869,1860676574
58263963176,58263555227,3610725578,3651707088,1858459735,1858959735,1858991869,1860676574
58263760736,3575919440,3611725578,3651707088,1858459735,1858959735,1858991869,1860676574
58263660963,3575919057,3611725578,3651707088,1858459735,1858959735,1858991869,1860676574
58263455227,3576418674,3611725578,3651707088,1858459735,1858959735,1858991869,1860676574
58263555227,3576418674,3611725578,3651707088,1858459735,1858959735,1858991869,1860676574
58263555227,3576418288,3611725578,3651707088,1858459735,1858959735,1858991869,1860676574
3575919057,3576418288,3611725578,3651707088,1858459735,1858959735,1858991869,1860676574
3576418674,3576417516,3611725578,3651707088,1858459735,1858959735,1858991869,1860676574
3576418674,3577417130,3611725578,3651707088,1858459735,1858959735,1858991869,1860676574
3576418288,3608936353,3611333335,3651707088,1858459735,1858959735,1858991869,1860676574
3576418288,3608936353,3611323775,3651707088,1858459735,1858959735,1858991869,1860676574
3576417516,3608745578,3611323775,3651707088,1858459735,1858959735,1858991869,1860676574
3608936743,3608745578,3611323775,3651707088,1858459735,1858959735,1858991869,1860676574
3608745578,3608745578,3611323775,3651707088,1858459735,1858959735,1858991869,1860676574
3608745578,3610725578,3610940720,3651707088,1858459735,1858959735,1858991869,1860676574
3608745578,3611725578,3610616413,3651697238,1858459735,1858959735,1858991869,1860676574
3608745578,3611725578,4112073103,3651697238,1858459735,1868859735,1858991869,1860676574
3608745578,3611725578,4112073103,3651697238,1858459735,1868859735,1858991869,1860676574
3611725578,3611725578,3651707088,3651490086,1858959735,1868859735,1858991869,1860676574
3611725578,3611333335,3651707088,3651490086,1858959735,1868859735,1858991869,1860676574
3611323775,3610616413,3651707088,1867221729,1858959735,1868859735,1858991869,1860676574
3611323775,4112073103,3651707088,1867221729,1858959735,1868859735,1858991869,1860676574
4112073103,3651707088,3651707088,1867221729,1858959735,1868859735,1858991869,1860676574
3651707088,3651707088,3651697238,1867221729,1858959735,1868859735,1858991869,1860676574
3651707088,3651707088,3651697238,1867221729,1858959735,1868859735,1858991869,1860676574
3651707088,3651707088,3651490086,1867221729,1858959735,1868859735,1858991869,1860676574
3651490086,3651490086,1867221729,1858945611,1858959735,1868859735,1858991869,1860676574
3651490086,1867221830,1867221729,1858945611,1858959735,1868859735,1858991869,1860676574
1867221729,1867221729,1858945611,1858945611,1858959735,1868859735,1858991869,1860676574
1867221729,1867221729,1858945611,1858945611,1858959735,1868859735,1858991869,1860676574
1858945611,1858945611,1858945611,1858645247,1858959735,1859097012,1858728735,1860676574
1858945611,1858945611,1858645247,1858645147,1858959735,1859097012,1858728735,1860676574
1858645247,1858645247,1858645247,1858645147,1858959735,1859097012,1858728735,1860676574
1858645147,1858645147,1858645147,1862645147,1858959735,1859097012,1858728735,1860676574
1861645147,1862645147,1862438775,1858459735,1858959735,1859097012,1858728735,1860676574
1861645147,1862645147,1862438775,1858459735,1858959735,1859097012,1858728735,1860676574
1861645147,1862645147,1862438775,1858459735,1858959735,1859097012,1858728735,1860676574
1862645147,1862645147,1862438775,1858459735,1858959735,1859097012,1858728735,1860676574
1862438775,1862438775,1858459735,1858959735,1858959735,1859097012,1858728735,1860676574
1858459735,1858459735,1858459735,1858959735,1858959735,1859097012,1858728735,1860676574
1858959735,1858959735,1858959735,1858959735,1868859735,1859097012,1858728735,1860676574
1868859735,1868859735,1868859735,1868859735,1859097012,1859097012,1858728735,1860676574
1859097012,1859097012,1859097012,1859097012,1859097012,1859097012,1858728735,1860676574
1859043382,1859043382,1859043382,1859043382,1858992908,1858728735,1858728735,1860676574
1858992908,1858992908,1858992908,1858992908,1858728735,1858728735,1858728735,1860676574
1858991869,1858991869,1858991869,1858991869,1858728735,1858728735,1860676574,1860676574
1858728735,1858728735,1858728735,1858728735,1858728735,1858728735,1860676574,1860676574
1860676574,1860676574,1860676574,1860676574,1860676574,1860676574,1860676574,1860154059
1860154267,1860154267,1860154267,1860154267,1860154267,1860154059,1860154059,1852470664
1860154059,1860154059,1860154059,1860154059,1860154059,1860154059,1852470664,1852470664
1852470664,1852470664,1852470664,1852470664,1852470664,1852470664,1852470664,1852470664
1852336938,1852336938,1852336938,1852336938,1852336938,1852336938,1852336938,1852336938
