token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
30102400000,30102600000,30104000489,31362000489,74247401101,94979266601,158267746152,210936513849
30102600000,30102600000,30162000489,32412000489,74247401101,95924766601,158267746152,210589281681
30102600000,30102900489,30162000489,32412000489,76247401101,90216093736,158267746152,210130687954
30102600000,30102900489,30162000489,31350295359,76247401101,91211193736,157864874848,209821271293
30102600000,30102900489,30162000489,31350295359,77199165647,91211193736,158328165792,210886721652
30102600000,30102900489,30162000489,31350295359,77199165647,86710899204,157762225783,210886721652
30102600000,30102900489,30162000489,34350295359,77199165647,86710899204,157762225783,210886721652
30102900489,30103400489,30362000489,35300288481,76205394521,77698109509,159695309274,210329495574
30103400489,30104000489,30362000489,36305141453,77240514382,77404485053,159878925430,210879270482
30104000489,30162000489,30362000489,35226447686,81240514382,85360014959,158928592207,210929822786
30162000489,30362000489,31362000489,36287615663,80150323939,85360014959,158284661672,211201310345
30162000489,30362000489,32412000489,36287615663,80150323939,76734824095,160899265961,210961030601
30362000489,30362000489,34350295359,37326737666,82136734384,70301961742,160899265961,211208424218
32412000489,34350295359,35287615663,41048671110,84118796858,71878200977,157923429896,211759368029
34350295359,35300288481,36287615663,43855588409,84123135449,72571540486,159172208132,212325552901
34350295359,35300288481,36327215663,43855588409,86123135449,73230979331,154890251758,212669088224
35300288481,36305141453,37326737666,41923332206,88056374380,75114677241,154249986031,212156661819
34305141453,36305141453,38163295909,42988827240,87016525306,75114677241,153398067328,211882844226
36305141453,37305141453,38163295909,42988827240,87016525306,75114677241,151968953357,211882844226
36305141453,37136713813,39163295909,42993708021,88028823758,76749889729,151968953357,212774335153
37305141453,35226447686,39163295909,43948589773,88028823758,76749889729,151968953357,212479792880
35226447686,36287615663,41185949526,44912878719,87994166196,77029374965,155407295036,212780812138
36287615663,36327215663,40087081783,43928998711,88994166196,75853189928,154997978106,212780812138
36287615663,35326737666,40087081783,43928998711,89999541960,79812097177,153903316966,212764368312
36287615663,37326737666,41048671110,43928998711,89999541960,79812097177,153903316966,212313735441
36327215663,37326737666,41048671110,43928998711,89999541960,79812097177,154443634850,212587461808
37326737666,38163295909,43855588409,49928998711,90999541960,76679815944,155951723963,212666882910
38163295909,39163295909,43855588409,48893280969,91999541960,76250023793,155951723963,213184882910
38163295909,39173295909,41923332206,47689965093,91999541960,76250023793,153655813086,213184882910
39163295909,41185949526,42988827240,48689965093,91982878840,76250023793,151776005159,214128578489
41185949526,40087081783,42993708021,48654047622,94982878840,73677010907,154479031966,213876071585
41185949526,41048671110,43948589773,48654047622,94982878840,71816802924,153538830353,213840508327
40087081783,41048671110,44948589773,48654047622,93944845923,78757467623,153538830353,212552637456
40087081783,44048671110,44948589773,51654047622,96944845923,78757467623,153538830353,212552637456
41048671110,43855588409,43928998711,51620476315,94914329157,78757467623,153490526765,212809315368
43855588409,41923332206,43928998711,51626726519,94904012826,79537693338,152545959434,211492645237
43855588409,41988827240,44928998711,51631484265,95904012826,80850552525,153081059434,211492645237
43855588409,42988827240,45928998711,51673367032,96904012826,80850552525,152625395106,211311925208
42988827240,43948589773,47689965093,53673367032,96873050696,73604252184,152052319309,210607631601
42988827240,44948589773,47689965093,53673367032,97878727638,73616807451,151798989360,210428839526
42993708021,43908262175,48689965093,54646740781,97878727638,77460275906,151798989360,209990286647
43908262175,43928998711,48654047622,54646740781,99863155089,77084568520,151217599404,209897648381
44912878719,43928998711,48654047622,54646740781,99863155089,77084568520,151548565138,210174348381
43928998711,43928998711,48654047622,54646740781,98847995303,78443417634,151548565138,210670704832
43928998711,45928998711,52654047622,54646740781,97858331403,74390723495,151132618909,210422152857
43928998711,46928998711,52654047622,54666740781,97858331403,74390723495,151009778569,210251182054
43928998711,49928998711,51620476315,57634353584,97858331403,74480853153,150636587586,210251182054
49928998711,48689965093,51631484265,58532189475,101858331403,73456765485,151527055805,210405132393
49928998711,48689965093,51673367032,58532189475,101858331403,73456765485,151527055805,210405132393
48893280969,48689965093,51673367032,58532189475,101858331403,73992865485,151527055805,210100860768
47689965093,49689965093,51673367032,58515575725,100802365945,73749911232,151490334907,210098859619
48689965093,48654047622,53673367032,58515575725,102788578102,74005790064,152330012392,210098859619
48689965093,48654047622,53673367032,57520252255,102788578102,74005790064,152330012392,210098859619
49689965093,51654047622,52646740781,60520252255,101773997462,74005790064,152046315765,210098859619
48654047622,51620476315,54646740781,59491775279,104759940104,82231354523,152296392330,210771259619
52654047622,51626726519,54646740781,59491775279,104759940104,82231354523,152296392330,211436762327
52620476315,51631484265,54646740781,62506360967,105769784848,82450041105,150353265614,211076390552
51626726519,51673367032,54646740781,62506360967,105769784848,85068417920,151861265614,211076390552
51626726519,51673367032,56633853584,62506360967,105769784848,85068417920,151861265614,211076390552
51631484265,53673367032,57634353584,61478964353,104736244502,85493828275,153621865614,211105108108
51673367032,53673367032,58634353584,64478964353,106736244502,85493828275,151569914981,211105108108
53673367032,52646740781,58532189475,64478964353,106722394592,89601761826,152046592299,211105108108
