token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
45300800000,45302900000,45321500000,45321500000,52108898141,72095456531,124307019169,128166774108
45302900000,45303200000,45321500000,45321500000,51864806411,74769277174,123222991578,128166774108
45302900000,45303400000,45321500000,45321500000,52332806411,75628216034,121575823533,128166774108
45303200000,45303600000,45321500000,45321500000,51602786203,75607192763,118510317238,128166774108
45303200000,45303600000,45321500000,45321500000,51602786203,76460792763,118510317238,128143875358
45303600000,45321500000,45321500000,45321500000,51619591648,77029622941,118510317238,129568070163
45303600000,45321500000,45321500000,45321500000,51619591648,77029622941,118510317238,129568070163
45320900000,45321500000,45321500000,45321500000,51619591648,77029622941,118510317238,129568070163
45321500000,45321500000,45321500000,45331500000,51761687884,77029622941,113580173133,129568070163
45321500000,45321500000,45321500000,45331500000,51687636000,77029622941,114388708950,129568070163
45321500000,45321500000,45321500000,45331500000,51687636000,77029622941,114388708950,129568070163
45331500000,45331500000,45331600000,46267600000,52383821625,78241317675,112214618087,128584335313
45331600000,45331600000,45799600000,47806191211,52119696025,79678941377,118481705899,131105342708
45799600000,45799600000,47338191211,49008042795,57356101178,82883926787,125621878084,131952742708
47671600000,47671600000,47536473989,49100520670,57229169734,81368368499,125621878084,131952742708
47671600000,47338191211,48856327997,49400024955,56020225921,83024968499,125621878084,131952742708
47338191211,47806191211,48469763541,49715446233,56942425921,82541613785,125488182374,131388989039
47338191211,47806191211,48469763541,49715446233,56942425921,84237695783,125488182374,131388989039
47806191211,47536473989,49008042795,49057104484,56081101497,87811695783,122302218193,133868730726
48856327997,48856327997,49100520670,48788721326,57190931347,84512629413,123041895704,133868730726
48856327997,49018080244,49400024955,48788721326,58192115173,83397366498,123041895704,133868730726
49008042795,49008042795,49715446233,48788721326,58192115173,85858866498,123041895704,133868730726
49008042795,49008042795,49715446233,48788721326,58374398106,85092618461,123041895704,133868730726
49008042795,49008042795,49715446233,48788721326,60921668513,85092618461,123041895704,133868730726
49400024955,49715446233,48788721326,50674585188,61301934083,87674704885,123041895704,132269266634
49715446233,49715446233,48788721326,50674585188,60650395418,86128258339,123041895704,127268423745
49715446233,49715446233,48788721326,50674585188,60955370798,86128258339,123041895704,127268423745
48788721326,48788721326,48788721326,50674585188,63848166160,84568616612,123041895704,128611690263
48788721326,48788721326,49824721326,51610585188,63848166160,86345916612,123041895704,128895123236
50292721326,50674585188,50674585188,51952856368,66442995897,87828953236,120464257502,130148433822
50216137215,50674585188,50674585188,51602786203,66442995897,87828953236,120464257502,130148433822
50674585188,50674585188,51610585188,51998528112,66442995897,88764953236,120464257502,130148433822
50674585188,50674585188,51610585188,51619591648,66442995897,88764953236,120464257502,132616792904
50674585188,50674585188,51610585188,51619591648,66442995897,90885453236,120464257502,132869637749
50674585188,50674585188,51610585188,51619591648,66442995897,91626353236,120464257502,133684771561
50674585188,50674585188,51610585188,51619591648,66442995897,91863682350,120464257502,133684771561
51610585188,53014585188,51602786203,51703230824,72037298461,93112684736,120280689278,133886803076
51468972840,51608928432,51619591648,51703230824,72095456531,93761423434,122745379114,133886803076
51468972840,52108898141,51619591648,52247716088,72095456531,93215838928,122745379114,133886803076
51288797985,51952856368,51687636000,51963841750,72095456531,92458460681,122745379114,133886803076
52332806411,51602786203,51776696877,52910996139,72095456531,90303234261,122745379114,133886803076
51952856368,51602786203,51776696877,52910996139,72070577174,91239234261,122745379114,133886803076
51952856368,51998528112,51776696877,52910996139,72070577174,91239234261,122745379114,133886803076
51602786203,51619591648,51776696877,53028400261,75628216034,93044534261,122745379114,133886803076
51602786203,51619591648,51703230824,53028400261,75607192763,93044534261,122745379114,132978702136
51619591648,51619591648,51703230824,53045166080,75607192763,91287832500,122745379114,132978702136
51619591648,51687636000,51703230824,53045166080,77029622941,90527348894,122745379114,130692541726
51619591648,51687636000,51703230824,53045166080,77029622941,90527348894,122745379114,130692541726
51687636000,51776696877,52883858557,52383821625,77029622941,90527348894,122745379114,130692541726
51687636000,51776696877,52322360771,52383821625,77029622941,90527348894,122745379114,130692541726
51776696877,51703230824,52519972151,52478617142,75731825667,88953528625,121208052313,130692541726
51776696877,51703230824,52910996139,52119696025,75731825667,90516928625,121208052313,130692541726
51703230824,51703230824,53028400261,52119696025,76954122277,90516928625,121208052313,130692541726
51963841750,52910996139,52383821625,52681296025,76269059707,93605428625,119709604776,127911012892
51963841750,52910996139,52383821625,52681296025,76269059707,93605428625,119709604776,127911012892
51963841750,52910996139,52383821625,52681296025,76269059707,93605428625,119709604776,129410012892
52519972151,52560400261,52383821625,54620101178,76269059707,93605428625,119709604776,129410012892
52910996139,53028400261,52383821625,54620101178,76269059707,93605428625,119709604776,129410012892
52560400261,53045166080,52478617142,57356101178,76734440354,92810617218,119709604776,129410012892
53028400261,53045166080,52119696025,57356101178,76734440354,93634117218,119709604776,129410012892
53045166080,53045166080,52119696025,57356101178,77024007096,92459965849,121860611699,129410012892
53045166080,53045166080,52119696025,57356101178,77024007096,92459965849,121972384176,129410012892
53045166080,53513166080,52119696025,57356101178,77305317675,92459965849,122746150174,129410012892
53045166080,52383821625,52119696025,57350020882,77305317675,95267965849,122746150174,129410012892
52383821625,52383821625,52119696025,57229169734,78241317675,95438532593,125263676339,129410012892
52383821625,52383821625,52119696025,57229169734,78241317675,95438532593,125263676339,129410012892
52119696025,52119696025,57356101178,56942425921,78742941377,92191130621,125948600908,129378434377
52119696025,52119696025,57356101178,56942425921,78742941377,92191130621,125948600908,130374934377
52681296025,57356101178,57229169734,57190931347,79786223167,95803630621,126166154915,131462570159
57356101178,57356101178,56942425921,58192115173,80988814704,97017230621,123908982346,132147670159
57356101178,57445207061,56942425921,58192115173,80988814704,97017230621,123908982346,132147670159
57229169734,57229169734,56081101497,60901395001,83953908967,98011324540,126149082346,131839189452
57229169734,57229169734,56081101497,58830415632,83953908967,98011324540,126149082346,131839189452
57229169734,57229169734,57190931347,58830415632,83953908967,97831510296,126149082346,131839189452
57229169734,56020225921,57190931347,58830415632,83953908967,99471810296,126149082346,131839189452
56942425921,56942425921,58192115173,60650395418,81368368499,103287969546,129259982344,131839189452
56942425921,56942425921,58192115173,60650395418,83024968499,101121318779,125884816335,132956144568
56942425921,56942425921,58192115173,60955370798,83024968499,101121318779,124824553530,133239544568
57190931347,57190931347,60901395001,62189554094,87811695783,101830412529,124824553530,132120444023
57190931347,58192115173,58830415632,63848166160,87811695783,104216766933,124824553530,132120444023
58192115173,58192115173,61561675810,63848166160,83209733819,104216766933,125547165179,132398702017
58192115173,58192115173,61561675810,63848166160,83397366498,102537854455,126309856804,132398702017
60901395001,58830415632,60955370798,64849456239,85092618461,105746910876,126853239853,132398702017
60901395001,58830415632,61162761375,64849456239,85092618461,105746910876,127585877569,132398702017
58830415632,59809945515,62189554094,66442995897,85092618461,105746910876,124706360362,131270122666
58830415632,60351834083,62189554094,66442995897,85092618461,105387760316,124706360362,131270122666
59809945515,61561675810,63848166160,66442995897,85876849223,104268035675,124706360362,131270122666
61561675810,60955370798,63848166160,66442995897,86759608021,104259647234,123137637025,131270122666
60650395418,60955370798,63848166160,66442995897,86759608021,104259647234,123137637025,131270122666
60650395418,60955370798,63848166160,66442995897,87674704885,104259647234,122357621173,131270122666
60650395418,60955370798,63848166160,66442995897,86075886185,104259647234,122357621173,131270122666
60955370798,60955370798,65316466160,66471995897,86128258339,104259647234,122270357787,131270122666
60955370798,62189554094,65316466160,66471995897,86128258339,104259647234,122270357787,131270122666
63848166160,63848166160,64849456239,65775741215,86128258339,104259647234,122270357787,131270122666
