token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
204377358204333,205580923607287,199293012571443,208470286348069,120696981017705,114031244727896,99760576645054,161890038787177
204517403653807,205580923607287,199115182401818,207138263129292,120839647973606,114031244727896,99760576645054,163681342021995
201971423629863,205451965358223,199112281690023,202039858423376,120708338459240,114031244727896,100159218588311,158783434499274
201971423629863,210250610712020,198866029730749,203515011797254,120499895181831,113506355262991,100090702421863,157775364818676
205583501845373,207575122422356,198915024795954,203265572090427,120284603914775,113506355262991,101288138737683,157775364818676
205580923607287,207647010572365,198915024795954,203265572090427,122333675879417,113506355262991,100712973366344,157538787738612
205580923607287,207639120915334,197240540438720,203064451516940,122888300832891,114537396269851,100473377374256,156253291656526
205451965358223,207639120915334,190394810555488,203064451516940,122888300832891,114872708632324,99547361332455,156071400227549
207575122422356,207796595173223,196232909111518,191324199056560,119705668235584,115857995891996,99547361332455,151427342127888
207647010572365,204883122421922,205398315986027,191324199056560,121490612956132,115699257631364,99709838648046,151886905044410
207639120915334,200842419561501,197241431268864,191324199056560,121648757208775,115691332162934,99146873017468,150584700572945
207639120915334,200720715091988,197241431268864,191324199056560,121120178614063,117389722472070,99146873017468,150070119784774
207796595173223,199693977455185,197241431268864,178883840672367,121331802286019,117918417005737,98959468010971,148619128351656
204883122421922,199693977455185,197099274145576,180714154752543,121418072046282,117918417005737,98832650978479,148878783593629
200842419561501,188817266382784,204310751247138,180714154752543,120180977561356,117918417005737,98549784382862,148878783593629
199693977455185,190945658153107,204901124761027,181677099847905,122127707140728,118091675135099,108475278033953,147499524956411
199693977455185,199293012571443,213016754035940,181677099847905,122509437950036,117925337155126,107086505218816,146788334798645
188817266382784,199115182401818,212972530727381,181476487517871,123277950463824,117925337155126,107031042700309,146900824140039
191166013987678,198866029730749,212421284868474,172023741146338,123866750105080,117517167819665,106664696108929,146877009512555
190945658153107,198915024795954,215472800744527,172023741146338,123054378146498,117517167819665,106418322831031,146402333398712
199115182401818,197240540438720,211312076659099,172683879778327,123018076841805,119405274228238,103216899391471,146533524191194
199112281690023,190394810555488,211312076659099,172884049001531,123018076841805,119405274228238,103578839789925,146533524191194
198915024795954,196232909111518,210070935695183,170846410261425,123018076841805,119189271535900,103578839789925,146533524191194
198915024795954,205398315986027,208470286348069,171114890616938,123018076841805,120478745411708,103578839789925,146533524191194
197240540438720,197312586820308,207138263129292,175164248977018,124246031354918,125957349910857,103578839789925,146533524191194
190394810555488,197241431268864,202039858423376,174306117658772,125847992182539,120326760379916,103518418383028,146533524191194
190394368566857,197241431268864,203515011797254,173396067489893,125847992182539,119475976373623,103766998014966,148048222298017
196232909111518,197241431268864,203265572090427,172635867084260,125847992182539,119475976373623,104290976921368,139339251830103
197312586820308,204310751247138,203064451516940,174916654731671,125874054265305,120029088117717,108849188617600,139673638083259
197241431268864,204234467272745,203064451516940,176294349963417,125606341619227,121422175375114,108653988350316,139673638083259
197241431268864,204901124761027,202563388260521,176547905142619,125606341619227,121422175375114,108487948641638,138641460588708
197241431268864,204901124761027,191324199056560,176547905142619,125499513655329,127988789714699,108487948641638,139413351445824
197099274145576,213016754035940,191324199056560,174681618954648,124562408232467,127988789714699,108600162024908,139137779279380
204310751247138,212972530727381,191324199056560,174681618954648,125382083025591,127988789714699,108499573218693,138882826933754
204234467272745,212972530727381,191324199056560,175682414728851,135446346782403,127593439441115,109748555661802,144882826933754
213016754035940,212405781342913,180714154752543,169822370057593,131837330835617,127593439441115,113495921092637,143172192486896
212972530727381,211312076659099,180714154752543,171275016019444,128236913069978,126935818569726,113361602430466,143172192486896
212972530727381,211312076659099,180840952091260,171275016019444,127952217479426,127071476099842,113630253653162,143172192486896
212421284868474,210235979231993,180681896929361,156004877022563,127612736451358,127772134745267,113382473634554,143172192486896
212405781342913,208470286348069,181677099847905,157975356848909,126120199151495,123119107059863,116720224506481,145871232403126
211312076659099,207138263129292,181476487517871,161248558913877,128382121478899,124033071800718,116603948459367,145871232403126
210235979231993,203515011797254,172023741146338,154584723570593,128138541031050,124041349177208,115740137047826,145871232403126
210070935695183,203265572090427,172023741146338,151761640228312,127402474613325,119692854903435,115740137047826,144718476320737
208470286348069,203265572090427,172683879778327,154069715372670,127402474613325,120620421785498,115740137047826,144269356421432
207138263129292,203064451516940,172683879778327,160836818187764,127402474613325,122625513193969,115360339229482,144386874265766
203515011797254,202563388260521,171918497011960,162033925118175,119604309746937,122640882704340,116450948271729,145725498415073
203265572090427,191324199056560,170846410261425,158388595021972,122915122781154,123009460213266,131997345790648,145912527554419
203265572090427,191324199056560,171114890616938,155280660545667,124027684220189,123009460213266,131856461420326,144482846374313
203064451516940,191324199056560,175164248977018,157573883921522,123139924570061,130678726677755,128366973903457,144294871450735
203064451516940,191324199056560,174306117658772,152857687350230,123284845777239,128081085044685,122990140067448,144550089531060
202563388260521,191324199056560,173396067489893,146257732646218,114662026141263,127952689473974,123758316486583,143867299288726
191324199056560,178883840672367,172635867084260,146257732646218,114786007659858,128352652636987,124594322658223,143367349189876
191324199056560,180714154752543,174916654731671,150243883419963,118592080728283,127347397772500,127852841528329,142847681318476
191324199056560,180681896929361,176547905142619,150474814181115,119074995961804,127331236244815,126171883205249,142836428944212
178883840672367,181677099847905,176547905142619,152052398501500,118873836192451,127226367002656,126175922536799,142836428944212
181677099847905,172023741146338,170289099499285,162067628619918,114533406839066,133573824624914,126031409549461,142922381632722
181677099847905,172683879778327,169822370057593,143580563286007,121632404367910,133573824624914,126031409549461,142922381632722
181276318294667,172884049001531,171275016019444,141767900375589,125577364224811,131383992933296,125492837507453,142677450094506
172023741146338,171918497011960,156004877022563,131189228015059,125577364224811,132108984049463,129045391061012,142677450094506
172023741146338,170846410261425,157975356848909,142408790452533,125363194447639,132128267347094,130088545159954,147787417561265
172683879778327,175164248977018,161248558913877,148291382798811,125363194447639,131371273998551,134160088672827,147787417561265
172884049001531,174306117658772,162623655219962,147590586867765,125363194447639,134448702036416,133009784105145,147187666909050
171918497011960,173396067489893,154584723570593,145071143509570,123512969664156,134448702036416,131708931420211,144836588412608
171114890616938,174968887574892,154069715372670,145676106517103,123936522355018,134691520533207,126238920251068,145393051470502
174306117658772,176294349963417,162113722572619,135501733595278,120065678489165,135997812674116,125833651850322,145413420616362
173396067489893,176547905142619,162033925118175,137706376452030,120345303849070,135844651038320,125833651850322,145413420616362
172635867084260,176547905142619,158388595021972,137871419988840,119486300567101,136264352553350,125246481407046,145613420616362
174968887574892,174681618954648,155280660545667,137641850984955,120113864241097,136493360369119,125283214537595,147254464164215
174916654731671,174681618954648,157573883921522,137641850984955,119688784366458,130256496492431,124611997653715,148176984833143
176294349963417,175682414728851,152857687350230,138483768398966,119475667383064,129520477802304,124148278876605,148176984833143
176547905142619,175693136721294,146257732646218,139214782150450,121182469657951,127703510953020,124148278876605,148176984833143
176547905142619,170289099499285,146257732646218,143385870888991,107687744434427,129174045699610,123510149496908,148056022463553
174681618954648,169822370057593,146129223422879,141362988979461,117003423496036,126284743209942,125132428615890,147971466418452
174681618954648,171275016019444,150243883419963,148302533325678,117679869144224,127073206305877,124586830580119,147834901713281
175682414728851,171275016019444,151297022706086,149578072121298,119558971706889,126787863163463,123865504351555,147827485932444
175693136721294,156004877022563,150474814181115,146878435856392,118711720526207,126787863163463,123821979220804,147625142768225
169822370057593,157975356848909,151815566174016,149078858263783,118848720635037,110722894284600,123542321289354,147625142768225
171275016019444,162623655219962,108744938975422,155305638297768,118292287397383,115935035692209,123492355156338,148578520475933
156004877022563,154584723570593,158115828146402,156432564536494,119546417979969,115935035692209,123492355156338,148578520475933
157975356848909,151761640228312,162067628619918,164836801276844,120118056184496,115935035692209,125363447747103,148335495846825
157975356848909,154069715372670,143580563286007,164259385339799,120075444906654,117359458160449,125318867987087,150220365017922
161248558913877,160836818187764,143778111997843,164261802605510,118395438880506,117294478985489,123518007095851,150220365017922
154584723570593,162033925118175,131189228015059,166374569662490,117408204331095,116690791676888,122195136109640,150220365017922
151761640228312,158388595021972,142408790452533,158289159183318,117950020338518,116455752839115,120156403624945,150220365017922
160836818187764,157573883921522,148291382798811,158274136481692,117909239472830,118866734442066,123867276083407,149971952985429
162113722572619,152857687350230,147590586867765,157124229565468,113940479815292,117950438552151,123176466513381,150303542037641
162033925118175,146257732646218,145071143509570,156744011912246,114908746247193,117809049583879,122811771097470,150303542037641
158388595021972,146257732646218,145533824609198,159693814664898,115287316910036,117809049583879,122385384483585,149868004850640
155280660545667,146129223422879,145676106517103,159452086602598,115479757293919,117036025636903,122419286483585,149868004850640
157573883921522,150243883419963,135501733595278,159266394716803,115032453965081,113822280566164,121875313970155,150176060763685
152857687350230,151297022706086,135501733595278,159220906993294,114620543414499,113639930202800,122144191147144,150176060763685
146257732646218,150474814181115,137706376452030,153209872156704,114597031228412,113639930202800,122144191147144,150484116676730
146257732646218,152052398501500,137871419988840,151530244851158,114425724810594,113601855572514,121975140968857,150484116676730
146129223422879,151815566174016,137641850984955,149511946525993,114425724810594,109876370530170,121806346418287,150484116676730
150243883419963,161272277763929,137641850984955,146886190543762,113355444028778,109876370530170,114263780048481,150384307452172
151297022706086,108744938975422,138483768398966,146886190543762,116635335023478,109876370530170,114828372777182,149763488080375
150474814181115,158115828146402,139214782150450,146886190543762,114568956592136,109698996403859,114828372777182,150123678291091
151815566174016,143580563286007,141362988979461,146886190543762,114373529951532,110662334212693,115705119903777,143162324780960
161272277763929,143778111997843,148302533325678,144329629825855,109576415929226,110162628717566,113434607709449,143162324780960
108744938975422,141767900375589,149578072121298,140099161296243,110887917177240,110162628717566,113483239680102,143162324780960
158115828146402,131189228015059,146878435856392,139918328098761,110909997623689,106029369803979,113483239680102,143162324780960
162067628619918,142408790452533,147421950139591,142838367964077,111803998381490,106029369803979,113680173373518,143885788057813
143580563286007,148291382798811,149078858263783,141876782200408,112340819963354,106029369803979,113991068319368,143885788057813
143778111997843,148291382798811,148838769531853,138563679605121,105126552791961,106029369803979,113881367936004,143885788057813
141767900375589,147590586867765,155305638297768,138563679605121,105491286157029,106101091528655,115094975604989,143885788057813
131189228015059,145071143509570,156432564536494,137932056226045,105491286157029,106101091528655,114677243286965,143885788057813
