token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
188675540593619,187499340812397,186744158552021,256517092104209,377948057505755,322974588929093,408016872646697,437043147620902
188675540593619,187499340812397,186744158552021,258641395721380,377948057505755,322974588929093,408016872646697,437043147620902
190134820793201,186806191028255,180581499385715,262196985703288,377948057505755,318004066886936,408016872646697,437043147620902
187760385183801,185980242234014,189229088657378,259875791179477,377948057505755,318004066886936,408016872646697,437043147620902
187563657382287,187221160946020,189229088657378,261171309332914,377948057505755,312355938847953,408016872646697,437043147620902
187499340812397,187221160946020,189565507995828,261171309332914,377948057505755,312355938847953,408016872646697,437043147620902
186806191028255,181182158818445,189457236352271,261964722377360,378157410630866,314715549742755,408016872646697,437043147620902
185980242234014,181182158818445,199981629994508,262362238834476,378157410630866,314715549742755,408016872646697,437043147620902
187221160946020,179311295747805,201441561268162,257876407135148,378216688869763,314715549742755,404036741832578,437043147620902
187221160946020,180806740622742,200213597066842,259214193006083,378216688869763,314715549742755,404036741832578,437043147620902
181182158818445,181586854885287,194412608422514,260265583699125,378463417282969,314715549742755,404036741832578,437043147620902
181182158818445,181586854885287,194412608422514,256955534760714,378463417282969,314715549742755,404036741832578,437043147620902
179311295747805,190385345624044,197361569065001,256955534760714,378463417282969,314715549742755,404036741832578,437043147620902
180409024969231,186397174725732,198821500338655,259203740872872,379906417827034,313533775583135,404036741832578,437043147620902
181586854885287,185355358126825,199605639581247,258799847837796,379906417827034,313533775583135,404036741832578,437043147620902
190385345624044,186744158552021,200238963227220,268576872875010,379906417827034,310617835481273,404036741832578,435894417347585
190881131833789,186744158552021,221942036098849,268576872875010,379906417827034,310617835481273,404036741832578,435894417347585
186397174725732,186744158552021,221942036098849,268576872875010,379906417827034,310617835481273,404036741832578,435894417347585
185355358126825,180581499385715,221942036098849,268576872875010,379906417827034,310617835481273,404036741832578,435894417347585
186744158552021,189229088657378,252337970717403,265416577207193,379906417827034,310617835481273,394418279494250,435894417347585
186744158552021,189565507995828,253565934918723,265416577207193,379906417827034,310617835481273,394418279494250,435894417347585
186744158552021,189457236352271,249973069863267,265416577207193,379906417827034,310617835481273,394418279494250,435894417347585
180581499385715,189457236352271,250768384099587,267977841913134,379906417827034,310617835481273,394418279494250,435894417347585
189229088657378,199981629994508,252666427535127,267977841913134,380867767227454,310617835481273,394418279494250,435894417347585
189229088657378,201441561268162,256517092104209,267116080908295,391055652936864,310617835481273,394418279494250,435894417347585
189457236352271,194412608422514,262196985703288,266808922253610,391323304807839,310617835481273,394418279494250,435894417347585
199981629994508,194412608422514,259875791179477,266808922253610,391323304807839,310617835481273,394418279494250,435894417347585
200213597066842,197361569065001,261171309332914,272755341671971,391323304807839,310617835481273,394418279494250,435894417347585
194412608422514,198821500338655,261171309332914,272755341671971,391323304807839,310617835481273,394418279494250,435894417347585
194412608422514,199605639581247,262362238834476,268573869626816,391323304807839,310617835481273,394418279494250,435894417347585
197361569065001,200238963227220,257876407135148,264259016120282,391323304807839,313543635411967,394418279494250,435894417347585
197361569065001,221942036098849,259214193006083,264131716592070,391323304807839,313543635411967,394418279494250,435894417347585
198821500338655,221942036098849,260265583699125,264295709829511,391430424135739,313543635411967,394418279494250,435894417347585
200238963227220,252337970717403,256955534760714,260013543848553,391430424135739,313543635411967,392917822970625,435894417347585
221942036098849,249973069863267,259203740872872,279186467941144,391430424135739,313543635411967,392917822970625,435894417347585
221942036098849,250768384099587,258799847837796,255152207050296,391430424135739,313543635411967,391988283324624,436137204625654
252337970717403,256517092104209,268576872875010,254829525422311,391430424135739,313543635411967,391266338161959,436137204625654
253565934918723,256517092104209,268576872875010,254829525422311,391430424135739,313543635411967,391266338161959,436137204625654
252666427535127,259875791179477,265845612754555,253108605639202,393639684532047,313543635411967,391266338161959,436137204625654
256517092104209,261171309332914,265416577207193,253152451567364,393639684532047,313543635411967,391266338161959,436137204625654
