token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
18026094163,10980768185,12462024867,12779445134,19314946571,19431687933,23516314049,17006050844
18026094163,10980968185,12462024867,12624275134,19314946571,19431687933,23516314049,17006050844
17091803681,10980968185,12462883267,12624275134,19314946571,19431687933,23516314049,17006050844
17092403681,10990968185,12462632191,12779235893,19314946571,19431687933,23516314049,17006050844
11209198886,11093521117,12462632191,12779235893,19314946571,19431687933,23516314049,17006050844
10980768185,11104221117,12462545219,12781326992,19314946571,19431687933,23516314049,17006050844
10980968185,11159721117,12462597960,12781426992,19314946571,19431687933,23516314049,17006050844
10990968185,11218721117,12462563818,12781426992,19314946571,19431687933,23516314049,17006050844
11093521117,11218721117,12462563818,12880426992,19314946571,19431687933,23516314049,17006050844
11104221117,11218721117,12462563818,12880426992,19314946571,19431687933,23521314049,17006050844
11129721117,11218721117,12462563818,12880426992,19314946571,19431687933,23521314049,17006050844
11218721117,11218721117,12462563818,12880314756,19814946571,19431687933,23521314049,17006050844
11218721117,11359221117,12462336080,12880314756,19814946571,19431687933,23521314049,17006050844
11218721117,12461224867,12462283254,12880314756,19964946571,19431687933,23521314049,17006050844
11218721117,12461224867,12609209211,12880314756,19964946571,19431687933,23521314049,17006050844
11218721117,12461724867,12609275134,12880314756,19964946571,19431687933,23521314049,17006050844
11218721117,12461724867,12609275134,12880314756,19964946571,19431687933,23521314049,17006050844
12461824867,12462632191,12719275134,12382809095,20964946571,19431687933,23521314049,17006050844
12462024867,12462545219,12719385134,12382809095,20964946571,19431687933,23521314049,17006050844
12462883267,12462597960,12719445134,12382809095,20964946571,19431687933,23521314049,17006050844
12462632191,12462563818,12779445134,12382809095,22942353137,19431687933,23521314049,17006050844
12462545219,12462563818,12779445134,12382809095,20876562470,19431687933,23521314049,17006050844
12462597960,12462563818,12624275134,12882672224,20824642449,19431687933,23521314049,17006050844
12462563818,12462563818,12779235893,12882672224,20824642449,19431687933,23521314049,17006050844
12462563818,12462283254,12781326992,12882672224,20824642449,19431687933,23521314049,17006050844
12462563818,12609209211,12781326992,12882672224,20824642449,19431687933,23521314049,17006050844
12462563818,12609275134,12781426992,12882672224,20824642449,19431687933,23521314049,17006050844
12462563818,12609275134,12781426992,12882672224,20824642449,19431687933,23521314049,17006050844
12609275134,12719275134,12880314756,13082672224,21632881707,19431687933,23521314049,17006050844
12619275134,12719385134,12880314756,13082672224,21632881707,19431687933,23521314049,17006050844
12719275134,12719445134,12880314756,13082672224,21632881707,19431687933,23521314049,17006050844
12719275134,12719445134,12880314756,13082672224,21632881707,19431687933,23521314049,17006050844
12719385134,12779445134,12382809095,13082543727,21632881707,19431687933,23521314049,17006050844
12719445134,12624275134,12382809095,14072480587,21632881707,19431687933,23521314049,17006050844
12779445134,12781326992,12382809095,14072480587,21632881707,19431687933,23571314049,17006050844
12624275134,12781326992,12382809095,14072480587,21632881707,19431687933,23571314049,17006050844
12779235893,12781426992,12382809095,14072580587,21632881707,19431687933,23571314049,17006050844
12779235893,12880426992,12382809095,14072580587,21632881707,19431687933,23571314049,17006050844
12781326992,12880426992,12882672224,14072680587,21632881707,19431687933,22693134821,17006050844
12781426992,12880314756,12882672224,14072680587,21632881707,19431687933,22693134821,17006050844
12880426992,12880314756,12882672224,14072680587,21632881707,19431687933,22693134821,17006050844
12880426992,12880314756,12882672224,14072680587,21632881707,19431687933,22693134821,17006050844
12880314756,12880314756,12882672224,14072680587,21632881707,19431687933,22693134821,17006050844
12880314756,12382809095,12882672224,15072680587,21662881707,19431687933,22693134821,17006050844
12382809095,12382809095,13082543727,15072566462,21662881707,19431687933,23053134821,17006050844
12882672224,12882672224,14072680587,15420066462,20649308753,19531687933,23053134821,17006050844
13082543727,14072480587,15072680587,17393406695,19633228218,19531687933,22803514856,17006050844
14072480587,14072580587,15072680587,16194161974,19633228218,19531687933,22803514856,17006050844
14072480587,14072680587,15072566462,16194161974,19633228218,19531687933,22803514856,17006050844
14072680587,14072680587,15420066462,16038925691,19717527265,19531687933,22803514856,17006050844
14072680587,15072680587,15420066462,15939623731,19717527265,19531687933,22803514856,17006050844
15072680587,15072566462,17393406695,19229220484,19481643326,19531687933,22803514856,17006050844
