token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
193202797293810,168808352918368,183453963872126,228189087027416,374057911819481,422722063425314,297115909839015,288863436975293
193180076881105,155734851920671,173483841017153,251116467070508,379242810030914,422722063425314,297115909839015,288863436975293
193089248669770,200754801533265,166989582941726,249429892348796,379242810030914,422722063425314,297115909839015,288863436975293
190845981788938,184540851687261,149750931866308,243994734252075,378395726390448,422722063425314,292043744879159,288863436975293
169264213649486,176530464823262,149605349223443,246737348701399,378395726390448,422722063425314,292043744879159,288863436975293
168808352918368,213044745413507,144432137867604,246686969696298,379594161803828,424218810147395,292043744879159,288863436975293
155734851920671,213506588431060,157459428916755,246182077759024,303576768780096,425277375551334,292043744879159,288863436975293
200754801533265,217358042221486,173385888795624,242353773479774,378753171477233,425277375551334,292043744879159,288863436975293
184540851687261,194407611924260,169776351746409,242556680742755,407221208926160,425277375551334,292043744879159,288863436975293
176530464823262,189936823196689,202553514511267,264161430888372,407637152868426,425277375551334,292043744879159,288863436975293
213044745413507,200734557880126,210512913162654,268605221952851,407637152868426,425277375551334,292043744879159,288863436975293
213506588431060,205421131222395,207446227453470,268605221952851,403756402565177,425277375551334,292043744879159,288863436975293
217358042221486,203628321996357,206676926761048,268605221952851,403756402565177,425277375551334,292043744879159,288863436975293
194407611924260,196397418430424,206394398660838,286459542688662,403134846597733,425277375551334,292043744879159,288863436975293
189936823196689,202273254112793,203611044991656,294078454946153,412834040940153,426142467213185,292043744879159,288863436975293
200734557880126,199710928999759,171833060993199,294078454946153,413841871107369,426142467213185,292043744879159,288863436975293
205421131222395,191072683179739,172097019412109,302437381854323,411832817706355,426142467213185,297415997824717,288863436975293
203628321996357,181022236028047,162775933636925,297067426262652,415117123159547,426142467213185,297415997824717,288863436975293
196397418430424,181015766741454,192442465929584,297067426262652,422251072918807,426142467213185,297415997824717,288863436975293
202273254112793,180522554282075,231617951042585,298916884879416,422251072918807,426142467213185,297415997824717,288863436975293
199710928999759,183453963872126,230949459155072,300355660863506,422251072918807,426637541959481,297415997824717,288863436975293
191072683179739,173483841017153,193858101893774,301300151438608,422251072918807,426637541959481,297415997824717,288863436975293
181022236028047,166989582941726,207660821420763,301300151438608,422251072918807,426637541959481,297415997824717,288863436975293
181015766741454,149750931866308,233015568940431,306390114247926,423161954026779,426637541959481,297415997824717,288863436975293
180522554282075,149605349223443,233015568940431,295517679843644,424885809059743,426637541959481,297415997824717,288863436975293
183453963872126,144432137867604,223511039563313,324805523902773,424885809059743,426637541959481,297415997824717,288863436975293
173483841017153,157459428916755,251053022522494,319133432896459,424885809059743,426637541959481,297415997824717,288863436975293
166989582941726,173385888795624,251987062345190,319133432896459,424885809059743,426637541959481,297415997824717,288863436975293
149750931866308,169776351746409,254807116759220,312385187214965,424885809059743,426637541959481,297415997824717,279458633187644
149605349223443,202553514511267,253109910833433,314096262253860,425142272151731,426637541959481,297415997824717,279458633187644
144432137867604,210512913162654,228189087027416,264190241239380,427694234318091,426637541959481,297415997824717,279458633187644
157459428916755,207446227453470,251116467070508,264559470779168,428068983456165,426637541959481,297415997824717,279458633187644
173385888795624,206676926761048,249429892348796,283561275627415,428068983456165,426637541959481,297415997824717,279458633187644
169776351746409,206394398660838,243994734252075,286141259316460,428068983456165,426637541959481,297415997824717,279458633187644
202553514511267,203611044991656,246737348701399,314511223070197,428068983456165,426637541959481,297415997824717,279458633187644
210512913162654,171833060993199,246686969696298,326339689802434,432633891256216,426637541959481,297415997824717,279458633187644
207446227453470,172097019412109,246182077759024,326339689802434,432633891256216,426637541959481,297415997824717,279458633187644
206676926761048,162775933636925,242353773479774,325074277489135,432633891256216,426637541959481,297415997824717,279458633187644
206394398660838,192442465929584,242556680742755,335991844467522,430460978948528,426637541959481,297415997824717,279458633187644
203611044991656,231617951042585,264161430888372,293033306803197,430460978948528,426637541959481,297415997824717,279458633187644
171833060993199,230949459155072,268605221952851,300429842159527,430460978948528,426637541959481,297415997824717,279458633187644
172097019412109,193858101893774,268605221952851,309140013515715,430460978948528,426637541959481,297415997824717,279458633187644
162775933636925,207660821420763,268605221952851,308017145855375,430242708711631,426637541959481,297415997824717,279458633187644
192442465929584,233015568940431,286459542688662,308017145855375,435506525781408,426637541959481,301021924738437,279458633187644
231617951042585,233015568940431,294078454946153,291950168081408,435506525781408,426637541959481,301021924738437,279458633187644
230949459155072,223511039563313,294078454946153,291803676693336,442362308039137,426637541959481,301021924738437,279458633187644
193858101893774,251053022522494,302437381854323,262193491526344,442362308039137,426637541959481,301021924738437,279458633187644
207660821420763,251987062345190,297067426262652,260212878774960,441786540438153,426637541959481,301021924738437,279458633187644
233015568940431,254807116759220,297067426262652,263417992049700,441786540438153,426637541959481,301021924738437,279458633187644
233015568940431,253109910833433,298916884879416,261376914478557,445300496912701,426637541959481,301021924738437,279458633187644
223511039563313,228189087027416,300355660863506,256745910489247,450641758120694,426637541959481,301021924738437,279458633187644
251053022522494,251116467070508,301300151438608,264563076414449,450641758120694,426637541959481,301021924738437,279458633187644
251987062345190,249429892348796,301300151438608,263123277758089,450641758120694,426637541959481,301021924738437,279458633187644
254807116759220,243994734252075,306390114247926,250787146006192,451913167574335,426637541959481,301021924738437,279458633187644
228189087027416,246686969696298,324805523902773,246121042384310,451913167574335,426637541959481,301021924738437,279458633187644
251116467070508,246182077759024,319133432896459,246121042384310,451913167574335,426637541959481,301021924738437,279458633187644
249429892348796,242353773479774,319133432896459,245221643336128,451913167574335,426637541959481,301021924738437,279458633187644
243994734252075,242556680742755,312385187214965,245221643336128,451913167574335,426637541959481,301021924738437,279458633187644
246737348701399,264161430888372,314096262253860,244508327019403,451913167574335,426637541959481,301021924738437,279458633187644
246686969696298,268605221952851,264190241239380,244332422702258,454496931575671,426637541959481,301021924738437,279458633187644
246182077759024,268605221952851,264559470779168,264168394343708,455304638987167,426637541959481,301021924738437,279458633187644
242353773479774,268605221952851,283561275627415,263506016309868,455304638987167,426637541959481,301021924738437,279458633187644
242556680742755,286459542688662,286141259316460,263506016309868,455304638987167,426637541959481,301021924738437,279458633187644
264161430888372,294078454946153,314511223070197,263506016309868,455304638987167,424005152750656,301021924738437,279458633187644
268605221952851,294078454946153,326339689802434,263299708317975,455304638987167,423952308697210,301021924738437,279458633187644
268605221952851,302437381854323,326339689802434,263299708317975,435580620816158,423952308697210,301021924738437,279458633187644
268605221952851,297067426262652,325074277489135,262068615129497,435630872369292,423952308697210,301021924738437,279458633187644
286459542688662,297067426262652,335991844467522,274547004594521,435630872369292,423952308697210,301021924738437,279458633187644
294078454946153,298916884879416,293033306803197,290637007324358,435630872369292,423952308697210,301021924738437,279458633187644
294078454946153,300355660863506,300429842159527,289749971931920,435630872369292,423952308697210,301021924738437,279458633187644
