token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
20104100000,20104100000,20104800000,23868513966,71349354138,115057993728,124687656239,128919327667
20104100000,20104100000,20104800000,23868513966,73139254138,114317655255,124687656239,128919327667
20104100000,20104100000,20104800000,23868513966,73139254138,113902002850,124687656239,128919327667
20104100000,20104100000,20104800000,23914428372,73139254138,117398742669,124687656239,128919327667
20104100000,20104100000,20104800000,24356032103,73050482030,119781791516,124687656239,128919327667
20104800000,20104800000,23422015159,27286942257,71682663384,113127519956,122624211289,128919327667
21500300000,22569896296,24356032103,28481982293,73995973568,116224204722,121024002176,129180727334
21800300000,23593831343,24356032103,28481982293,71132694919,110253713317,121024002176,128818193975
23009035421,23422015159,25856032103,28481982293,72845894919,110253713317,121024002176,128818193975
23422015159,23868513966,25816132568,28481982293,75000321032,112303850446,121024002176,128818193975
23422015159,23868513966,26559300304,28481982293,75252042604,112303850446,121024002176,128818193975
23422015159,23868513966,26559300304,28481982293,76626010751,112303850446,121024002176,128818193975
23868513966,23868513966,27002588535,29519080275,76626010751,112303850446,121024002176,128818193975
23868513966,24356032103,27286942257,31950967243,80735911801,121640097633,121024002176,128818193975
23868513966,24356032103,27286942257,32358619464,80735911801,121640097633,121024002176,128818193975
24356032103,25690958272,27881982293,33356520522,80582105378,124999243192,121024002176,128818193975
24356032103,25690958272,27881982293,33356520522,79513021000,124999243192,121024002176,128818193975
26559300304,27286942257,28481982293,34862523902,93970758736,120159298731,117679638465,128818193975
26559300304,27286942257,28481982293,34862523902,89553399091,122617123610,117679638465,128818193975
27002588535,27286942257,28481982293,35162523902,89553399091,123676886422,117679638465,128818193975
27286942257,27133511121,28481982293,35162523902,89553399091,123676886422,117679638465,128818193975
27286942257,27133511121,28481982293,35162523902,89553399091,123715405654,117679638465,128818193975
27286942257,27881982293,28481982293,35162523902,89553399091,123715405654,117679638465,128818193975
27286942257,27881982293,29519080275,35162523902,89553399091,123715405654,117679638465,128818193975
27133511121,27881982293,30166457463,35162523902,89553399091,119248272946,117071978355,128818193975
27881982293,28481982293,32358619464,36383313889,93080003298,120675793890,117690311499,128818193975
27881982293,28481982293,32936361086,36383313889,93080003298,120675793890,117690311499,128818193975
28481982293,28481982293,33356520522,39755287981,95532506151,122471968788,117328147638,128818193975
32358619464,32782876111,35162523902,43958266617,110711555016,119689636959,115311069315,128818193975
32358619464,32627978319,35162523902,43958266617,111585355016,126105514942,115311069315,128818193975
32936361086,33527978319,35162523902,43973436944,110896966250,124288061846,115311069315,128818193975
32936361086,33356520522,35942523902,43973436944,110896966250,124772445539,115311069315,128818193975
32782876111,33356520522,36383313889,45439917663,110896966250,125720298241,115311069315,128818193975
33527978319,33516520522,36383313889,45439917663,110072289831,129392058880,115311069315,128818193975
33356520522,33958422975,38430517038,45409985889,119145108955,127261799130,116644535872,128818193975
33356520522,34699160681,39755287981,46029359601,119145108955,119301166940,116644535872,128818193975
33516520522,34862523902,39755287981,46029359601,119145108955,112454136988,116758930372,128818193975
33516520522,34862523902,39755287981,46321225041,119145108955,113509336988,116758930372,128818193975
34862523902,35162523902,40230411746,46321225041,116487097987,107881434270,116758930372,128818193975
34862523902,35162523902,39619812213,50105307283,108855102510,111577932331,116758930372,128818193975
35162523902,35162523902,39742348236,50105307283,115722141167,113710072558,116758930372,128818193975
35162523902,35162523902,39742348236,50105307283,111640358775,120860412760,116758930372,128818193975
35162523902,36383313889,43925649860,51284670240,107196936553,120860412760,116758930372,128818193975
36383313889,39755287981,43973436944,52337720512,103318103197,126081287238,116758930372,131432593975
38430517038,39755287981,45439917663,52897209400,103318103197,126081287238,116758930372,131432593975
39755287981,39742348236,45409985889,55332044631,103318103197,124562932933,116758930372,133125693975
39755287981,39742348236,46029359601,55332044631,104138103197,124562932933,116758930372,133125693975
39742348236,43925649860,46321225041,57540801804,102669397219,144763526266,116758930372,133125693975
43250487445,45794049860,46939605921,57540801804,100055556935,139508547915,116758930372,133125693975
43925649860,43958266617,50105307283,57540801804,99765264876,133382417168,116758930372,134045493975
45794049860,43973436944,50970748733,58444160293,98743349003,135495940661,116758930372,134117993975
43958266617,43973436944,51284670240,58444160293,98724606143,135495940661,116758930372,132747910012
43958266617,45439917663,51284670240,59424116621,98485187822,135495940661,116758930372,132747910012
43973436944,45439917663,51284670240,59741771977,97084223011,129888893474,116758930372,128533052579
43973436944,45409985889,51284670240,59741771977,102634582378,129888893474,116758930372,128533052579
45439917663,46029359601,52625469307,60116003768,100882307489,129888893474,116758930372,128987652579
45409985889,46321225041,52897209400,62289247816,98202424696,132367133686,116758930372,125810171050
46321225041,50105307283,55332044631,63676904086,101562412679,128834992841,116758930372,127102373487
46321225041,50105307283,55332044631,63650837658,101562412679,132736887355,116758930372,128900473487
46939605921,50970748733,55565747321,63465999866,101562412679,132736887355,116758930372,128900473487
50970748733,51284670240,57540801804,64577964149,103714207501,132736887355,116546152533,128900473487
51284670240,51284670240,57540801804,64577964149,103714207501,132736887355,116546152533,128900473487
51284670240,52625469307,58444160293,64627964149,103714207501,133775187355,117211452533,128900473487
51284670240,52337720512,58444160293,64627964149,103714207501,133775187355,117211452533,128900473487
52897209400,55332044631,61251670705,71531047368,106100207501,113044285820,120504952532,128900473487
55332044631,55565747321,60116003768,71531047368,107386007501,113044285820,120504952532,128900473487
55332044631,55565747321,61519547816,73236456360,111809822345,113044285820,120504952532,128900473487
55332044631,55565747321,62289247816,70283156875,110902224855,113044285820,120504952532,128900473487
55565747321,57540801804,62908617048,72069609641,116658457079,113044285820,120504952532,128900473487
57540801804,58444160293,63650837658,72321613277,110607128900,113044285820,120504952532,128900473487
58444160293,59146151125,64346602645,74519709368,110689155393,113044285820,120504952532,128900473487
59919954592,61251670705,64627964149,72994719092,113354886754,113044285820,120504952532,128900473487
61251670705,62289247816,64627964149,75276158945,113747198952,113809424478,120504952532,128900473487
61251670705,62908617048,64471351720,75276158945,109548990710,116249424478,120504952532,128900473487
60116003768,62908617048,65998085800,75276158945,109548990710,117123524478,122356552532,128900473487
61400747816,62908617048,71846496986,78201694148,109548990710,118076924478,121685436848,128249083147
62289247816,63676904086,74883053872,77359949442,108813346689,119361680789,121685436848,127190956810
62908617048,63650837658,71531047368,77682780891,108813346689,119361680789,119997011062,127190956810
62908617048,63465999866,71531047368,74379013949,108813346689,119361680789,119997011062,127190956810
63676904086,63465999866,73236456360,67780116655,108813346689,118524865053,119997011062,127190956810
63676904086,61927280217,70283156875,68739819860,109285591327,118524865053,121347390830,127190956810
