open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:44,360000200000,360000200000,360000200000,360000200000,360000200000,360000200000,360000200000,360000200000,360000200000,360000200000,360000200000,51300000,0,51300000,0,51300000,0,51300000,0,51300000,0,51300000,0,51300000,0,51300000,0,51300000,0,51300000,0,0,5,0.9551656920077972,1.0,1.0,0.2311206056731278
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:45,360051400000,360051400000,360051400000,360051400000,360051400000,360051400000,360051400000,360051400000,360051400000,360051400000,360051400000,52300000,0,52300000,0,52300000,0,52300000,0,52300000,0,52300000,0,52300000,0,52300000,0,52300000,0,52300000,0,0,13,0.9369024856596558,0.9847036328871893,0.994263862332696,0.3590222389630213
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:46,360052400000,360052400000,360052400000,360052400000,360052400000,360052400000,360052400000,360052400000,360052400000,360052400000,360052400000,203000000,-48756204,203000000,-48756204,203000000,-48756204,203000000,-48756204,203000000,-48756204,203000000,-48756204,203000000,-48756204,203000000,-48756204,203000000,-48756204,203000000,-48756204,-48756204,20,0.7389162561576355,0.9916256157635468,0.9950738916256159,0.6910574022206277
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:47,360154743796,360154743796,360154743796,360154743796,360154743796,360154743796,360154743796,360154743796,360154743796,360154743796,360154743796,203800000,-48756204,203800000,-48756204,203800000,-48756204,203800000,-48756204,203800000,-48756204,203800000,-48756204,203800000,-48756204,203800000,-48756204,203800000,-48756204,203800000,-48756204,-48756204,23,0.7360157016683022,0.9887144259077527,0.993621197252208,0.7175442168993743
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:49,360156043796,360000200000,360156043796,360156043796,360156043796,360156043796,360156043796,360156043796,360156043796,360156043796,360156043796,204800000,-48756204,204800000,-48756204,204800000,-48756204,204800000,-48756204,204800000,-48756204,204800000,-48756204,204800000,-48756204,204800000,-48756204,204800000,-48756204,204800000,-48756204,-48756204,24,0.732421875,0.986328125,0.9931640625,0.7448979487677492
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:50,360156243796,360051400000,360156243796,360156243796,360156243796,360156243796,360156243796,360156243796,360156243796,360156243796,360156243796,153900000,-48756204,205200000,-48756204,205200000,-48756204,205200000,-48756204,205200000,-48756204,205200000,-48756204,205200000,-48756204,205200000,-48756204,205200000,-48756204,205200000,-48756204,-48756204,27,0.7309941520467836,0.9844054580896687,0.9912280701754388,0.7595843491078055
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:52,360156943796,360154743796,360156943796,360156943796,360156943796,360156943796,360156943796,360156943796,360156943796,360156943796,360156943796,2700000,0,205700000,-48756204,205700000,-48756204,205700000,-48756204,205700000,-48756204,205700000,-48756204,205700000,-48756204,205700000,-48756204,205700000,-48756204,205700000,-48756204,-48756204,28,0.7292173067574137,0.9820126397666505,0.9902771025765678,0.7747976823114948
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:53,360157043796,360154743796,360157043796,360157043796,360157043796,360157043796,360157043796,360157043796,360157043796,360157043796,360157043796,2000000,0,205800000,-48756204,205800000,-48756204,205800000,-48756204,205800000,-48756204,205800000,-48756204,205800000,-48756204,205800000,-48756204,205800000,-48756204,205800000,-48756204,-48756204,29,0.7288629737609329,0.9815354713313899,0.989795918367347,0.7786142271319016
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:55,360157143796,360156243796,360051400000,360157143796,360157143796,360157143796,360157143796,360157143796,360157143796,360157143796,360157143796,1200000,0,154700000,-48756204,206000000,-48756204,206000000,-48756204,206000000,-48756204,206000000,-48756204,206000000,-48756204,206000000,-48756204,206000000,-48756204,206000000,-48756204,-48756204,31,0.7281553398058253,0.9805825242718447,0.9888349514563107,0.7862369081421762
2024-06-09 04:15:44,360000000000,2024-06-09 04:15:58,360167243796,360157043796,360154743796,360167243796,360167243796,360167243796,360167243796,360167243796,360167243796,360167243796,360167243796,10300000,0,12200000,0,216000000,-48756204,216000000,-48756204,216000000,-48756204,216000000,-48756204,216000000,-48756204,216000000,-48756204,216000000,-48756204,216000000,-48756204,-48756204,32,0.6944444444444444,0.9768518518518519,0.9884259259259258,0.9372990622058973
