open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:41,206847767936064,206847767936064,206847767936064,206847767936064,206847767936064,206847767936064,206847767936064,206847767936064,206847767936064,206847767936064,206847767936064,0,-508139335687,0,-508139335687,0,-508139335687,0,-508139335687,0,-508139335687,0,-508139335687,0,-508139335687,0,-508139335687,0,-508139335687,0,-508139335687,-508139335687,0,0.0,0.0,0.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:42,206339885133486,206339885133486,206339885133486,206339885133486,206339885133486,206339885133486,206339885133486,206339885133486,206339885133486,206339885133486,206339885133486,0,-562712954253,0,-562712954253,0,-562712954253,0,-562712954253,0,-562712954253,0,-562712954253,0,-562712954253,0,-562712954253,0,-562712954253,0,-562712954253,-562712954253,0,0.0,0.0,0.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:43,205689811449739,205689811449739,205689811449739,205689811449739,205689811449739,205689811449739,205689811449739,205689811449739,205689811449739,205689811449739,205689811449739,0,-1468040210322,0,-1468040210322,0,-1468040210322,0,-1468040210322,0,-1468040210322,0,-1468040210322,0,-1468040210322,0,-1468040210322,0,-1468040210322,0,-1468040210322,-1468040210322,0,0.0,0.0,0.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:44,204790151674030,204790151674030,204790151674030,204790151674030,204790151674030,204790151674030,204790151674030,204790151674030,204790151674030,204790151674030,204790151674030,0,-6357542334708,0,-6357542334708,0,-6357542334708,0,-6357542334708,0,-6357542334708,0,-6357542334708,0,-6357542334708,0,-6357542334708,0,-6357542334708,0,-6357542334708,-6357542334708,0,0.0,0.0,0.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:46,200419832623228,206847767936064,200419832623228,200419832623228,200419832623228,200419832623228,200419832623228,200419832623228,200419832623228,200419832623228,200419832623228,0,-6600194327903,0,-6600194327903,0,-6600194327903,0,-6600194327903,0,-6600194327903,0,-6600194327903,0,-6600194327903,0,-6600194327903,0,-6600194327903,0,-6600194327903,-6600194327903,0,0.0,0.0,0.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:47,199689655239724,206339885133486,199689655239724,199689655239724,199689655239724,199689655239724,199689655239724,199689655239724,199689655239724,199689655239724,199689655239724,0,-6702205424589,0,-7210344760276,0,-7210344760276,0,-7210344760276,0,-7210344760276,0,-7210344760276,0,-7210344760276,0,-7210344760276,0,-7210344760276,0,-7210344760276,-7210344760276,0,0.0,0.0,0.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:48,193786600322440,205689811449739,193786600322440,193786600322440,193786600322440,193786600322440,193786600322440,193786600322440,193786600322440,193786600322440,193786600322440,0,-12574512811833,0,-13137225766086,0,-13137225766086,0,-13137225766086,0,-13137225766086,0,-13137225766086,0,-13137225766086,0,-13137225766086,0,-13137225766086,0,-13137225766086,-13137225766086,0,0.0,0.0,0.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:49,193762087030043,204790151674030,193762087030043,193762087030043,193762087030043,193762087030043,193762087030043,193762087030043,193762087030043,193762087030043,193762087030043,0,-11958952740316,0,-13426992950638,0,-13426992950638,0,-13426992950638,0,-13426992950638,0,-13426992950638,0,-13426992950638,0,-13426992950638,0,-13426992950638,0,-13426992950638,-13426992950638,0,0.0,0.0,0.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:50,193244893031145,204790151674030,193244893031145,193244893031145,193244893031145,193244893031145,193244893031145,193244893031145,193244893031145,193244893031145,193244893031145,120026951131,-7570591303994,120026951131,-13928133638702,120026951131,-13928133638702,120026951131,-13928133638702,120026951131,-13928133638702,120026951131,-13928133638702,120026951131,-13928133638702,120026951131,-13928133638702,120026951131,-13928133638702,120026951131,-13928133638702,-13928133638702,1,1.0,1.0,1.0,0.0
2024-06-08 23:36:41,206900000000000,2024-06-08 23:36:53,193046407513064,193786600322440,205689811449739,193046407513064,193046407513064,193046407513064,193046407513064,193046407513064,193046407513064,193046407513064,193046407513064,120026951131,-6763274677791,120026951131,-13410906483814,120026951131,-13973619438067,120026951131,-13973619438067,120026951131,-13973619438067,120026951131,-13973619438067,120026951131,-13973619438067,120026951131,-13973619438067,120026951131,-13973619438067,120026951131,-13973619438067,-13973619438067,1,1.0,1.0,1.0,0.0
