token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
10770328290,11176828290,11174844164,11178844164,11616900490,11344419686,11443374402,10547338808
10861328290,11178828290,11174844164,11178844164,11616900490,11344419686,11443374402,10547338808
10861328290,11178828290,11174844164,11178844164,11616900490,11344419686,11443374402,10547338808
11126728290,11179028290,11174844164,11178844164,11616900490,11344419686,11443374402,10547338808
11126728290,11179428290,11178844164,11178844164,11616900490,11344419686,11443374402,10547338808
11176828290,11133349920,11178844164,11182444164,11616900490,11344419686,11443374402,10547338808
11178828290,11143649920,11178844164,11182444164,11616900490,11344419686,11443374402,10547338808
11179028290,11164749920,11178844164,11182444164,11616900490,11344419686,11443374402,10547338808
11133349920,11184849920,11178844164,11182444164,11616900490,11344419686,11443374402,10547338808
11143649920,11184849920,11178844164,11182444164,11616900490,11344419686,11443374402,10547338808
11164749920,11184849920,11178844164,11182444164,11616900490,11344419686,11443374402,10547338808
11184749920,11184849920,11178844164,11182444164,11616900490,11344419686,11443374402,10547338808
11184849920,11184849920,11178844164,11382444164,11616900490,11344419686,11443374402,10547338808
11184849920,11174844164,11178844164,11562444164,11616900490,11344419686,11443374402,10547338808
11184849920,11174844164,11178844164,11562444164,11616900490,11344419686,11443374402,10547338808
11184849920,11174844164,11178844164,11562444164,11616900490,11344419686,11443374402,10547338808
11184849920,11174844164,11178844164,11562444164,11616900490,11344419686,11443374402,10547338808
11174844164,11178844164,11178844164,11562444164,11616900490,11344419686,11443374402,10547338808
11178844164,11178844164,11178844164,11563444164,11616900490,11344419686,11443374402,10547338808
11182444164,11382444164,11563444164,11587903152,11616032372,11344419686,11443374402,10547338808
11562444164,11562444164,11563944164,11587903152,11615924912,11344419686,11443374402,10547338808
11562444164,11562444164,11563944164,11587903152,11615924912,11344419686,11443374402,10547338808
11563444164,11563944164,11563944164,11587903152,11615924912,11344419686,11443374402,10547338808
11563944164,11563944164,11587903152,11607903152,11615924912,11344419686,11443374402,10547338808
11587903152,11587903152,11607903152,11607903152,11615924912,11344419686,11443374402,10547338808
11607903152,11607903152,11607903152,11607903152,11592875273,11344419686,11443374402,10547338808
11606900490,11606900490,11606900490,11616900490,11573026576,11344419686,11443374402,10547338808
11616900490,11616900490,11616900490,11616900490,11344419686,11344419686,11443374402,10707338808
11616032372,11615924912,11615924912,11615924912,11344419686,11344419686,10546548364,11169795344
11615924912,11615924912,11615924912,11592875273,11344419686,11444419686,10546548364,11169795344
11592875273,11592875273,11592875273,11573026576,11344419686,11444419686,10569548364,11169795344
11573026576,11573026576,11573026576,11549248480,11344419686,11444419686,10589548364,11169795344
11549248480,11549248480,11344419686,11344419686,11344419686,11444419686,10554968571,11169795344
11344419686,11344419686,11344419686,11344419686,11344419686,11444419686,10554968571,11169795344
11444419686,11444419686,11444419686,11444419686,11444419686,11444419686,10559968571,11169795344
11443374402,11443374402,11443374402,11443374402,11443374402,10554968571,10547338808,11540688231
10780814401,10546548364,10546548364,10546548364,10554968571,10559968571,10747721844,11540688231
10546548364,10546548364,10546548364,10546548364,10554968571,10559968571,10747721844,11540688231
10546548364,10546548364,10546548364,10546548364,10554968571,10559968571,10747721844,11540688231
10549548364,10549548364,10569548364,10589548364,10554968571,10559968571,11169795344,11540688231
10569548364,10569548364,10589548364,10589548364,10554968571,10559968571,11169795344,11540688231
10589548364,10589548364,10589548364,10542287492,10554968571,10559968571,11169795344,11540688231
10542287492,10542287492,10542287492,10554968571,10554968571,10559968571,11169795344,11540688231
10554968571,10554968571,10554968571,10554968571,10559968571,10559968571,11169795344,11540688231
10559968571,10559968571,10559968571,10559968571,10559968571,10547338808,11169795344,11954308232
10547338808,10547338808,10547338808,10547338808,10547338808,10547338808,11378615318,11954308232
10707338808,10707338808,10707338808,10712120215,11169795344,11169795344,11540688231,11953083736
10712120215,10712120215,10712120215,10747721844,11169795344,11169795344,11540688231,11953083736
10747721844,10747721844,10747721844,11169795344,11169795344,11169795344,11540688231,11953083736
11169795344,11169795344,11169795344,11169795344,11169795344,11169795344,11540688231,11953083736
11369795344,11369795344,11369795344,11369795344,11378615318,11540688231,11954308232,11751692263
11378615318,11378615318,11378615318,11378615318,11540688231,11540688231,11954308232,11751692263
11538615318,11538615318,11538615318,11540688231,11540688231,11540688231,11954308232,11751692263
11540688231,11540688231,11540688231,11540688231,11540688231,11540688231,11954308232,11704076246
11860688231,11860688231,11960688231,11960688231,11954308232,11954308232,11751692263,11704076246
11960688231,11960688231,11960688231,11960688231,11954308232,11954308232,11751692263,11704076246
11954308232,11954308232,11954308232,11954308232,11954308232,11954308232,11751692263,11704076246
