token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
15002600000,15036333082,15037233082,15348836656,18807807983,5369324517,5381325812,5576922840
15084100000,15036633082,15037233082,15348836656,18753873412,5369324517,5381325812,5576922840
15035733082,15036633082,15037733082,15548836656,19902577010,5369324517,5381325812,5576922840
15036333082,15036633082,15037733082,15548836656,19902577010,5369324517,5381325812,5576922840
15036333082,15036633082,15037633116,15548836656,19902577010,5369324517,5381325812,5576922840
15036633082,15036633082,15037433614,15548836656,19902577010,5369324517,5381325812,5576922840
15036633082,15036633082,15037433614,15548836656,19902577010,5369324517,5381325812,5576922840
15036633082,15036633082,15037234764,15548836656,19902577010,5369324517,5381325812,5576922840
15036633082,15036633082,15037234764,15548836656,19902577010,5369324517,5381325812,5576922840
15036633082,15036633082,15036934867,15548836656,19902577010,5369324517,5381325812,5576922840
15037733082,15037433614,15048336656,15349822623,19902577010,5369324517,5381325812,5576922840
15037433614,15036635447,15348836656,15349822623,19902577010,5369324517,5381325812,5576922840
15037034835,15036536569,15548836656,15349822623,19902577010,5369324517,5381325812,5576922840
15036934867,15036536569,15548836656,15349822623,19902577010,5369324517,5381325812,5576922840
15036536569,15036436603,15548836656,15849822623,19902577010,5369324517,5381325812,5576922840
15036536569,15036436603,15548836656,15869822623,19902577010,5369324517,5381325812,5576922840
15036536569,15036336656,15548836656,15869822623,19902577010,5369324517,5381325812,5576922840
15036436603,15036336656,15548836656,15869822623,19902577010,5369324517,5381325812,5576922840
15036436603,15048336656,15548836656,15869822623,19181172910,5369324517,5381325812,5576922840
15036336656,15048336656,15349822623,17409822623,19181172910,5369324517,5381325812,5576922840
15048336656,15348836656,15349822623,17909822623,19181172910,5369324517,5381325812,5576922840
15348836656,15548836656,15349822623,17909822623,19181172910,5375824517,5381325812,5576922840
15548836656,15548836656,15349822623,17910503610,20281172910,5375824517,5381198532,5576922840
15548836656,15548836656,15349822623,17910503610,20281172910,5375824517,5381198532,5576922840
15349822623,15349822623,15869822623,18928585520,20050979246,5375824517,5381198532,5576922840
15869822623,17409822623,17960003610,19186087520,20050864542,5363911663,5381198532,5576922840
16859822623,17409822623,17960003610,19186087520,20050864542,5363911663,5381198532,5576922840
17409822623,17929681222,18928585520,19667799990,20050864542,5363911663,5381198532,5576922840
17909822623,17910503610,18938485520,19667799990,20050864542,5363911663,5381198532,5576922840
17910503610,17910503610,18938485520,19667799990,12088997237,5363911663,5381198532,5576922840
17910503610,17910503610,18938485520,19667799990,7918410001,5363911663,5381198532,5576922840
17910503610,17910503610,19186036520,19667799990,7566734362,5363911663,5381198532,5576922840
18950003610,18938485520,19186087520,18964367979,5467672970,5355984554,5381198532,5576922840
18938485520,18938485520,19186087520,18542613018,5448542183,5355984554,5379433359,5576922840
18938485520,18938485520,19667799990,18542613018,5444139159,5355984554,5379433359,5576922840
18938485520,19186036520,19667799990,17598634093,5444139159,5355984554,5379433359,5576922840
19186087520,19186087520,19667799990,17466676571,5433502330,5355984554,5379433359,5576922840
