token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
7729819124,8160169124,10868,10868,10868,10868,10868,10868
8140119124,8150542925,10868,10868,10868,10868,10868,10868
8140169124,8170542925,10868,10868,10868,10868,10868,10868
8160169124,8170542925,10868,10868,10868,10868,10868,10868
8160169124,8170542925,10868,10868,10868,10868,10868,10868
8100542925,8171242925,10868,10868,10868,10868,10868,10868
8150542925,8418742925,10868,10868,10868,10868,10868,10868
8170542925,10868,10868,10868,10868,10868,10868,10868
8170542925,10868,10868,10868,10868,10868,10868,10868
8171242925,10868,10868,10868,10868,10868,10868,10868
8418742925,10868,10868,10868,10868,10868,10868,10868
10868,10868,10868,10868,10868,10868,10868,10868
10868,10868,10868,10868,10868,10868,10868,10868
10868,10868,10868,10868,10868,10868,10868,10868
10868,10868,10868,10868,10868,10868,10868,10868
