open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 12:41:32,75000000,2024-06-08 12:41:32,76000000,76000000,76000000,76000000,76000000,76000000,76000000,76000000,76000000,76000000,76000000,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-08 12:41:32,75000000,2024-06-08 12:41:33,571000000,571000000,571000000,571000000,571000000,571000000,571000000,571000000,571000000,571000000,571000000,496000000,0,496000000,0,496000000,0,496000000,0,496000000,0,496000000,0,496000000,0,496000000,0,496000000,0,496000000,0,0,2,0.9979838709677419,1.0,1.0,0.014527353193674111
2024-06-08 12:41:32,75000000,2024-06-08 12:41:34,571100000,571100000,571100000,571100000,571100000,571100000,571100000,571100000,571100000,571100000,571100000,596700000,0,596700000,0,596700000,0,596700000,0,596700000,0,596700000,0,596700000,0,596700000,0,596700000,0,596700000,0,0,10,0.8295625942684767,0.9991620579855875,1.0,0.47527353015864615
2024-06-08 12:41:32,75000000,2024-06-08 12:41:35,671800000,671800000,671800000,671800000,671800000,671800000,671800000,671800000,671800000,671800000,671800000,597500000,-26016393,597500000,-26016393,597500000,-26016393,597500000,-26016393,597500000,-26016393,597500000,-26016393,597500000,-26016393,597500000,-26016393,597500000,-26016393,597500000,-26016393,-26016393,16,0.8284518828451883,0.9981589958158996,0.9989958158995818,0.4871534598675171
2024-06-08 12:41:32,75000000,2024-06-08 12:41:36,641744556,641744556,641744556,641744556,641744556,641744556,641744556,641744556,641744556,641744556,641744556,597600000,-38700022,597600000,-38700022,597600000,-38700022,597600000,-38700022,597600000,-38700022,597600000,-38700022,597600000,-38700022,597600000,-38700022,597600000,-38700022,597600000,-38700022,-38700022,17,0.8283132530120482,0.9979919678714859,0.9988286479250335,0.48869433496696035
2024-06-08 12:41:32,75000000,2024-06-08 12:41:37,641899978,76000000,641899978,641899978,641899978,641899978,641899978,641899978,641899978,641899978,641899978,605700000,-38700022,605700000,-38700022,605700000,-38700022,605700000,-38700022,605700000,-38700022,605700000,-38700022,605700000,-38700022,605700000,-38700022,605700000,-38700022,605700000,-38700022,-38700022,19,0.8172362555720654,0.9975235264982664,0.9985141158989598,0.5540296751097616
2024-06-08 12:41:32,75000000,2024-06-08 12:41:39,642099978,571100000,642099978,642099978,642099978,642099978,642099978,642099978,642099978,642099978,642099978,111300000,-38700022,607300000,-38700022,607300000,-38700022,607300000,-38700022,607300000,-38700022,607300000,-38700022,607300000,-38700022,607300000,-38700022,607300000,-38700022,607300000,-38700022,-38700022,27,0.8150831549481311,0.9953894286184751,0.9972007245183601,0.5758285459396985
2024-06-08 12:41:32,75000000,2024-06-08 12:41:40,693599978,671800000,693599978,693599978,693599978,693599978,693599978,693599978,693599978,693599978,693599978,60700000,-38700022,657400000,-38700022,657400000,-38700022,657400000,-38700022,657400000,-38700022,657400000,-38700022,657400000,-38700022,657400000,-38700022,657400000,-38700022,657400000,-38700022,-38700022,29,0.7529662306054152,0.9948281107392759,0.996957712199574,0.8024547775272858
2024-06-08 12:41:32,75000000,2024-06-08 12:41:41,689716842,641744556,689716842,689716842,689716842,689716842,689716842,689716842,689716842,689716842,689716842,59900000,-121262306,657400000,-147278699,657400000,-147278699,657400000,-147278699,657400000,-147278699,657400000,-147278699,657400000,-147278699,657400000,-147278699,657400000,-147278699,657400000,-147278699,-147278699,29,0.7529662306054152,0.9948281107392759,0.996957712199574,0.8024547775272858
2024-06-08 12:41:32,75000000,2024-06-08 12:41:42,585621301,641899978,76000000,585621301,585621301,585621301,585621301,585621301,585621301,585621301,585621301,60300000,-108578677,657900000,-147278699,657900000,-147278699,657900000,-147278699,657900000,-147278699,657900000,-147278699,657900000,-147278699,657900000,-147278699,657900000,-147278699,657900000,-147278699,-147278699,30,0.7523939808481532,0.9940720474236207,0.996656026751786,0.8080630502540398
2024-06-08 12:41:32,75000000,2024-06-08 12:41:45,684621301,693599978,671800000,684621301,684621301,684621301,684621301,684621301,684621301,684621301,684621301,149600000,-108578677,160200000,-147278699,756900000,-147278699,756900000,-147278699,756900000,-147278699,756900000,-147278699,756900000,-147278699,756900000,-147278699,756900000,-147278699,756900000,-147278699,-147278699,31,0.6539833531510107,0.9935262253930507,0.996829171621086,1.090269436930676
2024-06-08 12:41:32,75000000,2024-06-08 12:41:48,714621301,585621301,641899978,714621301,714621301,714621301,714621301,714621301,714621301,714621301,714621301,129000000,-55937225,181200000,-164515902,786900000,-203215924,786900000,-203215924,786900000,-203215924,786900000,-203215924,786900000,-203215924,786900000,-203215924,786900000,-203215924,786900000,-203215924,-203215924,32,0.6290507052992756,0.9836065573770492,0.9966958952852967,1.2106402049358398
2024-06-08 12:41:32,75000000,2024-06-08 12:41:53,668684076,714621301,585621301,668684076,668684076,668684076,668684076,668684076,668684076,668684076,668684076,40000000,-55937225,139000000,-55937225,796900000,-203215924,796900000,-203215924,796900000,-203215924,796900000,-203215924,796900000,-203215924,796900000,-203215924,796900000,-203215924,796900000,-203215924,-203215924,33,0.6211569833103275,0.971263646630694,0.9963608984816165,1.2628575870280068
2024-06-08 12:41:32,75000000,2024-06-08 12:41:55,668576740,714621301,684621301,668576740,668576740,668576740,668576740,668576740,668576740,668576740,668576740,10000000,-108874,139000000,-56046099,796900000,-203324798,796900000,-203324798,796900000,-203324798,796900000,-203324798,796900000,-203324798,796900000,-203324798,796900000,-203324798,796900000,-203324798,-203324798,33,0.6211569833103275,0.971263646630694,0.9963608984816165,1.2628575870280068
2024-06-08 12:41:32,75000000,2024-06-08 12:41:56,668573664,714621301,684621301,668573664,668573664,668573664,668573664,668573664,668573664,668573664,668573664,10000000,-110412,40000000,-56047637,796900000,-203326336,796900000,-203326336,796900000,-203326336,796900000,-203326336,796900000,-203326336,796900000,-203326336,796900000,-203326336,796900000,-203326336,-203326336,33,0.6211569833103275,0.971263646630694,0.9963608984816165,1.2628575870280068
2024-06-08 12:41:32,75000000,2024-06-08 12:41:57,668572126,714621301,684621301,668572126,668572126,668572126,668572126,668572126,668572126,668572126,668572126,10000000,-111950,40000000,-56049175,796900000,-203327874,796900000,-203327874,796900000,-203327874,796900000,-203327874,796900000,-203327874,796900000,-203327874,796900000,-203327874,796900000,-203327874,-203327874,33,0.6211569833103275,0.971263646630694,0.9963608984816165,1.2628575870280068
2024-06-08 12:41:32,75000000,2024-06-08 12:42:00,668772126,668576740,714621301,668772126,668772126,668772126,668772126,668772126,668772126,668772126,668772126,200000,-111950,10200000,-111950,797100000,-203327874,797100000,-203327874,797100000,-203327874,797100000,-203327874,797100000,-203327874,797100000,-203327874,797100000,-203327874,797100000,-203327874,-203327874,34,0.621001129092962,0.9710199473089951,0.9961109020198218,1.2648717471086923
2024-06-08 12:41:32,75000000,2024-06-08 12:42:02,668770587,668572126,714621301,76000000,668770587,668770587,668770587,668770587,668770587,668770587,668770587,200000,-6155,10200000,-116567,797100000,-203332491,797100000,-203332491,797100000,-203332491,797100000,-203332491,797100000,-203332491,797100000,-203332491,797100000,-203332491,797100000,-203332491,-203332491,34,0.621001129092962,0.9710199473089951,0.9961109020198218,1.2648717471086923
