token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
10221000000,10305900000,11026970000,11206184767,509115480,560590470,561502202,561499219
10303500000,10627000000,11125751975,11208184767,509115480,560590470,561502202,561499219
10305900000,10628100000,11125424964,11283850787,509115480,560590470,561502202,561499219
10306600000,10628600000,11125183226,11283850787,509115480,560590470,561502202,561499219
10356600000,10629200000,11124631259,12456729688,509115480,560590470,561502202,561499219
10627000000,10629500000,11124196427,11233897814,509115480,560590470,561502202,561499219
10628100000,10629500000,11124080462,11233897814,509115480,560590470,561502202,561499219
10628600000,10629650000,11123963109,11233897814,509115480,560590470,561502202,561499219
10629200000,10679650000,11123963109,11233897814,509115480,560590470,561502202,561499219
10629300000,10679750000,11123963109,11233897814,509115480,560590470,561502202,561499219
10629500000,10680140000,11123963109,11233897814,509115480,560590470,561502202,561499219
10629500000,10779260000,11123963109,11233897814,509115480,560590470,561502202,561499219
10629650000,10779260000,11123963109,11233897814,509115480,560590470,561502202,561499219
10679650000,10779260000,11123963109,11487437661,509115480,560590470,561502202,561499219
10679750000,11026970000,11163963109,11429938518,509115480,560590470,561502202,561499219
10680140000,11026970000,11106184767,11429938518,509115480,560590470,561502202,561499219
10779260000,11125970000,11206184767,11429938518,509115480,560590470,561502202,561499219
10779260000,11125860974,11206184767,11429938518,509115480,560590470,561502202,561499219
11026970000,11125751975,11206184767,11677438518,509115480,560590470,561502202,561499219
11026970000,11125751975,11206184767,11677438518,509115480,560590470,561502202,561499219
11026970000,11125424964,11206184767,11977438518,509115480,560590470,561502202,561499219
11125751975,11124414391,11206184767,11977438518,509115480,560590470,561502202,561499219
11125183226,11123963109,11206184767,11977315778,509115480,560590470,561502202,561499219
11124631259,11123963109,11208184767,11977315778,509115480,560590470,561502202,561499219
11124414391,11123963109,11208184767,11977315778,509115480,560590470,561502202,561499219
11124080462,11123963109,11283850787,11863318230,509115480,560590470,561502202,561499219
11123963109,11123963109,11283850787,11863318230,509115480,560590470,561502202,561499219
11123963109,11123963109,12456729688,11863318230,509115480,560590470,561502202,561499219
11123963109,11163963109,12456729688,11863318230,509115480,560590470,561502202,561499219
11123963109,11106184767,11233897814,11863318230,509115480,560590470,561502202,561499219
11123963109,11206184767,11233897814,11863318230,509115480,560590470,561502202,561499219
11123963109,11206184767,11233897814,11863318230,509115480,560590470,561502202,561499219
11206184767,11206184767,11429938518,11970045114,509115480,560590470,561502202,561499219
11206184767,11206184767,11429938518,11970045114,509115480,560590470,561502202,561499219
11206184767,11206184767,11429938518,11970045114,509115480,560590470,561502202,561499219
12456729688,11233897814,11977315778,366311711,510015480,562590470,561502202,561499219
11233897814,11233897814,11863318230,366511711,510015480,562590470,561502202,561499219
11233897814,11487437661,11863318230,366264661,510015480,562590470,561502202,561499219
11233897814,11429938518,11863318230,366264661,510015480,562590470,561502202,561499219
11429938518,11977438518,11970045114,386464661,510015480,562590470,561502202,561499219
11677438518,11977438518,11970045114,386464661,510015480,562590470,561502202,561499219
11977438518,11977315778,12020045114,386446838,510015480,562590470,561502202,561499219
11977438518,11863318230,12020045114,386235495,510015480,562590470,561502202,561499219
11863318230,11863318230,366311711,386235495,510015480,562590470,561499219,561499219
11863318230,11970045114,366511711,386169398,510015480,562590470,561499219,561499219
11970045114,12020045114,366264661,386169398,510015480,562590470,561499219,561499219
11970045114,12020045114,386264661,386169398,510015480,562590470,561499219,561499219
12020045114,366311711,386246838,547253502,510015480,562590470,561499219,561499219
366511711,366264661,386235495,621807168,510015480,562590470,561499219,561499219
366264661,386264661,386169398,621807168,510015480,562590470,561499219,561499219
366264661,386464661,386169398,621807168,510015480,562590470,561499219,561499219
386464661,386446838,386169398,621807168,510015480,562590470,561499219,561499219
386246838,386235495,547585641,621807168,510015480,562590470,561499219,561499219
386446838,386235495,547253502,593301348,510015480,562590470,561499219,561499219
386235495,386169398,547253502,593301348,510015480,562590470,561499219,561499219
386235495,386169398,647253502,593301348,510015480,562590470,561499219,561499219
386169398,386169398,621807168,509115480,510015480,562590470,561499219,561499219
547253502,647253502,621807168,509115480,510015480,562590470,561499219,561499219
547253502,621807168,593301348,509115480,510015480,562590470,561499219,561499219
647253502,621807168,593301348,509115480,510015480,562590470,561499219,561499219
621807168,621807168,593301348,509115480,510015480,562590470,561499219,561499219
621807168,621807168,593301348,509115480,658515480,562590470,561499219,561499219
593301348,593301348,509115480,509115480,658515480,562590470,561499219,561499219
509115480,509115480,509115480,509115480,510590470,562590470,561499219,561499219
509115480,509115480,509115480,509115480,510590470,562590470,561499219,561499219
509115480,509115480,509115480,509115480,510590470,562590470,561499219,561499219
510015480,510015480,510015480,510015480,560590470,562590470,561499219,561499219
658515480,658515480,510590470,510590470,562590470,562590185,561499219,561499219
510590470,510590470,510590470,510590470,562590470,562590185,561499219,561499219
560590470,560590470,560590470,560590470,562590470,562590185,561499219,561499219
562590470,562590470,562590470,562590470,562590470,562590185,561499219,561499219
562590185,562590185,562590185,562590185,562590185,561502202,561499219,561499219
561502202,561502202,561502202,561502202,561502202,561499219,561499219,561499219
561499219,561499219,561499219,561499219,561499219,561499219,561499219,561499219
660499219,660499219,660499219,660499219,511956248,511956248,512349144,512349144
561919814,561919814,511956248,511956248,511956248,511956248,512349144,512349144
511956248,511956248,511956248,511956248,511956248,511956248,512349144,512349144
512349144,512349144,512349144,512349144,512349144,512349144,512349144,512349144
