open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 22:13:42,10000000000,2024-06-10 22:13:42,10001000000,10001000000,10001000000,10001000000,10001000000,10001000000,10001000000,10001000000,10001000000,10001000000,10001000000,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-10 22:13:42,10000000000,2024-06-10 22:13:43,10001300000,10001300000,10001300000,10001300000,10001300000,10001300000,10001300000,10001300000,10001300000,10001300000,10001300000,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,0,3,0.7142857142857143,1.0,1.0,0.7589367727620595
2024-06-10 22:13:42,10000000000,2024-06-10 22:13:44,10001900000,10001900000,10001900000,10001900000,10001900000,10001900000,10001900000,10001900000,10001900000,10001900000,10001900000,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,0,5,0.45454545454545453,0.9999999999999999,0.9999999999999999,1.3790099886256062
2024-06-10 22:13:42,10000000000,2024-06-10 22:13:45,10002700000,10002700000,10002700000,10002700000,10002700000,10002700000,10002700000,10002700000,10002700000,10002700000,10002700000,2700000,0,2700000,0,2700000,0,2700000,0,2700000,0,2700000,0,2700000,0,2700000,0,2700000,0,2700000,0,0,6,0.37037037037037035,0.962962962962963,1.0,1.6028033924380285
2024-06-10 22:13:42,10000000000,2024-06-10 22:13:46,10002900000,10002900000,10002900000,10002900000,10002900000,10002900000,10002900000,10002900000,10002900000,10002900000,10002900000,3000000,0,3000000,0,3000000,0,3000000,0,3000000,0,3000000,0,3000000,0,3000000,0,3000000,0,3000000,0,0,8,0.3333333333333333,0.8666666666666666,1.0,1.831257443415155
2024-06-10 22:13:42,10000000000,2024-06-10 22:13:49,10003200000,10001900000,10003200000,10003200000,10003200000,10003200000,10003200000,10003200000,10003200000,10003200000,10003200000,2000000,0,3400000,0,3400000,0,3400000,0,3400000,0,3400000,0,3400000,0,3400000,0,3400000,0,3400000,0,0,10,0.29411764705882354,0.7647058823529412,1.0,2.059572675508815
2024-06-10 22:13:42,10000000000,2024-06-10 22:13:54,10013400000,10003200000,10001900000,10013400000,10013400000,10013400000,10013400000,10013400000,10013400000,10013400000,10013400000,10400000,0,12000000,0,13400000,0,13400000,0,13400000,0,13400000,0,13400000,0,13400000,0,13400000,0,13400000,0,0,11,0.746268656716418,0.917910447761194,0.9925373134328359,1.0889755800370386
2024-06-10 22:13:42,10000000000,2024-06-10 22:13:57,10013900000,10003200000,10002900000,10013900000,10013900000,10013900000,10013900000,10013900000,10013900000,10013900000,10013900000,10500000,0,10900000,0,13900000,0,13900000,0,13900000,0,13900000,0,13900000,0,13900000,0,13900000,0,13900000,0,0,12,0.7194244604316546,0.8992805755395683,0.9856115107913669,1.2047257674427103
2024-06-10 22:13:42,10000000000,2024-06-10 22:14:05,10014000000,10013900000,10013400000,10014000000,10014000000,10014000000,10014000000,10014000000,10014000000,10014000000,10014000000,100000,0,600000,0,14000000,0,14000000,0,14000000,0,14000000,0,14000000,0,14000000,0,14000000,0,14000000,0,0,13,0.7142857142857143,0.8928571428571428,0.9785714285714284,1.2385353152476655
2024-06-10 22:13:42,10000000000,2024-06-10 22:14:14,10014500000,10014000000,10013900000,10001900000,10014500000,10014500000,10014500000,10014500000,10014500000,10014500000,10014500000,500000,0,600000,0,13100000,0,14500000,0,14500000,0,14500000,0,14500000,0,14500000,0,14500000,0,14500000,0,0,14,0.6896551724137931,0.8620689655172413,0.9655172413793105,1.3458221245391955
