open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 18:27:24,20000000000,2024-06-11 18:27:24,20000100000,20000100000,20000100000,20000100000,20000100000,20000100000,20000100000,20000100000,20000100000,20000100000,20000100000,1100000,0,1100000,0,1100000,0,1100000,0,1100000,0,1100000,0,1100000,0,1100000,0,1100000,0,1100000,0,0,2,0.9090909090909091,1.0,1.0,0.30463609734923813
2024-06-11 18:27:24,20000000000,2024-06-11 18:27:26,20001600000,20001600000,20001600000,20001600000,20001600000,20001600000,20001600000,20001600000,20001600000,20001600000,20001600000,1600000,0,1600000,0,1600000,0,1600000,0,1600000,0,1600000,0,1600000,0,1600000,0,1600000,0,1600000,0,0,3,0.625,1.0,1.0,0.8305236914828463
2024-06-11 18:27:24,20000000000,2024-06-11 18:27:28,20001800000,20001800000,20001800000,20001800000,20001800000,20001800000,20001800000,20001800000,20001800000,20001800000,20001800000,2300000,0,2300000,0,2300000,0,2300000,0,2300000,0,2300000,0,2300000,0,2300000,0,2300000,0,2300000,0,0,6,0.43478260869565216,0.9565217391304348,1.0,1.5206478646093642
2024-06-11 18:27:24,20000000000,2024-06-11 18:27:29,20002500000,20000100000,20002500000,20002500000,20002500000,20002500000,20002500000,20002500000,20002500000,20002500000,20002500000,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,0,9,0.30303030303030304,0.787878787878788,1.0,1.985271595719517
2024-06-11 18:27:24,20000000000,2024-06-11 18:27:41,20003800000,20002500000,20002500000,20003800000,20003800000,20003800000,20003800000,20003800000,20003800000,20003800000,20003800000,500000,0,500000,0,3800000,0,3800000,0,3800000,0,3800000,0,3800000,0,3800000,0,3800000,0,3800000,0,0,10,0.2631578947368421,0.7368421052631579,0.9999999999999999,2.1134288852047995
2024-06-11 18:27:24,20000000000,2024-06-11 18:27:51,20005800000,20003800000,20003800000,20005800000,20005800000,20005800000,20005800000,20005800000,20005800000,20005800000,20005800000,158119176,0,158619176,0,161919176,0,161919176,0,161919176,0,161919176,0,161919176,0,161919176,0,161919176,0,161919176,0,0,12,0.9641796596099279,0.9888833426375638,0.9981472237729273,0.22709943666546423
2024-06-11 18:27:24,20000000000,2024-06-11 18:27:53,20507897922,20003800000,20003800000,20507897922,20507897922,20507897922,20507897922,20507897922,20507897922,20507897922,20507897922,504097922,0,504097922,0,507897922,0,507897922,0,507897922,0,507897922,0,507897922,0,507897922,0,507897922,0,507897922,0,0,13,0.6811974040720726,0.9954715309900402,0.9990155502152261,0.6983634813850655
2024-06-11 18:27:24,20000000000,2024-06-11 18:28:00,20701036011,20507897922,20003800000,20002500000,20701036011,20701036011,20701036011,20701036011,20701036011,20701036011,20701036011,193138089,0,697236011,0,697736011,0,701036011,0,701036011,0,701036011,0,701036011,0,701036011,0,701036011,0,701036011,0,0,14,0.493524926781543,0.9960059113140195,0.9990014778285049,1.094618215097498
2024-06-11 18:27:24,20000000000,2024-06-11 18:28:06,20711036011,20701036011,20507897922,20002500000,20711036011,20711036011,20711036011,20711036011,20711036011,20711036011,20711036011,10000000,0,203138089,0,707736011,0,711036011,0,711036011,0,711036011,0,711036011,0,711036011,0,711036011,0,711036011,0,0,15,0.4865839994705978,0.9946556855894603,0.9985936014709106,1.1531589150343988
2024-06-11 18:27:24,20000000000,2024-06-11 18:28:08,21111036011,20701036011,20507897922,20002500000,21111036011,21111036011,21111036011,21111036011,21111036011,21111036011,21111036011,410000000,-170234496,603138089,-170234496,1107736011,-170234496,1111036011,-170234496,1111036011,-170234496,1111036011,-170234496,1111036011,-170234496,1111036011,-170234496,1111036011,-170234496,1111036011,-170234496,-170234496,16,0.36002433408074297,0.9947796471558292,0.9988299209142377,1.3914258390260983
2024-06-11 18:27:24,20000000000,2024-06-11 18:28:10,21144878519,20701036011,20701036011,20002500000,21144878519,21144878519,21144878519,21144878519,21144878519,21144878519,21144878519,614077004,-170234496,807215093,-170234496,1311813015,-170234496,1315113015,-170234496,1315113015,-170234496,1315113015,-170234496,1315113015,-170234496,1315113015,-170234496,1315113015,-170234496,1315113015,-170234496,-170234496,17,0.30415636940525603,0.9879858234084923,0.9986312963376763,1.6070939386572651
2024-06-11 18:27:24,20000000000,2024-06-11 18:28:19,21344878519,21144878519,21111036011,20003800000,21344878519,21344878519,21344878519,21344878519,21344878519,21344878519,21344878519,621279523,0,825356527,0,1932592538,-170234496,1936392538,-170234496,1936392538,-170234496,1936392538,-170234496,1936392538,-170234496,1936392538,-170234496,1936392538,-170234496,1936392538,-170234496,-170234496,19,0.21755894775091308,0.811475587807703,0.9985540121927489,1.9205595855712274
2024-06-11 18:27:24,20000000000,2024-06-11 18:28:31,21966158042,21344878519,21344878519,20701036011,20002500000,21966158042,21966158042,21966158042,21966158042,21966158042,21966158042,411653136,-435044745,411653136,-435044745,1647009663,-605279241,2344745674,-605279241,2348045674,-605279241,2348045674,-605279241,2348045674,-605279241,2348045674,-605279241,2348045674,-605279241,2348045674,-605279241,-605279241,21,0.17941709041900009,0.6741727499292247,0.9975298606563647,2.1695208126465704
