token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
20002500000,20002500000,20507897922,21344878519,89291582957,189272723906,477086527654,5124
20002500000,20002500000,20507897922,21344878519,89291582957,192143712568,476949689361,5124
20002500000,20002500000,20507897922,21344878519,91191582957,200170869728,476949689361,5124
20002500000,20002500000,20507897922,21344878519,92239582957,200170869728,480099689361,5124
20003800000,20005800000,21144878519,22108623266,88847857763,207597563982,469099634338,5124
20507897922,20701036011,21344878519,22233197823,87987226974,214462300132,469501213320,5124
20507897922,20701036011,21344878519,22233197823,87987226974,214462300132,469501213320,5124
20701036011,21144878519,21344878519,22657639015,87987226974,212180573378,463077240960,5124
21144878519,21144878519,21935018695,22657639015,89065230885,212217846065,464861971563,5124
21144878519,21144878519,21935018695,22657639015,89065230885,215737533230,470261971563,5124
21144878519,21344878519,22108623266,22657639015,89065230885,212375560042,467185239221,5124
21344878519,21344878519,22233197823,22334687466,93048660460,215263109725,472860519552,5124
21935018695,22108623266,22657639015,22434687466,102412195393,217821552190,475567378497,5124
22108623266,22692284162,22657639015,22302537723,99772598593,215113320037,471278558417,5124
22692284162,22233197823,22657639015,22638632970,101994029606,215113320037,471278558417,5124
22233197823,22233197823,22334687466,22986132970,100654552085,213557979471,475630760798,5124
22233197823,22233197823,22334687466,22986132970,100654552085,215157979471,481151483254,5124
22233197823,22657639015,22334687466,23179179048,101413896140,215157979471,481151483254,5124
22657639015,22657639015,22434687466,23047582703,107103369083,222955979471,492006361385,5124
22657639015,22657639015,22434687466,23047582703,107103369083,225205979471,492006361385,5124
22334687466,22334687466,22986132970,25967432848,121819364043,223163542362,518161662426,5124
22434687466,22302537723,23047582703,33880050479,126572558534,226522628982,520689194528,5124
22638632970,22986132970,23236487957,42570310918,134155185266,226002705091,517253950159,5124
22986132970,23179179048,23236487957,44868310918,135155185266,226002705091,517253950159,5124
23179179048,22650082703,25967432848,49347174666,140421739498,226490851284,523143416096,5124
23179179048,23047582703,27917432848,55447174666,139956245174,229082416223,527242416096,5124
23047582703,23047582703,29980050479,61353464673,139320465264,229082416223,524608391181,5124
23047582703,23236487957,29980050479,61353464673,139320465264,229082416223,519210468723,5124
23236487957,25967432848,42570310918,62085367033,139689771858,233097876865,522917710526,5124
25967432848,27917432848,44868310918,62985367033,137516629918,233097876865,511570858351,5124
27917432848,29980050479,49347174666,62985367033,133860770182,231565830385,511570858351,5124
29980050479,33880050479,55447174666,59906360960,130507550776,235072204645,506006472481,5124
33880050479,33880050479,56747174666,63175537056,133628552935,236969704645,507169325482,5124
33880050479,42570310918,68137864787,63175537056,134150188903,238737491091,516720106246,5124
44868310918,49347174666,61185267033,66359139484,145208583038,240282491091,524620106246,5124
44868310918,49347174666,62085367033,66359139484,147658583038,240282491091,524620106246,5124
44868310918,54247174666,62085367033,66359139484,147658583038,240282491091,525668892171,5124
49347174666,55447174666,62085367033,68159139484,147658583038,238923090315,526731767617,5124
55447174666,56747174666,62985367033,68159139484,149139076151,238653366174,523634667415,5124
56747174666,61353464673,62985367033,68159139484,148380365138,241005125634,523634667415,5124
56747174666,68137864787,62985367033,68159139484,148380365138,241005125634,529334667415,5124
61353464673,68137864787,61949763404,77617942758,152453180853,238318467511,527446392092,5124
68137864787,62085367033,63175537056,76404903563,152453180853,240270633675,534958864416,5124
68137864787,62085367033,63175537056,79833494503,149421486060,240270633675,534958864416,5124
62085367033,62985367033,66359139484,78101179114,159529657146,244470633675,534958864416,5124
62985367033,62985367033,66359139484,78101179114,161424657146,243280841436,541266015098,5124
62985367033,61949763404,68159139484,78101179114,162974657146,238444062193,540122264800,5124
63175537056,66359139484,67876599420,80654281400,164421143962,233044310133,535893244418,5124
63175537056,66359139484,77617942758,80654281400,164421143962,231026061075,535893244418,5124
63175537056,66359139484,77617942758,85463645787,165350141517,231026061075,541443244418,5124
66359139484,68159139484,79833494503,89291582957,170155063174,228347729225,531011217470,5124
68159139484,67876599420,78101179114,90463478781,168200988822,226862087213,530324368582,5124
76404903563,79833494503,80654281400,88847857763,172985880628,230066885307,534141095306,5124
76404903563,77651449765,80654281400,88847857763,172985880628,230066885307,534141095306,5124
79833494503,78101179114,85463645787,87987226974,172985880628,230066885307,530946365343,5124
77651449765,78101179114,86463645787,87987226974,174985880628,235042693979,526827653927,5124
78101179114,78101179114,89291582957,87987226974,174985880628,237675040555,528475692039,5124
78101179114,79451179114,92239582957,87987226974,177000819111,237675040555,528475692039,5124
78101179114,79451179114,90463478781,87987226974,186558049161,237675040555,528475692039,5124
80654281400,85463645787,86847857763,89065230885,181441716279,236915227872,539679086638,5124
80654281400,85463645787,88847857763,91918515564,181480993070,233566700919,542873816601,5124
86463645787,91191582957,87987226974,93048660460,181480993070,232927333229,540512852606,5124
89291582957,92239582957,87987226974,93048660460,181480993070,232927333229,534233821599,5124
91191582957,90463478781,87987226974,98296213712,189272723906,233642801375,532427792294,5124
92239582957,90463478781,87987226974,98296213712,189272723906,236860809687,529136455342,5124
90463478781,86847857763,87987226974,99896213712,200170869728,234260897728,529136455342,5124
90463478781,86847857763,87987226974,99896213712,200170869728,230247877056,529136455342,5124
90463478781,88847857763,87987226974,100566339066,197908366967,231597877056,529136455342,5124
88847857763,88847857763,89065230885,99772598593,204097663982,231413204280,529136455342,5124
88847857763,87987226974,89065230885,101994029606,207597563982,231413204280,532225188027,5124
87987226974,87987226974,92865859279,101413896140,211149289136,230656337611,528512987941,5124
87987226974,87987226974,93048660460,101413896140,211149289136,238707746449,528512987941,5124
89065230885,91918515564,99772598593,111460338854,212217846065,242154961173,529990832693,5124
89065230885,92865859279,99772598593,111460338854,212217846065,242154961173,529990832693,5124
89065230885,92865859279,99772598593,111460338854,212217846065,242154961173,529990832693,5124
89065230885,92865859279,99772598593,111460338854,212217846065,242154961173,529990832693,5124
92865859279,93983249555,100654552085,121819364043,215263109725,243045015910,531795903167,5124
93048660460,98296213712,100654552085,121819364043,215263109725,243045015910,532163367594,5124
98296213712,99896213712,101413896140,125419364043,215263109725,239686397607,532679649905,5124
