open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 12:55:55,6000000000,2024-06-08 12:55:55,7000000000,7000000000,7000000000,7000000000,7000000000,7000000000,7000000000,7000000000,7000000000,7000000000,7000000000,5010500000,-2272396936,5010500000,-2272396936,5010500000,-2272396936,5010500000,-2272396936,5010500000,-2272396936,5010500000,-2272396936,5010500000,-2272396936,5010500000,-2272396936,5010500000,-2272396936,5010500000,-2272396936,-2272396936,5,0.5987426404550444,0.9999999999999999,0.9999999999999999,0.9636992245538321
2024-06-08 12:55:55,6000000000,2024-06-08 12:55:56,8748103064,8748103064,8748103064,8748103064,8748103064,8748103064,8748103064,8748103064,8748103064,8748103064,8748103064,5196100000,-4706682549,5196100000,-4706682549,5196100000,-4706682549,5196100000,-4706682549,5196100000,-4706682549,5196100000,-4706682549,5196100000,-4706682549,5196100000,-4706682549,5196100000,-4706682549,5196100000,-4706682549,-4706682549,13,0.5773560939935721,0.9957468101075807,0.9999422643906006,1.112869059258638
2024-06-08 12:55:55,6000000000,2024-06-08 12:55:57,6489517451,6489517451,6489517451,6489517451,6489517451,6489517451,6489517451,6489517451,6489517451,6489517451,6489517451,5502900000,-4706682549,5502900000,-4706682549,5502900000,-4706682549,5502900000,-4706682549,5502900000,-4706682549,5502900000,-4706682549,5502900000,-4706682549,5502900000,-4706682549,5502900000,-4706682549,5502900000,-4706682549,-4706682549,18,0.5451670937142234,0.9858438277998873,0.9995638663250286,1.2726347964714484
2024-06-08 12:55:55,6000000000,2024-06-08 12:55:58,6806217451,6806217451,6806217451,6806217451,6806217451,6806217451,6806217451,6806217451,6806217451,6806217451,6806217451,5583000000,-4761396264,5583000000,-4761396264,5583000000,-4761396264,5583000000,-4761396264,5583000000,-4761396264,5583000000,-4761396264,5583000000,-4761396264,5583000000,-4761396264,5583000000,-4761396264,5583000000,-4761396264,-4761396264,26,0.537345513164965,0.9716998029733118,0.9894322049077557,1.3569633585040848
2024-06-08 12:55:55,6000000000,2024-06-08 12:55:59,6822603736,6822603736,6822603736,6822603736,6822603736,6822603736,6822603736,6822603736,6822603736,6822603736,6822603736,5594000000,-4761396264,5594000000,-4761396264,5594000000,-4761396264,5594000000,-4761396264,5594000000,-4761396264,5594000000,-4761396264,5594000000,-4761396264,5594000000,-4761396264,5594000000,-4761396264,5594000000,-4761396264,-4761396264,28,0.5362888809438684,0.9697890597068286,0.9874865927779763,1.369112210574673
2024-06-08 12:55:55,6000000000,2024-06-08 12:56:00,6842603736,7000000000,6842603736,6842603736,6842603736,6842603736,6842603736,6842603736,6842603736,6842603736,6842603736,6161500000,-4761396264,6161500000,-4761396264,6161500000,-4761396264,6161500000,-4761396264,6161500000,-4761396264,6161500000,-4761396264,6161500000,-4761396264,6161500000,-4761396264,6161500000,-4761396264,6161500000,-4761396264,-4761396264,33,0.48689442505883307,0.9007546863588412,0.9805242229976467,1.6498082139732615
2024-06-08 12:55:55,6000000000,2024-06-08 12:56:04,7900103736,6822603736,7900103736,7900103736,7900103736,7900103736,7900103736,7900103736,7900103736,7900103736,7900103736,1092800000,0,6675800000,-4761396264,6675800000,-4761396264,6675800000,-4761396264,6675800000,-4761396264,6675800000,-4761396264,6675800000,-4761396264,6675800000,-4761396264,6675800000,-4761396264,6675800000,-4761396264,-4761396264,36,0.4493843434494742,0.8688097306689836,0.9768866652685821,1.8041905277036276
2024-06-08 12:55:55,6000000000,2024-06-08 12:56:05,7913953125,6842603736,7000000000,7913953125,7913953125,7913953125,7913953125,7913953125,7913953125,7913953125,7913953125,1081800000,-450611,6675800000,-4761846875,6675800000,-4761846875,6675800000,-4761846875,6675800000,-4761846875,6675800000,-4761846875,6675800000,-4761846875,6675800000,-4761846875,6675800000,-4761846875,6675800000,-4761846875,-4761846875,36,0.4493843434494742,0.8688097306689836,0.9768866652685821,1.8041905277036276
2024-06-08 12:55:55,6000000000,2024-06-08 12:56:07,7914053125,6842603736,6489517451,7914053125,7914053125,7914053125,7914053125,7914053125,7914053125,7914053125,7914053125,514400000,-450611,1479800000,-55164326,6675900000,-4761846875,6675900000,-4761846875,6675900000,-4761846875,6675900000,-4761846875,6675900000,-4761846875,6675900000,-4761846875,6675900000,-4761846875,6675900000,-4761846875,-4761846875,37,0.4493776120073698,0.8687967165475816,0.976872032235354,1.8043448836164075
2024-06-08 12:55:55,6000000000,2024-06-08 12:56:09,8314053125,7900103736,6822603736,8314053125,8314053125,8314053125,8314053125,8314053125,8314053125,8314053125,8314053125,1014400000,-450611,1592900000,-450611,7175900000,-4761846875,7175900000,-4761846875,7175900000,-4761846875,7175900000,-4761846875,7175900000,-4761846875,7175900000,-4761846875,7175900000,-4761846875,7175900000,-4761846875,-4761846875,39,0.41806602656112823,0.8221965189035522,0.9646873562898033,1.966293592825195
2024-06-08 12:55:55,6000000000,2024-06-08 12:56:10,8415553125,7913953125,6842603736,8415553125,8415553125,8415553125,8415553125,8415553125,8415553125,8415553125,8415553125,997900000,-1021765,2079700000,-1021765,7673700000,-4762418029,7673700000,-4762418029,7673700000,-4762418029,7673700000,-4762418029,7673700000,-4762418029,7673700000,-4762418029,7673700000,-4762418029,7673700000,-4762418029,-4762418029,48,0.39094569764259746,0.7812398191224573,0.9535817141665691,2.0816959913039117
