token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
79360000000,79571819317,79641448295,79716520980,294853,294853,294853,294853
79360000000,79571819317,79642448295,79716321614,294853,294853,294853,294853
79568200000,79524148295,79642448295,79765622248,294853,294853,294853,294853
79523048295,79525148295,79643150057,79775622248,294853,294853,294853,294853
79524148295,79530648295,79642950662,79775622248,294853,294853,294853,294853
79524348295,79530748295,79642950662,79825122248,294853,294853,294853,294853
79525148295,79530748295,79642850976,79825122248,294853,294853,294853,294853
79525148295,79530748295,79642952046,79825122248,294853,294853,294853,294853
79530648295,79530748295,79643152046,79825122248,294853,294853,294853,294853
79530748295,79640748295,79643152046,79825122248,294853,294853,294853,294853
79530748295,79640848295,79643252356,79874622248,294853,294853,294853,294853
79530748295,79640948295,79643052988,79874622248,294853,294853,294853,294853
79640748295,79640948295,79643052988,82874622248,294853,294853,294853,294853
79640948295,79643348791,79642853989,82874622248,294853,294853,294853,294853
79641448295,79643449112,79692353989,82874622248,294853,294853,294853,294853
79642448295,79643150057,79692353989,82874622248,294853,294853,294853,294853
79643449112,79642850976,79716520980,82874622248,294853,294853,294853,294853
79643150057,79642651582,79716321614,82874622248,294853,294853,294853,294853
79642950662,79643152046,79775622248,294853,294853,294853,294853,294853
79642850976,79643252356,79775622248,294853,294853,294853,294853,294853
79642651582,79643152677,79775622248,294853,294853,294853,294853,294853
79643152046,79643052988,79775622248,294853,294853,294853,294853,294853
79643252356,79642853989,79825122248,294853,294853,294853,294853,294853
79643152677,79642853989,79825122248,294853,294853,294853,294853,294853
79643052988,79642853989,79825122248,294853,294853,294853,294853,294853
79643052988,79642853989,79825122248,294853,294853,294853,294853,294853
79642853989,79692353989,79874622248,294853,294853,294853,294853,294853
79642853989,79692353989,79874622248,294853,294853,294853,294853,294853
79642853989,79692353989,79874622248,294853,294853,294853,294853,294853
79692353989,79716520980,82874622248,294853,294853,294853,294853,294853
79716520980,79775622248,82874622248,294853,294853,294853,294853,294853
79775622248,79825122248,82874622248,294853,294853,294853,294853,294853
79775622248,79825122248,82874622248,294853,294853,294853,294853,294853
79775622248,79825122248,82874622248,294853,294853,294853,294853,294853
79825122248,79825122248,294853,294853,294853,294853,294853,294853
79825122248,82874622248,294853,294853,294853,294853,294853,294853
82874622248,82874622248,294853,294853,294853,294853,294853,294853
82874622248,82874622248,294853,294853,294853,294853,294853,294853
294853,294853,294853,294853,294853,294853,294853,294853
