token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
11471793145,11484493145,11552791665,11823855172,13344529440,219149,219149,219149
11471893145,11510737916,11552690766,11823750048,13344529440,219149,219149,219149
11472193145,11510737916,11552810766,11823750048,13344529440,219149,219149,219149
11472793145,11511137916,11552567543,11823750048,13344529440,219149,219149,219149
11474493145,11511137916,11451664763,11823623885,13344529440,219149,219149,219149
11510737916,11501791665,11615335763,12113958885,13344518928,219149,219149,219149
11510737916,11501791665,11615733774,12313958885,13344290800,219149,219149,219149
11511137916,11501791665,11615526628,12313958885,13344290800,219149,219149,219149
11511137916,11501791665,11615526628,12313958885,13344290800,219149,219149,219149
11501241665,11501791665,11615319510,12313958885,13344290800,219149,219149,219149
11501791665,11551891665,11615112417,12313958885,13344290800,219149,219149,219149
11501791665,11551891665,11614911282,12276007242,13333933863,219149,219149,219149
11501791665,11552091665,11614911282,12286007242,13333933863,219149,219149,219149
11551891665,11552591665,11614303264,12286007242,13336433863,219149,219149,219149
11552591665,11552690766,11614100012,12526007242,13336422936,219149,219149,219149
11552591665,11451664763,11634200012,12525900535,219149,219149,219149,219149
11552690766,11615335763,11824054952,12525900535,219149,219149,219149,219149
11691458110,11615319510,11823855172,12525900535,219149,219149,219149,219149
11615335763,11615112417,11823750048,12525900535,219149,219149,219149,219149
11615733774,11615112417,11823750048,12525900535,219149,219149,219149,219149
11615526628,11614911282,11823750048,12525900535,219149,219149,219149,219149
11615526628,11614911282,11823623885,13025900535,219149,219149,219149,219149
11615319510,11614911282,11823623885,13025900535,219149,219149,219149,219149
11615112417,11614303264,12113958885,12963333560,219149,219149,219149,219149
11615112417,11614303264,12313958885,12963333560,219149,219149,219149,219149
11614911282,11614100012,12313958885,12963333560,219149,219149,219149,219149
11614911282,11614100012,12313958885,12973333560,219149,219149,219149,219149
11614303264,11614100012,12313958885,12973333560,219149,219149,219149,219149
11614100012,11634200012,12276007242,12973333560,219149,219149,219149,219149
11614100012,11824054952,12286007242,12983333560,219149,219149,219149,219149
11634200012,11823855172,12286007242,12983333560,219149,219149,219149,219149
11823855172,11823750048,12526007242,12983333560,219149,219149,219149,219149
11823855172,11823750048,12526007242,12983333560,219149,219149,219149,219149
11823855172,11823623885,12525900535,12983333560,219149,219149,219149,219149
11823750048,12113958885,12525900535,12983333560,219149,219149,219149,219149
11823750048,12313958885,12525900535,12983333560,219149,219149,219149,219149
12113958885,12313958885,12525900535,13140927726,219149,219149,219149,219149
12313958885,12286007242,13025900535,13140927726,219149,219149,219149,219149
12313958885,12286007242,12963333560,13190927726,219149,219149,219149,219149
12313958885,12286007242,12963333560,13190927726,219149,219149,219149,219149
12286007242,12526007242,12973333560,13200927726,219149,219149,219149,219149
12526007242,12525900535,12983333560,13200927726,219149,219149,219149,219149
12525900535,12525900535,12983333560,13200927726,219149,219149,219149,219149
12525900535,13025900535,12983333560,13200927726,219149,219149,219149,219149
12973333560,12983333560,13140927726,13200937726,219149,219149,219149,219149
12973333560,12983333560,13190927726,13210598444,219149,219149,219149,219149
12983333560,12983333560,13190927726,13210598444,219149,219149,219149,219149
12983333560,12983333560,13200927726,13210598444,219149,219149,219149,219149
13140927726,13190927726,13200937726,12709557054,219149,219149,219149,219149
13190927726,13200927726,13210598444,12709557054,219149,219149,219149,219149
13200927726,13200927726,13210598444,12709557054,219149,219149,219149,219149
13200937726,13210598444,12746015726,12934305344,219149,219149,219149,219149
13210598444,13210598444,12709557054,12971150440,219149,219149,219149,219149
12765181075,12746015726,12734305344,12971150440,219149,219149,219149,219149
12746015726,12709557054,12934305344,12971160440,219149,219149,219149,219149
12746015726,12709557054,12934305344,12971160440,219149,219149,219149,219149
12746015726,12709557054,12934305344,12971160440,219149,219149,219149,219149
12709557054,12709557054,12934305344,12971160440,219149,219149,219149,219149
12709557054,12709557054,12934305344,13280542729,219149,219149,219149,219149
12934305344,12934305344,12971150440,13415771167,219149,219149,219149,219149
12934305344,12934305344,12971150440,13415771167,219149,219149,219149,219149
12934305344,12934305344,12971150440,13415771167,219149,219149,219149,219149
12971150440,12971150440,13280542729,13415771167,219149,219149,219149,219149
12971150440,12971150440,13280542729,13415771167,219149,219149,219149,219149
12971160440,13280542729,13415771167,13289819250,219149,219149,219149,219149
13280542729,13280542729,13415771167,13344529440,219149,219149,219149,219149
13415771167,13415771167,13289819250,13333933863,219149,219149,219149,219149
13289819250,13289819250,13344290800,219149,219149,219149,219149,219149
13344529440,13344529440,219149,219149,219149,219149,219149,219149
13344529440,13344518928,219149,219149,219149,219149,219149,219149
13344290800,13336433863,219149,219149,219149,219149,219149,219149
13333933863,13336433863,219149,219149,219149,219149,219149,219149
13336433863,219149,219149,219149,219149,219149,219149,219149
13336422936,219149,219149,219149,219149,219149,219149,219149
219149,219149,219149,219149,219149,219149,219149,219149
219149,219149,219149,219149,219149,219149,219149,219149
