token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
6551842759,6716806758,6740286828,6647974637,7188030172,98589,98589,98589
6564942759,6717006758,6740286828,6647974637,7188030172,98589,98589,98589
6565442759,6718006758,6740286828,6647974637,7188030172,98589,98589,98589
6615842759,6718306758,6740286828,6647974637,7188030172,98589,98589,98589
6615942759,6718306758,6740286828,6647974637,7188030172,98589,98589,98589
6716806758,6728206956,6740181533,6647974637,7188030172,98589,98589,98589
6717006758,6728206956,6750076658,6647974637,7188030172,98589,98589,98589
6718006758,6728206956,6649032365,6638323392,7208030172,98589,98589,98589
6718306758,6718757115,6648930314,6638323392,7208030172,98589,98589,98589
6718306758,6718757115,6648828282,6638323392,7208030172,98589,98589,98589
6728206956,6718757115,6648828282,6638323392,7208030172,98589,98589,98589
6728206956,6738957115,6648523730,6638323392,7208030172,98589,98589,98589
6728206956,6739397115,6648421689,6638323392,7208030172,98589,98589,98589
6718757115,6740407115,6648421689,6638323392,7208030172,98589,98589,98589
6718757115,6739405478,6648321222,6638323392,7208030172,98589,98589,98589
6740407115,6740405478,6648150481,6638323392,7208030172,98589,98589,98589
6740405478,6740286828,6647974637,6638323392,7208030172,98589,98589,98589
6740405478,6740286828,6647974637,6638323392,7208030172,98589,98589,98589
6740405478,6740286828,6647974637,6638323392,7308030172,98589,98589,98589
6740405478,6740286828,6647974637,6638323392,7308030172,98589,98589,98589
6740286828,6750076658,6647974637,6638323392,7308030172,98589,98589,98589
6740181533,6648828282,6647974637,6738323392,7308030172,98589,98589,98589
6648828282,6648321222,6647974637,6738323392,7308030172,98589,98589,98589
6648523730,6648284395,6647974637,6738323392,7308030172,98589,98589,98589
6648421689,6648150481,6638323392,6738252865,7308030172,98589,98589,98589
6648421689,6648150481,6638323392,6738252865,7308030172,98589,98589,98589
6648421689,6648034331,6638323392,6738252865,7308030172,98589,98589,98589
6648284395,6647974637,6638323392,6838252865,7308030172,98589,98589,98589
6648150481,6647974637,6638323392,6838252865,7308030172,98589,98589,98589
6647974637,6647974637,6638323392,6817763828,7308030172,98589,98589,98589
6647974637,6647974637,6638323392,6817763828,7308030172,98589,98589,98589
6647974637,6647974637,6638323392,6817763828,7308030172,98589,98589,98589
6647974637,6647974637,6638323392,6817763828,7308030172,98589,98589,98589
6647974637,6647974637,6638323392,6817763828,7308030172,98589,98589,98589
6638323392,6638323392,6738252865,6810030172,7308030172,98589,98589,98589
6738323392,6738252865,6823947298,6810030172,7808030172,98589,98589,98589
6838252865,6817763828,6810030172,6810030172,7808030172,98589,98589,98589
6817763828,6823947298,6810030172,6810030172,7858030172,98589,98589,98589
6817763828,6823947298,6810030172,6810030172,7858030172,98589,98589,98589
6823947298,6823947298,6810030172,6810030172,7858030172,98589,98589,98589
6810030172,6810030172,6810030172,6810030172,7849753385,98589,98589,98589
6810030172,6810030172,6810030172,6835030172,7849753385,98589,98589,98589
6835030172,6935030172,6935030172,6938030172,98589,98589,98589,98589
6935030172,6935030172,6935030172,6938030172,98589,98589,98589,98589
6938030172,6998030172,7098030172,7188030172,98589,98589,98589,98589
6998030172,6998030172,7098030172,7208030172,98589,98589,98589,98589
7098030172,7098030172,7188030172,7308030172,98589,98589,98589,98589
7188030172,7208030172,7308030172,7308030172,98589,98589,98589,98589
7208030172,7208030172,7308030172,7308030172,98589,98589,98589,98589
7308030172,7308030172,7308030172,7308030172,98589,98589,98589,98589
7808030172,7808030172,7849753385,7849753385,98589,98589,98589,98589
7858030172,7858030172,7849753385,7718959363,98589,98589,98589,98589
7849753385,7849753385,7849753385,98589,98589,98589,98589,98589
7718959363,7718959363,98589,98589,98589,98589,98589,98589
98589,98589,98589,98589,98589,98589,98589,98589
98589,98589,98589,98589,98589,98589,98589,98589
