open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:21,196953287297128,196953287297128,196953287297128,196953287297128,196953287297128,196953287297128,196953287297128,196953287297128,196953287297128,196953287297128,196953287297128,0,-10830295700813,0,-10830295700813,0,-10830295700813,0,-10830295700813,0,-10830295700813,0,-10830295700813,0,-10830295700813,0,-10830295700813,0,-10830295700813,0,-10830295700813,-10830295700813,0,0.0,0.0,0.0,0.0
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:22,196057976847286,196057976847286,196057976847286,196057976847286,196057976847286,196057976847286,196057976847286,196057976847286,196057976847286,196057976847286,196057976847286,0,-11076277681254,0,-11076277681254,0,-11076277681254,0,-11076277681254,0,-11076277681254,0,-11076277681254,0,-11076277681254,0,-11076277681254,0,-11076277681254,0,-11076277681254,-11076277681254,0,0.0,0.0,0.0,0.0
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:23,195821382605178,195821382605178,195821382605178,195821382605178,195821382605178,195821382605178,195821382605178,195821382605178,195821382605178,195821382605178,195821382605178,0,-11778014515383,0,-11778014515383,0,-11778014515383,0,-11778014515383,0,-11778014515383,0,-11778014515383,0,-11778014515383,0,-11778014515383,0,-11778014515383,0,-11778014515383,-11778014515383,0,0.0,0.0,0.0,0.0
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:24,195005905497907,195005905497907,195005905497907,195005905497907,195005905497907,195005905497907,195005905497907,195005905497907,195005905497907,195005905497907,195005905497907,0,-11917989789350,0,-11917989789350,0,-11917989789350,0,-11917989789350,0,-11917989789350,0,-11917989789350,0,-11917989789350,0,-11917989789350,0,-11917989789350,0,-11917989789350,-11917989789350,0,0.0,0.0,0.0,0.0
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:25,194981546282588,194981546282588,194981546282588,194981546282588,194981546282588,194981546282588,194981546282588,194981546282588,194981546282588,194981546282588,194981546282588,0,-11920773324598,0,-11920773324598,0,-11920773324598,0,-11920773324598,0,-11920773324598,0,-11920773324598,0,-11920773324598,0,-11920773324598,0,-11920773324598,0,-11920773324598,-11920773324598,0,0.0,0.0,0.0,0.0
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:26,194956033639358,196953287297128,194956033639358,194956033639358,194956033639358,194956033639358,194956033639358,194956033639358,194956033639358,194956033639358,194956033639358,0,-12101995730217,0,-12101995730217,0,-12101995730217,0,-12101995730217,0,-12101995730217,0,-12101995730217,0,-12101995730217,0,-12101995730217,0,-12101995730217,0,-12101995730217,-12101995730217,0,0.0,0.0,0.0,0.0
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:28,192509934744375,195821382605178,192509934744375,192509934744375,192509934744375,192509934744375,192509934744375,192509934744375,192509934744375,192509934744375,192509934744375,113539092302,-3314126742915,113539092302,-14390404424169,113539092302,-14390404424169,113539092302,-14390404424169,113539092302,-14390404424169,113539092302,-14390404424169,113539092302,-14390404424169,113539092302,-14390404424169,113539092302,-14390404424169,113539092302,-14390404424169,-14390404424169,1,1.0,1.0,1.0,0.0
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:29,192397021980626,195005905497907,192397021980626,192397021980626,192397021980626,192397021980626,192397021980626,192397021980626,192397021980626,192397021980626,192397021980626,113539092302,-2838502596293,113539092302,-14616517111676,113539092302,-14616517111676,113539092302,-14616517111676,113539092302,-14616517111676,113539092302,-14616517111676,113539092302,-14616517111676,113539092302,-14616517111676,113539092302,-14616517111676,113539092302,-14616517111676,-14616517111676,1,1.0,1.0,1.0,0.0
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:30,192404825323990,194981546282588,192404825323990,192404825323990,192404825323990,192404825323990,192404825323990,192404825323990,192404825323990,192404825323990,192404825323990,121342435666,-2698527322326,121342435666,-14616517111676,121342435666,-14616517111676,121342435666,-14616517111676,121342435666,-14616517111676,121342435666,-14616517111676,121342435666,-14616517111676,121342435666,-14616517111676,121342435666,-14616517111676,121342435666,-14616517111676,-14616517111676,2,0.9356915548862146,1.0,1.0,0.23866135845749392
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:31,192404373595259,194956033639358,196953287297128,192404373595259,192404373595259,192404373595259,192404373595259,192404373595259,192404373595259,192404373595259,192404373595259,121342435666,-3371409114209,121342435666,-15292182438807,121342435666,-15292182438807,121342435666,-15292182438807,121342435666,-15292182438807,121342435666,-15292182438807,121342435666,-15292182438807,121342435666,-15292182438807,121342435666,-15292182438807,121342435666,-15292182438807,-15292182438807,2,0.9356915548862146,1.0,1.0,0.23866135845749392
2024-06-08 07:15:21,206900000000000,2024-06-08 07:15:35,190614283880125,192404825323990,194981546282588,190614283880125,190614283880125,190614283880125,190614283880125,190614283880125,190614283880125,190614283880125,190614283880125,7803343364,-3960148958822,121342435666,-6658676281148,121342435666,-18576666070498,121342435666,-18576666070498,121342435666,-18576666070498,121342435666,-18576666070498,121342435666,-18576666070498,121342435666,-18576666070498,121342435666,-18576666070498,121342435666,-18576666070498,-18576666070498,2,0.9356915548862146,1.0,1.0,0.23866135845749392
