token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
44328168160,51767743975,44012417236,44648457258,52018427978,45164145249,41001004250,18613616044
56501073067,46319260552,52506555396,50471518574,52202303177,45162762728,41001004250,18613616044
54833923780,46319260552,52506555396,47337142213,52246538500,45172762728,41001004250,18613616044
51767743975,50139060552,48323186454,48987142213,51731276836,45372762728,41001004250,18613616044
43319260552,50139060552,48619597978,48987142213,51731276836,42939962652,41001004250,18613616044
46319260552,51227526542,47236486530,48867094544,52016880070,43539962652,41001004250,18613616044
46319260552,51227526542,51821391777,48867094544,52016880070,42542766893,41001004250,18613616044
46319260552,54207526542,49134367038,48867094544,52016880070,42542766893,41001004250,18613616044
50139060552,54306526542,49134367038,48867094544,51158224884,42542766893,41001004250,18613616044
50139060552,54306526542,49134367038,48867094544,50532453108,42350297641,40452525984,18613616044
51227526542,54326526542,49634367038,49387094544,50021376281,43850297641,40452525984,18613616044
54306526542,49266286226,51060261559,49387094544,49500911753,43850297641,40397469608,18577253977
54326526542,43993952846,50217543542,49011303789,48253358268,43835624909,40397469608,18577253977
48301082387,44012417236,48866651902,45852124153,48253358268,43835624909,39676767423,18577253977
49266286226,44012417236,49016151902,46852124153,48418358268,43835624909,39676767423,18577253977
43993952846,52506555396,46643239108,46852124153,48616358268,44084445755,39890766436,18577253977
43993952846,52506555396,46643239108,46852124153,48587025252,42566716009,39226992137,18577253977
44012417236,50632081751,43662271141,47032124153,48687025252,42557232779,39229992137,18348011286
44012417236,48323186454,50216337683,48032124153,49182025252,42557232779,39229992137,18348011286
45222617236,48619597978,47529320845,48032124153,48003663906,42557232779,39229992137,18348011286
52506555396,47236486530,44252457258,48131124153,48003663906,42557232779,39229992137,18348011286
50632081751,49134367038,44648457258,47721367770,48003663906,42557232779,38565021940,18348011286
48619597978,49134367038,44648457258,47721367770,48003663906,42687232779,37169186925,18259275182
