open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:13,600001000000,600001000000,600001000000,600001000000,600001000000,600001000000,600001000000,600001000000,600001000000,600001000000,600001000000,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,1000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:14,600002000000,600002000000,600002000000,600002000000,600002000000,600002000000,600002000000,600002000000,600002000000,600002000000,600002000000,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,0,3,0.45454545454545453,1.0,1.0,0.9347698978582794
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:15,600002700000,600002700000,600002700000,600002700000,600002700000,600002700000,600002700000,600002700000,600002700000,600002700000,600002700000,3200000,0,3200000,0,3200000,0,3200000,0,3200000,0,3200000,0,3200000,0,3200000,0,3200000,0,3200000,0,0,5,0.3125,1.0,1.0,1.4803491732577951
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:16,600003300000,600003300000,600003300000,600003300000,600003300000,600003300000,600003300000,600003300000,600003300000,600003300000,600003300000,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,3300000,0,0,6,0.30303030303030304,0.9696969696969697,1.0,1.5712840661530918
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:17,600003600000,600003600000,600003600000,600003600000,600003600000,600003600000,600003600000,600003600000,600003600000,600003600000,600003600000,4100000,0,4100000,0,4100000,0,4100000,0,4100000,0,4100000,0,4100000,0,4100000,0,4100000,0,4100000,0,0,10,0.24390243902439024,0.8048780487804877,1.0,2.0159915561290416
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:18,600004600000,600001000000,600004600000,600004600000,600004600000,600004600000,600004600000,600004600000,600004600000,600004600000,600004600000,4600000,0,4600000,0,4600000,0,4600000,0,4600000,0,4600000,0,4600000,0,4600000,0,4600000,0,4600000,0,0,11,0.21739130434782608,0.7608695652173914,0.9782608695652174,2.1406416031030857
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:21,600004900000,600003300000,600004900000,600004900000,600004900000,600004900000,600004900000,600004900000,600004900000,600004900000,600004900000,1700000,0,4900000,0,4900000,0,4900000,0,4900000,0,4900000,0,4900000,0,4900000,0,4900000,0,4900000,0,0,12,0.20408163265306123,0.7142857142857143,0.9591836734693879,2.2399054539930603
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:23,600005000000,600004600000,600001000000,600005000000,600005000000,600005000000,600005000000,600005000000,600005000000,600005000000,600005000000,900000,0,5000000,0,5000000,0,5000000,0,5000000,0,5000000,0,5000000,0,5000000,0,5000000,0,5000000,0,0,13,0.2,0.7,0.9400000000000002,2.293146458192931
2024-06-09 20:54:13,600000000000,2024-06-09 20:54:50,600005500000,600005000000,600005000000,600004600000,600005500000,600005500000,600005500000,600005500000,600005500000,600005500000,600005500000,500000,0,500000,0,900000,0,5500000,0,5500000,0,5500000,0,5500000,0,5500000,0,5500000,0,5500000,0,0,14,0.18181818181818182,0.6363636363636365,0.9090909090909091,2.389314695706448
2024-06-09 20:54:13,600000000000,2024-06-09 20:55:01,600010500000,600005500000,600005500000,600005000000,600010500000,600010500000,600010500000,600010500000,600010500000,600010500000,600010500000,5000000,0,5000000,0,5500000,0,10500000,0,10500000,0,10500000,0,10500000,0,10500000,0,10500000,0,10500000,0,0,15,0.47619047619047616,0.7619047619047619,0.9333333333333333,1.9435587578209659
