token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
11268100000,11617845308,11934632842,12266717450,12366974178,209570,209570,209570
11268100000,11617945308,12035024222,12266877450,12366974178,209570,209570,209570
11522450000,11619175308,12035024222,12266877450,12366974178,209570,209570,209570
11517545308,11619175308,12034910730,12268027450,12366974178,209570,209570,209570
11517745308,11619175308,12034910730,12268027450,12366974178,209570,209570,209570
11617845308,12117175308,12034910730,12268027450,12366974178,209570,209570,209570
11619175308,12217175308,12035560730,12268027450,12366974178,209570,209570,209570
11619175308,12217275308,12035447190,12268027450,12366974178,209570,209570,209570
11619175308,12217275308,12035333686,12268127450,12366974178,209570,209570,209570
12117175308,12217275308,12035833686,12268127450,12366974178,209570,209570,209570
12217175308,12217275308,12035833686,12268127450,12366974178,209570,209570,209570
12217175308,12217165289,12035606642,12268127450,12366974178,209570,209570,209570
12217275308,11937879917,12035379621,12268127450,12366974178,209570,209570,209570
12217275308,11937879917,12035379621,12268127450,12366974178,209570,209570,209570
12217165289,11934632842,12035466103,12268257450,12366974178,209570,209570,209570
11934632842,12035024222,12035458589,12267030954,12366974178,209570,209570,209570
11934632842,12034910730,12135458589,12267030954,12366974178,209570,209570,209570
12035024222,12035560730,12266717450,12267030954,12366974178,209570,209570,209570
12034910730,12035833686,12266877450,12266906927,12502877866,209570,209570,209570
12035447190,12035379621,12268027450,12265808741,12502877866,209570,209570,209570
12035606642,12035379621,12268027450,12295808741,12502877866,209570,209570,209570
12035379621,12035466103,12268027450,12295808741,12502877866,209570,209570,209570
12035379621,12034812107,12268127450,12295648790,12502877866,209570,209570,209570
12035379621,12035465607,12268127450,12295648790,12502877866,209570,209570,209570
12035379621,12035458589,12268127450,12395648790,12502877866,209570,209570,209570
12035466103,12035458589,12268127450,12395648790,12502877866,209570,209570,209570
12035458589,12266717450,12268257450,12395648790,12502877866,209570,209570,209570
12035458589,12266717450,12267030954,12395648790,12502877866,209570,209570,209570
12135458589,12266717450,12267030954,12395648790,12502877866,209570,209570,209570
12266835355,12266877450,12267030954,12395648790,12502877866,209570,209570,209570
12266717450,12266877450,12267030954,12395648790,12376219413,209570,209570,209570
12266717450,12268027450,12267030954,12395648790,12376219413,209570,209570,209570
12266877450,12268027450,12267030954,12395648790,12376219413,209570,209570,209570
12266877450,12268027450,12267030954,12395648790,12376219413,209570,209570,209570
12268027450,12268127450,12266906927,12445595192,12396329413,209570,209570,209570
12268027450,12268127450,12265808741,12445595192,12396329413,209570,209570,209570
12268127450,12267030954,12295648790,12350194495,12396329413,209570,209570,209570
12267030954,12267030954,12395648790,12450194495,12396329413,209570,209570,209570
12267030954,12266906927,12395648790,12456494495,12396329413,209570,209570,209570
12295808741,12295648790,12445595192,12456494495,12530893720,209570,209570,209570
12295808741,12395648790,12445595192,12456494495,12530893720,209570,209570,209570
12295648790,12395648790,12340294495,12406658824,12530893720,209570,209570,209570
12395648790,12395648790,12350194495,12406658824,12530893720,209570,209570,209570
12395648790,12395648790,12350194495,12406658824,12530893720,209570,209570,209570
12445595192,12350194495,12456494495,12406658824,12530893720,209570,209570,209570
12350194495,12350194495,12406658824,12406658824,12530893720,209570,209570,209570
12350194495,12450194495,12406658824,12406658824,12530893720,209570,209570,209570
12456494495,12456494495,12406658824,12406658824,12404238459,209570,209570,209570
12456494495,12456494495,12406658824,12406658824,12404238459,209570,209570,209570
12406658824,12406658824,12406658824,12416658824,12404238459,209570,209570,209570
12416658824,12416658824,12077781000,12414111466,12404248459,209570,209570,209570
12460128385,12077781000,11894971047,12366974178,12404248459,209570,209570,209570
12077781000,11894841047,12414101466,12366974178,12404248459,209570,209570,209570
12077781000,11894841047,12414101466,12366974178,12404248459,209570,209570,209570
11894841047,11894841047,12414111466,12366974178,12475439752,209570,209570,209570
11894971047,12414101466,12418753453,12366974178,12475439752,209570,209570,209570
12046686419,12414101466,12418439974,12366974178,12475439752,209570,209570,209570
12414101466,12414101466,12366974178,12366974178,12475439752,209570,209570,209570
12414101466,12418765139,12366974178,12366974178,12475439752,209570,209570,209570
12418765139,12418663453,12366974178,12366974178,12475439752,209570,209570,209570
12418765139,12418753453,12366974178,12366974178,12475439752,209570,209570,209570
12418753453,12366974178,12366974178,12502877866,12475439752,209570,209570,209570
12366974178,12366974178,12366974178,12502877866,12475439752,209570,209570,209570
12366974178,12366974178,12366974178,12502877866,12475439752,209570,209570,209570
12366974178,12366974178,12366974178,12502877866,12475439752,209570,209570,209570
12366974178,12366974178,12366974178,12502877866,12475439752,209570,209570,209570
12502877866,12502877866,12396329413,12530893720,209570,209570,209570,209570
12376219413,12396329413,12396329413,12530893720,209570,209570,209570,209570
12396329413,12396329413,12530893720,12530893720,209570,209570,209570,209570
12530893720,12530893720,12530893720,12404238459,209570,209570,209570,209570
12404238459,12404238459,12404238459,12404248459,209570,209570,209570,209570
12404238459,12404238459,12404238459,12404248459,209570,209570,209570,209570
12404238459,12404238459,12404238459,12404248459,209570,209570,209570,209570
12404248459,12404248459,12404248459,12404248459,209570,209570,209570,209570
12475439752,12475439752,12475439752,209570,209570,209570,209570,209570
209570,209570,209570,209570,209570,209570,209570,209570
