token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
79681600000,79736818962,80066794180,80379417423,81667374191,82423581008,9288,9288
79932547317,79736818962,80066694349,80379417423,81667374191,82423581008,9288,9288
79933147317,79736818962,80066594545,80379417423,81667374191,82423581008,9288,9288
79716618962,80036018962,80066494713,80534917423,81667374191,82423581008,9288,9288
79736818962,80036018962,80066394881,80534917423,81667374191,82423581008,9288,9288
79736818962,80025994180,80036536968,80534917423,81667374191,82423581008,9288,9288
79736818962,80025994180,80036536968,80534917423,81667374191,82423581008,9288,9288
80036018962,80025994180,80036536968,80534917423,81667374191,82423581008,9288,9288
80036018962,80025994180,80036536968,80534917423,81667374191,82423581008,9288,9288
80025994180,80056094180,80158537309,80534917423,81667374191,82479081008,9288,9288
80025994180,80056094180,80158046982,80534917423,81667374191,82479081008,9288,9288
80066294180,80066694349,80378947423,80556917423,81667374191,82479081008,9288,9288
80066694349,80036536968,80379167423,80556806882,81667374191,82479081008,9288,9288
80066594545,80036536968,80379417423,80556806882,81677374191,82479081008,9288,9288
80036536968,80158237428,80379417423,80633706942,81677374191,82479081008,9288,9288
80036536968,80158737428,80379417423,80633706942,81677374191,82479081008,9288,9288
80036536968,80158537309,80534917423,80633706942,81677374191,82479081008,9288,9288
80036536968,80158037014,80534917423,80633706942,81799374191,82479081008,9288,9288
80158237428,80158046982,80534917423,80633706942,81844381008,82479081008,9288,9288
80158046982,80377947423,80534917423,80633706942,81894381008,82479081008,9288,9288
80377946923,80379067423,80534917423,80721706942,81894381008,82479081008,9288,9288
80378046923,80379167423,80534917423,80721706942,81894381008,82479081008,9288,9288
80377947423,80379167423,80534917423,80721706942,81894381008,82479081008,9288,9288
80377947423,80379167423,80534917423,80721706942,81894381008,82479081008,9288,9288
80378947423,80379167423,80556917423,80723706942,81894381008,82479081008,9288,9288
80379167423,80379417423,80556917423,80723706942,81894381008,82479081008,9288,9288
80379167423,80379417423,80556917423,80723706942,81894381008,82479081008,9288,9288
80379167423,80379417423,80556917423,80723706942,81894381008,82501081008,9288,9288
80379417423,80379417423,80556917423,80723706942,81894381008,82501081008,9288,9288
80379417423,80534917423,80556917423,80723706942,81894381008,82501081008,9288,9288
80379417423,80534917423,80556806882,80845586517,81894381008,82501081008,9288,9288
80534917423,80534917423,80633706942,80845586517,81960381008,82501081008,9288,9288
80556917423,80556806882,80723706942,80845586517,81960381008,9288,9288,9288
80556706942,80633706942,80723706942,80954386517,81960381008,9288,9288,9288
80633706942,80633706942,80845586517,80954386517,82015381008,9288,9288,9288
80633706942,80633706942,80845586517,80954386517,82015381008,9288,9288,9288
80723706942,80723706942,80845586517,81076386517,82015381008,9288,9288,9288
80723706942,80723586517,80845586517,81075374191,82015381008,9288,9288,9288
80845586517,80845586517,80954386517,81075374191,82015381008,9288,9288,9288
80845586517,80845586517,80954386517,81075374191,82015381008,9288,9288,9288
80954386517,80954386517,81075374191,81207374191,82037381008,9288,9288,9288
80954386517,80954386517,81075374191,81207374191,82037381008,9288,9288,9288
81076386517,81075374191,81185374191,81237374191,82037381008,9288,9288,9288
81075374191,81075374191,81185374191,81237374191,82037381008,9288,9288,9288
81185374191,81185374191,81207374191,81557374191,82257381008,9288,9288,9288
81207374191,81207374191,81457374191,81590374191,82257381008,9288,9288,9288
81237374191,81237374191,81590374191,81612374191,82257381008,9288,9288,9288
81557374191,81557374191,81590374191,81612374191,82279381008,9288,9288,9288
81557374191,81557374191,81590374191,81612374191,82279381008,9288,9288,9288
81590374191,81590374191,81612374191,81667374191,82279381008,9288,9288,9288
81612374191,81612374191,81667374191,81677374191,82279381008,9288,9288,9288
81667374191,81667374191,81677374191,81894381008,82423581008,9288,9288,9288
81677374191,81894381008,81894381008,81960381008,82479081008,9288,9288,9288
81894381008,81894381008,81960381008,82015381008,82479081008,9288,9288,9288
81894381008,81894381008,81960381008,82015381008,82479081008,9288,9288,9288
81894381008,81894381008,81960381008,82015381008,82479081008,9288,9288,9288
81960381008,81960381008,82015381008,82037381008,82501081008,9288,9288,9288
82015381008,82015381008,82015381008,82037381008,9288,9288,9288,9288
82037381008,82037381008,82037381008,82037381008,9288,9288,9288,9288
82257381008,82257381008,82257381008,82279381008,9288,9288,9288,9288
82279381008,82279381008,82279381008,82279381008,9288,9288,9288,9288
82423581008,82423581008,82479081008,82479081008,9288,9288,9288,9288
82423581008,82423581008,82479081008,82501081008,9288,9288,9288,9288
82479081008,82479081008,82479081008,82550581008,9288,9288,9288,9288
82501081008,82501081008,9288,9288,9288,9288,9288,9288
82550581008,9288,9288,9288,9288,9288,9288,9288
9288,9288,9288,9288,9288,9288,9288,9288
