token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
193385519888141,194947367843752,167645945276295,153014491332305,171678026159972,136662915073771,195701704088244,260563229140903
193339929630972,194947367843752,166606204985341,153014491332305,171678026159972,136381100073581,195755119196315,260563229140903
194888170501056,193367642006935,166606204985341,154994540767515,171410388729209,136381100073581,195755119196315,260563229140903
193716629623891,193367642006935,166606204985341,154994540767515,171232427581241,136479456749734,195755119196315,260563229140903
193488121279204,180087710198784,166606204985341,156565612023173,171232427581241,138288055594332,195755119196315,260563229140903
194947367843752,178805336715932,166606204985341,152211700245274,171303224866192,138173650043718,193488891939318,260563229140903
194947367843752,178805336715932,166606204985341,152211700245274,171303224866192,138173650043718,193488891939318,260563229140903
193367642006935,177445115830217,162896542439971,152211700245274,171303224866192,138059433868417,193488891939318,260563229140903
193367642006935,177445115830217,160794493916108,152113003528897,173661662680782,138059433868417,193488891939318,260563229140903
180087710198784,177541119626827,161937498618350,152113003528897,173661662680782,136916236433743,193571569968412,260563229140903
178805336715932,177783860393612,161937498618350,160468539806645,173661662680782,136916236433743,193571569968412,260563229140903
177445115830217,169713120950729,161937498618350,161194159034059,173205739915605,136149633737588,193753453153979,260563229140903
177541119626827,170635519421195,160590917445855,161920280000234,173205739915605,136588091673797,193753453153979,260563229140903
177783860393612,169761735037356,160590917445855,161474552840554,173025856409496,136588091673797,193753453153979,260563229140903
169713120950729,168853418852154,158639566370269,167260475187090,173356067397844,136421354641398,193753453153979,260563229140903
170635519421195,167817381166322,158639566370269,168655515306479,173356067397844,136356107080173,193753453153979,260563229140903
169761735037356,167645945276295,158639566370269,168655515306479,173356067397844,137491971856035,193753453153979,260563229140903
168853418852154,166606204985341,158639566370269,168439338298614,173356067397844,137491971856035,193753453153979,260563229140903
168853418852154,166606204985341,158639566370269,169871590776478,173356067397844,137491971856035,193753453153979,260563229140903
167817381166322,166606204985341,158648896925123,171494705140960,173356067397844,135022121595841,191593429598015,260563229140903
167645945276295,166606204985341,160012347776141,171494705140960,173428139018832,135022121595841,191593429598015,260563229140903
166606204985341,166606204985341,155772760661045,170692839078160,173428139018832,135052313987901,191593429598015,260563229140903
166606204985341,161937498618350,153014491332305,173382207395568,173374780433459,130891458447030,191593429598015,260563229140903
166606204985341,161937498618350,153014491332305,173382207395568,173374780433459,130891458447030,191593429598015,260563229140903
166606204985341,161937498618350,153014491332305,173398954279813,173374780433459,130891458447030,191593429598015,260563229140903
161937498618350,158639566370269,152211700245274,173963803603493,174412509360913,130671394127422,191593429598015,260563229140903
161111035604578,158639566370269,152113003528897,174489260906516,174412509360913,130671394127422,191593429598015,260563229140903
