token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
2545466700,2551267063,2653222749,2729579384,2910519553,2855295089,1979552775,1979552775
2545466700,2551267063,2653222749,2729579384,2395200339,2855295089,1979552775,1979552775
2545667063,2551967063,2653003453,2729579384,2395200339,2855295089,1979552775,1979552775
2550167063,2551967063,2653003453,2729579384,2395200339,2855295089,1979552775,1979552775
2551267063,2552167063,2653003453,2729579384,2395200339,2855295089,1979552775,1979552775
2551267063,2552667063,2652895858,2829579384,2395200339,2855295089,1979552775,1979552775
2551967063,2552667063,2653055236,2829579384,2395200339,2855295089,1979552775,1979552775
2551967063,2552667063,2823055236,2829579384,2395200339,2855295089,1979552775,1979552775
2552167063,2552787063,2773158609,2829579384,2395200339,2855295089,1979552775,1979552775
2552667063,2552587919,2772460366,2829679384,2290952749,2855295089,1979552775,1979552775
2552787063,2553437919,2772053242,2829679384,2290952749,2855295089,1979552775,1979552775
2552587919,2653437919,2772053242,2829679384,2290952749,2855295089,1979552775,1979552775
2553437919,2653222749,2821809722,2829679384,2290952749,2855295089,1979552775,1979552775
2653437919,2653222749,2821809722,2830679384,2290952749,2855295089,1979552775,1979552775
2653222749,2653003453,2709449384,2830679384,2290952749,2855295089,1979552775,1979552775
2653222749,2652895858,2709579384,2830679384,2290952749,2855295089,1979552775,1979552775
2653003453,2823055236,2729579384,2830679384,2290952749,2855295089,1979552775,1979552775
2653055236,2772460366,2729579384,2830779384,2290952749,2855295089,1979552775,1979552775
2772809782,2772053242,2829579384,2830879384,2290952749,2855295089,1979552775,1979552775
2772577883,2822053242,2829579384,2830879384,2290952749,2855295089,1979552775,1979552775
2772460366,2821931508,2829579384,2830879384,2290952749,2855295089,1979552775,1979552775
2772342840,2821931508,2829579384,2890879384,2290952749,2855295089,1979552775,1979552775
2772053242,2821809722,2829579384,2890879384,2290952749,2855295089,1979552775,1979552775
2772053242,2821809722,2829579384,2890879384,2290952749,2855295089,1979552775,1979552775
2822053242,2821809722,2829579384,2890879384,2290952749,2855295089,1979552775,1979552775
2821931508,2821809722,2829679384,2890879384,2290952749,2855295089,1979552775,1979552775
2821931508,2709553111,2829679384,2890879384,2290952749,2855295089,1979552775,1979552775
2821809722,2709449384,2829679384,2890879384,2290952749,2855295089,1979552775,1979552775
2821809722,2709579384,2829679384,2890879384,2290952749,2855295089,1979552775,1979552775
2821809722,2729579384,2829679384,2890879384,2290952749,2855295089,1979552775,1979552775
2709449384,2729579384,2829679384,2890879384,2290952749,2855295089,1979552775,1979552775
2729579384,2729579384,2830679384,2890775627,2297218081,2855295089,1979552775,1979552775
2729579384,2729579384,2830679384,2890775627,2297218081,2855295089,1979552775,1979552775
2729579384,2829579384,2830679384,2866994417,2297218081,2424941748,1979552775,1979552775
2729579384,2829579384,2830679384,2866994417,2297218081,2514746626,1979552775,1979552775
2829579384,2829679384,2830879384,2866994417,2297218081,2514746626,1979552775,1979552775
2829679384,2830679384,2890879384,3121994417,2597218081,2514746626,1979552775,1979552775
2830679384,2830679384,2890775627,3121994417,2597218081,2514746626,1979552775,1979552775
2830879384,2890879384,2866994417,3121994417,2597218081,2514746626,1979552775,1979552775
2890879384,2890879384,2866994417,3131994417,2597218081,2514746626,1979552775,1979552775
2890879384,2890879384,2866994417,3131994417,2597218081,2514746626,1979552775,1979552775
2866994417,2866994417,3121994417,3125998186,2674562652,2514746626,1979552775,1979552775
2866994417,2866994417,3121994417,3125876886,2724562652,2514746626,1979552775,1979552775
3121994417,3121994417,3125998186,3004905027,2670267156,2191505660,1979552775,1979552775
3131994417,3125998186,3125876886,3004905027,2670267156,2088813175,1979552775,1979552775
3125998186,3125998186,3004905027,3004905027,2670267156,2088813175,1979552775,1979552775
3125876886,3125876886,3004905027,2994375166,2743445805,2088813175,1979552775,1979552775
3004905027,3004905027,3004905027,3837956996,2743445805,2088813175,1979552775,1979552775
2995334400,2994375166,5343631646,2410519553,2845295089,2086206236,1979552775,1979552775
2994375166,2994375166,5343620704,2410519553,2845295089,2086206236,1979552775,1979552775
2994375166,3594217276,2572229045,2410519553,2845295089,2086206236,1979552775,1979552775
3837956996,5343631646,2855696807,2410519553,2855295089,2086206236,1979552775,1979552775
5343631646,5343620704,2466049420,2395200339,2855295089,2043871185,1979552775,1979552775
5343631646,5343620704,2466049420,2395200339,2855295089,2043871185,1979552775,1979552775
5343631646,5343620704,2466049420,2395200339,2855295089,2043871185,1979552775,1979552775
5343620704,2890600869,2466049420,2395200339,2855295089,2043871185,1979552775,1979552775
2890600869,2785696807,2410519553,2290952749,2855295089,2043871185,1979552775,1979552775
2785696807,2855696807,2410519553,2290952749,2855295089,2043871185,1979552775,1979552775
2785696807,2466049420,2410519553,2290952749,2855295089,2043871185,1979552775,1979552775
2855696807,2466049420,2410519553,2290952749,2855295089,2015776021,1979552775,1979552775
2466049420,2466049420,2410519553,2290952749,2855295089,2015776021,1979552775,1979552775
2466049420,2466049420,2410519553,2290952749,2855295089,2015776021,1979552775,1979552775
2466049420,2466049420,2910519553,2290952749,2855295089,2015776021,1979552775,1979552775
2410519553,2410519553,2290952749,2290952749,2855295089,2015776021,1979552775,1979552775
2410519553,2410519553,2290952749,2290952749,2855295089,2015776021,1979552775,1979552775
2395200339,2395200339,2290952749,2297218081,2855295089,1990683267,1979552775,1979552775
2395200339,2290952749,2290952749,2297218081,2855295089,1990683267,1979552775,1979552775
2290952749,2290952749,2290952749,2297218081,2855295089,1990683267,1979552775,1979552775
2297218081,2297218081,2597218081,2674562652,2855295089,1990683267,1979552775,1979552775
2297218081,2297218081,2597218081,2674562652,2855295089,1990683267,1979552775,1979552775
2597218081,2597218081,2597218081,2670267156,2514746626,1980148308,1979552775,1979552775
2674562652,2724562652,2670267156,2743445805,2514746626,1980148308,1979552775,1979552775
2670267156,2670267156,2670267156,2743445805,2514746626,1980148308,1979552775,1979552775
2670267156,2670267156,2670267156,2743445805,2514746626,1980148308,1979552775,1979552775
2743445805,2743445805,2743445805,2845295089,2088813175,1980148308,1979552775,1979552775
2845295089,2845295089,2855295089,2855295089,2086206236,1980148308,1979552775,1979552775
2855295089,2855295089,2855295089,2855295089,2086206236,1980148308,1979552775,1979552775
2514746626,2514746626,2514746626,2514746626,1990683267,1980148308,1979552775,1979552775
2514746626,2514746626,2514746626,2514746626,1990683267,1980148308,1979552775,1979552775
2191505660,2191505660,2088813175,2088813175,1980148308,1980148308,1979552775,1979552775
2088813175,2088813175,2088813175,2086206236,1980148308,1980148308,1979552775,1979552775
2086206236,2086206236,2086206236,2043871185,1980148308,1980148308,1979552775,1979552775
2043871185,2043871185,2015776021,1990683267,1980148308,1980148308,1979552775,1979552775
2015776021,2015776021,2015776021,1990683267,1980148308,1980148308,1979552775,1979552775
1990683267,1990683267,1990683267,1990683267,1980148308,1980148308,1979552775,1999552775
