open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:42,165187706310616,165187706310616,165187706310616,165187706310616,165187706310616,165187706310616,165187706310616,165187706310616,165187706310616,165187706310616,165187706310616,0,-42325795820885,0,-42325795820885,0,-42325795820885,0,-42325795820885,0,-42325795820885,0,-42325795820885,0,-42325795820885,0,-42325795820885,0,-42325795820885,0,-42325795820885,-42325795820885,0,0.0,0.0,0.0,0.0
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:43,164557686372923,164557686372923,164557686372923,164557686372923,164557686372923,164557686372923,164557686372923,164557686372923,164557686372923,164557686372923,164557686372923,0,-42342313627077,0,-42342313627077,0,-42342313627077,0,-42342313627077,0,-42342313627077,0,-42342313627077,0,-42342313627077,0,-42342313627077,0,-42342313627077,0,-42342313627077,-42342313627077,0,0.0,0.0,0.0,0.0
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:44,185830956154508,185830956154508,185830956154508,185830956154508,185830956154508,185830956154508,185830956154508,185830956154508,185830956154508,185830956154508,185830956154508,90253491234449,-111436921724122,90253491234449,-111436921724122,90253491234449,-111436921724122,90253491234449,-111436921724122,90253491234449,-111436921724122,90253491234449,-111436921724122,90253491234449,-111436921724122,90253491234449,-111436921724122,90253491234449,-111436921724122,90253491234449,-111436921724122,-111436921724122,3,0.759090773642406,0.9999999999999999,0.9999999999999999,0.5772282750002584
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:45,185297691387145,185297691387145,185297691387145,185297691387145,185297691387145,185297691387145,185297691387145,185297691387145,185297691387145,185297691387145,185297691387145,90253491234449,-112977378307176,90253491234449,-112977378307176,90253491234449,-112977378307176,90253491234449,-112977378307176,90253491234449,-112977378307176,90253491234449,-112977378307176,90253491234449,-112977378307176,90253491234449,-112977378307176,90253491234449,-112977378307176,90253491234449,-112977378307176,-112977378307176,3,0.759090773642406,0.9999999999999999,0.9999999999999999,0.5772282750002584
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:46,184072950572268,184072950572268,184072950572268,184072950572268,184072950572268,184072950572268,184072950572268,184072950572268,184072950572268,184072950572268,184072950572268,91384972273237,-113450969179575,91384972273237,-113450969179575,91384972273237,-113450969179575,91384972273237,-113450969179575,91384972273237,-113450969179575,91384972273237,-113450969179575,91384972273237,-113450969179575,91384972273237,-113450969179575,91384972273237,-113450969179575,91384972273237,-113450969179575,-113450969179575,5,0.7496921078034842,1.0000000000000002,1.0000000000000002,0.6390568875649729
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:47,184792845428495,165187706310616,184792845428495,184792845428495,184792845428495,184792845428495,184792845428495,184792845428495,184792845428495,184792845428495,184792845428495,91384972273237,-113741175164541,91384972273237,-113741175164541,91384972273237,-113741175164541,91384972273237,-113741175164541,91384972273237,-113741175164541,91384972273237,-113741175164541,91384972273237,-113741175164541,91384972273237,-113741175164541,91384972273237,-113741175164541,91384972273237,-113741175164541,-113741175164541,5,0.7496921078034842,1.0000000000000002,1.0000000000000002,0.6390568875649729
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:48,184523073425761,164557686372923,184523073425761,184523073425761,184523073425761,184523073425761,184523073425761,184523073425761,184523073425761,184523073425761,184523073425761,92680763362058,-75767080568539,92680763362058,-118092876389424,92680763362058,-118092876389424,92680763362058,-118092876389424,92680763362058,-118092876389424,92680763362058,-118092876389424,92680763362058,-118092876389424,92680763362058,-118092876389424,92680763362058,-118092876389424,92680763362058,-118092876389424,-118092876389424,6,0.7392104898559039,0.9994425815326511,0.9999999999999999,0.7037055261436207
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:49,181389725790678,185830956154508,181389725790678,181389725790678,181389725790678,181389725790678,181389725790678,181389725790678,181389725790678,181389725790678,181389725790678,102458709171321,-75848723944303,102458709171321,-118191037571380,102458709171321,-118191037571380,102458709171321,-118191037571380,102458709171321,-118191037571380,102458709171321,-118191037571380,102458709171321,-118191037571380,102458709171321,-118191037571380,102458709171321,-118191037571380,102458709171321,-118191037571380,-118191037571380,8,0.6686653876395181,0.9843731194789036,1.0,0.9850658540640784
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:50,189864693903257,185297691387145,189864693903257,189864693903257,189864693903257,189864693903257,189864693903257,189864693903257,189864693903257,189864693903257,189864693903257,19170078074766,-8188603201465,109423569309215,-119625524925587,109423569309215,-119625524925587,109423569309215,-119625524925587,109423569309215,-119625524925587,109423569309215,-119625524925587,109423569309215,-119625524925587,109423569309215,-119625524925587,109423569309215,-119625524925587,109423569309215,-119625524925587,-119625524925587,9,0.6261045304735499,0.9735258033193855,1.0,1.1592618852181913
2024-06-10 21:30:42,206900000000000,2024-06-10 21:30:51,196581597522022,184072950572268,196581597522022,196581597522022,196581597522022,196581597522022,196581597522022,196581597522022,196581597522022,196581597522022,196581597522022,19290418474136,-8092596072374,109543909708585,-121069974379550,109543909708585,-121069974379550,109543909708585,-121069974379550,109543909708585,-121069974379550,109543909708585,-121069974379550,109543909708585,-121069974379550,109543909708585,-121069974379550,109543909708585,-121069974379550,109543909708585,-121069974379550,-121069974379550,10,0.6254167179840652,0.9724563282177563,1.0,1.1665716334303993
