open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 22:23:57,206900000000000,2024-06-09 22:23:57,202393041863973,202393041863973,202393041863973,202393041863973,202393041863973,202393041863973,202393041863973,202393041863973,202393041863973,202393041863973,202393041863973,3332132087327,-17671636606854,3332132087327,-17671636606854,3332132087327,-17671636606854,3332132087327,-17671636606854,3332132087327,-17671636606854,3332132087327,-17671636606854,3332132087327,-17671636606854,3332132087327,-17671636606854,3332132087327,-17671636606854,3332132087327,-17671636606854,-17671636606854,1,1.0,1.0,1.0,0.0
2024-06-09 22:23:57,206900000000000,2024-06-09 22:23:58,156663735604578,156663735604578,156663735604578,156663735604578,156663735604578,156663735604578,156663735604578,156663735604578,156663735604578,156663735604578,156663735604578,3332132087327,-80694831302479,3332132087327,-80694831302479,3332132087327,-80694831302479,3332132087327,-80694831302479,3332132087327,-80694831302479,3332132087327,-80694831302479,3332132087327,-80694831302479,3332132087327,-80694831302479,3332132087327,-80694831302479,3332132087327,-80694831302479,-80694831302479,1,1.0,1.0,1.0,0.0
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:01,141717799093035,141717799093035,141717799093035,141717799093035,141717799093035,141717799093035,141717799093035,141717799093035,141717799093035,141717799093035,141717799093035,6912592115720,-81286262653130,6912592115720,-81286262653130,6912592115720,-81286262653130,6912592115720,-81286262653130,6912592115720,-81286262653130,6912592115720,-81286262653130,6912592115720,-81286262653130,6912592115720,-81286262653130,6912592115720,-81286262653130,6912592115720,-81286262653130,-81286262653130,2,0.5179619986908582,1.0,1.0,0.6925017749045648
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:02,141704333441649,202393041863973,141704333441649,141704333441649,141704333441649,141704333441649,141704333441649,141704333441649,141704333441649,141704333441649,141704333441649,6912592115720,-81347438965548,6912592115720,-81347438965548,6912592115720,-81347438965548,6912592115720,-81347438965548,6912592115720,-81347438965548,6912592115720,-81347438965548,6912592115720,-81347438965548,6912592115720,-81347438965548,6912592115720,-81347438965548,6912592115720,-81347438965548,-81347438965548,2,0.5179619986908582,1.0,1.0,0.6925017749045648
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:03,141035511379766,156663735604578,141035511379766,141035511379766,141035511379766,141035511379766,141035511379766,141035511379766,141035511379766,141035511379766,141035511379766,3580460028393,-65038426347118,6912592115720,-82710062953972,6912592115720,-82710062953972,6912592115720,-82710062953972,6912592115720,-82710062953972,6912592115720,-82710062953972,6912592115720,-82710062953972,6912592115720,-82710062953972,6912592115720,-82710062953972,6912592115720,-82710062953972,-82710062953972,2,0.5179619986908582,1.0,1.0,0.6925017749045648
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:04,140257770280056,156663735604578,140257770280056,140257770280056,140257770280056,140257770280056,140257770280056,140257770280056,140257770280056,140257770280056,140257770280056,3640412296669,-2051208927800,6972544383996,-82746040230279,6972544383996,-82746040230279,6972544383996,-82746040230279,6972544383996,-82746040230279,6972544383996,-82746040230279,6972544383996,-82746040230279,6972544383996,-82746040230279,6972544383996,-82746040230279,6972544383996,-82746040230279,-82746040230279,3,0.513508388216386,1.0,1.0,0.7360039597216919
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:05,140245759904454,156663735604578,140245759904454,140245759904454,140245759904454,140245759904454,140245759904454,140245759904454,140245759904454,140245759904454,140245759904454,3640412296669,-2129162865267,6972544383996,-82823994167746,6972544383996,-82823994167746,6972544383996,-82823994167746,6972544383996,-82823994167746,6972544383996,-82823994167746,6972544383996,-82823994167746,6972544383996,-82823994167746,6972544383996,-82823994167746,6972544383996,-82823994167746,-82823994167746,3,0.513508388216386,1.0,1.0,0.7360039597216919
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:06,139051098129075,141717799093035,139051098129075,139051098129075,139051098129075,139051098129075,139051098129075,139051098129075,139051098129075,139051098129075,139051098129075,3738743875450,-3305842975643,7070875962777,-84000674278122,7070875962777,-84000674278122,7070875962777,-84000674278122,7070875962777,-84000674278122,7070875962777,-84000674278122,7070875962777,-84000674278122,7070875962777,-84000674278122,7070875962777,-84000674278122,7070875962777,-84000674278122,-84000674278122,4,0.5063672517014169,1.0,1.0,0.7990341294964908
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:07,142322312860447,141704333441649,202393041863973,142322312860447,142322312860447,142322312860447,142322312860447,142322312860447,142322312860447,142322312860447,142322312860447,3331166999648,-2789435781218,10243759115368,-84075698434348,10243759115368,-84075698434348,10243759115368,-84075698434348,10243759115368,-84075698434348,10243759115368,-84075698434348,10243759115368,-84075698434348,10243759115368,-84075698434348,10243759115368,-84075698434348,10243759115368,-84075698434348,-84075698434348,5,0.34952598826943176,1.0,1.0,1.1704337693618743
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:08,139846571129794,141035511379766,156663735604578,139846571129794,139846571129794,139846571129794,139846571129794,139846571129794,139846571129794,139846571129794,139846571129794,3331166999648,-5140895727677,6911627028041,-68816698086371,10243759115368,-86488334693225,10243759115368,-86488334693225,10243759115368,-86488334693225,10243759115368,-86488334693225,10243759115368,-86488334693225,10243759115368,-86488334693225,10243759115368,-86488334693225,10243759115368,-86488334693225,-86488334693225,5,0.34952598826943176,1.0,1.0,1.1704337693618743
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:09,139834653445344,140257770280056,156663735604578,139834653445344,139834653445344,139834653445344,139834653445344,139834653445344,139834653445344,139834653445344,139834653445344,3331167999648,-3778271739253,6911628028041,-5793503390746,10243760115368,-86488334693225,10243760115368,-86488334693225,10243760115368,-86488334693225,10243760115368,-86488334693225,10243760115368,-86488334693225,10243760115368,-86488334693225,10243760115368,-86488334693225,10243760115368,-86488334693225,-86488334693225,6,0.3495259541485636,0.9999999023795961,1.0,1.1704353285301203
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:11,139810822174906,139051098129075,141717799093035,139810822174906,139810822174906,139810822174906,139810822174906,139810822174906,139810822174906,139810822174906,139810822174906,3271215731372,-3711994932150,6911628028041,-5841157797417,10243760115368,-86535989099896,10243760115368,-86535989099896,10243760115368,-86535989099896,10243760115368,-86535989099896,10243760115368,-86535989099896,10243760115368,-86535989099896,10243760115368,-86535989099896,10243760115368,-86535989099896,-86535989099896,6,0.3495259541485636,0.9999999023795961,1.0,1.1704353285301203
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:12,139782235387165,142322312860447,141704333441649,139782235387165,139782235387165,139782235387165,139782235387165,139782235387165,139782235387165,139782235387165,139782235387165,3172884152591,-2588173140604,3331167999648,-5302584765596,10243760115368,-86588847418726,10243760115368,-86588847418726,10243760115368,-86588847418726,10243760115368,-86588847418726,10243760115368,-86588847418726,10243760115368,-86588847418726,10243760115368,-86588847418726,10243760115368,-86588847418726,-86588847418726,6,0.3495259541485636,0.9999999023795961,1.0,1.1704353285301203
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:14,115026711276529,139834653445344,140257770280056,115026711276529,115026711276529,115026711276529,115026711276529,115026711276529,115026711276529,115026711276529,115026711276529,24707430443314,-26444517238638,28038597442962,-30222788977891,34951189558682,-112932851931863,34951189558682,-112932851931863,34951189558682,-112932851931863,34951189558682,-112932851931863,34951189558682,-112932851931863,34951189558682,-112932851931863,34951189558682,-112932851931863,34951189558682,-112932851931863,-112932851931863,7,0.7069124042782855,0.9982846572882638,1.0,0.9479332410158766
2024-06-09 22:23:57,206900000000000,2024-06-09 22:24:16,138092920713259,139810822174906,139051098129075,138092920713259,138092920713259,138092920713259,138092920713259,138092920713259,138092920713259,138092920713259,138092920713259,24707429443314,-26449162175399,27978645174686,-30113502700878,34951189558682,-112937496868624,34951189558682,-112937496868624,34951189558682,-112937496868624,34951189558682,-112937496868624,34951189558682,-112937496868624,34951189558682,-112937496868624,34951189558682,-112937496868624,34951189558682,-112937496868624,-112937496868624,7,0.7069124042782855,0.9982846572882638,1.0,0.9479332410158766
