token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
20004200000,20005400000,20005900000,20005900000,29460628600,38005504260,67015990909,89035931178
20004500000,20005400000,20005900000,20005900000,29460628600,38005504260,67015990909,89035931178
20004800000,20005400000,20005900000,20005900000,29460628600,38005504260,67722165565,89035931178
20004900000,20005400000,20005900000,20005900000,29460628600,38005504260,67722165565,89035931178
20005400000,20005400000,20005900000,20005900000,29460628600,38824875355,67722165565,89035931178
20005400000,20005400000,20005900000,20005900000,29460628600,38824875355,67722165565,89035931178
20005400000,20005600000,20005900000,20005900000,29710628600,38824875355,67722165565,89035931178
20005400000,20005700000,20005900000,20005900000,29710628600,38824875355,67722165565,89035931178
20005400000,20005700000,20005900000,20005900000,29710628600,38824875355,67170966386,89035931178
20005700000,20005900000,20005900000,20005900000,30558312318,38824875355,67170966386,89035931178
20005700000,20005900000,20005900000,20005900000,30558312318,38824875355,67170966386,89035931178
20005900000,20005900000,20005900000,20005900000,30558312318,39388558603,67170966386,89035931178
20615344474,20615344474,21152728448,21237472307,29874067203,40032932447,70542320891,86035360424
21152728448,21152728448,21808572248,23805862500,31874841940,41153528696,71054338634,86035360424
21808572248,21808572248,21237472307,25128914951,33542766885,41153528696,71909852261,86035360424
21237472307,21237472307,25128914951,24928512700,34650378494,44835211430,71909852261,86035360424
23805862500,25128914951,25128914951,27554657919,35216355015,43397041868,72649108132,86035360424
25128914951,25128914951,24928512700,29405972531,35832913339,43397041868,73466732849,86035360424
24928512700,24928512700,27554657919,28775314378,35328859681,42881042591,71688351697,86035360424
24928512700,24928512700,27554657919,28775314378,35328859681,42881042591,71688351697,86035360424
27554657919,27554657919,29405972531,29460628600,36572125104,43715283192,70581552883,86035360424
29405972531,29405972531,28775314378,29460628600,38285661501,43715283192,72198783937,86647841428
29405972531,29405972531,28775314378,29460628600,38385661501,44922565615,72198783937,86647841428
28775314378,28775314378,29460628600,30558312318,36951188383,44922565615,72198783937,86647841428
28775314378,28775314378,29460628600,30558312318,36951188383,46467112250,72198783937,86647841428
29460628600,29460628600,29710628600,30558312318,38224741246,43815413120,73886771531,87543811022
29710628600,30558312318,30558312318,31929923779,38824875355,46858855814,73590353608,87543811022
30558312318,30558312318,31164687925,30597824095,38824875355,47725208953,74235807585,87543811022
31164687925,31164687925,30597824095,31874841940,40039131407,49524353928,74886883453,88395788342
31929923779,30597824095,29874067203,31874841940,40642334647,50224750933,74618474797,88395788342
30597824095,29293724464,29874067203,33542766885,40642334647,50224750933,74618474797,88971601578
29293724464,28099424751,31874841940,33542766885,41243032323,50224750933,74618474797,88971601578
29874067203,29874067203,31874841940,33223167114,41243032323,50964957605,75903832836,88971601578
29874067203,29874067203,31874841940,34650378494,41243032323,50964957605,75903832836,88971601578
31874841940,31874841940,33542766885,35216355015,38729333070,49295359193,74370268520,88971601578
33542766885,33542766885,34650378494,35832913339,41153528696,49765327801,75967317853,87346644601
34650378494,34650378494,35216355015,35328859681,42898621360,51477008889,76575246094,85048150465
34650378494,34650378494,35832913339,35328859681,42898621360,51477008889,76575246094,85048150465
35216355015,35216355015,35832913339,36572125104,42852862263,53237787409,77450298884,86799803037
35832913339,35832913339,35328859681,38285661501,43397041868,53237787409,78012479078,86799803037
35328859681,35328859681,36572125104,36951188383,43397041868,52799026353,78666120770,86799803037
35328859681,35328859681,36572125104,36951188383,43397041868,53284943717,78666120770,86799803037
36572125104,36572125104,38385661501,37087044202,42286243028,53897026919,79258488604,88681088674
38285661501,38385661501,36951188383,38005504260,43715283192,54473472463,78542799403,88681088674
38385661501,39929662539,39482403192,38005504260,43715283192,54473472463,77377099970,88681088674
36951188383,36951188383,37087044202,38824875355,44922565615,54473472463,77377099970,88681088674
36951188383,36951188383,38005504260,38824875355,44922565615,53992473604,77817803301,88681088674
38224741246,37087044202,38005504260,39388558603,45161312416,55663266365,77817803301,89838881614
37087044202,37087044202,38005504260,39388558603,45161312416,55663266365,79427980657,89413682714
37087044202,38005504260,38824875355,39388558603,43815413120,55663266365,79427980657,89413682714
38005504260,38005504260,38824875355,40039131407,43815413120,57336955718,79427980657,89413682714
38824875355,38824875355,39388558603,40642334647,46858855814,57336955718,79427980657,89413682714
39388558603,39388558603,40039131407,41243032323,47725208953,55971261434,78995726700,90127878725
40039131407,40039131407,40642334647,38729333070,48644291737,57997191005,79458344837,90127878725
40642334647,40642334647,41243032323,41153528696,49524353928,57997191005,80158875411,90127878725
41243032323,41243032323,38729333070,42898621360,50224750933,58713800952,80144828980,90127878725
41343032323,40032932447,41153528696,44835211430,50964957605,58713800952,80144828980,90127878725
38729333070,38729333070,41153528696,44835211430,50964957605,58713800952,80144828980,90127878725
38729333070,38729333070,42898621360,42852862263,50475058554,59448977909,81650396042,90127878725
41153528696,41153528696,42898621360,43397041868,49295359193,59448977909,81650396042,89321050521
42898621360,42898621360,42852862263,43397041868,49765327801,60115916721,83171239842,89321050521
44835211430,43978316961,43397041868,42881042591,51477008889,60115916721,82723641648,89321050521
42852862263,43397041868,43397041868,42286243028,51477008889,60760343339,82723641648,90644094173
42852862263,43397041868,43397041868,43715283192,53237787409,60760343339,82723641648,90644094173
43397041868,43397041868,43397041868,43715283192,53237787409,59465644607,82723641648,90644094173
42881042591,42286243028,43715283192,46467112250,53284943717,60185806974,84005560800,90644094173
42286243028,43715283192,43715283192,45161312416,53284943717,62001514308,84005560800,90644094173
43715283192,43715283192,44922565615,43815413120,53897026919,62001514308,84716958749,92207589191
44922565615,44922565615,45161312416,46858855814,54473472463,62195771302,84716958749,92207589191
46467112250,45161312416,43815413120,47725208953,53992473604,62656850869,85430955644,92207589191
45161312416,43815413120,43815413120,47725208953,53992473604,62656850869,84046456571,92207589191
43815413120,43815413120,46858855814,48644291737,55663266365,62656850869,82217670275,90407615825
46858855814,46858855814,47725208953,49524353928,57336955718,63623277098,81068371491,90407615825
47725208953,47725208953,48644291737,50224750933,58767398206,63623277098,81068371491,90407615825
48644291737,48644291737,49524353928,50964957605,57266306690,65243075242,81097158253,90556870845
49524353928,49524353928,50224750933,50475058554,57997191005,62367757898,82836250552,90556870845
50224750933,50224750933,50964957605,49765327801,57997191005,64765363433,81619881052,90556870845
50964957605,50964957605,49295359193,49765327801,58713800952,63949147738,81619881052,90556870845
50475058554,49295359193,49765327801,51477008889,59448977909,64667585157,81072184079,91308594415
49295359193,49295359193,49765327801,53237787409,59448977909,65462988105,81072184079,91308594415
49295359193,49295359193,49765327801,53237787409,59448977909,65462988105,80557254237,91308594415
49765327801,49765327801,51477008889,53237787409,59448977909,65462988105,80557254237,91308594415
49765327801,49765327801,51477008889,52511788365,59448977909,66373674340,80557254237,91308594415
51477008889,51477008889,53237787409,53284943717,60115916721,67129533838,81709900649,91308594415
53237787409,53237787409,53294025460,53897026919,60760343339,67129533838,81709900649,91308594415
52511788365,53294025460,53284943717,54473472463,58098445173,67658476620,79247406768,91308594415
53294025460,52799026353,53897026919,54473472463,58098445173,65179496856,79247406768,91308594415
53284943717,53284943717,53897026919,54473472463,60185806974,64016197406,79247406768,91308594415
53284943717,53284943717,53897026919,53992473604,60185806974,65702392569,79247406768,91308594415
53897026919,53897026919,54473472463,55663266365,62001514308,65702392569,79247406768,92138108457
54473472463,54473472463,53992473604,57336955718,62420370202,67399411920,79247406768,92138108457
53992473604,53992473604,55663266365,55971261434,62195771302,69246271137,79247406768,92718874051
55663266365,55663266365,57336955718,56210518114,62656850869,67015990909,79247406768,92718874051
57336955718,57336955718,55971261434,57997191005,62311699873,67015990909,79964419284,92718874051
55971261434,55971261434,57266306690,57997191005,63623277098,67722165565,79964419284,92718874051
55971261434,55971261434,57997191005,57997191005,63623277098,67170966386,79964419284,93322478841
57266306690,57266306690,57997191005,58713800952,63623277098,67170966386,79964419284,93322478841
57266306690,57266306690,57997191005,58713800952,65243075242,67170966386,79964419284,93322478841
57997191005,57997191005,57997191005,59448977909,62367757898,68890264648,79964419284,93322478841
58713800952,58713800952,59448977909,60115916721,63949147738,69835071599,80833487237,93984153767
59448977909,59448977909,59448977909,60760343339,64667585157,70542320891,80833487237,93984153767
60115916721,60115916721,60760343339,60185806974,66373674340,71909852261,81513640483,92753454020
60760343339,59465644607,58098445173,62001514308,67129533838,71909852261,82146907602,88958756153
58098445173,58098445173,60185806974,63654199892,67892345735,72649108132,82146907602,88958756153
58098445173,58098445173,60185806974,62420370202,67892345735,72649108132,82146907602,88958756153
60185806974,60185806974,62001514308,62195771302,65179496856,73466732849,82146907602,90843638520
62001514308,62001514308,61549570787,62656850869,65702392569,71688351697,82146907602,90843638520
62420370202,61549570787,62195771302,62731299278,67587316999,70581552883,80952409648,90843638520
61549570787,61549570787,62656850869,62311699873,67587316999,70581552883,80952409648,90843638520
61549570787,62195771302,62656850869,62311699873,67399411920,70581552883,80952409648,90843638520
62195771302,62195771302,62656850869,63623277098,67399411920,72198783937,80952409648,90843638520
62656850869,62656850869,62311699873,63623277098,67796989155,72198783937,82714704714,92567970500
62731299278,62311699873,63623277098,62367757898,67015990909,73119673933,82714704714,92567970500
62311699873,62311699873,63623277098,62367757898,67015990909,73119673933,82714704714,92567970500
62311699873,63623277098,63623277098,62367757898,67015990909,73119673933,82714704714,92567970500
63623277098,63623277098,63623277098,64765363433,67015990909,73590353608,82714704714,92567970500
63756356914,62367757898,64765363433,64667585157,67170966386,74886883453,84604073514,93105796728
62367757898,62367757898,64765363433,64667585157,67170966386,74886883453,84604073514,93105796728
62367757898,62367757898,64765363433,64667585157,67170966386,74886883453,84604073514,93105796728
64765363433,64765363433,63949147738,65462988105,68890264648,75013893916,86421141109,93105796728
63949147738,63949147738,64667585157,66373674340,68982859961,74618474797,85542433322,93533695407
64667585157,64667585157,65462988105,67129533838,69835071599,75903832836,85542433322,93533695407
65462988105,65462988105,66373674340,67892345735,70542320891,77222517358,86209519944,93533695407
66373674340,66373674340,67129533838,67658476620,71054338634,73263169561,86209519944,93533695407
67129533838,67129533838,67892345735,65702392569,71909852261,76575246094,86788103572,94243043107
67892345735,67892345735,65179496856,67587316999,71909852261,77450298884,86788103572,94243043107
67658476620,67658476620,65702392569,67399411920,72649108132,77450298884,86788103572,94243043107
67658476620,65179496856,65702392569,67399411920,72649108132,78012479078,86788103572,93714747079
65179496856,65702392569,65702392569,67399411920,73466732849,78012479078,86788103572,93714747079
65702392569,65702392569,67587316999,69246271137,73466732849,78012479078,86814512265,93693029672
65702392569,65702392569,67587316999,69246271137,73466732849,78666120770,86261312923,93693029672
67587316999,67587316999,67399411920,67015990909,70581552883,79258488604,86261312923,93693029672
67399411920,67399411920,67796989155,67015990909,70581552883,79258488604,86261312923,93693029672
67796989155,67796989155,67015990909,67170966386,72198783937,77377099970,87652343514,94846780604
67796989155,67015990909,67015990909,67170966386,72198783937,77817803301,87652343514,94846780604
67015990909,67015990909,67015990909,67170966386,72198783937,77817803301,87652343514,94846780604
67722165565,67170966386,67170966386,68982859961,73590353608,79427980657,89035931178,96074101567
67170966386,67170966386,68890264648,68982859961,74235807585,79427980657,89035931178,96074101567
68890264648,68890264648,68982859961,70542320891,74886883453,79458344837,87403859244,96074101567
68982859961,68982859961,69835071599,71054338634,74618474797,80158875411,87403859244,94401481426
68982859961,68982859961,69835071599,71054338634,74618474797,80158875411,87403859244,94401481426
69835071599,69835071599,70542320891,71909852261,74618474797,80144828980,87403859244,94401481426
69835071599,69835071599,70542320891,71909852261,74618474797,80144828980,87403859244,94401481426
70542320891,70542320891,71054338634,71909852261,75903832836,80144828980,86035360424,94401481426
71054338634,71054338634,71909852261,72649108132,74370268520,81650396042,86035360424,94401481426
71909852261,71909852261,71909852261,73466732849,75967317853,83171239842,86035360424,92100427167
72649108132,72649108132,73466732849,70581552883,77450298884,82723641648,86035360424,92100427167
73466732849,73466732849,71688351697,72198783937,78012479078,83410284569,86035360424,92100427167
72952449175,71688351697,70581552883,72198783937,78666120770,84005560800,86035360424,92100427167
71688351697,71688351697,70581552883,72198783937,78666120770,84005560800,86035360424,92100427167
71688351697,70581552883,70581552883,73886771531,78666120770,84005560800,86035360424,92100427167
70581552883,70581552883,72198783937,73886771531,79258488604,84716958749,86035360424,92100427167
72198783937,72198783937,73886771531,73590353608,78542799403,84716958749,86647841428,92843534859
73886771531,73886771531,73590353608,74235807585,77817803301,84046456571,86647841428,92843534859
73119673933,73119673933,73590353608,74886883453,79427980657,82217670275,87543811022,92843534859
73590353608,73590353608,74235807585,75013893916,79427980657,81068371491,87543811022,93415283710
74235807585,74235807585,74886883453,74618474797,79427980657,81068371491,87543811022,93415283710
74886883453,74886883453,74618474797,75903832836,78995726700,81097158253,88395788342,93415283710
75013893916,74618474797,74618474797,74370268520,79458344837,82836250552,88395788342,94095561178
74618474797,74618474797,75903832836,74370268520,80158875411,82836250552,88395788342,94095561178
74618474797,74618474797,75903832836,74370268520,80158875411,81619881052,88395788342,94095561178
75903832836,75903832836,74370268520,76575246094,80144828980,81619881052,88971601578,94095561178
74370268520,74370268520,75967317853,77450298884,80144828980,81072184079,88971601578,94885433243
74370268520,74370268520,75967317853,77450298884,81650396042,81072184079,88971601578,94885433243
74370268520,74370268520,75967317853,77450298884,81650396042,80557254237,88971601578,94885433243
75967317853,75967317853,76575246094,78012479078,81650396042,80557254237,89835007633,94885433243
75967317853,75967317853,76575246094,78012479078,83171239842,80557254237,88582441266,94885433243
76575246094,76575246094,77450298884,78666120770,82723641648,81709900649,85048150465,94885433243
77450298884,77450298884,78012479078,79258488604,82723641648,81709900649,85048150465,95728846031
78012479078,78012479078,78666120770,78542799403,83410284569,79247406768,86799803037,95728846031
78666120770,78666120770,79258488604,75997401495,84005560800,79247406768,86799803037,95728846031
79258488604,79258488604,77377099970,79427980657,84716958749,79247406768,88681088674,95728846031
78542799403,77377099970,77817803301,79427980657,84716958749,79247406768,88681088674,92101651026
78542799403,77377099970,77817803301,79427980657,84716958749,79247406768,88681088674,90942672258
77377099970,77377099970,77817803301,79427980657,84716958749,79247406768,88681088674,90942672258
77817803301,77817803301,79427980657,78579580884,85430955644,79247406768,88681088674,90942672258
77817803301,77817803301,79427980657,79378923848,85430955644,79247406768,88681088674,90942672258
79427980657,79427980657,79427980657,79458344837,83357367522,79964419284,89413682714,90942672258
79378923848,79378923848,79458344837,80680627426,81068371491,79964419284,90127878725,90942672258
79378923848,78995726700,79458344837,80144828980,81068371491,79964419284,90127878725,90942672258
78995726700,79458344837,80158875411,80144828980,81097158253,79964419284,90127878725,90942672258
79458344837,79458344837,80158875411,80144828980,81097158253,79964419284,90127878725,90942672258
80158875411,80158875411,80144828980,81650396042,82836250552,79964419284,90127878725,90942672258
80144828980,80144828980,80144828980,83171239842,81619881052,80833487237,90127878725,90942672258
80144828980,80144828980,81650396042,83171239842,81619881052,80833487237,90127878725,90942672258
81650396042,81650396042,83171239842,82723641648,81072184079,80833487237,90127878725,90154474260
83171239842,83171239842,82723641648,83410284569,80557254237,81513640483,89321050521,91070282423
82723641648,82723641648,82723641648,84005560800,81709900649,81513640483,89321050521,91070282423
82723641648,82723641648,82723641648,84005560800,81709900649,81513640483,89321050521,91070282423
83410284569,83410284569,84005560800,84716958749,79247406768,82146907602,90644094173,90599596543
84005560800,84005560800,84716958749,85430955644,79247406768,82146907602,90644094173,90599596543
84716958749,84716958749,84716958749,82217670275,79247406768,82146907602,92207589191,90599596543
85430955644,85430955644,82217670275,81068371491,79247406768,80952409648,92207589191,90599596543
84046456571,83357367522,81068371491,81097158253,79247406768,82714704714,92207589191,90599596543
82217670275,82217670275,81068371491,81097158253,79247406768,82714704714,93418771955,91119024088
82217670275,81068371491,81068371491,81097158253,79964419284,82714704714,90407615825,90671725406
81068371491,81068371491,81068371491,81097158253,79964419284,82714704714,90407615825,90671725406
81097158253,81097158253,82836250552,81619881052,79964419284,84604073514,90407615825,90671725406
82836250552,82836250552,81619881052,80557254237,79964419284,84604073514,90556870845,91923624649
81619881052,81619881052,81619881052,80557254237,79964419284,86421141109,90556870845,91923624649
80557254237,80557254237,80557254237,81709900649,80833487237,86209519944,91308594415,93422218219
80557254237,80557254237,80557254237,81709900649,80833487237,86209519944,91308594415,93422218219
81709900649,81709900649,81709900649,79247406768,81513640483,86209519944,91308594415,93422218219
79247406768,79247406768,79247406768,79247406768,82146907602,86788103572,91308594415,91599557687
79247406768,79247406768,79247406768,79247406768,82146907602,86788103572,91308594415,91599557687
79964419284,79964419284,79964419284,79964419284,82714704714,87652343514,92718874051,89187361316
80833487237,80833487237,80833487237,81513640483,85542433322,87403859244,93322478841,89187361316
81513640483,81513640483,81513640483,82146907602,86209519944,86035360424,93984153767,89859198799
82146907602,82146907602,82146907602,82146907602,86788103572,86035360424,88958756153,90574064049
80952409648,80952409648,82714704714,82714704714,86261312923,86035360424,90843638520,91161244487
82714704714,82714704714,82714704714,84604073514,87652343514,86647841428,92567970500,91807217617
84604073514,84604073514,84604073514,86421141109,89035931178,87543811022,92567970500,91807217617
86421141109,85116797733,85542433322,86209519944,87403859244,88395788342,93105796728,86988427139
85542433322,85542433322,85542433322,86209519944,87403859244,88395788342,93105796728,86988427139
85542433322,85542433322,85542433322,86209519944,87403859244,88395788342,93105796728,86988427139
86209519944,86209519944,86209519944,86788103572,86035360424,88971601578,93533695407,88595849501
86788103572,86788103572,86788103572,86261312923,86035360424,85048150465,94243043107,90441123056
86814512265,86261312923,86261312923,87652343514,86035360424,86799803037,93693029672,90441123056
86261312923,86261312923,86261312923,87652343514,86035360424,86799803037,93693029672,90441123056
86261312923,86261312923,86261312923,87652343514,86035360424,86799803037,93693029672,90441123056
87652343514,87652343514,87652343514,89035931178,86647841428,88681088674,93693029672,90441123056
89035931178,89035931178,89035931178,87403859244,87543811022,89413682714,94846780604,90441123056
87403859244,87403859244,87403859244,86035360424,88395788342,90127878725,96074101567,91135706465
87403859244,87403859244,87403859244,86035360424,88395788342,90127878725,96074101567,91135706465
86035360424,86035360424,86035360424,86035360424,88971601578,90127878725,94401481426,90822345511
86647841428,86647841428,86647841428,87543811022,88681088674,92207589191,92100427167,88129126064
87543811022,87543811022,87543811022,88395788342,89413682714,93418771955,92843534859,90594892939
88395788342,88395788342,88395788342,88971601578,90127878725,90407615825,93415283710,90071076948
88971601578,88971601578,88971601578,87346644601,90127878725,90556870845,94095561178,90769642918
88582441266,87346644601,85048150465,86799803037,89321050521,91308594415,94885433243,90769642918
87346644601,86197847426,85048150465,86799803037,89321050521,91308594415,94885433243,90769642918
