token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
16140938733,16413488658,19078306093,19607945610,20210930685,20585570707,3505155275,3559834754
16141538733,17413888658,19078306093,17634027530,20210930685,20546178238,3505155275,3559834754
16162388658,17414955498,19078146312,17634027530,20210930685,20546178238,3505155275,3559834754
16413488658,17414955498,19078146312,17734027530,20210930685,20546178238,3505155275,3559834754
16413488658,17415055498,19078146312,17763727530,20210930685,20546178238,3505155275,3559834754
16413488658,17415055498,19078011923,17763727530,20133902607,20546178238,3505155275,3559834754
17413888658,17415055498,19577877544,17763727530,20133902607,20546178238,3505155275,3559834754
17414955498,17415055498,20577977544,17763727530,20133902607,19708156282,3505155275,3559834754
17414955498,17416055498,20832552042,17813727530,20133902607,19708156282,3505155275,3559834754
17415055498,17915844869,21831571564,17810231239,20163602607,19718156282,3505155275,3559834754
17415055498,17915844869,19117815650,17830023001,20163602607,19733156282,3505155275,3559834754
17916055498,17915844869,20171857593,18186627625,20437485123,19733156282,3505155275,3559834754
17915844869,19086344869,20671679147,18112497549,20668159506,19733156282,3505155275,3559834754
17915844869,19086344869,21071332946,18112497549,20670344597,19733156282,3505155275,3559834754
18305844869,19078306093,21083332946,18112497549,20670344597,19733156282,3505155275,3559834754
19078306093,19078011923,19607843610,17896611240,19417163234,19733156282,3505155275,3559834754
19078306093,19577877544,19607843610,17896536099,19417163234,19733156282,3505155275,3559834754
19078146312,20832552042,19607894610,17896536099,19417163234,19733156282,3505155275,3559834754
19078011923,21831923309,19607945610,17896536099,19417163234,20733156282,3505155275,3559834754
20577977544,19117815650,17634027530,17896536099,19298377901,20733156282,3505155275,3559834754
21831923309,20171857593,17763727530,17946536099,19398377901,20733156282,3505155275,3559834754
21831571564,20171679147,17763727530,17946536099,22398377901,20733156282,3505155275,3559834754
19117815650,20671679147,17763727530,18146536099,22398377901,20733156282,3505155275,3559834754
20172215650,20671679147,17813727530,18146536099,22398377901,20733156282,3505155275,3559834754
20171857593,21071332946,17813727530,18146536099,22398377901,20733156282,3505155275,3559834754
20171857593,21083332946,17810231239,18146536099,22398377901,20753156282,3505155275,3559834754
20171679147,19478143610,17810231239,18146536099,21824989239,20753156282,3505155275,3559834754
20671679147,19478143610,17830023001,18146536099,21824989239,20753156282,3505155275,3559834754
20671679147,19578143610,17830023001,18146536099,21824989239,20753156282,3505155275,3559834754
21071332946,19578143610,18186627625,18256536099,21824989239,20753156282,3505155275,3559834754
19478143610,19607843610,18112497549,18256536099,19213791307,19792946589,3505155275,3559834754
19478143610,19607843610,18112497549,18030035585,19213791307,19740529605,3505155275,3559834754
19578143610,19607945610,18112497549,18030035585,20213791307,19740529605,3505155275,3559834754
19607843610,19607945610,18112497549,18030035585,19724653568,19521911502,3505155275,3559834754
19607843610,17634027530,18112497549,18030035585,19724653568,19521911502,3505155275,3559834754
19607894610,17734027530,17810611240,18030035585,19851423849,19521911502,3505155275,3559834754
19607945610,17763727530,17896611240,18030035585,19851423849,19521911502,3505155275,3559834754
17734027530,17813727530,17896536099,18030035585,19851423849,19721911502,3505155275,3559834754
17763727530,17813727530,17896536099,18030035585,19851423849,19721911502,3505155275,3559834754
17763727530,17810231239,17896536099,18465479972,19735423858,19721911502,3505155275,3559834754
17813727530,17830023001,17896536099,18838533787,19735423858,19721911502,3505155275,3559834754
17813727530,18186627625,17946536099,18838533787,19735423858,19721911502,3505155275,3559834754
17830023001,18112497549,18146536099,19066734587,19735423858,19726276364,3505155275,3559834754
18186627625,18112497549,18146536099,19066734587,19735423858,19726276364,3505155275,3559834754
18112497549,18112497549,18146536099,19066734587,19735423858,19726276364,3505155275,3559834754
18112497549,17890611240,18256536099,19066734587,19644798766,19726276364,3505155275,3559834754
18112497549,17896536099,18256536099,19066734587,19644798766,19726276364,3505155275,3559834754
17896536099,17896536099,18030035585,19415234587,19687126188,19746276364,3505155275,3559834754
17896536099,17946536099,18030035585,19415234587,19687126188,19746276364,3505155275,3559834754
17896536099,17946536099,18030035585,19415234587,20687126188,19746276364,3505155275,3559834754
17896536099,17946536099,18030035585,19615234587,20687126188,19746276364,3505155275,3559834754
18146536099,18256536099,18838533787,20622630578,20392967069,19675634795,3505155275,3559834754
18146536099,18030035585,18838533787,20822630578,20368246212,19695634795,3505155275,3559834754
18030035585,18030035585,19066734587,20354712161,20468655569,19695634795,3505155275,3559834754
18030035585,18030035585,19116234587,20354712161,20468655569,19695634795,3505155275,3559834754
