open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:23,5020000000,5020000000,5020000000,5020000000,5020000000,5020000000,5020000000,5020000000,5020000000,5020000000,5020000000,8960000000,0,8960000000,0,8960000000,0,8960000000,0,8960000000,0,8960000000,0,8960000000,0,8960000000,0,8960000000,0,8960000000,0,0,28,0.15625,0.38392857142857145,0.6183035714285714,3.0657432061937424
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:25,14260000000,14260000000,14260000000,14260000000,14260000000,14260000000,14260000000,14260000000,14260000000,14260000000,14260000000,10550300000,0,10550300000,0,10550300000,0,10550300000,0,10550300000,0,10550300000,0,10550300000,0,10550300000,0,10550300000,0,10550300000,0,0,32,0.13269764840810214,0.37439693658000245,0.5829218126498773,3.1671838328209256
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:26,15750300000,15750300000,15750300000,15750300000,15750300000,15750300000,15750300000,15750300000,15750300000,15750300000,15750300000,11050300000,0,11050300000,0,11050300000,0,11050300000,0,11050300000,0,11050300000,0,11050300000,0,11050300000,0,11050300000,0,11050300000,0,0,33,0.1266933929395582,0.35745635865089637,0.5655955041944563,3.208153215721715
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:27,16050300000,16050300000,16050300000,16050300000,16050300000,16050300000,16050300000,16050300000,16050300000,16050300000,16050300000,11375300000,0,11375300000,0,11375300000,0,11375300000,0,11375300000,0,11375300000,0,11375300000,0,11375300000,0,11375300000,0,11375300000,0,0,35,0.12307367717774477,0.3472435891800656,0.5494360588292178,3.2539802136652636
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:28,16375300000,5020000000,16375300000,16375300000,16375300000,16375300000,16375300000,16375300000,16375300000,16375300000,16375300000,12726300000,-3329881400,12726300000,-3329881400,12726300000,-3329881400,12726300000,-3329881400,12726300000,-3329881400,12726300000,-3329881400,12726300000,-3329881400,12726300000,-3329881400,12726300000,-3329881400,12726300000,-3329881400,-3329881400,38,0.11000840778545218,0.3559557766200702,0.5492562645859362,3.286902470442914
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:29,14096918600,5020000000,14096918600,14096918600,14096918600,14096918600,14096918600,14096918600,14096918600,14096918600,14096918600,3767000000,-4194926590,12727000000,-4194926590,12727000000,-4194926590,12727000000,-4194926590,12727000000,-4194926590,12727000000,-4194926590,12727000000,-4194926590,12727000000,-4194926590,12727000000,-4194926590,12727000000,-4194926590,-4194926590,40,0.11000235719336843,0.3559361986328279,0.5492260548440323,3.2873490522683784
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:32,13235073410,16050300000,13235073410,13235073410,13235073410,13235073410,13235073410,13235073410,13235073410,13235073410,13235073410,1679900000,-4194926590,12730200000,-4194926590,12730200000,-4194926590,12730200000,-4194926590,12730200000,-4194926590,12730200000,-4194926590,12730200000,-4194926590,12730200000,-4194926590,12730200000,-4194926590,12730200000,-4194926590,-4194926590,42,0.10997470581766194,0.3558467266814347,0.5490879954753264,3.2889163234196426
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:33,13235373410,16375300000,5020000000,13235373410,13235373410,13235373410,13235373410,13235373410,13235373410,13235373410,13235373410,1355000000,-4194926590,12730300000,-4194926590,12730300000,-4194926590,12730300000,-4194926590,12730300000,-4194926590,12730300000,-4194926590,12730300000,-4194926590,12730300000,-4194926590,12730300000,-4194926590,12730300000,-4194926590,-4194926590,43,0.10997384193616803,0.35584393140774373,0.5490836822384391,3.288990676774234
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:34,13031890693,14096918600,5020000000,13031890693,13031890693,13031890693,13031890693,13031890693,13031890693,13031890693,13031890693,45361559,-1068527907,3811661559,-4398409307,12771661559,-4398409307,12771661559,-4398409307,12771661559,-4398409307,12771661559,-4398409307,12771661559,-4398409307,12771661559,-4398409307,12771661559,-4398409307,12771661559,-4398409307,-4398409307,45,0.1096176870591627,0.3546915159842907,0.5473054518168194,3.300236919419851
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:35,13073752252,14096918600,14260000000,13073752252,13073752252,13073752252,13073752252,13073752252,13073752252,13073752252,13073752252,55261559,-203482717,3822261559,-4398409307,12782261559,-4398409307,12782261559,-4398409307,12782261559,-4398409307,12782261559,-4398409307,12782261559,-4398409307,12782261559,-4398409307,12782261559,-4398409307,12782261559,-4398409307,-4398409307,48,0.10952678393709281,0.3543973794535932,0.5468515855144848,3.304414247363197
2024-06-08 00:06:23,5000000000,2024-06-08 00:06:40,613241,13073752252,14096918600,613241,613241,613241,613241,613241,613241,613241,613241,10600000,-13080258878,55261559,-13283741595,12782261559,-17478668185,12782261559,-17478668185,12782261559,-17478668185,12782261559,-17478668185,12782261559,-17478668185,12782261559,-17478668185,12782261559,-17478668185,12782261559,-17478668185,-17478668185,48,0.10952678393709281,0.3543973794535932,0.5468515855144848,3.304414247363197
