token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
188396476801246,188329743860287,186300917621161,183612174992328,261288244065715,187340219639557,140300578196396,178021452996068
188266769250971,188221286901754,186237499696868,183612174992328,261288244065715,187340219639557,140300578196396,178021452996068
188266769250971,188862609342347,186223764848695,187972358508241,261288244065715,187340219639557,140300578196396,178021452996068
188266769250971,188212681168667,186223764848695,187866987158409,261288244065715,190237117180536,140300578196396,178021452996068
188266769250971,183584505157335,194892968544249,187866987158409,272683830395419,190237117180536,140300578196396,178021452996068
188329743860287,183584505157335,188370930027430,207964057229761,272683379636248,190237117180536,137411671882892,178021452996068
188221286901754,183584505157335,188370930027430,207964057229761,272683379636248,190237117180536,137411671882892,178021452996068
183584505157335,182641275300665,185780082216807,206656595737144,272458186551147,190237117180536,137411671882892,178021452996068
183584505157335,182641275300665,183701413146448,206656595737144,271900087741197,190237117180536,137411671882892,178021452996068
183584505157335,185172246435549,183969162115480,206656595737144,271900087741197,190183143353349,137436431932954,178021452996068
183057131649002,184965615475439,183460390943032,206656595737144,271900087741197,190183143353349,137436431932954,178021452996068
182844789936991,185849990219314,182424405008124,206656595737144,271900087741197,190075288127770,137436431932954,178021452996068
184965615475439,186300917621161,184674839975972,212625083064779,273173258730056,189752455654932,137436431932954,178021452996068
185849990219314,186300917621161,184674839975972,212432721773319,273173258730056,189752455654932,136324701792350,178021452996068
185849990219314,186300917621161,167367284126423,218823997700930,273173258730056,184682999013242,136324701792350,178021452996068
179608531564341,186223764848695,183817910669388,225387467233598,274849796008638,184682999013242,136046806065666,178021452996068
186300917621161,186223764848695,184198839667594,225387467233598,274849796008638,184682999013242,136046806065666,178021452996068
186300917621161,194892968544249,184198839667594,238491935834456,276112688111845,184682999013242,136046806065666,178021452996068
186223764848695,188111918242658,183612174992328,250331978019677,276112688111845,187431774221381,136046806065666,176149690731580
186223764848695,188111918242658,183612174992328,252640896295205,276112688111845,187431774221381,136046806065666,176149690731580
188370930027430,183701413146448,183612174992328,261953461480264,282902847068294,187431774221381,136265703335778,176149690731580
188111918242658,183969162115480,187972358508241,264104897062013,282902847068294,187431774221381,136265703335778,176149690731580
188742421391776,182424405008124,187866987158409,266954128657196,282902847068294,187431774221381,136265703335778,176149690731580
185780082216807,183146705237146,207964057229761,254558165016974,282902847068294,187431774221381,136265703335778,176149690731580
183969162115480,184687795151016,206656595737144,254558165016974,282805860817349,187431774221381,136265703335778,176149690731580
182424405008124,184674839975972,206656595737144,255205196998835,282805860817349,187431774221381,136887814271546,176149690731580
183146705237146,167367284126423,206656595737144,255205196998835,282805860817349,187431774221381,136887814271546,176149690731580
183146705237146,181603193971909,206656595737144,255666832666396,282805860817349,187378857289315,136887814271546,176149690731580
184687795151016,183817910669388,206656595737144,255666832666396,282805860817349,187378857289315,136887814271546,176149690731580
184674839975972,184198839667594,206656595737144,265971176653207,284163774077717,187378857289315,136887814271546,174316927079009
184674839975972,184198839667594,206656595737144,265971176653207,282238779658586,187378857289315,136887814271546,174316927079009
167367284126423,183612174992328,210428972419368,265971176653207,282238779658586,187378857289315,136887814271546,174316927079009
183817910669388,183612174992328,212625083064779,267372220799088,282238779658586,183713767628303,136887814271546,174316927079009
184198839667594,183612174992328,212625083064779,271796821786718,282238779658586,184495362317854,136887814271546,174316927079009
183612174992328,183612174992328,218823997700930,271348518285358,282238779658586,180521218761318,136579672227737,174316927079009
183612174992328,183612174992328,224588202597030,282212930441788,282238779658586,180521218761318,136694624228438,174316927079009
183612174992328,187972358508241,225387467233598,282212930441788,282238779658586,180521218761318,136694624228438,174316927079009
183612174992328,187866987158409,225387467233598,282212930441788,297408073787094,180521218761318,136582728931301,174316927079009
183612174992328,207964057229761,238921022142909,290068832537599,297408073787094,180521218761318,136582728931301,172028319946847
206656595737144,206656595737144,264104897062013,301958593634756,297408073787094,179226413413404,136582728931301,171480112181620
206656595737144,206656595737144,264104897062013,302406897136116,293508307508752,179226413413404,136582728931301,171480112181620
206656595737144,210428972419368,254558165016974,301876552658194,293672576820097,179226413413404,135915186703363,171480112181620
206656595737144,212625083064779,254558165016974,276746782706130,295887740532450,179226413413404,137015129275414,171480112181620
218823997700930,238921022142909,265971176653207,285754442613868,295625362938057,177311463370927,136976156060022,171480112181620
224588202597030,241181800619545,265971176653207,285754442613868,295625362938057,177311463370927,136976156060022,171480112181620
238491935834456,260947208114708,271796821786718,285754442613868,295625362938057,177311463370927,130546176798098,171480112181620
238921022142909,260947208114708,271348518285358,284285094846685,295625362938057,177311463370927,130546176798098,171480112181620
241181800619545,261953461480264,282212930441788,284285094846685,295625362938057,177311463370927,130546176798098,171480112181620
250331978019677,264104897062013,282212930441788,284285094846685,295625362938057,177311463370927,130546176798098,171480112181620
260947208114708,266954128657196,290037565126129,286008093639838,295625362938057,177311463370927,130037547899819,171480112181620
260947208114708,254558165016974,290068832537599,286008093639838,295625362938057,175066931736701,130037547899819,171480112181620
261953461480264,254558165016974,289548185172130,286008093639838,295625362938057,175066931736701,130037547899819,171480112181620
264104897062013,254558165016974,289548185172130,286027760762499,296051349334468,175066931736701,130037547899819,171480112181620
264104897062013,254663536366806,301956510175707,286027760762499,296051349334468,175066931736701,130037547899819,171480112181620
266954128657196,255205196998835,301956510175707,284555621752949,296051349334468,175066931736701,130037547899819,171480112181620
254558165016974,255666832666396,301958593634756,284555621752949,292545847469375,174974644336236,130330349220425,171480112181620
254558165016974,255666832666396,301958593634756,282159826242455,292545847469375,174974644336236,130330349220425,171480112181620
255205196998835,265971176653207,301876552658194,282159826242455,292545847469375,174974644336236,130330349220425,170607067012579
255205196998835,265971176653207,301876552658194,283323457433503,292287017975590,174974644336236,130330349220425,169742877536560
265971176653207,271796821786718,279867403156621,282278975459862,292287017975590,174974644336236,130330349220425,169742877536560
265971176653207,271796821786718,279867403156621,282278975459862,292287017975590,174974644336236,130330349220425,169742877536560
265971176653207,282212930441788,281081174347628,268600433221708,292287017975590,174974644336236,131861335151498,169722796890887
271796821786718,282212930441788,281081174347628,268600433221708,292287017975590,174974644336236,131861335151498,169722796890887
282212930441788,289548185172130,285754442613868,270134895779844,292287017975590,175738842251100,131861335151498,169722796890887
282212930441788,301956510175707,285754442613868,270134895779844,292287017975590,179860407774398,131861335151498,169722796890887
290068832537599,301956510175707,284285094846685,266255787266037,292287017975590,179185485432468,131861335151498,166352681804629
289548185172130,301958593634756,284285094846685,266255787266037,292287017975590,177463131523241,131861335151498,166352681804629
301956510175707,301876552658194,286008093639838,264120312469120,289749108281090,175574270010076,131861335151498,164733594331146
301956510175707,301876552658194,286008093639838,263910766665952,290504185262160,175574270010076,131861335151498,164733594331146
301958593634756,301876552658194,286008093639838,262647874562745,290504185262160,175574270010076,131861335151498,164733594331146
302406897136116,279867403156621,286027760762499,246270091385353,276038061180535,175574270010076,131861335151498,164733594331146
301876552658194,281081174347628,284555621752949,255700874140127,276038061180535,173736545207739,131993095745771,164733594331146
279867403156621,281081174347628,282159826242455,238131086302065,254951580057068,173736545207739,131473176250433,164733594331146
279867403156621,288483709335414,282159826242455,238131086302065,254951580057068,173736545207739,131473176250433,164733594331146
281081174347628,285754442613868,282521189113466,251763381606338,254951580057068,173736545207739,131473176250433,164733594331146
281081174347628,285754442613868,282278975459862,251763381606338,254951580057068,173736545207739,131369684495199,164733594331146
285754442613868,284285094846685,268600433221708,232830494426002,256326161132046,173736545207739,131331047955877,164733594331146
285754442613868,286008093639838,268600433221708,233970069867653,247126048268417,173736545207739,131124674378805,163923575385860
284285094846685,286008093639838,268600433221708,233805800556308,236616970365609,177401634868751,131124674378805,163923575385860
286008093639838,284555621752949,266255787266037,237684909070115,232627107645139,171572580318322,131400235434029,163923575385860
286027760762499,282159826242455,264120312469120,237151518430407,232627107645139,171572580318322,131400235434029,163923575385860
284555621752949,282159826242455,264120312469120,237151518430407,233185206455089,171572580318322,132055892353526,163630847647204
282159826242455,282521189113466,246270091385353,236810841899671,233185206455089,172866650452028,132723434353526,163630847647204
282159826242455,282278975459862,263254631780582,237931444986585,232791089550763,176841994008564,132723434353526,163630847647204
282521189113466,268600433221708,238131086302065,237931444986585,232791089550763,191694937652403,132410990391233,163630847647204
268600433221708,268600433221708,251763381606338,235888690511024,217619078568076,190813859402607,132410990391233,163630847647204
268600433221708,270134895779844,251763381606338,249932612283740,217619078568076,191020490362717,132410990391233,163630847647204
268600433221708,270134895779844,251763381606338,249932612283740,215047088242799,183376120518010,132410990391233,163630847647204
268600433221708,266255787266037,232830494426002,249932612283740,212285605444812,183376120518010,132410990391233,162677724793485
266255787266037,262647874562745,237684909070115,248633431919786,228848139014443,183274939075895,135281335296208,162677724793485
264120312469120,263254631780582,237684909070115,250442965253104,225724356086661,183274939075895,135281335296208,162677724793485
246270091385353,238131086302065,237151518430407,250442965253104,225322357260811,183274939075895,134740738052102,162677724793485
263809333441960,251763381606338,236810841899671,250442965253104,225322357260811,183274939075895,134740738052102,161113643537689
255700874140127,251763381606338,236810841899671,250442965253104,225090485342885,183274939075895,134740738052102,160650278252808
238131086302065,251763381606338,236810841899671,250442965253104,225090485342885,186562362747928,134740738052102,160650278252808
238131086302065,236369597343589,237931444986585,261588654964006,225090485342885,186562362747928,134740738052102,160650278252808
251763381606338,232830494426002,237931444986585,261588654964006,226090394221219,186562362747928,134740738052102,160650278252808
