open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:22,500000300000,500000300000,500000300000,500000300000,500000300000,500000300000,500000300000,500000300000,500000300000,500000300000,500000300000,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,0,3,0.7142857142857143,1.0,1.0,0.7589367727620595
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:23,500001500000,500001500000,500001500000,500001500000,500001500000,500001500000,500001500000,500001500000,500001500000,500001500000,500001500000,2000000,0,2000000,0,2000000,0,2000000,0,2000000,0,2000000,0,2000000,0,2000000,0,2000000,0,2000000,0,0,7,0.5,0.9000000000000001,1.0000000000000002,1.514856040456535
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:24,500042000000,500042000000,500042000000,500042000000,500042000000,500042000000,500042000000,500042000000,500042000000,500042000000,500042000000,42000000,0,42000000,0,42000000,0,42000000,0,42000000,0,42000000,0,42000000,0,42000000,0,42000000,0,42000000,0,0,8,0.9523809523809523,0.9928571428571428,0.9999999999999999,0.26358008388421894
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:25,500042100000,500042100000,500042100000,500042100000,500042100000,500042100000,500042100000,500042100000,500042100000,500042100000,500042100000,593150000,0,593150000,0,593150000,0,593150000,0,593150000,0,593150000,0,593150000,0,593150000,0,593150000,0,593150000,0,0,18,0.8429570934839417,0.9972182415915029,0.998735564359774,0.5742038743449723
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:26,500595135000,500595135000,500595135000,500595135000,500595135000,500595135000,500595135000,500595135000,500595135000,500595135000,500595135000,595335000,0,595335000,0,595335000,0,595335000,0,595335000,0,595335000,0,595335000,0,595335000,0,595335000,0,595335000,0,0,20,0.8398632702596017,0.9960526426297798,0.9984042597865068,0.5974639220437962
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:27,500595435000,500000300000,500595435000,500595435000,500595435000,500595435000,500595435000,500595435000,500595435000,500595435000,500595435000,596035000,-49750810,596035000,-49750810,596035000,-49750810,596035000,-49750810,596035000,-49750810,596035000,-49750810,596035000,-49750810,596035000,-49750810,596035000,-49750810,596035000,-49750810,-49750810,23,0.8388769115907623,0.9948828508392963,0.9979028077210231,0.6067950254620051
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:28,500547284190,500001500000,500547284190,500547284190,500547284190,500547284190,500547284190,500547284190,500547284190,500547284190,500547284190,595835000,-49750810,597235000,-49750810,597235000,-49750810,597235000,-49750810,597235000,-49750810,597235000,-49750810,597235000,-49750810,597235000,-49750810,597235000,-49750810,597235000,-49750810,-49750810,26,0.8371913903237419,0.9928838731822481,0.9972372684119317,0.6211979479785038
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:29,500547584190,500042000000,500547584190,500547584190,500547584190,500547584190,500547584190,500547584190,500547584190,500547584190,500547584190,595335000,-49750810,597335000,-49750810,597335000,-49750810,597335000,-49750810,597335000,-49750810,597335000,-49750810,597335000,-49750810,597335000,-49750810,597335000,-49750810,597335000,-49750810,-49750810,27,0.8370512359061498,0.9927176542476166,0.9970703206743284,0.6227169919873535
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:30,500547684190,500042100000,500547684190,500547684190,500547684190,500547684190,500547684190,500547684190,500547684190,500547684190,500547684190,565335000,-49750810,607335000,-49750810,607335000,-49750810,607335000,-49750810,607335000,-49750810,607335000,-49750810,607335000,-49750810,607335000,-49750810,607335000,-49750810,607335000,-49750810,-49750810,29,0.8232688713807043,0.9910263693019503,0.996459943853063,0.6973298783443249
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:31,500577584190,500595135000,500577584190,500577584190,500577584190,500577584190,500577584190,500577584190,500577584190,500577584190,500577584190,34385000,-49750810,627535000,-49750810,627535000,-49750810,627535000,-49750810,627535000,-49750810,627535000,-49750810,627535000,-49750810,627535000,-49750810,627535000,-49750810,627535000,-49750810,-49750810,31,0.7967683077437911,0.9878333479407523,0.9957771279689579,0.8189436024970539
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:32,500577984190,500595435000,500000300000,500577984190,500577984190,500577984190,500577984190,500577984190,500577984190,500577984190,500577984190,33000000,-49750810,628335000,-49750810,628335000,-49750810,628335000,-49750810,628335000,-49750810,628335000,-49750810,628335000,-49750810,628335000,-49750810,628335000,-49750810,628335000,-49750810,-49750810,34,0.7957538574168238,0.9865756324253782,0.994509298383824,0.8288069939559188
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:33,500578484697,500547284190,500001500000,500578484697,500578484697,500578484697,500578484697,500578484697,500578484697,500578484697,500578484697,32300000,-99493,626935000,-49850303,628335000,-49850303,628335000,-49850303,628335000,-49850303,628335000,-49850303,628335000,-49850303,628335000,-49850303,628335000,-49850303,628335000,-49850303,-49850303,34,0.7957538574168238,0.9865756324253782,0.994509298383824,0.8288069939559188
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:39,500578584697,500578484697,500547584190,500578584697,500578584697,500578584697,500578584697,500578584697,500578584697,500578584697,500578584697,100000,0,31200000,-99493,628435000,-49850303,628435000,-49850303,628435000,-49850303,628435000,-49850303,628435000,-49850303,628435000,-49850303,628435000,-49850303,628435000,-49850303,-49850303,35,0.7956272327289219,0.9864186431373173,0.9943510466476247,0.8302259046044239
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:45,500578784697,500578584697,500578484697,500578784697,500578784697,500578784697,500578784697,500578784697,500578784697,500578784697,500578784697,200000,0,300000,0,628635000,-49850303,628635000,-49850303,628635000,-49850303,628635000,-49850303,628635000,-49850303,628635000,-49850303,628635000,-49850303,628635000,-49850303,-49850303,36,0.7953741042099152,0.9861048143994529,0.9940346942184257,0.8328419230310901
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:48,500578984697,500578584697,500578484697,500578984697,500578984697,500578984697,500578984697,500578984697,500578984697,500578984697,500578984697,400000,0,500000,0,628835000,-49850303,628835000,-49850303,628835000,-49850303,628835000,-49850303,628835000,-49850303,628835000,-49850303,628835000,-49850303,628835000,-49850303,-49850303,37,0.795121136705177,0.9857911852870785,0.9937185430200292,0.8354563786035243
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:51,500579484697,500578784697,500578584697,500579484697,500579484697,500579484697,500579484697,500579484697,500579484697,500579484697,500579484697,700000,0,900000,0,629335000,-49850303,629335000,-49850303,629335000,-49850303,629335000,-49850303,629335000,-49850303,629335000,-49850303,629335000,-49850303,629335000,-49850303,-49850303,38,0.7944894213733544,0.9850079846186848,0.9929290441497773,0.841257706321147
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:56,500579385184,500579484697,500578784697,500595135000,500579385184,500579385184,500579385184,500579385184,500579385184,500579385184,500579385184,500000,-298973,700000,-298973,36185000,-50149276,629335000,-50149276,629335000,-50149276,629335000,-50149276,629335000,-50149276,629335000,-50149276,629335000,-50149276,629335000,-50149276,-50149276,38,0.7944894213733544,0.9850079846186848,0.9929290441497773,0.841257706321147
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:57,500579086210,500579484697,500578784697,500595435000,500579086210,500579086210,500579086210,500579086210,500579086210,500579086210,500579086210,0,-398487,700000,-398487,34000000,-50248790,629335000,-50248790,629335000,-50248790,629335000,-50248790,629335000,-50248790,629335000,-50248790,629335000,-50248790,629335000,-50248790,-50248790,38,0.7944894213733544,0.9850079846186848,0.9929290441497773,0.841257706321147
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:58,500578986496,500579484697,500578984697,500547284190,500578986496,500578986496,500578986496,500578986496,500578986496,500578986496,500578986496,200000,-498201,900000,-498201,33500000,-597694,629535000,-50348504,629535000,-50348504,629535000,-50348504,629535000,-50348504,629535000,-50348504,629535000,-50348504,629535000,-50348504,-50348504,39,0.7942370162103775,0.984695052697626,0.9926135957492435,0.843866934654284
2024-06-07 23:56:22,500000000000,2024-06-07 23:56:59,500580184697,500579484697,500578984697,500547584190,500580184697,500580184697,500580184697,500580184697,500580184697,500580184697,500580184697,700000,-597716,1200000,-597716,32800000,-697209,630035000,-50448019,630035000,-50448019,630035000,-50448019,630035000,-50448019,630035000,-50448019,630035000,-50448019,630035000,-50448019,-50448019,40,0.7936067043894387,0.983913592102026,0.9918258509447888,0.8496560247135196
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:00,500579386496,500579484697,500578984697,500547684190,500579386496,500579386496,500579386496,500579386496,500579386496,500579386496,500579386496,1400000,-697229,1900000,-697229,33400000,-796722,630735000,-50547532,630735000,-50547532,630735000,-50547532,630735000,-50547532,630735000,-50547532,630735000,-50547532,630735000,-50547532,-50547532,42,0.7927259467129618,0.9828216287347301,0.9907251064234585,0.8580369349851774
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:01,500579587956,500579385184,500579484697,500577584190,500579587956,500579587956,500579587956,500579587956,500579587956,500579587956,500579587956,1400000,-896255,1900000,-896255,23400000,-995748,630735000,-50746558,630735000,-50746558,630735000,-50746558,630735000,-50746558,630735000,-50746558,630735000,-50746558,630735000,-50746558,-50746558,42,0.7927259467129618,0.9828216287347301,0.9907251064234585,0.8580369349851774
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:02,500579388713,500579086210,500579484697,500577984190,500579388713,500579388713,500579388713,500579388713,500579388713,500579388713,500579388713,1400000,-697012,1400000,-995985,3200000,-1095478,630735000,-50846288,630735000,-50846288,630735000,-50846288,630735000,-50846288,630735000,-50846288,630735000,-50846288,630735000,-50846288,-50846288,42,0.7927259467129618,0.9828216287347301,0.9907251064234585,0.8580369349851774
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:06,500579289198,500579587956,500579385184,500578484697,500579289198,500579289198,500579289198,500579289198,500579289198,500579289198,500579289198,0,-398271,1400000,-1095500,2400000,-1095500,630735000,-50945803,630735000,-50945803,630735000,-50945803,630735000,-50945803,630735000,-50945803,630735000,-50945803,630735000,-50945803,-50945803,42,0.7927259467129618,0.9828216287347301,0.9907251064234585,0.8580369349851774
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:10,500579689468,500579388713,500579386496,500578584697,500579689468,500579689468,500579689468,500579689468,500579689468,500579689468,500579689468,0,-199245,700000,-597514,2300000,-1195230,630735000,-51045533,630735000,-51045533,630735000,-51045533,630735000,-51045533,630735000,-51045533,630735000,-51045533,630735000,-51045533,-51045533,42,0.7927259467129618,0.9828216287347301,0.9907251064234585,0.8580369349851774
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:11,500579589953,500579289198,500579587956,500578584697,500579589953,500579589953,500579589953,500579589953,500579589953,500579589953,500579589953,78622677,-298760,78622677,-597516,80922677,-1294745,709357677,-51145048,709357677,-51145048,709357677,-51145048,709357677,-51145048,709357677,-51145048,709357677,-51145048,709357677,-51145048,-51145048,43,0.7048630277952148,0.9707693302373324,0.9910482395470008,1.1111957223388729
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:13,500658113084,500579289198,500579388713,500578584697,500658113084,500658113084,500658113084,500658113084,500658113084,500658113084,500658113084,78622677,-298791,78622677,-398306,80922677,-1394291,709357677,-51244594,709357677,-51244594,709357677,-51244594,709357677,-51244594,709357677,-51244594,709357677,-51244594,709357677,-51244594,-51244594,43,0.7048630277952148,0.9707693302373324,0.9910482395470008,1.1111957223388729
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:14,500657615423,500579289198,500579388713,500578584697,500657615423,500657615423,500657615423,500657615423,500657615423,500657615423,500657615423,78622677,-796452,78622677,-895967,80922677,-1891952,709357677,-51742255,709357677,-51742255,709357677,-51742255,709357677,-51742255,709357677,-51742255,709357677,-51742255,709357677,-51742255,-51742255,43,0.7048630277952148,0.9707693302373324,0.9910482395470008,1.1111957223388729
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:17,500907615423,500579589953,500579289198,500578784697,500907615423,500907615423,500907615423,500907615423,500907615423,500907615423,500907615423,250000000,-597207,328622677,-796452,330722677,-1891952,959357677,-51742255,959357677,-51742255,959357677,-51742255,959357677,-51742255,959357677,-51742255,959357677,-51742255,959357677,-51742255,-51742255,44,0.5211820491847693,0.957539298452917,0.9928598059261688,1.3953022934774197
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:27,500907416161,500907615423,500907615423,500579086210,500595435000,500907416161,500907416161,500907416161,500907416161,500907416161,500907416161,0,-398523,250000000,-398523,330022677,-1991502,364022677,-52140778,959357677,-52140778,959357677,-52140778,959357677,-52140778,959357677,-52140778,959357677,-52140778,959357677,-52140778,-52140778,44,0.5211820491847693,0.957539298452917,0.9928598059261688,1.3953022934774197
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:36,501007216900,500907416161,500907615423,500579289198,500578484697,501007216900,501007216900,501007216900,501007216900,501007216900,501007216900,100000000,0,100000000,-398523,428622677,-1294490,431022677,-2290475,1059357677,-52140778,1059357677,-52140778,1059357677,-52140778,1059357677,-52140778,1059357677,-52140778,1059357677,-52140778,-52140778,45,0.4719841191088097,0.9237887242875005,0.9925898493299916,1.5761843249349505
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:39,503207216900,500907416161,500907416161,500579289198,500578584697,503207216900,503207216900,503207216900,503207216900,503207216900,503207216900,2300000000,0,2300000000,0,2628622677,-1194975,2631022677,-2290475,3259357677,-52140778,3259357677,-52140778,3259357677,-52140778,3259357677,-52140778,3259357677,-52140778,3259357677,-52140778,-52140778,46,0.6749796180776756,0.9598893361957341,0.997284741081824,1.142887955601958
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:44,503197261909,503207216900,500907416161,500657615423,500578584697,503197261909,503197261909,503197261909,503197261909,503197261909,503197261909,2200000000,-9954991,2300000000,-9954991,2550000000,-10851175,2630922677,-12245466,3259357677,-62095769,3259357677,-62095769,3259357677,-62095769,3259357677,-62095769,3259357677,-62095769,3259357677,-62095769,-62095769,46,0.6749796180776756,0.9598893361957341,0.997284741081824,1.142887955601958
2024-06-07 23:56:22,500000000000,2024-06-07 23:57:55,503225326848,503197261909,503197261909,500907615423,500579484697,503225326848,503225326848,503225326848,503225326848,503225326848,503225326848,28064939,0,28064939,0,2328064939,-10353514,2658087616,-12245466,3287422616,-62095769,3287422616,-62095769,3287422616,-62095769,3287422616,-62095769,3287422616,-62095769,3287422616,-62095769,-62095769,47,0.6692172735238006,0.9516946989939428,0.9967041049278953,1.1822964914284928
2024-06-07 23:56:22,500000000000,2024-06-07 23:58:00,503225426848,503225326848,503197261909,500907416161,500579386496,503225426848,503225426848,503225426848,503225426848,503225426848,503225426848,28164939,0,28164939,0,2328164939,-9954991,2657487616,-11647750,3287522616,-62095769,3287522616,-62095769,3287522616,-62095769,3287522616,-62095769,3287522616,-62095769,3287522616,-62095769,-62095769,48,0.6691969172448728,0.9516657503049099,0.9966737871408761,1.1826073079350778
2024-06-07 23:56:22,500000000000,2024-06-07 23:58:05,503225926848,503225426848,503225326848,500907416161,500579388713,503225926848,503225926848,503225926848,503225926848,503225926848,503225926848,600000,0,28664939,0,2328664939,-9954991,2657287616,-11249481,3288022616,-62095769,3288022616,-62095769,3288022616,-62095769,3288022616,-62095769,3288022616,-62095769,3288022616,-62095769,-62095769,49,0.6690951544233539,0.9515210332726008,0.9965222258678041,1.1839163782297648
2024-06-07 23:56:22,500000000000,2024-06-07 23:58:12,503275926848,503225926848,503225426848,503207216900,500579589953,503275926848,503275926848,503275926848,503275926848,503275926848,503275926848,50000000,0,50500000,0,78664939,-9954991,2628664939,-10950721,3338022616,-62095769,3338022616,-62095769,3338022616,-62095769,3338022616,-62095769,3338022616,-62095769,3338022616,-62095769,-62095769,50,0.6590728263657756,0.9372682683465677,0.9936084914770392,1.2439768963247881
2024-06-07 23:56:22,500000000000,2024-06-07 23:58:21,504775926848,503275926848,503225926848,503197261909,500907615423,504775926848,504775926848,504775926848,504775926848,504775926848,504775926848,1500000000,0,1550000000,0,1578664939,0,3878664939,-10353514,4838022616,-62095769,4838022616,-62095769,4838022616,-62095769,4838022616,-62095769,4838022616,-62095769,4838022616,-62095769,-62095769,51,0.4547312351794926,0.940466872757587,0.9914562201790255,1.4774251779787848
2024-06-07 23:56:22,500000000000,2024-06-07 23:58:32,504735370442,504775926848,504775926848,503225426848,500907416161,500577984190,504735370442,504735370442,504735370442,504735370442,504735370442,0,-40556406,0,-40556406,1550500000,-40556406,3878664939,-50511397,4210487616,-52901365,4838022616,-102652175,4838022616,-102652175,4838022616,-102652175,4838022616,-102652175,4838022616,-102652175,-102652175,51,0.4547312351794926,0.940466872757587,0.9914562201790255,1.4774251779787848
2024-06-07 23:56:22,500000000000,2024-06-07 23:58:58,506835370442,504735370442,504735370442,504775926848,503225326848,500578986496,506835370442,506835370442,506835370442,506835370442,506835370442,2100000000,0,2100000000,0,2100000000,-40556406,3650600000,-40556406,6308687616,-52403385,6938022616,-102652175,6938022616,-102652175,6938022616,-102652175,6938022616,-102652175,6938022616,-102652175,-102652175,52,0.31709322983850013,0.9440730252009889,0.9899971587235886,1.6433561769124938
2024-06-07 23:56:22,500000000000,2024-06-07 23:59:11,506834350312,506835370442,506835370442,504735370442,503225926848,500579589953,506834350312,506834350312,506834350312,506834350312,506834350312,0,-1020130,0,-1020130,2100000000,-1020130,3650000000,-41576536,6307287616,-52626772,6938022616,-103672305,6938022616,-103672305,6938022616,-103672305,6938022616,-103672305,6938022616,-103672305,-103672305,52,0.31709322983850013,0.9440730252009889,0.9899971587235886,1.6433561769124938
2024-06-07 23:56:22,500000000000,2024-06-07 23:59:26,508534350312,506834350312,506834350312,504735370442,504775926848,500907615423,508534350312,508534350312,508534350312,508534350312,508534350312,1700000000,0,1700000000,0,3800000000,-1020130,3800000000,-41576536,7678664939,-51930050,8638022616,-103672305,8638022616,-103672305,8638022616,-103672305,8638022616,-103672305,8638022616,-103672305,-103672305,53,0.2546879184971099,0.9261378854440359,0.9873350714783541,1.8158768147009132
