token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
320395127937,320411527937,320353997905,322644098411,334035088130,330095462782,9549245,9549245
320395127937,320411727937,320353997905,322644098411,334435088130,330095462782,9549245,9549245
320410527937,320411727937,321033997905,322644098411,334435088130,330095462782,9549245,9549245
320410527937,320411727937,321033897962,322644098411,334435088130,330095462782,9549245,9549245
320411527937,320411827937,321033798063,322644098411,334435088130,330095462782,9549245,9549245
320411727937,320363144521,321043098470,323594098411,334891228429,330985462782,9549245,9549245
320411827937,320363444521,321042998565,323594098411,334891228429,330985462782,9549245,9549245
320363144521,320363444521,321043798711,325414098411,334891228429,330985462782,9549245,9549245
320363444521,320363544521,321764098411,325414098411,335355278048,331695462782,9549245,9549245
320363444521,320363544521,321764098411,325414098411,335355278048,331695462782,9549245,9549245
320363544521,320353997905,321764098411,326404098411,325816349862,332205462782,9549245,9549245
320353997905,321033997905,321764098411,326404098411,325816349862,332205462782,9549245,9549245
321033997905,321043298324,322644098411,327224098411,326536349862,332205462782,9549245,9549245
321033997905,321043098470,322644098411,327224098411,326536349862,332675462782,9549245,9549245
321043298324,321043698762,322644098411,328164098411,326536349862,332675462782,9549245,9549245
321042998565,321764098411,322644098411,328164098411,326536349862,332675462782,9549245,9549245
321042998565,321764098411,322644098411,328984098411,326536349862,333175462782,9549245,9549245
321043798711,321764098411,323594098411,328984098411,326536349862,333175462782,9549245,9549245
321043698762,321764098411,323594098411,328984098411,326536349862,333175462782,9549245,9549245
321764198762,321764098411,323594098411,328984098411,326536349862,333175462782,9549245,9549245
321764098411,321764098411,323594098411,328984098411,326536349862,333175462782,9549245,9549245
321764098411,321764098411,325414098411,329804098411,326536349862,333175462782,9549245,9549245
321764098411,321764098411,325414098411,329804098411,326536349862,333645462782,9549245,9549245
321764098411,321764098411,325414098411,329804098411,327416349862,333645462782,9549245,9549245
321764098411,321764098411,325414098411,329804098411,327416349862,333645462782,9549245,9549245
322644098411,322644098411,327224098411,330634098411,327986349862,334535462782,9549245,9549245
325414098411,325414098411,328984098411,332084098411,327986349862,326095903440,9549245,9549245
325414098411,326404098411,329804098411,332073453143,328826349862,326855903440,9549245,9549245
326404098411,327224098411,330624098411,333152384584,329617712829,326855903440,9549245,9549245
328164098411,328164098411,330634098411,333152384584,329617712829,327295903440,9549245,9549245
328164098411,328984098411,331534098411,333801304784,329617712829,327805903440,9549245,9549245
329804098411,329804098411,332084098411,334641304784,330117712829,328275903440,9549245,9549245
329804098411,330624098411,332084098411,335101304784,330117712829,328905903440,9549245,9549245
330624098411,331534098411,332712384584,335101304784,330887712829,328905903440,9549245,9549245
331534098411,332084098411,333152384584,335101304784,330887712829,330185903440,9549245,9549245
331534098411,332084098411,333802384584,329942203765,330887712829,330185903440,9549245,9549245
332084098411,332073453143,334641304784,330592203765,331607712829,330865903440,9549245,9549245
