token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
4670000000,4988900000,8674,8674,8674,8674,8674,8674
4777100000,4988900000,8674,8674,8674,8674,8674,8674
4777100000,5483900000,8674,8674,8674,8674,8674,8674
4978100000,5483900000,8674,8674,8674,8674,8674,8674
4988900000,5484600000,8674,8674,8674,8674,8674,8674
4988900000,5485000000,8674,8674,8674,8674,8674,8674
4988900000,5485200000,8674,8674,8674,8674,8674,8674
5483900000,5485400000,8674,8674,8674,8674,8674,8674
5484600000,5485400000,8674,8674,8674,8674,8674,8674
5485400000,8674,8674,8674,8674,8674,8674,8674
5485400000,8674,8674,8674,8674,8674,8674,8674
5485400000,8674,8674,8674,8674,8674,8674,8674
5485700000,8674,8674,8674,8674,8674,8674,8674
8674,8674,8674,8674,8674,8674,8674,8674
8674,8674,8674,8674,8674,8674,8674,8674
8674,8674,8674,8674,8674,8674,8674,8674
