token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
166461948325622,275250615171621,222588446820793,235028075014967,402242130769258,570564816658367,744418931152567,803409621990910
254781060983713,251214618703410,224379252831274,236280476984949,402242130769258,570564816658367,744418931152567,803409621990910
274143045504554,247356248524942,224053152918399,243028715802603,402242130769258,570564816658367,744418931152567,803409621990910
315850386673363,247356248524942,222091418883897,245349131330287,403228495811344,570564816658367,744418931152567,803409621990910
305675125147263,247356248524942,213218456221193,243069608208544,403228495811344,570564816658367,744418931152567,803409621990910
275250615171621,277057603377401,199832236123488,237651549675695,408296045956332,570564816658367,744418931152567,803409621990910
251214618703410,277057603377401,226300775827968,236460789853588,407324216661748,570564816658367,744418931152567,803409621990910
247356248524942,253342949346788,231842437595794,214790833157346,407324216661748,570564816658367,744418931152567,803409621990910
247356248524942,239031651578312,230567573322933,213634041311704,406660690592510,570564816658367,744418931152567,803409621990910
247356248524942,324675518389963,230567573322933,234029665493192,407802110392304,593215726916352,744418931152567,803409621990910
277057603377401,260778012408880,227146869600010,412326766036656,407920109239832,593215726916352,744418931152567,803409621990910
277057603377401,260778012408880,253314245488680,412326766036656,406950188624389,593215726916352,744418931152567,803409621990910
253342949346788,238762127085664,249714765782424,412326766036656,406950188624389,593215726916352,744418931152567,803409621990910
260778012408880,221769672233259,273636226892029,393626516347588,408148326388646,593215726916352,744418931152567,803409621990910
238762127085664,221040338938602,265056445543399,363112155911598,409539741611146,593215726916352,744418931152567,803409621990910
223242898089392,200267176828518,252464519539025,356539818706164,409539741611146,593215726916352,744418931152567,803409621990910
221769672233259,241143228627209,251818497487255,356539818706164,409539741611146,593215726916352,744418931152567,803409621990910
221769672233259,222588446820793,243594170496680,356539818706164,391015157552825,593215726916352,744418931152567,803409621990910
221040338938602,224053152918399,251500892649655,305669257754718,391408861552825,593215726916352,744418931152567,803409621990910
200267176828518,222091418883897,227665634028535,305669257754718,391408861552825,593215726916352,744418931152567,803409621990910
241143228627209,213218456221193,227665634028535,305860461141514,382651391096638,593215726916352,744418931152567,803409621990910
224053152918399,231842437595794,251775513420811,299656806862890,380948765118263,593215726916352,744418931152567,803409621990910
222091418883897,230567573322933,237260943782339,302559199772987,380948765118263,593215726916352,744418931152567,803409621990910
213218456221193,230567573322933,235028075014967,302854723728913,380948765118263,593215726916352,744418931152567,803409621990910
199832236123488,227146869600010,235028075014967,308577321569894,380948765118263,596872067808530,744418931152567,803409621990910
226300775827968,253314245488680,236280476984949,304178765626378,380948765118263,596872067808530,744418931152567,803409621990910
231842437595794,249714765782424,243028715802603,318217327584682,383878502464792,596872067808530,744418931152567,803409621990910
230567573322933,208064679717325,245349131330287,306269773300261,383878502464792,596872067808530,744418931152567,803409621990910
230567573322933,273636226892029,243069608208544,282617349995457,379665359189092,596872067808530,757394432174070,803409621990910
227146869600010,273636226892029,237651549675695,292562045447688,354887953831488,596872067808530,757394432174070,803409621990910
253314245488680,273636226892029,236460789853588,295536536284645,354887953831488,597552951834584,757394432174070,803409621990910
249714765782424,265056445543399,214790833157346,294116360907766,354887953831488,597552951834584,757394432174070,803409621990910
208064679717325,252464519539025,213634041311704,294116360907766,354887953831488,597552951834584,757394432174070,803409621990910
273636226892029,243594170496680,412326766036656,307769455876913,356954127161575,597552951834584,757394432174070,803409621990910
273636226892029,237901169765952,412326766036656,307410714482024,355122309042425,597552951834584,757394432174070,803409621990910
265056445543399,251500892649655,412326766036656,302185016266963,355122309042425,597552951834584,757394432174070,803409621990910
252464519539025,227665634028535,398962285877738,301063445080273,354975105911642,597552951834584,757394432174070,803409621990910
251818497487255,227665634028535,398962285877738,321099086716627,354975105911642,597552951834584,757394432174070,803409621990910
251500892649655,251775513420811,363112155911598,315995519852811,364224236365857,607307907553547,710460744280012,803409621990910
227665634028535,237260943782339,356539818706164,314858657206027,361461045748825,607307907553547,710460744280012,803409621990910
227665634028535,235028075014967,356539818706164,314858657206027,361461045748825,607307907553547,710460744280012,803409621990910
227665634028535,235028075014967,356539818706164,298056874153002,361461045748825,607307907553547,710460744280012,803409621990910
252152679808942,236280476984949,319865459957596,307287519076075,361461045748825,607307907553547,710460744280012,803409621990910
251775513420811,243028715802603,305669257754718,318310455651492,360707472598375,607307907553547,710460744280012,803409621990910
237260943782339,245349131330287,305669257754718,322093379330236,360707472598375,607307907553547,710460744280012,803409621990910
236280476984949,236460789853588,299656806862890,332118677372030,347736943808958,609139725672697,714057265481104,803409621990910
243028715802603,214790833157346,299656806862890,332118677372030,347736943808958,609139725672697,714057265481104,803409621990910
245349131330287,213634041311704,302559199772987,332118677372030,348233093022987,609139725672697,714057265481104,803409621990910
243069608208544,234029665493192,302854723728913,332414080223061,357643996389371,609139725672697,714057265481104,803409621990910
236460789853588,412326766036656,304178765626378,335348603153606,349687216909935,609936947154901,714057265481104,803409621990910
214790833157346,412326766036656,318217327584682,334689061495028,349687216909935,609936947154901,714057265481104,803409621990910
213634041311704,398962285877738,306269773300261,343948684278508,349687216909935,610203879805571,714057265481104,803409621990910
234029665493192,398962285877738,282617349995457,343948684278508,349687216909935,610203879805571,714057265481104,803409621990910
412326766036656,393626516347588,292562045447688,343948684278508,349687216909935,610203879805571,714057265481104,803409621990910
412326766036656,389367849436611,295536536284645,341841434851092,349687216909935,610203879805571,714057265481104,803409621990910
412326766036656,363112155911598,294116360907766,344222099571513,349687216909935,610203879805571,714057265481104,803409621990910
398962285877738,356539818706164,294116360907766,344222099571513,307358414918931,610203879805571,714057265481104,803409621990910
398962285877738,356539818706164,290188628491496,341671373611322,348754924136388,589277003340167,714057265481104,803409621990910
393626516347588,356539818706164,307769455876913,341534263743740,345278055542696,589277003340167,714057265481104,803409621990910
356539818706164,305669257754718,301063445080273,342399852805192,344591001332141,589277003340167,714057265481104,803409621990910
356539818706164,305860461141514,321371902025320,353025003232256,343899780900453,589277003340167,714057265481104,803409621990910
319865459957596,299656806862890,318362615950357,354453317154852,343899780900453,589277003340167,714057265481104,803409621990910
305669257754718,299656806862890,315995519852811,315213622931840,343899780900453,589277003340167,714057265481104,803409621990910
305669257754718,302559199772987,314858657206027,303961908799984,343899780900453,589277003340167,714057265481104,803409621990910
299656806862890,304178765626378,307287519076075,313118713747810,343899780900453,589277003340167,714057265481104,803409621990910
299656806862890,318217327584682,318310455651492,324182347939560,343899780900453,589277003340167,714057265481104,803409621990910
302854723728913,282617349995457,338050722773080,332962341259955,343899780900453,589277003340167,714057265481104,803409621990910
304178765626378,295536536284645,332118677372030,350571976782805,343899780900453,589277003340167,714057265481104,803409621990910
306269773300261,294116360907766,332118677372030,344773576675188,343899780900453,589277003340167,714057265481104,803409621990910
282617349995457,290188628491496,332414080223061,346184435351604,343899780900453,589277003340167,760990953375162,803409621990910
292562045447688,307769455876913,326044490362011,346184435351604,343899780900453,590561126387579,760990953375162,803409621990910
295536536284645,307410714482024,335348603153606,346904512128289,343899780900453,590561126387579,760990953375162,803409621990910
294116360907766,302185016266963,334689061495028,346904512128289,343899780900453,590561126387579,760990953375162,803409621990910
294116360907766,301063445080273,343948684278508,346904512128289,343899780900453,590561126387579,760990953375162,803409621990910
290188628491496,321099086716627,343948684278508,322680204811520,343899780900453,588538526313368,760990953375162,803409621990910
307769455876913,321371902025320,343948684278508,322620754310589,352129893507970,589122694872154,760990953375162,803409621990910
307410714482024,318362615950357,341841434851092,332196672500218,352129893507970,589122694872154,760990953375162,803409621990910
302185016266963,315995519852811,344222099571513,343403100318483,352129893507970,589122694872154,760990953375162,803409621990910
321099086716627,314858657206027,341671373611322,343403100318483,352129893507970,589122694872154,760990953375162,803409621990910
321371902025320,298056874153002,341534263743740,343403100318483,352129893507970,589122694872154,760990953375162,803409621990910
318362615950357,307287519076075,341865466858052,347557426767669,350402724696791,589122694872154,760990953375162,803409621990910
315995519852811,318310455651492,341865466858052,347557426767669,350402724696791,590649129450282,760990953375162,803409621990910
314858657206027,322093379330236,342399852805192,340664797376372,350402724696791,590649129450282,760990953375162,803409621990910
314858657206027,338050722773080,343023553943027,340664797376372,357888562629975,590649129450282,760990953375162,803409621990910
298056874153002,332761690851262,353025003232256,340664797376372,357888562629975,590649129450282,760990953375162,803409621990910
307287519076075,332118677372030,354453317154852,364040467457450,357888562629975,592525149911075,760990953375162,803409621990910
318310455651492,332118677372030,315213622931840,356509458746413,357888562629975,592525149911075,760990953375162,803409621990910
322093379330236,332118677372030,303961908799984,356509458746413,354192174866742,592525149911075,760990953375162,803409621990910
332761690851262,326044490362011,312414383931120,358596158503195,354192174866742,592525149911075,760990953375162,803409621990910
332118677372030,335348603153606,313118713747810,358596158503195,354192174866742,592525149911075,760990953375162,803409621990910
332118677372030,334689061495028,324182347939560,361670587925671,354192174866742,592525149911075,760990953375162,803409621990910
332118677372030,343948684278508,324182347939560,366350788265416,354192174866742,592525149911075,760990953375162,803409621990910
332414080223061,343948684278508,332962341259955,369429603012253,357595862619897,592525149911075,760990953375162,803409621990910
326044490362011,343948684278508,352734592723167,370059662543819,357595862619897,592525149911075,760990953375162,803409621990910
335348603153606,341841434851092,350571976782805,370865542761216,357595862619897,592525149911075,760990953375162,803409621990910
343948684278508,341671373611322,346184435351604,378898559903116,357595862619897,592525149911075,760990953375162,803409621990910
343948684278508,341534263743740,346184435351604,378898559903116,357595862619897,592525149911075,760990953375162,803409621990910
341841434851092,341865466858052,346904512128289,379765130195105,357624304283409,592525149911075,760990953375162,803409621990910
344222099571513,341865466858052,346904512128289,378099288644760,357624304283409,592525149911075,760990953375162,803409621990910
344222099571513,342399852805192,346904512128289,370031748517163,357624304283409,592525149911075,760990953375162,803409621990910
341865466858052,354453317154852,332196672500218,368496218913078,369122136858144,596236590254558,760990953375162,803409621990910
341865466858052,315213622931840,343403100318483,356508829826970,369122136858144,596236590254558,760990953375162,803409621990910
343023553943027,311211457269658,343403100318483,365713673283116,369122136858144,596236590254558,760990953375162,803409621990910
353025003232256,312414383931120,343403100318483,372026459784041,369122136858144,596236590254558,760990953375162,803409621990910
354453317154852,313118713747810,347557426767669,368797868486708,369122136858144,596236590254558,760990953375162,803409621990910
303961908799984,324182347939560,340664797376372,377962100642833,369655515190120,596236590254558,760990953375162,803409621990910
311211457269658,332962341259955,340664797376372,377962100642833,369655515190120,596236590254558,760990953375162,803409621990910
312414383931120,352734592723167,340664797376372,378314520610570,369655515190120,596236590254558,760990953375162,803409621990910
313118713747810,350571976782805,364040467457450,374883635214715,369655515190120,596236590254558,764011379503412,803409621990910
324182347939560,342813813863519,356509458746413,374883635214715,369655515190120,596406197138534,764011379503412,803409621990910
324182347939560,344773576675188,356509458746413,375380189227796,369655515190120,596406197138534,764011379503412,803409621990910
332962341259955,346184435351604,355766079703378,380107915824886,364935746722069,596406197138534,764011379503412,803409621990910
352734592723167,346184435351604,358596158503195,380107915824886,364935746722069,596406197138534,764011379503412,803409621990910
350571976782805,346904512128289,358596158503195,380107915824886,384733057110187,596406197138534,764011379503412,803409621990910
342813813863519,346904512128289,361670587925671,380107915824886,384733057110187,596406197138534,764011379503412,803409621990910
346184435351604,322680204811520,369429603012253,381096672048860,384733057110187,601260956929295,764011379503412,803409621990910
346184435351604,322620754310589,370059662543819,399400773713194,398849412159763,601260956929295,764011379503412,803409621990910
346904512128289,332196672500218,370865542761216,399400773713194,401638815297753,601260956929295,764011379503412,803409621990910
346904512128289,343403100318483,374190729779049,399400773713194,401638815297753,601260956929295,764011379503412,803409621990910
346904512128289,343403100318483,374190729779049,406009529721480,401638815297753,601419010723609,764011379503412,803409621990910
322680204811520,343403100318483,378898559903116,403611347618506,401638815297753,601419010723609,764011379503412,803409621990910
332196672500218,347557426767669,379765130195105,407145666012230,401638815297753,601419010723609,764011379503412,803409621990910
343403100318483,340664797376372,376296839501364,414489209864477,519295657649361,601419010723609,764011379503412,803409621990910
343403100318483,340664797376372,368785116421756,415116218933346,519295657649361,603212035041989,764011379503412,803409621990910
347557426767669,364040467457450,368496218913078,422288112435893,516172198077416,603212035041989,764011379503412,803409621990910
347557426767669,356509458746413,356508829826970,426335250222369,516172198077416,603212035041989,764011379503412,803409621990910
364040467457450,358596158503195,368797868486708,411780723189186,516172198077416,603212035041989,764011379503412,803409621990910
356509458746413,366350788265416,377962100642833,411533489317487,521290890256427,603212035041989,764011379503412,803409621990910
358596158503195,370865542761216,374883635214715,408210688931431,522680922550142,603212035041989,764011379503412,803409621990910
361670587925671,374190729779049,374883635214715,407285395619789,525368582600118,606226225402831,764011379503412,803409621990910
369429603012253,378898559903116,380107915824886,407285395619789,515331619758688,606226225402831,764011379503412,803409621990910
370059662543819,378898559903116,380107915824886,407285395619789,528079748421845,606226225402831,764011379503412,803409621990910
374190729779049,378099288644760,380107915824886,413654985480839,528079748421845,606226225402831,764011379503412,803409621990910
374190729779049,370031748517163,380107915824886,413654985480839,528079748421845,606226225402831,764011379503412,803409621990910
378898559903116,376296839501364,381096672048860,412095432200068,529078017322322,606226225402831,764011379503412,803409621990910
378898559903116,368785116421756,399400773713194,412095432200068,534760749295582,606226225402831,764011379503412,803409621990910
379765130195105,368496218913078,399400773713194,412354763936560,536980112901806,606226225402831,764011379503412,803409621990910
378099288644760,356508829826970,399400773713194,412354763936560,536980112901806,606226225402831,764011379503412,803409621990910
376296839501364,365713673283116,403611347618506,412354763936560,536980112901806,606226225402831,764011379503412,803409621990910
368496218913078,368797868486708,407145666012230,427622929900244,536980112901806,606226225402831,764011379503412,803409621990910
356508829826970,374673639849414,414489209864477,426644263750644,536980112901806,606226225402831,764011379503412,803409621990910
364020762375997,377962100642833,414489209864477,429665252288519,536980112901806,606226225402831,764011379503412,803409621990910
365713673283116,377962100642833,414489209864477,433219177977733,536980112901806,606226225402831,764011379503412,803409621990910
372026459784041,378314520610570,415116218933346,433219177977733,536980112901806,606226225402831,764011379503412,803409621990910
368797868486708,374883635214715,422288112435893,436154141438940,536980112901806,606226225402831,764011379503412,803409621990910
374673639849414,374883635214715,426335250222369,445364093601594,536980112901806,606226225402831,764011379503412,803409621990910
377962100642833,375380189227796,408426069613222,451081193240929,536980112901806,606226225402831,764011379503412,803409621990910
377962100642833,380107915824886,408762259233628,451416048648974,536980112901806,606226225402831,764011379503412,803409621990910
378314520610570,380107915824886,408762259233628,451416048648974,539678574759783,606226225402831,764011379503412,803409621990910
374883635214715,380107915824886,411780723189186,451416048648974,539678574759783,606226225402831,764011379503412,803409621990910
374883635214715,380107915824886,412029638531516,455500043246403,540216271544602,606226225402831,764011379503412,803409621990910
375380189227796,380107915824886,411533489317487,454500037013861,541273215994808,606226225402831,764011379503412,803409621990910
380107915824886,399400773713194,408210688931431,458809246721960,541859557994808,609359219839440,764011379503412,803409621990910
380107915824886,399400773713194,408210688931431,451390896175717,541859557994808,610094315317006,764011379503412,803409621990910
380107915824886,406009529721480,407285395619789,453629957204081,541859557994808,610094315317006,764011379503412,803409621990910
381096672048860,403611347618506,407285395619789,453897944451335,569107144736329,610094315317006,764011379503412,803409621990910
403611347618506,414489209864477,412095432200068,440992194875524,569575312119797,609979853076353,764011379503412,803409621990910
407145666012230,415116218933346,412095432200068,429906025984405,571916030707447,609979853076353,764011379503412,803409621990910
414489209864477,408426069613222,412354763936560,433674224013780,572559044186679,609979853076353,764011379503412,803784931843148
414489209864477,408762259233628,412354763936560,433674224013780,574266143252448,609979853076353,764011379503412,803784931843148
415116218933346,408762259233628,414436793125922,436756295530789,574266143252448,609979853076353,764011379503412,803784931843148
426335250222369,412029638531516,426644263750644,413724164206937,574266143252448,643870834003176,764011379503412,803784931843148
408762259233628,408210688931431,433219177977733,403637824444682,555866820052423,643870834003176,764011379503412,803784931843148
411780723189186,408210688931431,436154141438940,394424096908339,555866820052423,643870834003176,764011379503412,803784931843148
412029638531516,407285395619789,445364093601594,394424096908339,555866820052423,643870834003176,764011379503412,803784931843148
411533489317487,407285395619789,451081193240929,395433457724277,555866820052423,643870834003176,764011379503412,803784931843148
408036988410254,407285395619789,451416048648974,385715347815622,555866820052423,649473362954354,764011379503412,803784931843148
408210688931431,407285395619789,451416048648974,383124045781703,554073795734043,649473362954354,764011379503412,803784931843148
407285395619789,413654985480839,455500043246403,383124045781703,555452723701021,649473362954354,764011379503412,803784931843148
407285395619789,413654985480839,454500037013861,380991111858045,555452723701021,649473362954354,764011379503412,803784931843148
407285395619789,412095432200068,458809246721960,380821545189498,555916779250235,649473362954354,764011379503412,803784931843148
407285395619789,412095432200068,458809246721960,380821545189498,555916779250235,649473362954354,764011379503412,803784931843148
413654985480839,412354763936560,454836711809753,383269110232623,556287802577717,649594038414922,764011379503412,803784931843148
