token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
209077678939891,200496467504594,168275187406874,170412211763525,167477639675151,190425013404930,209743955045653,182466345104285
206162108620584,200373924698590,168251033062426,170830138115807,167477639675151,190425013404930,209743955045653,182466345104285
206162108620584,200718408355250,168251033062426,169734873947981,167870811279630,190425013404930,209743955045653,182466345104285
200908402182269,200718408355250,166560382257017,169734873947981,167870811279630,190425013404930,209743955045653,182466345104285
201227479160294,200718408355250,165722233497350,169734873947981,167870811279630,190425013404930,209743955045653,182466345104285
200496467504594,193675120125327,162441428395206,169734873947981,169623873805222,190425013404930,209743955045653,182466345104285
200373924698590,193675120125327,162441428395206,169734873947981,169623873805222,190425013404930,209743955045653,182466345104285
200718408355250,183991071960254,162439820563415,153972054306036,169623873805222,190425013404930,209743955045653,182466345104285
200718408355250,181251905196872,162439820563415,153972054306036,169623873805222,190425013404930,209743955045653,182466345104285
193675120125327,181250903381183,162439820563415,153972054306036,169623873805222,190425013404930,209743955045653,182466345104285
193675120125327,181250903381183,162841760200974,153972054306036,169623873805222,190425013404930,209743955045653,182466345104285
190335869662022,179697338970092,162648098273134,153972054306036,169623873805222,190425013404930,209743955045653,182466345104285
181250903381183,181473763902299,162962186986107,152541466638247,169623873805222,190425013404930,209743955045653,182466345104285
179697338970092,184064793289154,162962186986107,152541466638247,169623873805222,190425013404930,209743955045653,182466345104285
179697338970092,167860701241815,162962186986107,152541466638247,169623873805222,190425013404930,209743955045653,182466345104285
181473763902299,167860701241815,162962186986107,152541466638247,169623873805222,190425013404930,209743955045653,182466345104285
181473763902299,168275187406874,162962186986107,152541466638247,169623873805222,190425013404930,209743955045653,182466345104285
184064793289154,168251033062426,163380124338387,152541466638247,169623873805222,190425013404930,209743955045653,182466345104285
167860701241815,165722233497350,165488712496076,145769733665655,169623873805222,190425013404930,209743955045653,182466345104285
168251033062426,162439820563415,170238268285480,146607882425322,169623873805222,190425013404930,209743955045653,182466345104285
166560382257017,162439820563415,170238268285480,146581707399986,169623873805222,190425013404930,209743955045653,182466345104285
162441428395206,162439820563415,170412211763525,146581707399986,169569500187685,190425013404930,209743955045653,182466345104285
162441428395206,162841760200974,170830138115807,146581707399986,169569500187685,190425013404930,209743955045653,182466345104285
162439820563415,162560270844006,169734873947981,146112997509193,169569500187685,190425013404930,209743955045653,182466345104285
162439820563415,162978208196286,169734873947981,145944177819994,169569500187685,190425013404930,209743955045653,182466345104285
162439820563415,162962186986107,169734873947981,145944177819994,169569500187685,190425013404930,209743955045653,182466345104285
162648098273134,162962186986107,153972054306036,145944177819994,169569500187685,190425013404930,209743955045653,182466345104285
162962186986107,162962186986107,153972054306036,142397459714856,169569500187685,190425013404930,209743955045653,182466345104285
162962186986107,163380124338387,153972054306036,142397459714856,169569500187685,190425013404930,209743955045653,182466345104285
162962186986107,163798061690667,153972054306036,142397459714856,169569500187685,190425013404930,209743955045653,182466345104285
162962186986107,165488712496076,152541466638247,142397459714856,169569500187685,190425013404930,209743955045653,182466345104285
162962186986107,165488712496076,152541466638247,142397459714856,169569500187685,190425013404930,209743955045653,182466345104285
170238268285480,169734873947981,152541466638247,146983677308869,169569500187685,194157748634934,209743955045653,182466345104285
170238268285480,169734873947981,152541466638247,146983677308869,169569500187685,197921603076017,209743955045653,182466345104285
170412211763525,169734873947981,145769733665655,146983677308869,167859230364451,197921603076017,209743955045653,182466345104285
170830138115807,169734873947981,146607882425322,146524771798895,167859230364451,198043947945305,209743955045653,182466345104285
169734873947981,153972054306036,146607882425322,146524771798895,167859230364451,198043947945305,209743955045653,182466345104285
169734873947981,153972054306036,146581707399986,146524771798895,167859230364451,198043947945305,209743955045653,182442140665180
169734873947981,153972054306036,146581707399986,141827933121265,167859230364451,198213203988404,209743955045653,182563044141200
153972054306036,153972054306036,147411579429941,138130924297661,167859230364451,198213203988404,209743955045653,182563044141200
153972054306036,152541466638247,145944177819994,138130924297661,167859230364451,198213203988404,209743955045653,182563044141200
152541466638247,145769733665655,142397459714856,135175878390930,167859230364451,198213203988404,209743955045653,182563044141200
146581707399986,145944177819994,146983677308869,137506116666208,167859230364451,198213203988404,209743955045653,182813930286217
146581707399986,145944177819994,146524771798895,132034842756717,167688396591605,198213203988404,209743955045653,182998845132887
146112997509193,150267127802349,146524771798895,136071135945379,167688396591605,198213203988404,209743955045653,182998845132887
145944177819994,142397459714856,138130924297661,137336560988536,169398666414839,199065037575726,209743955045653,182998845132887
150267127802349,142397459714856,138130924297661,137336560988536,169398666414839,199065037575726,209743955045653,182998845132887
147460570430548,142397459714856,138130924297661,137336560988536,169398666414839,199065037575726,209743955045653,182998845132887
142397459714856,147083053874382,138130924297661,137336560988536,169398666414839,199065037575726,209743955045653,182998845132887
142397459714856,147083053874382,138130924297661,140454821575913,169398666414839,202815170098932,209743955045653,182998845132887
142397459714856,147083053874382,138130924297661,140454821575913,169398666414839,202815170098932,209743955045653,182998845132887
146983677308869,146524771798895,135175878390930,124411806615983,169398666414839,202815170098932,209743955045653,182998845132887
146524771798895,141827933121265,137966822128562,124411806615983,169054542033241,202815170098932,209743955045653,182998845132887
146524771798895,138130924297661,137852223848528,124411806615983,169054542033241,202815170098932,209743955045653,182998845132887
141827933121265,138130924297661,137506116666208,141171730413784,169399222235026,202815170098932,209743955045653,182998845132887
141827933121265,138130924297661,132034842756717,141171730413784,169399222235026,202815170098932,209743955045653,182998845132887
138130924297661,138130924297661,137234527645614,140090749375880,169399222235026,202815170098932,209743955045653,182998845132887
138130924297661,137552643889067,137336560988536,140090749375880,169399222235026,202815170098932,209743955045653,182998845132887
135175878390930,137966822128562,140095683607569,145410551048005,169408972990824,202815170098932,209743955045653,182998845132887
135175878390930,137506116666208,124411806615983,147998638487564,169408972990824,202815170098932,209743955045653,183605152537372
134627571665257,137506116666208,124411806615983,147998638487564,169408972990824,202815170098932,209743955045653,183605152537372
137506116666208,134412899809279,124411806615983,150738671505207,169408972990824,202815170098932,209743955045653,181605074924654
132034842756717,136948650974480,124411806615983,167077684580722,169408972990824,204098539982817,209743955045653,181605074924654
132034842756717,137336560988536,124411806615983,167090328064143,169408972990824,204098539982817,209743955045653,181605074924654
136071135945379,137336560988536,142455100297669,167090328064143,169408972990824,204098539982817,209743955045653,181605074924654
136948650974480,137336560988536,141171730413784,167091935895934,169408972990824,204098539982817,209743955045653,181605074924654
137336560988536,137336560988536,140208976355640,167124244917257,169408972990824,204098539982817,209743955045653,181605074924654
137336560988536,140454821575913,140208976355640,167124244917257,169408972990824,204098539982817,209743955045653,181605074924654
137336560988536,140454821575913,140090749375880,167123905476222,169408972990824,204098539982817,209743955045653,181605074924654
137336560988536,140095683607569,140090749375880,167211563185351,169408972990824,204098539982817,209743955045653,181605074924654
137336560988536,124411806615983,140090749375880,166980283108774,169408972990824,204098539982817,209743955045653,181605074924654
124411806615983,124411806615983,142977236933300,170385691019991,189361071595595,204098539982817,209743955045653,181605074924654
124411806615983,124411806615983,145410551048005,170500289300025,189361071595595,204098539982817,209743955045653,181605074924654
124411806615983,124411806615983,145400800292207,170835728324436,189361071595595,204098539982817,209743955045653,181605074924654
140208976355640,145344455814195,167090328064143,177798947908516,189531905368441,204098539982817,209743955045653,181605074924654
140208976355640,145344455814195,167091935895934,177798947908516,189531905368441,204098539982817,209743955045653,181605074924654
