token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
11741812771,5592317551,8441809129,9437960064,8968513012,7434037705,6956442167,5952663931
11741812771,5695100029,8441809129,9437960064,8968513012,7434037705,6956442167,5952663931
12699507834,5150396941,8641809129,9437960064,8968513012,7434037705,6956442167,5952663931
5592317551,8692041626,8700469071,9537458249,8730223088,7434037705,6956442167,5952663931
5150396941,9109241626,8700469071,9366146866,8730223088,7434037705,6956442167,5952663931
6620396941,9129341626,8700469071,9366139862,8730223088,7434037705,6956442167,5952663931
8091327506,9730341626,8700307019,9366134609,8730223088,7534037705,6956442167,5952663931
8692041626,9729119490,8710148011,9366134609,8730223088,7534037705,6956442167,5952663931
9079141626,9599697351,8710066811,9366134609,8730223088,7534037705,6956442167,5952663931
9109241626,9599697351,8709907440,9366134609,8730223088,7534037705,6956442167,5952663931
9129341626,9648991057,8709743534,9466129356,8730223088,7534037705,6956442167,5952663931
9730341626,9325112752,8709743534,9466129356,8730223088,7534037705,6956442167,5952663931
9729119490,9137926313,8709743534,9466049575,8730223088,7534037705,6956442167,5952663931
9599697351,9137926313,8709743534,7072669392,8730223088,7534037705,6956442167,5952663931
9599697351,9137926313,8709743534,7300480563,8730223088,7534037705,6956442167,5952663931
9648991057,8516914108,8759584180,7300480563,8730223088,7534037705,6956442167,5952663931
9325112752,8441809129,8779584180,6825910404,8740223088,7534037705,6956442167,5952663931
9137926313,8441809129,8779584180,6817574453,8740223088,7534037705,6956442167,5952663931
9137926313,8441809129,8779260295,7393555065,8740223088,7534037705,6956442167,5952663931
8516914108,8700548585,8780329295,7393555065,8740223088,7534037705,6956442167,5952663931
8441809129,8700548585,8769588935,7393555065,8740223088,7534037705,6956442167,5952663931
8441809129,8700469071,8769588935,7393555065,8740223088,8034037705,6956442167,5952663931
8700548585,8700469071,9437960064,7388629356,8740223088,8034037705,6956442167,5952663931
8700548585,8700307019,9437960064,6974063503,8830223088,8033364010,6956442167,5952663931
8700469071,8709907440,9437960064,7074055723,8920223088,8033364010,6956442167,5952663931
8700469071,8709743534,9537460064,6898534486,8920223088,8033364010,6956442167,5952663931
8710148011,8709743534,9537458249,6898534486,8920223088,8033364010,6956442167,5952663931
8709743534,8779584180,9366134609,6998534486,8912963952,8033364010,6956442167,5952663931
8709743534,8779584180,9366134609,6998534486,8912963952,8033364010,6956442167,5952663931
8709743534,8779260295,9366134609,6998534486,8912963952,8033364010,6956442167,5952663931
8709743534,8780329295,9366134609,6367149144,8382928809,8033364010,6956442167,5952663931
8759584180,8780329295,9466129356,6367149144,8382928809,8033364010,6956442167,5952663931
8780329295,9437960064,7300480563,7241975448,8382928809,8033364010,6956442167,5952663931
8769588935,9437960064,6825910404,7241975448,8382928809,8033364010,6956442167,5952663931
9769588935,9437960064,7393555065,7241975448,8382928809,8033364010,6955003290,5952663931
9437960064,9437960064,7393555065,7241975448,8382928809,8033364010,6955003290,5952663931
9437960064,9537458249,7393555065,7241975448,8522028809,8033364010,6955003290,5952663931
9437960064,9366148617,7393555065,7241975448,8522028809,7293147773,6955003290,5952663931
9437960064,9366146866,7388629356,6373079518,8365047392,7293147773,6955003290,5952663931
9366139862,9466129356,6898534486,6373079518,8301470432,7200773178,6955003290,5952663931
9366134609,9466129356,6898534486,6373079518,8301470432,7200773178,6955003290,5952663931
9366134609,7072669392,6898534486,6383079518,7987222487,7200773178,6955003290,5952663931
9366134609,7300480563,6898534486,6453179518,7987222487,7200773178,6955003290,5952663931
9466129356,7300480563,6998534486,6453179518,7987222487,7200773178,6955003290,5952663931
9466129356,6825910404,6998534486,6453179518,7752645173,7200773178,6955003290,5952663931
7300480563,7393555065,6367149144,6453179518,7545646194,7200773178,6955003290,5952663931
6817574453,7393555065,7241975448,6453179518,7545646194,7200773178,6955003290,5952663931
7393555065,7393555065,7241975448,6453179518,7502904036,7200773178,6955003290,5952663931
7393555065,7388629356,7241975448,6453179518,7502904036,7200773178,6955003290,5952663931
7393555065,6974063503,7241975448,6453179518,7502904036,7200773178,6955003290,5952663931
7393555065,6974063503,7241975448,6364661471,7502904036,7200773178,6955003290,5952663931
7393555065,7074056720,7241975448,6364661471,7502904036,7200773178,6955003290,5952663931
7074055723,6898534486,6373079518,6446057096,7502904036,7200773178,6955003290,5952663931
6898534486,6998534486,6373079518,6546057096,7502904036,7200773178,6955003290,5952663931
6898534486,6998534486,6373079518,6546057096,7502904036,7200773178,6955003290,5952663931
6898534486,6367149144,6373079518,6546157096,7502904036,7200773178,6955003290,5952663931
6998534486,6367149144,6373079518,6546157096,7502904036,7200773178,6955003290,5952663931
6367149144,7241975448,6453179518,6696157096,7502904036,7200773178,7005003290,5952663931
7241975448,7241975448,6453179518,6846157096,6927138723,7065846546,7005003290,5952663931
7241975448,7241975448,6453179518,7293657096,6927138723,7065846546,7005003290,5952663931
6373079518,6453179518,6446057096,7342963664,6927138723,7125846546,7505003290,5952663931
6453179518,6453179518,6696157096,7342963664,6823110282,7125846546,7505003290,5952663931
6453179518,6453179518,6696157096,7392963664,6823110282,7125846546,7505003290,5952663931
6307457096,6546057096,7343657096,7707830269,6792356906,7155846546,7505003290,5952663931
6546057096,6546157096,7342963664,7806830269,6792356906,7155846546,7505003290,5952663931
6546057096,6696157096,7342963664,7806830269,6792356906,7155846546,7505003290,5952663931
6546157096,6696157096,7342963664,7856830269,6792356906,7255846546,7505003290,5952663931
6696157096,6846157096,7342963664,7856830269,6792356906,7255846546,7505003290,5952663931
6846157096,7046157096,7342963664,7856830269,6792356906,7255846546,7505003290,5952663931
7046157096,7343657096,7392963664,7856830269,6792356906,7255846546,7505003290,5952663931
7293657096,7342963664,7392830269,7856830269,6792356906,7255846546,7505003290,5952663931
7343657096,7342963664,7392830269,7856830269,6792356906,7255846546,7505003290,5952663931
7342963664,7342963664,7707830269,7856830269,6900720379,7255846546,7505003290,5952663931
7342963664,7342963664,7806830269,7856830269,6900720379,7255846546,7505003290,5952663931
7392830269,7392830269,7856830269,7795787171,6871272354,7149401304,7505003290,5982663931
7392830269,7707830269,7856830269,7956440683,6802698753,7149401304,7505003290,5982663931
7806830269,7856830269,7856830269,7976440683,6802698753,7149401304,7505003290,5982663931
7856830269,7856830269,7856830269,7976440683,6802698753,7149401304,7505003290,5982663931
7856830269,7856830269,7856830269,8471440683,7032698753,7149401304,7498662153,5982663931
7795787171,7805546123,8471440683,8968513012,7221798753,7122958560,7498662153,5888663513
7795646123,7956440683,8369846479,8968513012,7221798753,7122958560,7498662153,5888663513
7956440683,7956440683,8372087867,8730223088,7221798753,7122958560,7498662153,6088663513
7956440683,7956440683,8372087867,8730223088,7221798753,7122958560,7498662153,6088663513
7956440683,7976440683,8468513012,8730223088,7221798753,7122958560,7498662153,6088663513
8471440683,8369846479,8968513012,8740223088,7721798753,7622958560,7498662153,6088663513
8369846479,8369846479,8968513012,8740223088,7721798753,7512286972,7498662153,6088663513
8369846479,8372087867,8968513012,8830223088,7721798753,7512286972,7498662153,6088663513
8372087867,8968513012,8730223088,8920223088,7721798753,7512286972,7498662153,6088663513
8468513012,8968513012,8730223088,8970223088,7721798753,7512286972,7498662153,6088663513
8968513012,8968513012,8730223088,8912963952,7721798753,7512286972,7498662153,6088663513
8968513012,8968513012,8730223088,8382928809,7434037705,7512286972,7498662153,6088663513
8730223088,8730223088,8920223088,8301470432,7434037705,7020998296,7498662153,6088663513
8740223088,8830223088,8382928809,7502904036,7534037705,7020998296,7498662153,6088663513
8920223088,8912963952,8365047392,7502904036,8033364010,7020998296,7519375393,6088663513
8970223088,8382928809,8301470432,7502904036,8033364010,7020998296,7519375393,6088663513
8382928809,8382928809,7987222487,7502904036,8033364010,7020998296,7519375393,6088663513
8382928809,8382928809,7752645173,7502904036,8033364010,7020998296,7519375393,6088663513
8382928809,8382928809,7545646194,6927138723,8033364010,7020998296,7519375393,6088663513
8365047392,8301470432,7502904036,6927138723,8033364010,7020998296,7519375393,6088663513
8365047392,8301470432,7502904036,6927138723,8033364010,7020998296,7519375393,6088663513
8301470432,7987222487,7502904036,6927138723,7293147773,7020998296,7519375393,6088663513
7987222487,7545646194,7502904036,6823110282,7293147773,6784058657,7519375393,6088663513
7545646194,7545646194,7502904036,6823110282,7200773178,6784058657,7519375393,6088663513
7545646194,7502904036,7502904036,6823110282,7200773178,6784058657,7519375393,6088663513
7545646194,7502904036,6927138723,6823110282,7200773178,6784058657,7519375393,6088663513
7502904036,7502904036,6927138723,6792356906,7200773178,6767811853,7519375393,6088663513
6927138723,6927138723,6823110282,6792356906,7200773178,6602912573,7519375393,6088663513
6823110282,6823110282,6792356906,6871272354,7125846546,6612812573,7519375393,6088663513
6792356906,6792356906,6792356906,6802698753,7125846546,6612812573,7519375393,6088663513
6792356906,6792356906,6792356906,6802698753,7125846546,6612812573,7519375393,6088663513
6900720379,6900720379,6802698753,7221798753,7255846546,6561397468,7519375393,6088663513
6871272354,6802698753,7032698753,7221798753,7149401304,6582658700,7519375393,6088663513
6802698753,6802698753,7121798753,7221798753,7149401304,6582658700,7519375393,6088663513
7032698753,7032698753,7221798753,7721798753,7149401304,6525945953,7519375393,6088663513
7121798753,7221798753,7221798753,7721798753,7122958560,6525945953,7519375393,6088663513
7221798753,7221798753,7221798753,7434037705,7122958560,6525945953,7519375393,6088663513
7721798753,7721798753,7434037705,7534037705,7622958560,6525945953,7519375393,6088663513
7434037705,7434037705,7534037705,8033364010,7512286972,6525945953,7519375393,6088663513
7534037705,7534037705,8033364010,7200773178,7020998296,6324077851,7519375393,6088663513
8033364010,8033364010,7293147773,7200773178,7020998296,6183736275,7519375393,6088663513
8033364010,8033364010,7293147773,7200773178,7020998296,6183736275,7519375393,6088663513
7293147773,7200773178,7200773178,7065846546,7020998296,6154128440,7519375393,6088663513
7200773178,7200773178,7200773178,7125846546,6784058657,6154128440,7519375393,6088663513
7065846546,7065846546,7125846546,7255846546,6602912573,6154128440,6632711315,6088663513
7125846546,7125846546,7155846546,7255846546,6612812573,6144306535,6632711315,6088663513
7155846546,7255846546,7255846546,7149401304,6612812573,6135319566,5807846088,6088663513
7255846546,7255846546,7255846546,7149401304,6612812573,6135319566,5807846088,6088663513
7149401304,7149401304,7122958560,7122958560,6582658700,5659124612,5807846088,6088663513
7122958560,7122958560,7122958560,7512286972,6525945953,5659124612,5807846088,6088663513
7512286972,7512286972,7512286972,7020998296,6525945953,6121442167,5807846088,6036082349
7512286972,7512286972,7512286972,7020998296,6525945953,6121442167,5807846088,6036082349
7020998296,7020998296,7020998296,7020998296,6324077851,6121442167,5807846088,6036082349
6784058657,6784058657,6602912573,6612812573,6154128440,6121442167,5807846088,6036082349
6602912573,6602912573,6602912573,6612812573,6154128440,6121442167,5807846088,6036082349
6602912573,6602912573,6602912573,6612812573,6154128440,6121442167,5807846088,6036082349
6612812573,6612812573,6612812573,6561397468,6144306535,6121442167,5807846088,6036082349
6561397468,6561397468,6582658700,6525945953,6135319566,6121442167,5814846088,6036082349
6582658700,6582658700,6525945953,6525945953,5659124612,6621442167,5814846088,6036082349
6525945953,6525945953,6525945953,6525945953,5659124612,6621442167,5814846088,6036082349
6324077851,6324077851,6324077851,6154128440,6121442167,6956442167,5814946088,6036082349
6183736275,6183736275,6154128440,6154128440,6121442167,6956442167,5815046088,6036082349
6154128440,6154128440,6154128440,6154128440,6121442167,6956442167,5815046088,6036082349
6144306535,6144306535,6135319566,5659124612,6121442167,7505003290,5808030772,6036082349
6135319566,6135319566,6135319566,5659124612,6121442167,7505003290,5808030772,6036082349
5717487903,5659124612,5659124612,6121442167,6621442167,7505003290,5818030772,6036082349
5659124612,5659124612,5659124612,6121442167,6621442167,7505003290,5818030772,6036082349
5659124612,5659124612,5659124612,6121442167,6621442167,7505003290,5828030772,6036082349
6121442167,6121442167,6121442167,6121442167,6621442167,7498662153,5848030772,6036082349
6121442167,6121442167,6121442167,6121442167,6621442167,7498662153,5848030772,6036082349
6621442167,6621442167,6621442167,6936442167,7505003290,7519375393,5952663931,6036082349
6936442167,6956442167,6956442167,6956442167,7498662153,7519375393,5952663931,6136082349
6956442167,6956442167,6956442167,6956442167,7498662153,7519375393,5952663931,6136082349
6955003290,6955003290,6955003290,7505003290,7519375393,7519375393,5952663931,6103760415
7005003290,7005003290,7505003290,7505003290,7519375393,6637670470,5952663931,6103760415
7505003290,7505003290,7505003290,7505003290,7519375393,6632711315,5952663931,6103760415
7498662153,7498662153,7498662153,7498662153,7519375393,5807846088,5982663931,6103760415
7519375393,7519375393,7519375393,7519375393,7519375393,5807846088,6088663513,6054027217
6637670470,6637670470,6632711315,5807846088,5807846088,5808030772,6088663513,5860501640
6632711315,6632711315,6632711315,5807846088,5807846088,5808030772,6088663513,5860501640
5807846088,5807846088,5807846088,5807846088,5807846088,5808030772,6088663513,5860501640
5814846088,5814846088,5814846088,5814846088,5808030772,5952663931,6036082349,5825853042
5814946088,5814946088,5815046088,5815046088,5859216864,5952663931,6036082349,5750034562
5815046088,5815046088,5815046088,5845046088,5809454781,5952663931,6036082349,5750034562
5845046088,5845046088,5845046088,5808030772,5809454781,5952663931,6036082349,5750034562
5808030772,5808030772,5808030772,5808030772,5641583540,5952663931,6036082349,5750034562
5818030772,5818030772,5828030772,5848030772,5952663931,5952663931,6036082349,5750034562
5828030772,5828030772,5838030772,5858030772,5952663931,5952663931,6036082349,5750034562
5838030772,5838030772,5848030772,6105530772,5952663931,5952663931,6036082349,5750034562
5848030772,5848030772,5858030772,5859216864,5952663931,5982663931,6036082349,5750034562
5858030772,5858030772,5859216864,5859216864,5952663931,5982663931,6036082349,5750034562
6105530772,6105530772,5859216864,5809454781,5952663931,5888663513,6036082349,5750034562
5859216864,5859216864,5859216864,5809454781,5952663931,6088663513,6036082349,5750034562
5809454781,5809454781,5809454781,5809454781,5952663931,6088663513,6036082349,5750034562
5641583540,5641583540,5641583540,6041583540,5952663931,6088663513,6036082349,5750034562
5641583540,5641583540,6041583540,6041583540,5952663931,6088663513,6036082349,5750034562
6041583540,6041583540,6041583540,5952663931,5952663931,6088663513,6036082349,5750034562
5952663931,5952663931,5952663931,5952663931,5952663931,6088663513,6036082349,5750034562
5982663931,5982663931,5982663931,5888663513,6088663513,6088663513,6103760415,5750034562
5888663513,5888663513,6088663513,6088663513,6088663513,6088663513,6103760415,5750034562
6088663513,6088663513,6088663513,6088663513,6088663513,6036082349,6103760415,5750034562
6036082349,6036082349,6036082349,6036082349,6036082349,6036082349,5860501640,5715588964
6136082349,6136082349,6136082349,6136082349,6103760415,5957144267,5750034562,5715588964
6103760415,6103760415,6103760415,6103760415,6054027217,5860501640,5750034562,5715588964
6054027217,6054027217,6054027217,6054027217,5957144267,5860501640,5750034562,5715588964
5957144267,5957144267,5957144267,5957144267,5860501640,5825853042,5750034562,5715588964
5860501640,5860501640,5860501640,5860501640,5825853042,5750034562,5715588964,5715588964
5825853042,5825853042,5825853042,5825853042,5750034562,5750034562,5715588964,5715588964
5750034562,5750034562,5750034562,5750034562,5750034562,5750034562,5715588964,5715588964
5715588964,5715588964,5715588964,5715588964,5715588964,5715588964,5715588964,8311571269
9032241591,9032241591,9032241591,9032241591,9032241591,9254841234,9565890281,9300887023
9532241591,9532241591,9532241591,9532241591,9254841234,8311571269,9565890281,8183190986
9254841234,9254841234,9254841234,9254841234,8311571269,8311571269,10065890281,8183190986
8311571269,8311571269,8311571269,8311571269,8311571269,8541696741,10065890281,8183190986
8041696741,8041696741,8041696741,8041696741,8604296741,9565890281,9996389923,8183190986
8541696741,8541696741,8541696741,8541696741,9565890281,9565890281,9996389923,7939268534
8604296741,8604296741,8604296741,9604296741,9565890281,9565890281,9996389923,7939268534
9604296741,9604296741,9604296741,9565890281,9565890281,9565890281,9996389923,7939268534
9565890281,9565890281,9565890281,9565890281,9565890281,9565890281,9996389923,7939268534
10065890281,10065890281,10065890281,10065890281,10065890281,9996389923,8183190986,7939268534
9996389923,9996389923,9996389923,9996389923,9996389923,9996389923,8183190986,7939268534
9996389923,9996389923,9996389923,9996389923,9996389923,9996389923,8183190986,7939268534
9315851815,9300887023,9300887023,9300887023,9300887023,8183190986,7939268534,7939268534
9300887023,9300887023,9300887023,9300887023,9300887023,8183190986,7939268534,7939268534
8183190986,8183190986,8183190986,8183190986,8183190986,8183190986,7939268534,7939268534
7939268534,7939268534,7939268534,7939268534,7939268534,7939268534,7939268534,7939268534
8259268534,8259268534,8259268534,8259268534,8259268534,8255342955,8275342955,8270932214
8255342955,8255342955,8255342955,8255342955,8255342955,8275342955,8273306270,8270932214
8275342955,8275342955,8275342955,8275342955,8275342955,8275342955,8273306270,8270932214
8273306270,8273306270,8273306270,8273306270,8273306270,8273306270,8270932214,8270932214
8270932214,8270932214,8270932214,8270932214,8270932214,8270932214,8270932214,8270932214
8246114899,8246114899,8246114899,8246114899,8025088265,8025088265,8011536195,8011536195
8025088265,8025088265,8025088265,8025088265,8025088265,8025088265,8011536195,8011536195
8011536195,8011536195,8011536195,8011536195,8011536195,8011536195,8011536195,6753837166
6753837166,6753837166,6753837166,6753837166,6753837166,6753837166,6737026015,6628068779
6737026015,6737026015,6737026015,6737026015,6737026015,6737026015,6628068779,6628068779
6736713285,6736713285,6736713285,6736713285,6628068779,6628068779,6628068779,6589082642
6628068779,6628068779,6628068779,6628068779,6628068779,6628068779,6628068779,6589082642
6609778887,6609778887,6609778887,6609778887,6609778887,6589082642,6589082642,6589082642
6589082642,6589082642,6589082642,6589082642,6589082642,6589082642,6589082642,6896731884
6896731884,6896731884,6896731884,6896731884,6896731884,6896731884,6856722989,6681828835
6856722989,6856722989,6856722989,6856722989,6856722989,6856722989,6713117191,6681828835
6896722989,6896722989,6896722989,6896722989,6896722989,6713117191,6681828835,6681828835
6713117191,6713117191,6713117191,6713117191,6713117191,6713117191,6681828835,6519420449
6681828835,6681828835,6681828835,6681828835,6681828835,6681828835,6681828835,6519420449
6519420449,6519420449,6519420449,6519420449,6519420449,6519420449,6519420449,6519420449
6476314019,6436943241,6436943241,6436943241,6436943241,6436943241,6436943241,6436943241
6436943241,6436943241,6436943241,6436943241,6436943241,6436943241,6436943241,6436943241
5737594134,5737594134,5737594134,5737594134,5737594134,5737594134,5737594134,5737594134
5728031387,5728031387,5728031387,5728031387,5728031387,5728031387,5728031387,5728031387
5700561689,5700561689,5700561689,5700561689,5700561689,5700561689,5666223989,5589552378
5666223989,5666223989,5666223989,5666223989,5666223989,5666223989,5589552378,5589552378
5589552378,5589552378,5589552378,5589552378,5589552378,5589552378,5589552378,5589552378
5275704282,5275704282,5275704282,5275704282,5275704282,5275704282,5275704282,5275704282
5188330732,5188330732,5188330732,5188330732,5188330732,5188330732,5188330732,5188330732
