open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:49,165187706377218,165187706377218,165187706377218,165187706377218,165187706377218,165187706377218,165187706377218,165187706377218,165187706377218,165187706377218,165187706377218,0,-69415919280264,0,-69415919280264,0,-69415919280264,0,-69415919280264,0,-69415919280264,0,-69415919280264,0,-69415919280264,0,-69415919280264,0,-69415919280264,0,-69415919280264,-69415919280264,0,0.0,0.0,0.0,0.0
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:51,137368938412746,137368938412746,137368938412746,137368938412746,137368938412746,137368938412746,137368938412746,137368938412746,137368938412746,137368938412746,137368938412746,0,-71347437126037,0,-71347437126037,0,-71347437126037,0,-71347437126037,0,-71347437126037,0,-71347437126037,0,-71347437126037,0,-71347437126037,0,-71347437126037,0,-71347437126037,-71347437126037,0,0.0,0.0,0.0,0.0
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:52,134994769568443,134994769568443,134994769568443,134994769568443,134994769568443,134994769568443,134994769568443,134994769568443,134994769568443,134994769568443,134994769568443,17772781106828,-91992273941463,17772781106828,-91992273941463,17772781106828,-91992273941463,17772781106828,-91992273941463,17772781106828,-91992273941463,17772781106828,-91992273941463,17772781106828,-91992273941463,17772781106828,-91992273941463,17772781106828,-91992273941463,17772781106828,-91992273941463,-91992273941463,3,0.586744040958717,1.0,1.0,0.8052492045661294
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:53,131616564896703,131616564896703,131616564896703,131616564896703,131616564896703,131616564896703,131616564896703,131616564896703,131616564896703,131616564896703,131616564896703,19137560122363,-94228685472182,19137560122363,-94228685472182,19137560122363,-94228685472182,19137560122363,-94228685472182,19137560122363,-94228685472182,19137560122363,-94228685472182,19137560122363,-94228685472182,19137560122363,-94228685472182,19137560122363,-94228685472182,19137560122363,-94228685472182,-94228685472182,4,0.5449008828199254,1.0,1.0,1.004848615416394
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:54,131755974626031,165187706377218,131755974626031,131755974626031,131755974626031,131755974626031,131755974626031,131755974626031,131755974626031,131755974626031,131755974626031,71742013305432,-95665823457031,71742013305432,-95665823457031,71742013305432,-95665823457031,71742013305432,-95665823457031,71742013305432,-95665823457031,71742013305432,-95665823457031,71742013305432,-95665823457031,71742013305432,-95665823457031,71742013305432,-95665823457031,71742013305432,-95665823457031,-95665823457031,8,0.3517282245072346,0.893056239412268,1.0,1.7404709578033961
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:55,182935439161191,165187706377218,182935439161191,182935439161191,182935439161191,182935439161191,182935439161191,182935439161191,182935439161191,182935439161191,182935439161191,147160647666512,-95808012989778,147160647666512,-165223932270042,147160647666512,-165223932270042,147160647666512,-165223932270042,147160647666512,-165223932270042,147160647666512,-165223932270042,147160647666512,-165223932270042,147160647666512,-165223932270042,147160647666512,-165223932270042,147160647666512,-165223932270042,-165223932270042,10,0.4305768456368323,0.8546775104956436,1.0,1.7665172319471898
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:56,190693768932096,137368938412746,190693768932096,190693768932096,190693768932096,190693768932096,190693768932096,190693768932096,190693768932096,190693768932096,190693768932096,152128814766811,-95808012989778,152128814766811,-165223932270042,152128814766811,-165223932270042,152128814766811,-165223932270042,152128814766811,-165223932270042,152128814766811,-165223932270042,152128814766811,-165223932270042,152128814766811,-165223932270042,152128814766811,-165223932270042,152128814766811,-165223932270042,-165223932270042,12,0.41651522475375075,0.8267657654687817,0.9865717699845402,1.8742741033879289
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:58,193349590982569,131616564896703,193349590982569,193349590982569,193349590982569,193349590982569,193349590982569,193349590982569,193349590982569,193349590982569,193349590982569,173137209689584,-117485921153401,190909990796412,-209478195094864,190909990796412,-209478195094864,190909990796412,-209478195094864,190909990796412,-209478195094864,190909990796412,-209478195094864,190909990796412,-209478195094864,190909990796412,-209478195094864,190909990796412,-209478195094864,190909990796412,-209478195094864,-209478195094864,14,0.4259538608292119,0.8348011835877175,0.9693198512600836,1.900950994132154
2024-06-10 16:25:49,206900000000000,2024-06-10 16:25:59,178248209226250,131755974626031,165187706377218,178248209226250,178248209226250,178248209226250,178248209226250,178248209226250,178248209226250,178248209226250,178248209226250,276795727712834,-236027836438099,295933287835197,-330256521910281,295933287835197,-330256521910281,295933287835197,-330256521910281,295933287835197,-330256521910281,295933287835197,-330256521910281,295933287835197,-330256521910281,295933287835197,-330256521910281,295933287835197,-330256521910281,295933287835197,-330256521910281,-330256521910281,14,0.6296761883480932,0.8934283305823632,0.9802078807814557,1.4453961819476737
2024-06-10 16:25:49,206900000000000,2024-06-10 16:26:00,170793980462332,182935439161191,165187706377218,170793980462332,170793980462332,170793980462332,170793980462332,170793980462332,170793980462332,170793980462332,170793980462332,240934871794507,-246425629454014,312676885099939,-272675533630781,312676885099939,-342091452911045,312676885099939,-342091452911045,312676885099939,-342091452911045,312676885099939,-342091452911045,312676885099939,-342091452911045,312676885099939,-342091452911045,312676885099939,-342091452911045,312676885099939,-342091452911045,-342091452911045,17,0.5959575317818155,0.8492954620587583,0.9600312170170989,1.6115865259841196
