token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
600185795015,600143400686,600356246027,600900673058,684507488214,735530429759,855674931329,1005909377181
600185995015,600144100686,600356246027,600900673058,687458452390,737310429759,855674931329,1005909377181
600137600686,600144100686,600356646742,600900673058,686026696080,740262023665,858253470723,1005909377181
600138200686,600144100686,600356547185,600900673058,686026696080,736563614838,858253470723,1005909377181
600138400686,600144200686,600356447900,600900673058,684930285963,735835382628,858253470723,1005909377181
600143400686,600144200686,600356346955,600920673058,689142827177,736665564729,855195551438,1005909377181
600144100686,600144300686,600356443637,600920673058,689142827177,740970802454,849732709090,1005909377181
600144100686,600144300686,600356443637,600920473713,692133439213,738312728606,850261602955,1005909377181
600144100686,600144800686,600356443637,600920473713,692133439213,738312728606,851181333954,1005909377181
600144200686,600144800686,600356339374,600920473713,694033347050,738980365458,851181333954,1005909377181
600144200686,600144800686,600356619380,600920473713,694033347050,738980365458,853804629882,1005909377181
600144300686,600144910686,600356619853,600920473713,693781952044,738980365458,855124099199,1005909377181
600144800686,600355610686,600356303232,600926890433,697383303233,741932296063,846744612222,1005909377181
600144910686,600356247686,600351223732,600926890433,689093309702,741932296063,846143717524,1005909377181
600144910686,600356247686,600401112819,600926890433,688769920975,734005889586,847503583312,1005909377181
600356247686,600356246027,600400883927,600926890433,692209930563,731993818149,846819448565,1005909377181
600356247686,600356447900,600401002268,600926890433,695647725101,742048915488,846511367085,1005909377181
600356246027,600356346955,600401202268,601026890433,689678431936,739412959534,846204567160,1005909377181
600356246027,600356443637,600401001439,601088963764,691088431936,737105075095,849039527334,1005909377181
600356346955,600356619380,600900673058,602078915021,688943776253,739130755372,855380506145,1005909377181
600356443637,600356819853,600900673058,604383783401,689813776253,736784159934,851214725530,1005909377181
600356443637,600356702318,600900673058,604383783401,689813776253,736784159934,854993136218,1005909377181
600356339374,600356303232,600900673058,604383783401,692010834762,736784159934,852927620811,1005909377181
600356619380,600351324675,600920673058,604383783401,694265669762,736784159934,856123748996,1005909377181
600356619853,600351223732,600920673058,604383783401,695404613990,738134159934,856123748996,1005909377181
600356303232,600400895540,600920473713,606753820401,698159895508,734830041746,856566152531,1005909377181
600351324675,600400883927,600920473713,608923820401,695731633018,738871096666,858362118021,1005909377181
