token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
223640111493715,223353245038347,185890167121215,211328558038620,348480298621144,282828831320148,274801952799255,265492497522355
222638892320808,223352637111871,186041588185703,213157826331255,348480298621144,282116639741508,275047349059083,265492497522355
222635871967281,220999908422434,186020520453108,213157826331255,348480298621144,282116639741508,275047349059083,265492497522355
225463075411761,214823211666206,185999246892107,213200364993262,348480298621144,282116639741508,275047349059083,265492497522355
224261528547867,218017158370061,187026606509678,214891330034779,348480298621144,282116639741508,275047349059083,265492497522355
223352637111871,222268798176144,185810331457747,221602348147525,348480298621144,290754340161582,275047349059083,265492497522355
220999908422434,219007846063286,186946270625891,226892901723192,351189332158178,290754340161582,274912223568965,265492497522355
214823211666206,219340977560073,186903731963884,228169980656340,351189332158178,290754340161582,274912223568965,265492497522355
218017158370061,211911683353338,186961957940521,251402086028860,347477999847923,290754340161582,274912223568965,265492497522355
220698510991342,211911683353338,186378913922186,208187004362827,347477999847923,290754340161582,274912223568965,265492497522355
222268798176144,212189610325202,177407988741188,252587465020497,338569713354027,290754340161582,274912223568965,265492497522355
219007846063286,213430574096813,209139954076031,252587465020497,338569713354027,281030715473233,274912223568965,265492497522355
219340977560073,213430574096813,201406511421812,267026538792444,335152461710035,281030715473233,274912223568965,270099989225422
211911683353338,213430574096813,209690702598282,267083709515269,335183085118196,281030715473233,274912223568965,257771062456668
211911683353338,210718947101002,210073271347873,256010220848166,335183085118196,281030715473233,274912223568965,257771062456668
212189610325202,206156134691088,210636408208995,256407530559862,335183085118196,279436780107280,274912223568965,257771062456668
213430574096813,200531053363623,210636408208995,259523579495187,335183085118196,279436780107280,274912223568965,257771062456668
213430574096813,189101007478391,210636408208995,260699278808402,334511160438683,283148112417535,274912223568965,257771062456668
213430574096813,188991341594630,214392949676424,262053674908998,334511160438683,283148112417535,274912223568965,257771062456668
206156134691088,186041588185703,212856107812405,187790155247467,334511160438683,284913247891042,274912223568965,257771062456668
200531053363623,186020520453108,207500804337868,252071943577792,334511160438683,284913247891042,250846356058834,257771062456668
185890167121215,187026606509678,206621393601129,255714016385389,335161465867674,284913247891042,250846356058834,257771062456668
186041588185703,185810331457747,206618799260785,258311220377079,335161465867674,284913247891042,250846356058834,257771062456668
186020520453108,186946270625891,206618799260785,259372992540301,335161465867674,284913247891042,250846356058834,257771062456668
185999246892107,186903731963884,207546882498565,253147809076273,335161465867674,284913247891042,250846356058834,257771062456668
187026606509678,186961957940521,208736563309975,259750141601672,334486266354138,284913247891042,250846356058834,257771062456668
187026606509678,186378913922186,211328558038620,260991094373286,334486266354138,284913247891042,250846356058834,257771062456668
185810331457747,177407988741188,213157826331255,265686750600634,334486266354138,278825023985624,271585883725048,257771062456668
186946270625891,209139954076031,213157826331255,291386021702023,334486266354138,278825023985624,271585883725048,257771062456668
186903731963884,201406511421812,213200364993262,290018010141189,327761381155271,278825023985624,271585883725048,257771062456668
186961957940521,209690702598282,214891330034779,286498254363050,327761381155271,278825023985624,271585883725048,257771062456668
177407988741188,210636408208995,221602348147525,284036074255438,327761381155271,269785648803937,269407710546859,257771062456668
209139954076031,210636408208995,226892901723192,362411552103549,327761381155271,268963514668536,269407710546859,257771062456668
201406511421812,210636408208995,228169980656340,361435786965387,327438209832693,268963514668536,269407710546859,257771062456668
209690702598282,214392949676424,251402086028860,361533703384827,327438209832693,268963514668536,269407710546859,257771062456668
210073271347873,212856107812405,208187004362827,367113291769530,327438209832693,284831148146459,269407710546859,257771062456668
210636408208995,212856107812405,252587465020497,367113291769530,328052782404319,284772679279369,269407710546859,257771062456668
210636408208995,207500804337868,252587465020497,368193471541340,328052782404319,284772679279369,269407710546859,257771062456668
210636408208995,207500804337868,267026538792444,368193471541340,328052782404319,284772679279369,269407710546859,257771062456668
214392949676424,205344314667982,267083709515269,367169677110733,328052782404319,284772679279369,269407710546859,257771062456668
212856107812405,206621393601129,256010220848166,367169677110733,328052782404319,284529317285412,269407710546859,257771062456668
212856107812405,206618799260785,256407530559862,360939490864466,328052782404319,284529317285412,269407710546859,257771062456668
205344314667982,208736563309975,262053674908998,355574149968865,314388050714013,297906499355971,269407710546859,257771062456668
206621393601129,211328558038620,262745242950463,356104229700288,314388050714013,297906499355971,269407710546859,257771062456668
206618799260785,213157826331255,252071943577792,359619615579801,314388050714013,297906499355971,269193974873680,257771062456668
208736563309975,214891330034779,255714016385389,350141930171775,314093705126780,297906499355971,269193974873680,257771062456668
211328558038620,221602348147525,255714016385389,350141930171775,314093705126780,297906499355971,269193974873680,257771062456668
213157826331255,221602348147525,258311220377079,336059196509091,319189210055506,297906499355971,269193974873680,257771062456668
213200364993262,228169980656340,253147809076273,337203307789559,291205017101433,308903104919922,269193974873680,257771062456668
214891330034779,251402086028860,259750141601672,331163371242911,291205017101433,318626729608271,269193974873680,257618125630727
221602348147525,208187004362827,260991094373286,331163371242911,291205017101433,312644427179453,269193974873680,257618125630727
